time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,76,60,12,2,7,5
2021-01-01,111,70,14,4,8,6
2021-01-02,72,54,11,2,8,6
2021-01-02,76,60,12,2,7,5
2021-01-03,62,56,16,4,8,7
2021-01-03,72,54,11,2,8,6
2021-01-04,74,65,19,4,9,7
2021-01-04,62,56,16,4,8,7
2021-01-05,77,65,33,3,8,6
2021-01-05,74,,,,,
2021-01-06,70,64,20,1,7,5
2021-01-07,68,58,30,3,7,5
2021-01-08,64,84,18,1,9,6
2021-01-09,93,65,18,4,7,8
2021-01-10,75,64,22,4,8,15
2021-01-11,78,51,20,3,7,11
2021-01-12,71,51,16,2,6,9
2021-01-13,66,51,12,2,6,9
2021-01-14,61,57,11,5,6,11
2021-01-15,66,59,16,11,7,12
2021-01-16,66,51,13,3,8,15
2021-01-17,82,51,17,4,9,15
2021-01-18,80,50,15,3,7,12
2021-01-19,67,57,20,3,7,11
2021-01-20,78,62,28,4,7,17
2021-01-21,88,57,10,9,8,18
2021-01-22,79,59,17,8,8,15
2021-01-23,81,73,19,7,9,16
2021-01-24,110,75,30,8,10,15
2021-01-25,116,73,36,9,12,
2021-01-26,111,71,37,66,16,20
2021-01-27,106,73,39,76,17,9
2021-01-28,111,58,40,55,15,1
2021-01-29,81,71,42,59,17,2
2021-01-30,106,73,36,76,17,7
2021-01-31,111,64,32,44,14,14
2021-02-01,92,70,46,55,15,13
2021-02-02,106,85,53,55,17,13
2021-02-03,130,86,45,55,17,8
2021-02-04,129,90,46,44,18,14
2021-02-05,140,95,57,57,19,18
2021-02-06,144,82,43,78,20,16
2021-02-07,124,77,45,61,17,13
2021-02-08,119,78,32,48,17,12
2021-02-09,121,64,30,23,13,13
2021-02-10,97,73,30,12,13,13
2021-02-11,109,74,21,15,13,13
2021-02-12,111,75,36,18,14,12
2021-02-13,114,91,42,19,19,15
2021-02-14,127,91,34,19,15,13
2021-02-15,138,76,39,49,12,10
2021-02-16,117,84,34,51,17,15
2021-02-17,133,71,18,38,9,9
2021-02-18,107,73,26,11,4,9
2021-02-19,112,75,21,10,8,10
2021-02-20,111,70,26,6,9,10
2021-02-21,107,79,33,7,12,11
2021-02-22,121,79,41,7,10,11
2021-02-23,124,90,39,7,11,13
2021-02-24,135,92,34,4,11,17
2021-02-25,142,94,8,19,12,31
2021-02-26,142,85,20,8,12,22
2021-02-27,132,75,35,6,11,12
2021-02-28,114,83,42,10,19,19
2021-03-01,124,82,38,11,22,21
2021-03-02,127,96,47,13,22,23
2021-03-03,145,96,37,13,23,15
2021-03-04,149,99,36,11,24,13
2021-03-05,152,102,41,11,18,13
2021-03-06,154,112,30,17,34,19
2021-03-07,155,109,40,15,23,18
2021-03-08,153,99,35,16,22,15
2021-03-09,148,90,37,21,23,11
2021-03-10,143,86,30,22,20,12
2021-03-11,136,89,29,22,21,14
2021-03-12,139,91,36,11,21,14
2021-03-13,144,100,27,21,31,18
2021-03-14,153,98,32,15,21,15
2021-03-15,146,96,31,5,20,12
2021-03-16,145,89,41,11,7,7
2021-03-17,140,86,23,23,5,6
2021-03-18,134,89,27,23,4,12
2021-03-19,134,83,31,17,3,10
2021-03-20,128,97,27,20,3,16
2021-03-21,142,85,16,22,2,12
2021-03-22,130,82,32,19,2,12
2021-03-23,129,97,34,22,6,20
2021-03-24,141,109,7,18,9,19
2021-03-25,157,127,16,19,19,16
2021-03-26,166,112,15,17,15,13
2021-03-27,159,115,18,15,15,13
2021-03-28,164,113,16,15,18,12
2021-03-29,160,110,15,13,15,9
2021-03-30,159,99,16,13,9,8
2021-03-31,150,106,39,16,19,12
2021-04-01,,106,18,11,10,10
2021-04-01,156,120,7,13,12,11
2021-04-02,157,110,19,13,10,11
2021-04-02,166,124,22,13,13,10
2021-04-03,161,110,16,11,14,13
2021-04-03,167,105,16,12,12,10
2021-04-04,153,117,22,18,29,22
2021-04-04,155,111,20,12,11,13
2021-04-05,143,90,31,11,15,17
2021-04-05,161,,,,,
2021-04-06,136,93,32,13,21,15
2021-04-07,140,118,16,13,11,20
2021-04-08,139,103,18,16,23,26
2021-04-09,137,88,30,14,17,15
2021-04-10,138,76,23,8,9,9
2021-04-11,133,73,37,10,14,10
2021-04-12,115,93,16,17,9,10
2021-04-13,134,99,17,32,12,10
2021-04-14,137,101,18,54,8,8
2021-04-15,152,95,18,97,7,9
2021-04-16,156,112,15,99,11,16
2021-04-17,161,112,14,98,11,16
2021-04-18,150,94,32,77,20,12
2021-04-19,143,122,30,0,15,18
2021-04-20,152,136,41,0,3,23
2021-04-21,165,92,12,0,1,12
2021-04-22,146,67,11,0,1,8
2021-04-23,118,47,34,0,0,3
2021-04-24,103,67,34,0,0,4
2021-04-25,130,83,30,0,0,6
2021-04-26,134,75,37,1,0,8
2021-04-27,127,77,31,1,3,11
2021-04-28,139,91,37,1,8,16
2021-04-29,141,91,50,1,8,16
2021-04-30,141,101,37,1,9,15
2021-05-01,142,97,12,1,9,16
2021-05-02,133,98,17,1,9,15
2021-05-03,137,103,20,1,8,14
2021-05-04,147,113,20,1,9,22
2021-05-05,154,80,19,1,8,13
2021-05-06,127,88,16,1,9,13
2021-05-07,136,114,20,1,9,17
2021-05-08,153,126,14,1,8,18
2021-05-09,154,110,14,1,8,14
2021-05-10,137,72,15,0,1,7
2021-05-11,117,113,16,0,1,12
2021-05-12,128,117,17,0,2,14
2021-05-13,139,109,18,0,2,17
2021-05-14,138,99,16,0,2,13
2021-05-15,131,56,14,0,1,6
2021-05-16,82,80,14,0,2,13
2021-05-17,119,66,15,0,1,9
2021-05-18,100,83,14,0,2,14
2021-05-19,128,98,17,0,2,15
2021-05-20,139,120,18,0,1,15
2021-05-21,136,128,17,0,1,16
2021-05-22,135,112,19,0,3,14
2021-05-23,128,117,16,0,10,16
2021-05-24,138,120,18,0,1,17
2021-05-25,137,89,15,0,1,16
2021-05-26,124,108,18,0,1,20
2021-05-27,146,59,15,0,1,15
2021-05-28,130,75,17,0,1,14
2021-05-29,140,107,24,0,1,17
2021-05-30,148,119,24,5,3,21
2021-05-31,160,109,17,14,2,19
2021-06-01,152,,22,18,2,25
2021-06-02,146,112,23,28,2,28
2021-06-03,180,73,11,32,1,17
2021-06-04,140,53,14,18,6,11
2021-06-05,114,54,17,0,14,14
2021-06-06,119,40,15,0,10,8
2021-06-07,99,35,9,0,6,8
2021-06-08,89,36,15,0,4,9
2021-06-09,94,49,21,0,4,13
2021-06-10,110,53,16,0,4,15
2021-06-11,115,64,17,0,4,20
2021-06-12,122,44,15,0,3,9
2021-06-13,103,55,17,1,3,14
2021-06-14,118,68,17,3,3,21
2021-06-15,132,70,20,6,3,19
2021-06-16,141,71,21,6,2,24
2021-06-17,138,83,22,6,6,22
2021-06-18,146,57,18,6,9,14
2021-06-19,115,57,18,6,13,16
2021-06-20,117,61,24,6,14,20
2021-06-21,117,44,25,6,9,14
2021-06-22,101,30,23,6,7,13
2021-06-23,78,55,23,6,5,15
2021-06-24,121,33,20,6,4,13
2021-06-25,85,63,19,6,6,22
2021-06-26,119,62,19,6,7,16
2021-06-27,129,80,23,6,9,26
2021-06-28,137,25,19,6,6,10
2021-06-29,74,23,14,6,4,8
2021-06-30,70,32,17,6,3,10
2021-07-01,74,,,,,
2021-09-30,,52,10,17,45,16
2021-10-01,80,40,9,17,26,16
2021-10-02,68,32,8,17,19,15
2021-10-03,57,48,8,19,17,16
2021-10-04,85,50,11,21,15,17
2021-10-05,85,58,9,20,12,17
2021-10-06,81,43,9,19,11,18
2021-10-07,93,35,8,18,11,20
2021-10-08,76,45,7,20,17,16
2021-10-09,64,37,11,21,15,12
2021-10-10,60,22,8,19,11,9
2021-10-11,51,17,7,18,9,9
2021-10-12,59,15,8,18,9,9
2021-10-13,43,22,5,42,10,12
2021-10-14,108,20,7,29,10,10
2021-10-15,50,25,6,19,14,10
2021-10-16,49,28,8,7,13,10
2021-10-17,48,37,8,6,12,15
2021-10-18,71,41,9,6,12,19
2021-10-19,66,41,8,5,13,20
2021-10-20,84,37,7,3,12,19
2021-10-21,82,29,8,9,10,18
2021-10-22,71,32,10,20,19,21
2021-10-23,84,32,7,20,14,17
2021-10-24,73,52,7,22,11,16
2021-10-25,97,51,7,21,10,16
2021-10-26,57,18,6,20,7,12
2021-10-27,41,11,6,19,6,11
2021-10-28,34,13,6,19,5,11
2021-10-29,31,17,6,18,5,11
2021-10-30,40,29,5,21,6,14
2021-10-31,50,41,6,21,6,15
2021-11-01,67,59,6,22,5,15
2021-11-02,64,51,6,21,5,14
2021-11-03,62,72,6,22,7,20
2021-11-04,87,55,5,22,6,19
2021-11-05,59,53,6,22,5,18
2021-11-06,76,49,6,21,5,16
2021-11-07,55,46,6,20,5,14
2021-11-08,69,43,6,20,10,14
2021-11-09,84,51,7,21,16,15
2021-11-10,86,50,6,21,10,16
2021-11-11,82,45,8,21,7,16
2021-11-12,78,50,7,23,10,17
2021-11-13,74,90,6,23,7,18
2021-11-14,75,51,7,24,6,18
2021-11-15,89,30,5,22,5,15
2021-11-16,49,18,5,21,4,14
2021-11-17,41,28,6,21,4,16
2021-11-18,57,30,5,22,7,15
2021-11-19,63,19,7,15,17,2
2021-11-20,39,24,5,8,8,2
2021-11-21,42,31,8,8,5,2
2021-11-22,49,35,5,9,5,4
2021-11-23,66,45,5,8,5,7
2021-11-24,61,50,5,9,4,6
2021-11-25,68,54,5,9,5,12
2021-11-26,74,38,6,8,7,11
2021-11-27,68,24,5,7,10,8
2021-11-28,66,14,6,5,5,3
2021-11-29,31,14,5,4,3,3
2021-11-30,42,15,5,5,3,3
2021-12-01,52,24,6,5,4,5
2021-12-02,37,28,6,5,4,4
2021-12-03,49,33,7,5,4,5
2021-12-04,65,41,6,5,2,6
2021-12-05,61,28,10,4,1,6
2021-12-06,54,28,7,5,4,13
2021-12-07,72,9,9,5,0,4
2021-12-08,21,22,11,7,0,5
2021-12-09,46,37,6,8,1,11
2021-12-10,87,37,13,9,3,15
2021-12-11,64,34,49,8,1,10
2021-12-12,77,27,10,7,2,14
2021-12-13,54,12,11,5,1,8
2021-12-14,37,20,8,2,0,7
2021-12-15,101,,,,,
2021-12-21,,32,11,6,2,14
2021-12-22,88,12,9,2,0,4
2021-12-23,38,9,8,3,0,2
2021-12-24,35,7,2,1,0,1
2021-12-25,15,15,5,2,0,3
2021-12-26,32,7,4,1,0,2
2021-12-27,24,7,10,3,0,2
2021-12-28,35,7,4,2,0,1
2021-12-29,14,20,8,5,0,6
2021-12-30,39,29,9,7,0,11
2021-12-31,64,7,2,2,0,1
2022-01-01,18,11,3,2,0,2
2022-01-02,26,19,6,5,0,5
2022-01-03,31,,,,,
2022-03-31,,29,3,12,,7
2022-04-01,56,55,10,34,,20
2022-04-02,134,38,4,14,,7
2022-04-03,55,37,3,17,,7
2022-04-04,66,41,4,22,,9
2022-04-05,91,44,4,21,,10
2022-04-06,90,27,2,14,,5
2022-04-07,63,40,8,32,,12
2022-04-08,89,13,5,22,,7
2022-04-09,30,13,1,14,,5
2022-04-10,39,13,2,12,,4
2022-04-11,26,10,2,14,,4
2022-04-12,29,19,2,14,,5
2022-04-13,43,17,2,11,,3
2022-04-14,32,46,10,26,,9
2022-04-15,75,39,2,17,,9
2022-04-16,83,62,6,26,,15
2022-04-17,109,44,4,18,,9
2022-04-18,96,43,3,21,,10
2022-04-19,91,51,9,35,,14
2022-04-20,70,22,3,20,,6
2022-04-21,39,26,4,27,,7
2022-04-22,36,30,5,21,,7
2022-04-23,63,44,6,28,,10
2022-04-24,58,39,6,21,,9
2022-04-25,72,37,6,25,,9
2022-04-26,74,51,4,28,,12
2022-04-27,91,57,10,48,,15
2022-04-28,98,56,5,24,,13
2022-04-29,94,69,5,37,29,20
2022-04-30,134,43,5,16,12,9
2022-05-01,85,19,2,14,1,7
2022-05-02,57,,,,,
2022-05-03,,55,9,52,13,18
2022-05-04,92,65,10,41,5,17
2022-05-05,128,39,6,18,1,9
2022-05-06,84,32,5,16,0,7
2022-05-07,66,20,3,12,3,5
2022-05-08,46,27,2,6,18,6
2022-05-09,61,25,1,0,12,6
2022-05-10,55,52,7,0,0,12
2022-05-11,83,71,10,0,13,26
2022-05-12,134,46,3,0,5,10
2022-05-13,83,33,4,0,,8
2022-05-14,66,45,9,0,,12
2022-05-15,87,22,2,0,,5
2022-05-16,54,26,2,0,,5
2022-05-17,57,24,3,0,1,7
2022-05-18,68,52,8,0,6,16
2022-05-19,102,22,2,0,,6
2022-05-20,51,31,3,0,,7
2022-05-21,56,18,1,0,,6
2022-05-22,51,18,5,0,,6
2022-05-23,34,16,5,0,,8
2022-05-24,43,11,1,0,,4
2022-05-25,24,20,3,0,,6
2022-05-26,42,19,2,0,,5
2022-05-27,45,11,1,0,,4
2022-05-28,25,22,1,0,,4
2022-05-29,44,29,8,0,4,9
2022-05-30,53,13,3,0,14,5
2022-05-31,48,47,11,0,11,15
2022-06-01,103,48,10,0,11,16
2022-06-02,91,33,4,0,8,6
2022-06-03,55,80,12,0,5,18
2022-06-04,114,49,2,0,35,7
2022-06-05,68,49,2,0,6,7
2022-06-06,63,32,2,0,4,8
2022-06-07,68,66,7,0,3,14
2022-06-08,94,115,7,0,4,23
2022-06-09,122,141,7,0,4,25
2022-06-10,136,117,9,0,6,26
2022-06-11,146,61,3,,20,16
2022-06-12,133,,,,24,
2022-06-16,,75,9,,,24
2022-06-17,136,35,6,0,36,12
2022-06-18,62,32,11,0,35,16
2022-06-19,88,17,4,0,23,8
2022-06-20,35,33,25,0,9,16
2022-06-21,79,44,20,0,9,17
2022-06-22,99,53,34,0,1,20
2022-06-23,101,21,6,0,9,5
2022-06-24,26,64,37,0,9,19
2022-06-25,98,26,18,0,15,14
2022-06-26,64,25,15,2,21,12
2022-06-27,53,11,6,1,4,5
2022-06-28,22,32,23,3,5,14
2022-06-29,66,39,23,3,16,17
2022-06-30,,11,6,1,5,5
2022-06-30,74,,,,10,
2022-07-01,22,32,23,3,16,14
2022-07-02,66,39,23,3,10,17
2022-07-03,74,17,15,2,7,12
2022-07-04,45,8,4,1,2,4
2022-07-05,17,14,7,1,4,6
2022-07-06,23,15,9,1,2,8
2022-07-07,38,12,7,1,4,5
2022-07-08,26,16,12,1,3,6
2022-07-09,37,17,9,1,2,6
2022-07-10,18,31,24,3,3,17
2022-07-11,48,20,10,2,7,12
2022-07-12,40,14,9,1,1,6
2022-07-13,27,13,8,1,0,5
2022-07-14,26,25,11,2,3,12
2022-07-15,48,32,11,2,8,16
2022-07-16,88,27,7,1,4,7
2022-07-17,50,20,7,1,2,5
2022-07-18,39,9,22,1,2,6
2022-07-19,19,12,7,1,6,4
2022-07-20,25,27,20,2,6,11
2022-07-21,35,26,6,1,4,6
2022-07-22,42,37,9,1,7,8
2022-07-23,53,53,7,2,5,17
2022-07-24,73,37,5,2,16,17
2022-07-25,81,29,5,2,15,16
2022-07-26,71,42,40,4,12,20
2022-07-27,77,30,27,2,5,13
2022-07-28,37,42,24,2,3,15
2022-07-29,40,34,32,3,5,15
2022-07-30,59,6,5,1,0,4
2022-07-31,16,10,7,1,1,4
2022-08-01,22,27,29,3,5,15
2022-08-02,61,41,35,4,11,24
2022-08-03,70,32,31,4,5,19
2022-08-04,53,44,38,4,7,23
2022-08-05,74,40,30,3,20,19
2022-08-06,43,32,26,4,11,19
2022-08-07,78,14,14,4,3,16
2022-08-08,28,14,14,3,,16
2022-08-09,27,21,15,4,0,17
2022-08-10,28,24,19,4,0,17
2022-08-11,37,29,24,4,2,17
2022-08-12,49,28,21,3,1,17
2022-08-13,39,23,18,4,3,17
2022-08-14,40,35,29,4,4,20
2022-08-15,58,22,21,4,9,17
2022-08-16,43,21,15,4,3,17
2022-08-17,39,40,24,3,4,21
2022-08-18,58,25,20,4,1,18
2022-08-19,33,38,25,4,2,19
2022-08-20,56,25,19,4,1,20
2022-08-21,70,27,30,4,8,27
2022-08-22,92,20,19,4,14,23
2022-08-23,71,56,21,4,3,23
2022-08-24,92,72,28,4,4,25
2022-08-25,74,75,24,4,10,30
2022-08-26,107,66,23,4,6,30
2022-08-27,106,79,32,4,10,30
2022-08-28,116,43,17,4,3,23
2022-08-29,73,55,23,7,2,23
2022-08-30,96,35,19,8,1,19
2022-08-31,66,57,24,8,9,26
2022-09-01,89,23,20,8,27,18
2022-09-02,44,30,22,8,37,18
2022-09-03,45,22,15,8,26,21
2022-09-04,56,37,20,8,17,22
2022-09-05,85,33,9,8,46,22
2022-09-06,79,35,31,9,12,21
2022-09-07,84,22,8,8,17,20
2022-09-08,66,25,14,9,9,20
2022-09-09,60,35,11,9,7,23
2022-09-10,68,40,19,9,6,25
2022-09-11,81,44,22,9,4,23
2022-09-12,86,32,22,9,4,21
2022-09-13,73,18,18,9,6,24
2022-09-14,72,26,30,9,5,25
2022-09-15,39,13,13,9,0,19
2022-09-16,31,16,8,9,5,22
2022-09-17,54,18,15,9,9,28
2022-09-18,,26,11,8,3,23
2022-09-18,61,24,17,9,7,29
2022-09-19,50,19,12,7,3,24
2022-09-19,57,15,18,9,6,29
2022-09-20,45,18,14,7,1,22
2022-09-20,38,21,14,9,4,25
2022-09-21,49,11,19,8,4,24
2022-09-21,56,30,16,8,7,27
2022-09-22,36,27,12,8,6,30
2022-09-22,67,21,12,8,3,22
2022-09-23,66,14,8,8,1,22
2022-09-23,48,30,16,8,8,30
2022-09-24,36,6,10,8,0,20
2022-09-24,84,13,14,8,1,20
2022-09-25,27,9,11,8,1,21
2022-09-25,35,14,12,8,1,19
2022-09-26,29,7,11,8,0,20
2022-09-26,33,19,18,8,1,20
2022-09-27,17,7,12,7,0,20
2022-09-27,38,32,28,8,3,22
2022-09-28,13,8,10,8,2,23
2022-09-28,63,30,13,7,4,24
2022-09-29,30,42,9,8,6,27
2022-09-29,56,26,11,8,3,23
2022-09-30,48,5,10,8,1,22
2022-09-30,50,19,12,7,3,24
2022-10-01,29,7,10,8,4,24
2022-10-01,45,18,14,7,1,22
2022-10-02,25,12,11,8,4,27
2022-10-02,49,,,,,
2022-10-03,27,22,9,8,7,31
2022-10-04,65,9,12,8,7,28
2022-10-05,30,,,,,
2022-10-07,,31,8,8,3,27
2022-10-08,43,21,7,13,3,25
2022-10-09,47,37,6,12,6,30
2022-10-10,67,8,7,8,0,22
2022-10-11,52,11,9,8,0,22
2022-10-12,32,9,7,8,0,22
2022-10-13,33,12,8,8,0,21
2022-10-14,30,17,7,8,1,21
2022-10-15,33,29,8,9,3,25
2022-10-16,55,39,13,37,8,32
2022-10-17,75,31,11,35,5,28
2022-10-18,73,28,11,34,2,25
2022-10-19,61,44,12,35,3,27
2022-10-20,76,26,11,21,4,26
2022-10-21,72,18,7,9,5,26
2022-10-22,56,15,5,9,4,22
2022-10-23,30,11,8,9,2,22
2022-10-24,31,20,6,9,4,27
2022-10-25,40,13,7,9,4,25
2022-10-26,40,7,8,9,2,22
2022-10-27,27,13,6,10,4,27
2022-10-28,37,8,5,12,2,23
2022-10-29,24,9,6,9,2,23
2022-10-30,28,28,5,7,3,27
2022-10-31,72,2,6,7,5,28
2022-11-01,64,5,5,7,3,25
2022-11-02,20,28,9,7,2,24
2022-11-03,42,48,8,7,3,28
2022-11-04,72,56,7,7,6,31
2022-11-05,78,46,8,7,5,29
2022-11-06,76,19,6,7,5,29
2022-11-07,45,15,5,7,3,25
2022-11-08,49,,5,7,4,25
2022-11-09,71,53,11,7,6,32
2022-11-10,91,58,9,7,7,38
2022-11-11,99,44,7,7,3,30
2022-11-12,67,38,7,7,3,30
2022-11-13,76,57,8,7,4,33
2022-11-14,92,45,7,7,4,30
2022-11-15,86,29,6,7,2,27
2022-11-16,63,28,7,7,2,27
2022-11-17,59,25,8,7,2,25
2022-11-18,48,21,5,7,3,24
2022-11-19,49,20,9,7,2,24
2022-11-20,36,33,7,7,2,25
2022-11-21,38,38,9,7,3,29
2022-11-22,64,31,5,7,4,30
2022-11-23,77,44,7,7,3,31
2022-11-24,69,47,8,7,3,30
2022-11-25,78,24,6,7,2,26
2022-11-26,47,17,6,7,3,28
2022-11-27,42,13,6,7,3,26
2022-11-28,38,9,6,7,2,25
2022-11-29,24,12,7,7,1,24
2022-11-30,15,18,7,7,1,25
2022-12-01,31,27,7,7,1,25
2022-12-02,45,31,7,7,2,30
2022-12-03,60,42,6,7,12,13
2022-12-04,92,52,6,7,26,34
2022-12-05,83,41,7,7,16,33
2022-12-06,65,44,7,7,11,35
2022-12-07,82,26,6,7,17,33
2022-12-08,67,26,9,10,20,21
2022-12-09,60,18,8,13,5,16
2022-12-10,42,19,6,13,,18
2022-12-11,43,,,,,
2022-12-15,,39,7,7,,17
2022-12-16,45,43,10,9,,17
2022-12-17,68,62,13,7,,25
2022-12-18,99,42,11,7,,17
2022-12-19,61,46,10,7,,22
2022-12-20,73,43,14,8,,25
2022-12-21,89,49,13,7,,29
2022-12-22,94,,,,,
2022-12-29,,43,14,8,,25
2022-12-30,89,49,13,7,,29
2022-12-31,94,37,10,7,,24
2023-01-01,83,14,9,7,,17
2023-01-02,32,13,7,7,,16
2023-01-03,27,8,7,8,20,15
2023-01-04,32,12,7,13,20,16
2023-01-05,29,28,9,13,20,17
2023-01-06,54,,,,,
2023-01-07,,33,7,14,22,18
2023-01-08,84,44,12,13,23,19
2023-01-09,106,59,18,13,25,23
2023-01-10,115,41,15,12,23,11
2023-01-11,68,31,10,12,19,7
2023-01-12,68,46,13,13,23,12
2023-01-13,88,41,15,12,18,8
2023-01-14,79,,,,,
2023-01-21,,61,13,12,34,10
2023-01-22,93,88,32,12,32,12
2023-01-23,130,101,34,12,42,24
2023-01-24,156,95,31,12,36,15
2023-01-25,141,112,31,12,34,16
2023-01-26,150,95,34,9,35,16
2023-01-27,151,79,34,5,32,16
2023-01-28,129,81,30,5,31,16
2023-01-29,144,77,33,5,35,18
2023-01-30,142,74,29,5,33,21
2023-01-31,141,83,30,5,40,21
2023-02-01,154,91,25,8,42,19
2023-02-02,145,94,32,13,39,18
2023-02-03,155,100,38,13,36,21
2023-02-04,176,68,25,13,27,10
2023-02-05,138,68,24,13,23,11
2023-02-06,132,81,30,13,24,16
2023-02-07,143,83,29,13,28,18
2023-02-08,145,87,34,13,34,20
2023-02-09,143,79,28,13,35,19
2023-02-10,135,84,27,13,37,20
2023-02-11,154,92,33,13,41,20
2023-02-12,149,90,32,13,44,20
2023-02-13,158,90,40,13,42,21
2023-02-14,156,84,32,13,35,16
2023-02-15,143,75,38,13,39,19
2023-02-16,133,85,14,13,39,19
2023-02-17,141,78,33,13,50,22
2023-02-18,150,83,41,13,42,19
2023-02-19,156,88,23,12,35,21
2023-02-20,153,120,17,13,30,16
2023-02-21,157,102,38,14,39,21
2023-02-22,160,108,34,14,45,23
2023-02-23,158,100,33,14,45,21
2023-02-24,149,111,36,14,44,25
2023-02-25,163,112,34,14,42,28
2023-02-26,167,98,32,14,47,23
2023-02-27,159,106,32,14,45,27
2023-02-28,172,108,38,14,46,29
2023-03-01,170,84,32,14,33,20
2023-03-02,151,80,32,14,33,19
2023-03-03,145,136,26,14,40,29
2023-03-04,182,110,33,14,40,27
2023-03-05,171,113,30,14,49,28
2023-03-06,174,92,31,15,31,12
2023-03-07,160,125,6,14,33,28
2023-03-08,175,105,26,14,24,23
2023-03-09,170,87,19,14,13,19
2023-03-10,155,78,21,14,11,18
2023-03-11,137,101,12,14,20,27
2023-03-12,170,98,32,14,22,22
2023-03-13,163,94,27,14,22,24
