time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,66,46,5,5,1,0
2021-01-01,66,46,5,5,1,0
2021-01-02,72,44,3,5,1,1
2021-01-02,72,44,3,5,1,1
2021-01-03,71,34,4,3,1,0
2021-01-03,71,34,4,3,1,0
2021-01-04,58,32,2,2,1,
2021-01-04,58,,,,,
2021-01-05,72,45,3,5,1,1
2021-01-06,69,43,4,5,2,0
2021-01-07,62,44,3,6,1,2
2021-01-08,65,32,3,6,1,2
2021-01-09,45,41,4,6,2,0
2021-01-10,58,33,3,4,1,0
2021-01-11,55,43,2,5,0,2
2021-01-12,56,38,3,6,1,2
2021-01-13,50,37,2,5,1,2
2021-01-14,53,40,2,6,1,2
2021-01-15,90,51,4,6,1,2
2021-01-16,61,52,5,6,1,2
2021-01-17,60,55,5,5,1,0
2021-01-18,66,55,3,6,1,1
2021-01-19,70,55,3,6,1,2
2021-01-20,73,56,4,6,1,0
2021-01-21,74,51,3,6,1,2
2021-01-22,70,52,3,6,1,2
2021-01-23,66,52,3,6,1,1
2021-01-24,70,49,4,6,2,0
2021-01-25,74,50,5,6,1,0
2021-01-26,73,55,4,7,1,1
2021-01-27,82,57,6,7,1,1
2021-01-28,89,53,8,6,1,1
2021-01-29,86,63,8,7,2,2
2021-01-30,101,68,8,6,1,1
2021-01-31,123,67,8,5,1,0
2021-02-01,123,67,5,6,1,2
2021-02-02,130,76,13,8,1,4
2021-02-03,154,68,11,7,1,5
2021-02-04,126,63,8,6,1,4
2021-02-05,109,47,7,6,1,4
2021-02-06,71,49,7,5,0,2
2021-02-07,81,,,,,
2021-02-08,,63,8,8,1,5
2021-02-09,114,69,19,8,1,5
2021-02-10,131,68,21,7,1,4
2021-02-11,124,69,23,7,2,4
2021-02-12,135,53,3,6,1,4
2021-02-13,93,63,8,5,1,4
2021-02-14,119,43,9,5,1,4
2021-02-15,79,36,2,5,1,4
2021-02-16,73,40,7,5,1,4
2021-02-17,66,32,7,5,1,6
2021-02-18,55,46,9,7,1,4
2021-02-19,76,40,11,5,1,3
2021-02-20,67,41,11,6,1,4
2021-02-21,72,58,19,6,1,3
2021-02-22,101,59,22,6,2,4
2021-02-23,110,66,20,8,1,5
2021-02-24,119,67,20,10,1,5
2021-02-25,119,57,22,6,3,4
2021-02-26,91,70,18,6,1,4
2021-02-27,109,48,18,5,1,3
2021-02-28,87,46,16,5,1,3
2021-03-01,79,54,12,6,1,4
2021-03-02,95,59,18,7,0,4
2021-03-03,106,62,8,7,1,6
2021-03-04,111,63,14,8,1,5
2021-03-05,124,47,12,7,2,5
2021-03-06,81,38,6,5,1,6
2021-03-07,64,39,8,5,1,3
2021-03-08,67,34,12,4,2,4
2021-03-09,65,45,10,6,1,3
2021-03-10,77,45,10,7,0,5
2021-03-11,71,51,13,7,1,3
2021-03-12,87,58,16,6,1,3
2021-03-13,100,49,13,6,0,2
2021-03-14,83,54,20,4,1,2
2021-03-15,101,61,16,6,0,3
2021-03-16,108,64,20,5,1,2
2021-03-17,130,58,16,6,1,4
2021-03-18,103,44,12,5,1,3
2021-03-19,73,49,9,6,0,5
2021-03-20,74,57,8,7,0,4
2021-03-21,89,63,18,6,2,2
2021-03-22,110,72,20,9,0,6
2021-03-23,137,61,17,6,2,3
2021-03-24,121,51,14,7,0,4
2021-03-25,88,54,17,5,1,2
2021-03-26,97,61,22,6,1,2
2021-03-27,113,,,,,
2021-03-31,,55,12,7,1,4
2021-04-01,,45,7,5,0,3
2021-04-01,108,66,19,8,2,4
2021-04-02,85,32,15,4,0,2
2021-04-02,115,47,7,7,0,5
2021-04-03,55,49,7,6,0,3
2021-04-03,87,47,14,6,1,2
2021-04-04,91,38,11,5,1,3
2021-04-04,81,55,19,5,1,3
2021-04-05,57,38,12,5,2,2
2021-04-05,94,58,10,5,1,3
2021-04-06,64,36,5,5,0,3
2021-04-06,110,,,,,
2021-04-07,62,41,9,4,1,3
2021-04-08,69,53,11,7,1,5
2021-04-09,98,42,8,7,2,3
2021-04-10,70,32,3,6,1,4
2021-04-11,61,32,7,5,1,5
2021-04-12,52,48,10,6,1,3
2021-04-13,68,49,9,5,1,3
2021-04-14,78,46,11,5,1,4
2021-04-15,82,58,20,7,0,4
2021-04-16,99,63,18,7,1,4
2021-04-17,106,75,19,8,1,5
2021-04-18,138,75,19,7,2,4
2021-04-19,144,63,17,5,2,3
2021-04-20,118,55,13,7,0,4
2021-04-21,86,58,19,6,2,2
2021-04-22,98,63,24,8,0,4
2021-04-23,108,67,21,7,2,3
2021-04-24,118,62,27,7,1,3
2021-04-25,110,,,,,
2021-04-27,,81,21,7,2,3
2021-04-28,150,70,23,7,1,3
2021-04-29,128,61,35,7,0,3
2021-04-30,107,57,22,7,0,4
2021-05-01,98,63,23,7,0,3
2021-05-02,100,66,23,7,1,3
2021-05-03,112,73,28,8,1,3
2021-05-04,130,74,31,7,1,3
2021-05-05,130,76,33,8,1,3
2021-05-06,134,71,32,7,1,4
2021-05-07,126,64,33,7,3,2
2021-05-08,113,73,37,9,0,3
2021-05-09,126,68,37,8,1,3
2021-05-10,120,63,30,8,1,3
2021-05-11,109,,,,,
2021-05-24,,72,17,9,2,5
2021-05-25,113,80,19,5,2,2
2021-05-26,144,65,19,5,2,3
2021-05-27,117,68,15,5,1,3
2021-05-28,120,57,22,5,2,3
2021-05-29,101,68,23,5,1,3
2021-05-30,120,63,18,5,0,4
2021-05-31,90,65,20,5,2,3
2021-06-01,110,66,21,4,1,3
2021-06-02,115,71,19,5,2,2
2021-06-03,130,66,13,5,1,3
2021-06-04,107,55,8,5,1,2
2021-06-05,100,51,10,6,1,3
2021-06-06,87,,,,,
2021-06-13,,69,22,6,2,2
2021-06-14,123,64,16,6,1,2
2021-06-15,110,65,12,6,1,2
2021-06-16,107,57,14,7,0,2
2021-06-17,96,61,14,7,1,3
2021-06-18,102,61,16,6,1,2
2021-06-19,103,65,17,6,2,2
2021-06-20,108,61,14,7,1,2
2021-06-21,96,56,15,7,1,2
2021-06-22,89,49,8,7,1,4
2021-06-23,79,41,43,6,2,2
2021-06-24,69,32,22,5,1,2
2021-06-25,59,38,14,6,0,4
2021-06-26,64,36,6,6,0,3
2021-06-27,59,54,24,8,1,3
2021-06-28,83,58,25,7,1,2
2021-06-29,88,66,20,7,1,3
2021-06-30,83,66,20,5,2,2
2021-07-01,,54,24,8,1,3
2021-07-01,88,,,,,
2021-07-02,83,58,25,7,1,2
