time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,85,50,14,8,2,5
2021-01-02,84,53,18,8,2,4
2021-01-03,89,47,17,7,2,3
2021-01-04,85,49,16,7,3,3
2021-01-05,85,,,,,
2021-04-01,,113,16,30,14,17
2021-04-02,182,118,25,25,16,12
2021-04-03,191,107,30,19,15,9
2021-04-04,177,99,27,15,16,8
2021-04-05,169,104,14,14,18,11
2021-04-06,181,84,17,11,18,8
2021-04-07,163,85,21,15,17,11
2021-04-08,161,107,21,19,17,12
2021-04-09,172,91,32,20,20,12
2021-04-10,151,92,23,21,18,15
2021-04-11,146,82,26,16,19,13
2021-04-12,140,95,23,21,14,14
2021-04-13,147,96,26,22,13,15
2021-04-14,154,100,34,21,13,11
2021-04-15,161,90,32,20,12,10
2021-04-16,163,109,36,21,13,15
2021-04-17,177,107,33,22,12,10
2021-04-18,173,92,30,17,12,15
2021-04-19,154,82,29,19,11,12
2021-04-20,140,91,29,17,12,9
2021-04-21,155,133,31,16,11,8
2021-04-22,173,95,34,18,10,13
2021-04-23,157,87,37,19,10,11
2021-04-24,150,107,27,23,15,13
2021-04-25,160,96,33,20,12,12
2021-04-26,163,97,31,20,12,16
2021-04-27,158,95,23,23,12,13
2021-04-28,162,89,31,23,11,13
2021-04-29,151,93,24,26,9,16
2021-04-30,159,84,20,25,9,11
2021-05-01,152,101,22,27,9,14
2021-05-02,156,79,24,18,8,12
2021-05-03,135,86,28,21,8,8
2021-05-04,154,81,28,23,9,13
2021-05-05,141,86,30,23,11,13
2021-05-06,145,88,27,25,11,12
2021-05-07,150,90,31,25,9,13
2021-05-08,152,92,34,20,9,17
2021-05-09,154,97,25,24,8,15
2021-05-10,150,98,28,26,10,16
2021-05-11,163,101,106,23,10,14
2021-05-12,160,85,32,21,6,11
2021-05-13,159,91,32,23,9,10
2021-05-14,156,103,28,21,10,14
2021-05-15,150,92,29,21,9,15
2021-05-16,152,95,33,18,10,17
2021-05-17,148,88,27,23,8,12
2021-05-18,141,94,28,25,10,14
2021-05-19,153,106,39,25,8,13
2021-05-20,153,97,34,24,7,12
2021-05-21,157,92,33,23,9,14
2021-05-22,147,89,30,22,11,10
2021-05-23,148,77,23,21,13,12
2021-05-24,128,86,24,12,10,12
2021-05-25,135,75,20,8,5,8
2021-05-26,130,81,24,10,21,9
2021-05-27,144,92,23,10,15,11
2021-05-28,140,109,39,12,15,12
2021-05-29,151,99,32,12,19,10
2021-05-30,135,88,26,10,17,9
2021-05-31,136,84,26,10,20,11
2021-06-01,118,92,21,10,14,8
2021-06-02,142,86,24,9,5,7
2021-06-03,136,86,19,9,6,6
2021-06-04,135,87,18,10,5,11
2021-06-05,134,71,16,8,6,8
2021-06-06,123,89,27,9,13,6
2021-06-07,147,87,21,11,10,6
2021-06-08,144,102,30,21,7,8
2021-06-09,154,100,38,16,4,4
2021-06-10,146,95,36,20,5,6
2021-06-11,138,107,35,14,9,7
2021-06-12,143,110,36,12,6,7
2021-06-13,155,106,22,12,4,8
2021-06-14,158,107,25,14,8,11
2021-06-15,154,121,38,24,10,9
2021-06-16,159,117,36,23,10,7
2021-06-17,160,114,21,8,9,6
2021-06-18,148,93,29,9,9,7
2021-06-19,154,99,32,7,11,4
2021-06-20,150,74,31,7,7,4
2021-06-21,117,79,30,8,8,6
2021-06-22,130,88,30,7,8,7
2021-06-23,137,91,28,6,9,4
2021-06-24,147,91,43,4,9,2
2021-06-25,142,91,32,7,16,5
2021-06-26,129,124,31,14,8,3
2021-06-27,154,105,36,19,7,7
2021-06-28,152,80,35,17,7,4
2021-06-29,130,84,42,19,8,6
2021-06-30,132,96,41,18,8,5
2021-07-01,,105,36,19,7,7
2021-07-01,124,,,,,
2021-07-02,152,80,35,17,7,4
2021-07-03,130,84,42,19,8,6
2021-07-04,132,96,41,18,8,5
2021-07-05,124,81,25,17,6,5
2021-07-06,128,77,26,15,4,4
2021-07-07,136,72,22,16,4,4
2021-07-08,130,90,33,12,7,12
2021-07-09,140,73,41,18,6,9
2021-07-10,137,73,44,13,6,7
2021-07-11,129,66,50,13,7,7
2021-07-12,130,64,38,16,5,10
2021-07-13,122,64,23,9,4,6
2021-07-14,122,59,19,14,3,7
2021-07-15,127,71,22,13,5,8
2021-07-16,127,75,13,9,4,4
2021-07-17,120,76,20,4,4,3
2021-07-18,118,68,23,6,4,3
2021-07-19,114,68,17,10,3,5
2021-07-20,111,66,17,5,3,4
2021-07-21,100,93,19,3,3,3
2021-07-22,139,79,21,7,6,2
2021-07-23,140,75,19,6,4,4
2021-07-24,128,88,21,8,6,3
2021-07-25,135,67,23,8,4,3
2021-07-26,113,68,24,8,4,3
2021-07-27,120,63,25,9,5,2
2021-07-28,110,122,22,7,4,3
2021-07-29,140,85,23,7,5,2
2021-07-30,127,62,22,8,4,4
2021-07-31,127,55,21,11,5,3
2021-08-01,109,73,16,7,5,4
2021-08-02,106,49,16,7,20,6
2021-08-03,80,57,14,4,3,4
2021-08-04,91,56,16,6,4,3
2021-08-05,84,57,15,6,4,4
2021-08-06,109,196,20,5,5,4
2021-08-07,161,81,21,8,4,6
2021-08-08,120,89,23,5,4,4
2021-08-09,133,79,16,4,4,5
2021-08-10,114,56,15,4,4,4
2021-08-11,77,77,17,3,5,5
2021-08-12,80,82,19,4,4,5
2021-08-13,113,95,18,4,4,4
2021-08-14,127,87,20,5,4,4
2021-08-15,125,77,23,6,5,6
2021-08-16,117,56,7,23,4,8
2021-08-17,81,34,11,10,4,8
2021-08-18,58,28,18,2,4,6
2021-08-19,54,64,17,12,2,5
2021-08-20,90,79,17,13,4,5
2021-08-21,126,72,29,13,3,5
2021-08-22,101,81,26,12,3,4
2021-08-23,132,86,25,12,3,3
2021-08-24,147,78,26,29,3,4
2021-08-25,125,62,18,23,3,6
2021-08-26,92,58,18,5,5,6
2021-08-27,89,66,18,5,4,8
2021-08-28,92,68,23,4,4,7
2021-08-29,117,72,26,5,1,2
2021-08-30,127,76,31,5,2,4
2021-08-31,136,61,25,4,4,6
2021-09-01,113,57,31,4,4,7
2021-09-02,103,54,30,3,5,7
2021-09-03,100,50,11,3,6,7
2021-09-04,103,41,4,3,6,7
2021-09-05,83,32,3,22,7,8
2021-09-06,81,56,4,4,6,7
2021-09-07,99,50,13,4,7,5
2021-09-08,95,51,11,5,3,7
2021-09-09,82,50,11,5,3,6
2021-09-10,85,45,11,5,3,7
2021-09-11,75,48,11,5,3,6
2021-09-12,84,54,10,4,3,6
2021-09-13,73,64,9,5,3,8
2021-09-14,111,64,22,8,13,5
2021-09-15,120,61,8,7,7,3
2021-09-16,118,48,8,7,7,4
2021-09-17,108,46,17,8,6,4
2021-09-18,80,43,10,9,7,4
2021-09-19,77,48,9,7,7,3
2021-09-20,78,79,9,8,7,4
2021-09-21,124,78,9,7,6,4
2021-09-22,122,94,9,6,7,5
2021-09-23,148,87,9,5,7,4
2021-09-24,139,72,9,3,7,4
2021-09-25,120,68,9,2,7,3
2021-09-26,115,57,9,2,7,3
2021-09-27,109,54,9,3,8,4
2021-09-28,100,70,15,5,9,13
2021-09-29,103,74,6,9,5,7
2021-09-30,,70,5,9,4,7
2021-09-30,101,70,5,9,4,7
2021-10-01,101,73,5,9,3,7
2021-10-01,101,73,5,9,3,7
2021-10-02,112,70,7,6,2,7
2021-10-02,112,70,7,6,2,7
2021-10-03,108,75,6,3,3,6
2021-10-03,108,75,6,3,3,6
2021-10-04,120,79,5,6,3,7
2021-10-04,120,,,,,
2021-10-05,115,77,4,5,2,6
2021-10-06,126,90,4,6,2,4
2021-10-07,129,73,25,7,6,7
2021-10-08,113,79,6,10,2,4
2021-10-09,125,70,5,12,3,4
2021-10-10,115,53,5,10,3,4
2021-10-11,102,116,7,15,4,7
2021-10-12,123,56,5,7,3,6
2021-10-13,85,38,6,5,2,4
2021-10-14,69,38,6,8,2,5
2021-10-15,71,60,5,8,2,6
2021-10-16,104,43,6,6,2,3
2021-10-17,85,37,5,4,2,2
2021-10-18,70,36,6,6,2,2
2021-10-19,61,45,6,6,2,5
2021-10-20,71,56,10,7,2,4
2021-10-21,90,105,52,6,5,6
2021-10-22,139,64,9,8,3,7
2021-10-23,105,62,7,9,3,7
2021-10-24,115,54,7,8,3,4
2021-10-25,97,48,7,7,3,5
2021-10-26,92,63,7,8,3,5
2021-10-27,108,43,6,8,3,5
2021-10-28,73,26,31,6,7,6
2021-10-29,63,51,6,6,2,4
2021-10-30,106,70,8,4,1,3
2021-10-31,125,55,6,5,2,3
2021-11-01,111,71,6,4,1,4
2021-11-02,109,72,7,4,1,3
2021-11-03,108,79,6,4,1,4
2021-11-04,118,86,12,4,8,8
2021-11-05,132,85,6,11,2,4
2021-11-06,141,89,6,11,3,4
2021-11-07,148,76,6,11,2,3
2021-11-08,140,87,6,12,3,4
2021-11-09,139,73,9,10,2,4
2021-11-10,113,66,7,9,3,3
2021-11-11,99,65,7,10,4,4
2021-11-12,104,66,6,11,4,4
2021-11-13,106,65,5,16,4,4
2021-11-14,110,62,6,20,4,2
2021-11-15,102,74,17,14,7,8
2021-11-16,114,63,9,13,3,3
2021-11-17,105,61,7,18,3,4
2021-11-18,101,59,6,23,3,3
2021-11-19,96,68,6,22,3,4
2021-11-20,108,65,7,21,3,3
2021-11-21,104,55,7,22,4,2
2021-11-22,90,62,12,22,3,2
2021-11-23,106,60,15,21,3,3
2021-11-24,109,55,15,15,5,4
2021-11-25,97,70,29,19,6,3
2021-11-26,106,85,6,23,2,4
2021-11-27,121,94,6,22,3,3
2021-11-28,151,72,9,23,3,2
2021-11-29,131,57,6,24,3,4
2021-11-30,123,52,3,19,3,3
2021-12-01,105,55,3,3,6,4
2021-12-02,86,50,3,6,3,3
2021-12-03,73,55,4,11,6,3
2021-12-04,87,50,4,16,3,3
2021-12-05,78,53,4,14,3,4
2021-12-06,92,47,3,9,3,5
2021-12-07,79,56,3,11,3,5
2021-12-08,93,49,9,9,4,6
2021-12-09,86,35,3,7,3,5
2021-12-10,70,43,3,5,2,5
2021-12-11,84,52,3,5,2,5
2021-12-12,87,54,4,5,2,5
2021-12-13,94,64,3,4,3,5
2021-12-14,110,52,27,4,3,3
2021-12-15,97,48,8,2,6,5
2021-12-16,86,47,6,12,4,3
2021-12-17,95,47,5,14,3,4
2021-12-18,93,44,7,7,3,4
2021-12-19,95,44,6,8,3,4
2021-12-20,96,62,6,11,4,5
2021-12-21,103,56,5,11,3,4
2021-12-22,103,55,6,11,3,4
2021-12-23,98,65,9,5,4,6
2021-12-24,104,66,14,7,4,4
2021-12-25,95,49,12,10,4,3
2021-12-26,78,33,9,12,5,3
2021-12-27,64,56,12,15,4,4
2021-12-28,87,64,23,16,7,5
2021-12-29,98,80,13,15,5,5
2021-12-30,,45,14,14,5,3
2021-12-30,118,61,15,15,5,5
2021-12-31,82,35,10,18,4,2
2021-12-31,99,45,14,14,5,3
2022-01-01,76,46,15,25,4,2
2022-01-01,82,35,10,18,4,2
2022-01-02,79,61,12,20,5,2
2022-01-02,76,46,15,25,4,2
2022-01-03,85,57,14,8,4,3
2022-01-03,79,,,,,
2022-01-04,86,66,20,7,4,7
2022-01-05,110,65,15,11,6,2
2022-01-06,113,67,14,12,4,3
2022-01-07,115,68,12,12,4,3
2022-01-08,120,64,14,12,4,1
2022-01-09,115,66,15,11,4,3
2022-01-10,130,67,12,10,4,3
2022-01-11,126,66,13,8,4,4
2022-01-12,121,81,15,17,4,4
2022-01-13,140,82,19,20,5,4
2022-01-14,137,75,20,16,4,5
2022-01-15,122,73,13,17,4,3
2022-01-16,140,76,19,22,4,6
2022-01-17,143,85,21,22,3,5
2022-01-18,149,81,20,16,4,6
2022-01-19,139,69,22,17,4,5
2022-01-20,121,69,17,27,4,5
2022-01-21,129,59,15,10,4,4
2022-01-22,105,69,15,10,4,4
2022-01-23,122,78,11,13,4,3
2022-01-24,127,92,21,15,4,5
2022-01-25,150,92,22,15,4,6
2022-01-26,156,92,20,17,5,7
2022-01-27,150,77,6,23,4,3
2022-01-28,128,86,26,14,3,12
2022-01-29,138,84,21,20,4,7
2022-01-30,126,89,27,31,4,7
2022-01-31,142,93,26,34,5,8
2022-02-01,150,96,23,34,9,8
2022-02-02,156,120,27,36,11,8
2022-02-03,181,145,35,36,7,8
2022-02-04,207,115,30,41,8,8
2022-02-05,177,107,29,35,9,8
2022-02-06,169,101,21,30,7,9
2022-02-07,163,89,23,20,15,10
2022-02-08,137,86,18,19,13,10
2022-02-09,149,89,17,17,12,10
2022-02-10,144,98,18,17,14,11
