time,pm25,pm10,O3,NO2,SO2,CO
2022-09-29,,,67,1,9,10
2022-09-30,,7,40,4,10,12
2022-10-01,,7,10,3,11,10
2022-10-02,,2,13,2,11,10
2022-10-03,,2,15,4,11,11
2022-10-05,,,30,1,11,10
2022-10-06,,31,43,2,11,11
2022-10-07,,31,100,5,11,13
2022-10-08,,26,13,4,12,12
2022-10-09,,18,16,4,12,11
2022-10-10,,19,24,4,12,11
2022-10-11,,19,27,4,12,11
2022-10-12,,19,39,2,13,11
2022-10-13,,18,30,7,12,13
2022-10-14,,19,10,7,14,13
2022-10-15,,19,11,5,14,12
2022-10-16,,18,16,4,14,12
2022-10-17,,18,,,,
2022-12-27,,,11,5,14,12
2022-12-28,,18,16,4,14,12
2022-12-29,,18,13,5,14,12
2022-12-30,,,29,4,14,11
2023-01-01,,,,8,14,12
2023-01-02,,,14,2,14,11
2023-01-03,,19,15,5,15,12
2023-01-04,,19,21,4,15,12
2023-01-05,,19,22,3,15,11
2023-01-06,,19,,,,
2023-01-07,,,36,3,16,12
2023-01-08,,18,45,4,16,12
2023-01-09,,17,33,5,16,12
2023-01-10,,18,22,4,16,13
2023-01-11,,18,33,,17,12
2023-01-12,,18,,,,
2023-01-19,,,45,5,19,16
2023-01-20,,18,92,5,18,13
2023-01-21,,18,87,11,18,15
2023-01-22,,18,31,13,19,16
2023-01-23,,18,77,10,19,15
2023-01-24,,19,89,6,19,14
2023-01-25,,19,,7,19,14
2023-01-26,,20,,,,
2023-01-27,,,,6,19,15
2023-01-28,,19,,7,19,15
2023-01-29,,19,25,,,
2023-02-03,,,,11,20,16
2023-02-04,,18,43,10,22,16
2023-02-05,,18,49,11,22,16
2023-02-06,,18,38,9,22,16
2023-02-07,,18,71,,,
2023-02-09,,,,9,23,16
2023-02-10,,20,76,6,23,14
2023-02-11,,20,,6,24,15
2023-02-12,,19,4,12,24,17
2023-02-13,,19,14,12,25,17
2023-02-14,,19,31,14,25,17
2023-02-15,,20,86,11,24,17
2023-02-16,,19,,12,24,17
2023-02-17,,18,,11,24,19
2023-02-18,,,,12,25,18
2023-02-19,,,,7,25,16
2023-02-20,,,,8,25,17
2023-02-21,,,50,,,
2023-02-22,,18,,,,
2023-02-23,,,,6,26,16
2023-02-24,,,,5,25,16
2023-02-25,,19,,,,
2023-02-26,,19,,,,
2023-03-01,,,,9,27,16
2023-03-02,,,,8,28,16
2023-03-03,,19,,8,29,17
2023-03-04,,18,,20,30,20
2023-03-05,,19,34,12,30,18
2023-03-06,,18,98,5,30,17
2023-03-07,,18,98,17,30,18
2023-03-08,,20,21,5,30,15
2023-03-09,,18,,10,31,19
2023-03-10,,17,98,4,32,17
2023-03-11,,17,,6,33,16
2023-03-12,,18,33,5,34,17
2023-03-13,,18,39,,,
2023-03-14,,18,,,,
2023-03-15,,,,9,33,18
2023-03-16,,,62,15,33,18
2023-03-17,,18,97,9,33,17
2023-03-18,,18,,12,34,18
2023-03-19,,18,17,9,34,18
2023-03-20,,19,84,15,35,19
2023-03-21,,18,,12,35,19
2023-03-22,,19,,11,36,18
2023-03-23,,18,,8,36,17
2023-03-24,,18,,7,36,18
2023-03-25,,17,,7,37,17
2023-03-26,,18,99,7,36,17
2023-03-27,,18,,11,36,18
2023-03-28,,,,12,35,19
2023-03-28,,17,91,9,36,18
2023-03-29,,19,,11,35,18
2023-03-29,,19,,,,
2023-03-30,,18,,13,36,19
2023-03-30,,18,,,,
2023-03-31,,19,96,12,36,18
2023-04-01,,18,,9,36,19
2023-04-02,,10,29,1,3,1
2023-04-02,,19,,9,37,19
2023-04-03,,8,29,1,3,1
2023-04-03,,17,,10,36,19
2023-04-04,,9,29,1,3,1
2023-04-04,,18,,13,36,20
2023-04-05,,12,29,1,3,2
2023-04-05,,18,,10,36,19
2023-04-06,,12,29,1,3,2
2023-04-06,,17,,11,37,19
2023-04-07,,16,29,1,3,3
2023-04-07,,19,,11,37,19
2023-04-08,,18,,,,
2023-04-09,,20,29,1,3,4
2023-04-10,,17,29,1,3,2
2023-04-11,,20,29,1,3,2
2023-04-12,,22,29,1,3,4
2023-04-12,,,,14,38,20
2023-04-13,,18,29,1,3,1
2023-04-13,,18,,10,37,20
2023-04-14,,20,29,1,3,3
2023-04-14,,18,,9,37,19
2023-04-15,,18,,8,37,20
2023-04-16,,15,29,1,3,1
2023-04-16,,19,,12,37,20
2023-04-17,,13,29,1,3,2
2023-04-17,,19,,12,37,20
2023-04-18,,16,29,1,3,3
2023-04-18,,19,,,,
2023-04-19,,13,29,1,4,1
2023-04-20,,14,29,1,4,2
2023-04-20,,,,10,38,19
2023-04-21,,19,29,1,4,3
2023-04-21,,17,,6,38,18
2023-04-22,,,,7,38,18
2023-04-23,,14,29,2,4,2
2023-04-23,,19,,12,39,22
2023-04-24,,15,29,1,4,3
2023-04-24,,19,,8,39,19
2023-04-25,,20,,8,39,19
2023-04-26,,19,,10,39,21
2023-04-27,,19,,7,40,19
2023-04-28,,17,,8,40,20
2023-04-29,,17,,8,40,20
2023-04-30,,18,,11,39,20
2023-05-01,,19,,2,40,18
2023-05-02,,18,,,,
2023-05-06,,,,6,41,19
2023-05-07,,18,,4,41,19
2023-05-08,,18,,7,41,20
2023-05-09,,17,,6,41,20
2023-05-10,,18,,6,41,19
2023-05-11,,18,,7,42,20
2023-05-12,,18,,9,41,20
2023-05-13,,19,,9,42,20
