time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,93,67,40,3,1,4
2021-01-01,92,59,40,2,1,4
2021-01-02,100,66,46,4,1,4
2021-01-02,93,67,40,3,1,4
2021-01-03,99,71,47,4,1,4
2021-01-03,100,66,46,4,1,4
2021-01-04,115,70,55,5,1,4
2021-01-04,99,71,47,4,1,4
2021-01-05,105,85,71,6,2,5
2021-01-05,115,,,,,
2021-01-06,124,83,71,6,2,5
2021-01-07,131,89,70,7,1,5
2021-01-08,131,94,75,6,2,5
2021-01-09,139,95,71,9,4,6
2021-01-10,142,96,78,8,2,6
2021-01-11,148,97,75,9,2,6
2021-01-12,147,82,40,6,2,6
2021-01-13,148,78,42,5,2,6
2021-01-14,142,66,26,5,1,6
2021-01-15,111,59,26,7,2,6
2021-01-16,105,66,35,9,2,8
2021-01-17,121,66,49,5,1,6
2021-01-18,124,52,62,4,1,6
2021-01-19,113,88,56,5,2,6
2021-01-20,153,99,65,9,2,7
2021-01-21,157,87,67,8,1,6
2021-01-22,150,64,67,5,2,4
2021-01-23,105,67,65,6,1,3
2021-01-24,87,66,69,5,2,3
2021-01-25,87,69,73,5,1,4
2021-01-26,102,73,67,6,3,4
2021-01-27,108,106,76,10,3,6
2021-01-28,148,102,76,11,2,6
2021-01-29,147,103,81,8,2,6
2021-01-30,151,116,78,11,2,7
2021-01-31,160,121,67,12,2,7
2021-02-01,163,118,81,14,2,9
2021-02-02,165,109,58,16,3,9
2021-02-03,151,103,67,14,2,8
2021-02-04,142,105,81,18,3,9
2021-02-05,143,108,90,20,2,10
2021-02-06,149,117,86,20,3,10
2021-02-07,167,135,26,28,2,15
2021-02-08,183,141,83,20,2,12
2021-02-09,185,132,83,18,3,11
2021-02-10,181,156,95,16,3,11
2021-02-11,202,116,65,17,4,11
2021-02-12,170,81,59,8,3,7
2021-02-13,141,154,58,11,12,7
2021-02-14,202,128,43,12,7,7
2021-02-15,178,66,66,9,7,6
2021-02-16,130,74,65,7,7,6
2021-02-17,144,76,52,8,5,7
2021-02-18,148,72,58,8,6,6
2021-02-19,138,79,64,7,4,5
2021-02-20,162,82,90,10,5,6
2021-02-21,161,76,85,10,5,5
2021-02-22,149,88,89,12,8,7
2021-02-23,156,94,70,18,7,10
2021-02-24,153,100,70,14,12,7
2021-02-25,168,90,70,12,8,6
2021-02-26,163,86,62,7,3,5
2021-02-27,162,69,61,11,3,5
2021-02-28,128,68,58,11,4,5
2021-03-01,123,78,57,14,4,7
2021-03-02,126,92,53,17,5,8
2021-03-03,139,115,64,20,5,11
2021-03-04,150,175,67,21,6,16
2021-03-05,177,149,63,20,5,13
2021-03-06,158,132,69,24,6,14
2021-03-07,151,120,73,23,6,13
2021-03-08,159,102,68,21,5,12
2021-03-09,149,120,74,22,7,14
2021-03-10,159,140,72,21,8,16
2021-03-11,171,114,70,18,8,11
2021-03-12,163,67,35,10,3,7
2021-03-13,151,66,52,8,3,6
2021-03-14,154,69,37,9,3,6
2021-03-15,157,76,24,7,3,7
2021-03-16,164,98,27,7,3,7
2021-03-17,178,93,43,9,3,6
2021-03-18,172,101,58,11,3,6
2021-03-19,174,84,59,12,4,5
2021-03-20,161,90,52,15,5,6
2021-03-21,143,103,47,16,3,10
2021-03-22,147,104,42,16,3,11
2021-03-23,146,119,52,18,4,12
2021-03-24,160,122,64,19,6,11
2021-03-25,160,111,55,15,6,10
2021-03-26,157,91,61,10,5,5
2021-03-27,157,90,75,11,7,6
2021-03-28,155,99,64,11,5,6
2021-03-29,160,144,43,9,4,4
2021-03-30,136,111,53,9,4,5
2021-03-31,131,102,48,11,5,6
2021-04-01,,115,38,10,5,8
2021-04-01,157,118,48,13,5,7
2021-04-02,181,97,46,11,3,8
2021-04-02,177,129,58,11,9,7
2021-04-03,162,116,54,15,2,10
2021-04-03,188,120,63,12,8,8
2021-04-04,181,107,39,12,1,8
2021-04-04,180,123,64,11,7,10
2021-04-05,184,114,50,9,2,8
2021-04-05,185,,,,,
2021-04-06,181,65,35,8,1,7
2021-04-07,143,80,29,7,0,5
2021-04-08,162,99,30,10,1,8
2021-04-09,170,78,45,11,1,6
2021-04-10,153,77,52,13,4,7
2021-04-11,131,74,46,11,2,5
2021-04-12,114,75,64,10,5,5
2021-04-13,116,85,49,12,4,6
2021-04-14,127,97,56,10,7,6
2021-04-15,148,100,51,9,5,6
2021-04-16,158,111,65,10,3,8
2021-04-17,181,103,61,12,3,8
2021-04-18,171,123,46,17,1,11
2021-04-19,153,124,55,16,2,9
2021-04-20,143,115,62,14,3,8
2021-04-21,164,144,52,10,3,5
2021-04-22,161,130,55,9,2,6
2021-04-23,164,95,50,10,2,5
2021-04-24,156,90,63,6,2,4
2021-04-25,151,89,54,8,2,5
2021-04-26,149,96,54,11,2,5
2021-04-27,149,100,37,14,2,7
2021-04-28,144,129,51,16,2,11
2021-04-29,156,166,48,18,2,14
2021-04-30,170,165,44,19,3,12
2021-05-01,173,122,31,17,4,9
2021-05-02,153,155,10,16,5,8
2021-05-03,163,87,47,8,3,5
2021-05-04,142,74,53,9,2,4
2021-05-05,127,81,50,12,2,5
2021-05-06,119,105,47,13,3,7
2021-05-07,129,166,50,16,3,31
2021-05-08,169,133,45,17,3,12
2021-05-09,156,120,37,15,4,9
2021-05-10,150,106,29,12,3,8
2021-05-11,129,132,22,17,3,9
2021-05-12,142,129,5,14,3,9
2021-05-13,156,125,82,14,5,10
2021-05-14,162,94,80,9,4,5
2021-05-15,135,117,98,13,3,7
2021-05-16,151,94,71,9,3,5
2021-05-17,132,80,61,9,1,6
2021-05-18,134,84,55,11,2,5
2021-05-19,124,105,67,12,2,7
2021-05-20,145,194,69,20,3,16
2021-05-21,193,143,67,14,3,8
2021-05-22,154,128,64,12,3,7
2021-05-23,151,106,63,8,3,7
2021-05-24,149,109,44,9,4,5
2021-05-25,126,118,37,8,3,5
2021-05-26,134,107,39,7,3,5
2021-05-27,121,95,39,6,2,5
2021-05-28,123,103,59,10,2,7
2021-05-29,128,148,78,17,3,12
2021-05-30,169,127,52,10,1,5
2021-05-31,137,110,46,12,2,7
2021-06-01,131,116,49,13,2,9
2021-06-02,155,110,71,10,5,7
2021-06-03,147,88,41,5,3,3
2021-06-04,114,119,41,9,3,7
2021-06-05,131,95,42,9,3,10
2021-06-06,132,130,57,14,3,13
2021-06-07,156,94,67,5,3,6
2021-06-08,134,67,57,7,1,7
2021-06-09,107,117,60,13,2,10
2021-06-10,130,114,70,11,4,10
2021-06-11,167,99,71,10,3,8
2021-06-12,157,115,71,8,3,7
2021-06-13,142,87,73,7,2,8
2021-06-14,152,72,57,6,2,6
2021-06-15,135,83,64,7,2,7
2021-06-16,129,79,57,7,3,5
2021-06-17,122,116,70,8,5,6
2021-06-18,154,117,59,6,3,4
2021-06-19,148,108,56,6,3,5
2021-06-20,140,100,58,6,3,5
2021-06-21,122,134,53,9,2,8
2021-06-22,127,130,52,12,3,11
2021-06-23,174,112,52,9,4,8
2021-06-24,165,122,66,8,6,9
2021-06-25,178,101,47,3,5,4
2021-06-26,148,146,45,4,6,5
2021-06-27,155,150,86,10,5,7
2021-06-28,177,130,79,10,7,8
2021-06-29,187,132,76,11,7,10
2021-06-30,188,111,92,8,6,9
2021-07-01,,150,86,10,5,7
2021-07-01,180,,,,,
2021-07-02,177,130,79,10,7,8
2021-07-03,187,132,76,11,7,10
2021-07-04,188,111,92,8,6,9
2021-07-05,180,126,67,9,6,8
2021-07-06,194,111,67,5,6,5
2021-07-07,161,99,47,7,5,5
2021-07-08,159,171,59,8,5,7
2021-07-09,171,127,67,7,5,6
2021-07-10,152,120,83,6,5,6
2021-07-11,169,114,72,6,4,8
2021-07-12,168,78,84,5,3,5
2021-07-13,124,113,68,8,5,7
2021-07-14,159,90,55,5,3,4
2021-07-15,136,84,64,6,4,6
2021-07-16,137,98,53,4,4,6
2021-07-17,136,99,37,3,4,4
2021-07-18,109,93,56,5,3,5
2021-07-19,128,103,51,,3,3
2021-07-20,120,84,39,2,4,3
2021-07-21,96,102,42,3,5,4
2021-07-22,154,105,55,5,3,5
2021-07-23,157,97,48,4,4,5
2021-07-24,122,90,50,3,5,4
2021-07-25,165,61,55,4,2,4
2021-07-26,85,87,64,6,3,9
2021-07-27,125,87,61,6,3,9
2021-07-28,127,87,70,3,3,4
2021-07-29,117,95,61,4,3,4
2021-07-30,123,108,70,3,4,4
2021-07-31,121,92,57,4,4,4
2021-08-01,124,73,55,2,3,6
2021-08-02,99,62,45,4,2,4
2021-08-03,88,61,32,2,1,4
2021-08-04,111,68,33,3,2,4
2021-08-05,110,88,41,2,1,3
2021-08-06,114,87,45,3,2,5
2021-08-07,102,84,46,3,3,7
2021-08-08,111,110,45,3,2,6
2021-08-09,143,78,38,3,3,3
2021-08-10,138,70,35,4,3,2
2021-08-11,83,82,38,5,3,2
2021-08-12,82,85,41,5,2,3
2021-08-13,110,81,52,4,2,3
2021-08-14,107,90,54,4,2,4
2021-08-15,115,99,42,4,2,4
2021-08-16,98,30,37,4,1,4
2021-08-17,48,40,26,5,1,4
2021-08-18,52,45,40,4,0,3
2021-08-19,52,37,78,4,0,3
2021-08-20,48,82,51,5,1,3
2021-08-21,111,62,55,4,1,2
2021-08-22,77,64,45,3,1,2
2021-08-23,80,69,56,3,1,2
2021-08-24,83,99,49,3,1,3
2021-08-25,101,78,38,3,2,2
2021-08-26,87,69,38,3,1,3
2021-08-27,80,61,43,3,1,3
2021-08-28,91,54,44,4,0,3
2021-08-29,76,58,40,4,1,3
2021-08-30,69,76,33,6,1,2
2021-08-31,83,81,39,4,1,3
2021-09-01,115,66,39,6,1,2
2021-09-02,67,53,47,8,0,3
2021-09-03,54,53,56,7,0,2
2021-09-04,52,93,26,7,0,4
2021-09-05,95,47,35,7,1,1
2021-09-06,51,55,39,8,1,3
2021-09-07,56,72,38,8,1,3
2021-09-08,86,66,34,5,1,3
2021-09-09,94,68,37,3,1,2
2021-09-10,64,98,29,7,0,2
2021-09-11,77,83,34,6,1,2
2021-09-12,71,55,18,3,1,3
2021-09-13,55,74,27,3,0,2
2021-09-14,80,68,37,3,0,3
2021-09-15,84,86,31,4,1,3
2021-09-16,82,73,34,3,0,3
2021-09-17,89,73,32,4,0,4
2021-09-18,71,78,30,6,0,2
2021-09-19,70,60,30,4,0,3
2021-09-20,60,73,31,4,0,4
2021-09-21,73,89,32,4,1,3
2021-09-22,82,84,35,4,1,4
2021-09-23,83,72,33,4,1,4
2021-09-24,69,62,34,4,1,4
2021-09-25,56,58,34,5,1,5
2021-09-26,54,66,45,5,1,4
2021-09-27,56,59,44,4,1,4
2021-09-28,54,65,37,4,1,3
2021-09-29,52,71,33,4,1,4
2021-09-30,,61,25,3,1,4
2021-09-30,65,61,25,3,1,4
2021-10-01,64,66,28,3,1,5
2021-10-01,64,66,28,3,1,5
2021-10-02,72,76,26,4,1,4
2021-10-02,72,76,26,4,1,4
2021-10-03,67,67,26,5,1,5
2021-10-03,67,67,26,5,1,5
2021-10-04,60,60,27,5,1,5
2021-10-04,60,,,,,
2021-10-05,56,68,32,4,1,4
2021-10-06,66,82,35,5,1,6
2021-10-07,86,75,31,5,1,5
2021-10-08,75,69,32,5,1,4
2021-10-09,73,64,43,4,1,4
2021-10-10,67,40,40,4,0,4
2021-10-11,51,30,33,5,0,5
2021-10-12,66,39,31,6,1,5
2021-10-13,46,102,29,4,0,6
