time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,107,110,39,10,8,3
2021-01-02,140,93,37,10,8,3
2021-01-03,151,104,20,9,11,2
2021-01-04,118,52,16,5,7,1
2021-01-05,81,42,16,5,5,2
2021-01-06,74,62,19,6,6,2
2021-01-07,100,64,19,12,7,2
2021-01-08,114,74,19,17,8,3
2021-01-09,118,124,25,18,2,3
2021-01-10,164,20,8,5,1,2
2021-01-11,35,15,25,8,7,2
2021-01-12,47,23,13,5,5,2
2021-01-13,53,29,11,13,3,6
2021-01-14,59,42,16,6,3,129
2021-01-15,59,45,11,10,0,3
2021-01-16,81,33,13,9,4,1
2021-01-17,59,32,23,10,14,3
2021-01-18,60,30,19,11,7,3
2021-01-19,73,32,13,8,15,3
2021-01-20,42,72,16,13,7,4
2021-01-21,115,114,20,26,6,3
2021-01-22,166,143,31,28,7,4
2021-01-23,193,142,35,31,10,4
2021-01-24,243,73,8,20,12,30
2021-01-25,153,64,11,17,9,5
2021-01-26,128,79,30,19,5,4
2021-01-27,137,84,25,20,9,5
2021-01-28,125,86,36,21,8,5
2021-01-29,125,115,42,29,9,4
2021-01-30,154,174,43,39,33,6
2021-01-31,168,154,41,28,118,4
2021-02-01,175,128,27,21,7,5
2021-02-02,157,73,29,10,9,5
2021-02-03,134,73,27,10,10,4
2021-02-04,143,96,33,8,9,4
2021-02-05,164,98,36,9,10,2
2021-02-06,160,100,41,10,11,4
2021-02-07,161,92,49,16,30,7
2021-02-08,150,96,44,20,11,7
2021-02-09,155,68,35,8,139,4
2021-02-10,119,25,13,8,4,5
2021-02-11,49,33,15,11,6,6
2021-02-12,57,52,23,9,7,4
2021-02-13,68,87,29,6,6,4
2021-02-14,128,70,34,5,7,4
2021-02-15,140,66,26,8,7,5
2021-02-16,131,78,35,8,6,6
2021-02-17,158,103,29,9,15,8
2021-02-18,163,93,19,9,,7
2021-02-19,140,108,23,12,4,10
2021-02-20,157,88,29,10,4,8
2021-02-21,151,79,34,6,5,6
2021-02-22,147,79,35,3,26,6
2021-02-23,159,77,39,3,4,6
2021-02-24,150,84,31,4,7,6
2021-02-25,154,51,5,5,9,4
2021-02-26,95,,,,,
2021-02-28,,84,37,4,9,6
2021-03-01,148,90,40,9,9,8
2021-03-02,168,76,42,5,9,6
2021-03-03,146,77,42,5,8,6
2021-03-04,146,81,41,5,31,6
2021-03-05,154,79,35,10,26,6
2021-03-06,153,84,35,14,23,5
2021-03-07,161,71,31,12,5,6
2021-03-08,143,70,31,17,20,6
2021-03-09,139,91,30,32,6,9
2021-03-10,142,134,40,37,8,12
2021-03-11,154,192,46,16,7,15
2021-03-12,184,187,40,14,19,16
2021-03-13,185,153,46,14,116,15
2021-03-14,178,155,63,14,40,16
2021-03-15,182,136,34,10,51,13
2021-03-16,177,94,28,4,6,9
2021-03-17,169,80,29,4,82,9
2021-03-18,155,87,37,3,7,9
2021-03-19,161,95,35,3,92,10
2021-03-20,169,95,35,2,148,12
2021-03-21,166,97,46,3,96,13
2021-03-22,163,165,46,7,88,16
2021-03-23,172,188,47,8,5,14
2021-03-24,178,168,50,7,21,14
2021-03-25,179,191,57,7,91,15
2021-03-26,186,179,54,6,39,13
2021-03-27,207,184,50,6,21,9
2021-03-28,232,172,49,5,50,9
2021-03-29,,95,36,14,5,6
2021-03-29,203,165,38,8,4,10
2021-03-30,163,103,18,17,7,6
2021-03-30,198,155,41,21,6,10
2021-03-31,163,86,18,16,11,7
2021-03-31,185,116,37,21,8,5
2021-04-01,158,88,17,10,10,6
2021-04-01,169,112,49,30,12,6
2021-04-02,146,62,12,14,10,4
2021-04-02,175,132,39,29,5,8
2021-04-03,106,69,14,16,10,5
2021-04-03,183,127,47,17,6,8
2021-04-04,131,108,15,32,11,11
2021-04-04,181,123,32,22,9,8
2021-04-05,140,170,22,40,10,14
2021-04-05,179,,,,,
2021-04-06,178,181,20,35,14,12
2021-04-07,171,186,17,33,12,18
