time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,69,12,10,6,2,3
2021-01-02,29,16,5,7,4,3
2021-01-03,33,32,8,8,2,3
2021-01-04,54,12,7,5,0,3
2021-01-05,24,22,8,5,0,3
2021-01-06,45,43,7,4,0,3
2021-01-07,68,60,5,11,,4
2021-01-08,74,44,15,8,,2
2021-01-09,64,28,10,8,,2
2021-01-10,46,33,6,8,,2
2021-01-11,58,40,7,8,,2
2021-01-12,88,59,9,10,,2
2021-01-13,121,65,10,8,,2
2021-01-14,136,58,19,8,,2
2021-01-15,96,57,18,7,,2
2021-01-16,104,58,20,5,,2
2021-01-17,117,66,3,8,,2
2021-01-18,120,54,4,7,,3
2021-01-19,99,62,1,9,,2
2021-01-20,115,69,38,7,2,2
2021-01-21,136,77,40,7,0,2
2021-01-22,154,75,56,8,0,2
2021-01-23,144,74,50,9,0,6
2021-01-24,138,77,46,6,0,0
2021-01-25,151,69,46,8,0,1
2021-01-26,130,65,45,11,0,1
2021-01-27,111,72,47,8,0,1
2021-01-28,123,66,33,5,0,1
2021-01-29,135,70,45,6,0,1
2021-01-30,141,67,48,12,1,1
2021-01-31,133,83,45,12,0,1
2021-02-01,154,,,,,
2021-02-02,,21,18,6,6,3
2021-02-03,47,,,,,
2021-02-09,,22,22,8,5,1
2021-02-10,30,39,24,9,5,0
2021-02-11,49,53,31,15,5,2
2021-02-12,74,47,34,11,5,1
2021-02-13,70,61,26,10,5,1
2021-02-14,104,57,40,7,5,1
2021-02-15,102,54,33,8,5,1
2021-02-16,98,35,24,5,5,2
2021-02-17,58,43,22,7,5,2
2021-02-18,83,12,25,5,5,2
2021-02-19,29,47,11,6,4,2
2021-02-20,89,61,29,8,5,2
2021-02-21,76,88,33,7,4,2
2021-02-22,94,68,38,10,2,2
2021-02-23,96,47,31,11,2,2
2021-02-24,109,47,27,8,2,2
2021-02-25,83,54,35,9,2,2
2021-02-26,96,54,37,8,2,2
2021-02-27,95,42,29,8,2,2
2021-02-28,89,40,33,6,2,2
2021-03-01,75,44,31,9,2,2
2021-03-02,71,47,35,10,2,2
2021-03-03,78,48,33,8,2,3
2021-03-04,84,54,36,8,2,2
2021-03-05,92,66,36,11,2,2
2021-03-06,122,54,31,10,2,2
2021-03-07,96,57,31,9,2,2
2021-03-08,99,58,31,7,2,2
2021-03-09,111,60,32,10,2,2
2021-03-10,108,67,35,11,2,2
2021-03-11,132,76,39,10,2,2
2021-03-12,147,72,39,8,2,2
2021-03-13,144,71,44,14,2,2
2021-03-14,129,67,43,17,2,2
2021-03-15,118,63,44,14,2,2
2021-03-16,125,73,44,13,2,2
2021-03-17,142,76,43,12,2,2
2021-03-18,148,83,43,14,2,2
2021-03-19,160,82,44,14,2,2
2021-03-20,158,89,43,17,2,2
2021-03-21,162,82,42,12,2,2
2021-03-22,156,81,41,10,2,2
2021-03-23,159,74,38,6,2,2
2021-03-24,136,81,41,6,2,2
2021-03-25,157,74,42,7,2,2
2021-03-26,144,83,41,11,2,2
2021-03-27,156,,,,,
2021-04-01,,58,33,6,2,2
2021-04-02,107,50,27,10,2,2
2021-04-03,79,40,16,8,2,2
2021-04-04,73,36,25,6,2,2
2021-04-05,74,61,27,10,2,2
2021-04-06,119,29,16,6,2,2
2021-04-07,49,33,26,8,2,2
2021-04-08,56,60,33,8,2,2
2021-04-09,93,58,37,9,2,2
2021-04-10,95,68,37,12,2,2
2021-04-11,128,61,34,9,2,2
2021-04-12,123,64,34,11,2,2
2021-04-13,131,70,30,11,2,2
2021-04-14,141,61,33,7,2,2
2021-04-15,115,47,33,5,2,2
2021-04-16,88,64,29,11,2,2
2021-04-17,108,68,30,17,2,2
2021-04-18,116,66,34,16,2,2
2021-04-19,101,74,33,18,2,2
2021-04-20,125,69,34,12,2,2
2021-04-21,121,70,35,13,2,2
2021-04-22,126,72,33,13,2,2
2021-04-23,124,63,34,12,2,2
2021-04-24,108,67,38,10,2,2
2021-04-25,120,74,35,8,2,2
2021-04-26,146,72,30,11,2,2
2021-04-27,129,68,30,15,2,2
2021-04-28,119,68,30,11,2,2
2021-04-29,124,69,33,7,2,2
2021-04-30,134,64,34,8,2,2
2021-05-01,116,64,34,14,2,2
2021-05-02,88,66,36,12,2,2
2021-05-03,106,70,37,15,2,2
2021-05-04,105,71,38,15,2,2
2021-05-05,102,65,42,9,2,2
2021-05-06,112,72,43,10,2,2
2021-05-07,124,70,41,12,2,2
2021-05-08,106,69,38,17,2,2
2021-05-09,110,66,39,10,2,2
2021-05-10,109,65,40,13,2,2
2021-05-11,111,64,36,12,2,2
2021-05-12,97,72,34,13,2,2
2021-05-13,109,76,37,15,2,2
2021-05-14,119,69,39,14,2,2
2021-05-15,118,69,42,9,2,2
2021-05-16,122,67,34,9,2,2
2021-05-17,108,62,32,7,2,2
2021-05-18,128,56,36,9,2,2
2021-05-19,108,38,27,6,2,2
2021-05-20,65,31,26,12,2,2
2021-05-21,50,48,35,12,2,2
2021-05-22,85,65,39,14,2,2
2021-05-23,112,63,42,17,2,2
2021-05-24,114,67,41,17,2,2
2021-05-25,117,67,43,16,2,2
2021-05-26,115,59,39,14,2,2
2021-05-27,93,68,38,19,2,3
2021-05-28,106,63,33,16,2,3
2021-05-29,104,65,45,13,2,3
2021-05-30,103,66,39,11,2,3
2021-05-31,98,66,41,16,4,4
2021-06-01,109,63,47,18,3,3
2021-06-02,99,75,54,18,4,3
2021-06-03,116,75,49,20,3,3
2021-06-04,123,69,57,14,3,3
2021-06-05,121,63,43,15,4,3
2021-06-06,99,41,35,7,3,3
2021-06-07,65,46,43,8,3,3
2021-06-08,69,45,46,10,3,3
2021-06-09,76,58,44,15,3,3
2021-06-10,87,61,51,17,2,3
2021-06-11,101,67,51,24,4,3
2021-06-12,115,75,52,12,4,3
2021-06-13,147,73,48,10,3,3
2021-06-14,148,77,49,6,4,3
2021-06-15,141,63,43,7,4,3
2021-06-16,108,69,44,9,3,3
2021-06-17,121,84,53,15,3,3
2021-06-18,151,73,54,5,3,3
2021-06-19,136,77,57,11,4,3
2021-06-20,152,76,62,10,2,3
2021-06-21,147,74,59,10,4,3
2021-06-22,145,79,54,26,4,3
2021-06-23,150,77,59,15,3,3
2021-06-24,154,80,54,12,4,4
2021-06-25,152,75,47,12,3,3
2021-06-26,147,71,49,14,3,3
2021-06-27,119,76,45,14,4,3
2021-06-28,117,81,44,10,4,4
2021-06-29,129,77,47,13,3,3
2021-06-30,120,87,72,11,4,5
2021-07-01,,76,45,14,4,3
2021-07-01,137,,,,,
2021-07-02,117,81,44,10,4,4
2021-07-03,129,77,47,13,3,3
2021-07-04,120,87,72,11,4,5
2021-07-05,137,85,51,14,3,5
