time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,89,,,,
2021-01-02,,116,,,,
2021-01-03,,93,,,,
2021-01-04,,94,,,,
2021-01-05,,88,,,,
2021-01-06,,93,,,,
2021-01-07,,98,,,,
2021-01-08,,92,,,,
2021-01-09,,84,,,,
2021-01-10,,83,,,,
2021-01-11,,105,,,,
2021-01-12,,104,,,,
2021-01-15,,105,,,,
2021-01-16,,125,,,,
2021-01-17,,106,,,,
2021-01-18,,115,,,,
2021-01-19,,132,,,,
2021-01-20,,112,,,,
2021-01-21,,138,,,,
2021-01-22,,131,,,,
2021-01-23,,140,,,,
2021-01-24,,97,,,,
2021-01-25,,116,,,,
2021-01-26,,132,,,,
2021-01-27,,119,,,,
2021-01-28,,130,,,,
2021-01-29,,170,,,,
2021-01-30,,177,,,,
2021-01-31,,161,,,,
2021-02-01,,174,,,,
2021-02-02,,154,,,,
2021-02-03,,96,,,,
2021-02-04,,66,,,,
2021-02-05,,119,,,,
2021-02-06,,89,,,,
2021-02-07,,85,,,,
2021-02-08,,85,,,,
2021-02-09,,29,,,,
2021-02-10,,36,,,,
2021-02-11,,73,,,,
2021-02-12,,73,,,,
2021-02-13,,99,,,,
2021-02-14,,87,,,,
2021-02-15,,77,,,,
2021-02-16,,71,,,,
2021-02-17,,77,,,,
2021-02-18,,61,,,,
2021-02-19,,66,,,,
2021-02-20,,83,,,,
2021-02-21,,81,,,,
2021-02-22,,78,,,,
2021-02-23,,112,,,,
2021-02-24,,38,,,,
2021-03-06,,61,,,,
2021-03-07,,63,,,,
2021-03-08,,74,,,,
2021-03-09,,76,,,,
2021-03-10,,70,,,,
2021-03-11,,79,,,,
2021-03-12,,78,,,,
2021-03-13,,84,,,,
2021-03-14,,72,,,,
2021-03-15,,61,,,,
2021-03-16,,39,,,,
2021-03-17,,20,,,,
2021-03-18,,72,,,,
2021-03-19,,65,,,,
2021-03-20,,63,,,,
2021-03-21,,80,,,,
2021-03-22,,92,,,,
2021-03-23,,41,,,,
2021-03-24,,47,,,,
2021-03-25,,44,,,,
2021-03-26,,64,,,,
2021-03-27,,65,,,,
2021-03-28,,85,,,,
2021-03-28,,72,,,,
2021-03-29,,68,,,,
2021-03-29,,77,,,,
2021-03-30,,83,,,,
2021-03-31,,95,,,,
2021-04-01,,85,,,,
2021-04-02,,70,,,,
2021-04-04,,71,,,,
2021-04-05,,89,,,,
2021-04-06,,88,,,,
2021-04-07,,104,,,,
2021-04-08,,88,,,,
2021-04-09,,89,,,,
2021-04-10,,86,,,,
2021-04-11,,73,,,,
2021-04-12,,77,,,,
2021-04-13,,74,,,,
2021-04-14,,46,,,,
2021-04-15,,37,,,,
2021-04-16,,53,,,,
2021-04-17,,60,,,,
2021-04-18,,73,,,,
2021-04-19,,79,,,,
2021-04-20,,101,,,,
2021-04-21,,105,,,,
2021-04-22,,77,,,,
2021-04-23,,190,,,,
2021-04-24,,46,,,,
2021-04-25,,51,,,,
2021-04-26,,47,,,,
2021-04-27,,72,,,,
2021-04-28,,111,,,,
2021-04-29,,59,,,,
2021-04-30,,71,,,,
2021-05-01,,28,,,,
2021-05-02,,37,,,,
2021-05-03,,59,,,,
2021-05-04,,63,,,,
2021-05-05,,63,,,,
2021-05-11,,142,,,,
2021-05-12,,280,,,,
2021-05-13,,77,,,,
2021-05-14,,62,,,,
2021-05-21,,40,,,,
2021-05-22,,65,,,,
2021-05-23,,57,,,,
2021-05-24,,61,,,,
2021-05-25,,64,,,,
2021-05-26,,87,,,,
2021-05-27,,57,,,,
2021-05-28,,50,,,,
2021-05-29,,49,,,,
2021-05-30,,65,,,,
2021-05-31,,77,,,,
2021-06-01,,59,,,,
2021-06-02,,82,,,,
2021-06-03,,149,,,,
2021-06-05,,56,,,,
2021-06-06,,75,,,,
2021-06-07,,93,,,,
2021-06-08,,207,,,,
2021-06-09,,40,,,,
2021-06-09,,257,,,,
2021-06-10,,49,,,,
2021-06-10,,59,,,,
2021-06-11,,87,,,,
2021-06-12,,101,,,,
2021-06-13,,113,,,,
2021-06-14,,120,,,,
2021-06-15,,82,,,,
2021-06-16,,68,,,,
2021-06-17,,70,,,,
2021-06-18,,61,,,,
2021-06-19,,48,,,,
2021-06-19,,55,,,,
2021-06-20,,43,,,,
2021-06-20,,38,,,,
2021-06-21,,64,,,,
2021-06-21,,45,,,,
2021-06-22,,70,,,,
2021-06-23,,72,,,,
2021-06-24,,95,,,,
2021-06-25,,72,,,,
2021-06-26,,80,,,,
2021-06-27,,80,,,,
2021-06-28,,75,,,,
2021-06-29,,72,,,,
2021-06-30,,79,,,,
2021-07-01,,101,,,,
2021-07-02,,159,,,,
2021-07-03,,64,,,,
2021-07-04,,75,,,,
2021-07-05,,77,,,,
2021-07-06,,128,,,,
2021-07-07,,72,,,,
2021-07-08,,88,,,,
2021-07-09,,96,,,,
2021-07-10,,86,,,,
2021-07-11,,62,,,,
2021-07-16,,96,,,,
2021-07-17,,135,,,,
2021-07-18,,145,,,,
2021-07-19,,140,,,,
2021-07-20,,111,,,,
2021-07-21,,103,,,,
2021-07-22,,58,,,,
2021-07-23,,55,,,,
2021-08-13,,55,,,,
2021-08-14,,55,,,,
2021-08-15,,55,,,,
2021-08-16,,55,,,,
2022-09-20,,267,,,,
2022-09-21,,292,,,,
2022-09-22,,63,,,,
2022-09-23,,500,,,,
2022-09-24,,500,,,,
2022-11-03,,104,,,,
2022-11-04,,94,,,,
2022-11-05,,102,,,,
2022-11-06,,98,,,,
2022-11-07,,89,,,,
2022-11-08,,82,,,,
2022-11-09,,88,,,,
2022-11-10,,84,,,,
2022-11-11,,90,,,,
2022-11-12,,105,,,,
2022-11-13,,132,,,,
2022-11-14,,107,,,,
2022-11-15,,129,,,,
2022-12-24,,77,,,,
2022-12-25,,102,,,,
2022-12-26,,115,,,,
2022-12-27,,71,,,,
2022-12-28,,295,,,,
2022-12-29,,144,,,,
2022-12-30,,70,,,,
2022-12-31,,80,,,,
2023-01-01,,127,,,,
2023-01-02,,123,,,,
2023-02-03,,46,,,,
2023-02-04,,55,,,,
2023-12-29,,107,,,,
2023-12-29,,107,,,,
2023-12-30,,104,,,,
2023-12-30,,104,,,,
