time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,85,138,,,,
2021-01-02,108,87,,,,
2021-01-03,119,74,,,,
2021-01-04,98,83,,,,
2021-01-05,85,49,,,,
2021-01-06,140,83,,,,
2021-01-07,153,67,,,,
2021-01-08,110,56,,,,
2021-01-09,120,73,,,,
2021-01-10,100,78,,,,
2021-01-11,80,58,,,,
2021-01-12,105,73,,,,
2021-01-13,92,54,,,,
2021-01-14,98,80,,,,
2021-01-15,97,73,,,,
2021-01-16,142,83,,,,
2021-01-17,133,77,,,,
2021-01-18,116,77,,,,
2021-01-19,95,78,,,,
2021-01-20,94,81,,,,
2021-01-21,115,74,,,,
2021-07-01,,113,,,,
2021-07-02,13,88,,,,
2021-07-03,12,104,,,,
2021-07-04,14,54,,,,
2021-07-05,14,41,,,,
2021-07-06,13,46,,,,
2021-07-07,35,69,,,,
2021-07-08,61,88,,,,
2021-07-09,79,84,,,,
2021-07-10,77,72,,,,
2021-07-11,70,,,,,
2021-07-17,,72,,,,
2021-07-18,,74,,,,
2021-07-19,,83,,,,
2021-07-20,,90,,,,
2021-07-21,,90,,,,
2021-07-22,,87,,,,
2021-07-23,,93,,,,
2021-07-24,,106,,,,
2021-07-25,,94,,,,
2021-07-26,,106,,,,
2021-07-27,,84,,,,
2021-07-28,,93,,,,
2021-07-29,,99,,,,
2021-07-30,,61,,,,
2021-07-31,,80,,,,
2021-08-01,,80,,,,
2021-08-02,,81,,,,
2021-08-03,,60,,,,
2021-08-04,,71,,,,
2021-08-05,,74,,,,
2021-08-06,,68,,,,
2021-08-07,,78,,,,
2021-08-08,64,77,,,,
2021-08-09,56,75,,,,
2021-08-10,52,78,,,,
2021-08-11,57,95,,,,
2021-08-12,63,131,,,,
2021-08-13,72,132,,,,
2021-08-14,71,154,,,,
2021-08-15,80,125,,,,
2021-08-16,73,78,,,,
2021-08-17,57,83,,,,
2021-08-18,58,99,,,,
2021-08-19,65,,,,,
2021-08-23,,104,,,,
2021-08-24,17,139,,,,
2021-08-25,15,147,,,,
2021-08-26,25,120,,,,
2021-08-27,18,102,,,,
2021-08-28,17,74,,,,
2021-08-29,16,78,,,,
2021-08-30,14,89,,,,
2021-08-31,15,199,,,,
2021-09-01,16,83,,,,
2021-09-02,15,74,,,,
2021-09-03,15,,,,,
2021-09-07,,123,,,,
2021-09-08,24,175,,,,
2021-09-09,16,78,,,,
2021-09-10,18,114,,,,
2021-09-11,17,124,,,,
2021-09-12,19,109,,,,
2021-09-13,18,115,,,,
2021-09-14,22,100,,,,
2021-09-15,19,80,,,,
2021-09-16,18,114,,,,
2021-09-17,17,,,,,
2021-09-18,21,,,,,
2021-09-19,22,117,,,,
2021-09-20,18,91,,,,
2021-09-21,18,73,,,,
