time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,68,,,18,25
2021-01-01,,31,,27,17,26
2021-01-02,,64,,,15,29
2021-01-02,,41,,31,19,29
2021-01-03,,57,,,12,26
2021-01-03,,50,,32,19,26
2021-01-04,,36,,,17,30
2021-01-04,,64,,22,20,25
2021-01-05,,39,,,16,28
2021-01-05,,45,,,,
2021-01-06,,61,,,16,29
2021-01-07,,69,,,18,26
2021-01-08,,81,,,19,32
2021-01-09,,88,,,19,28
2021-01-10,,96,,,18,24
2021-01-11,,92,,,16,30
2021-01-12,,105,,,23,29
2021-01-13,,110,,,,
2021-06-21,,,,,19,
2021-06-22,,,,,16,
2021-06-23,,,,,16,
2021-06-24,,,,,16,
2021-06-25,,,,,19,
2021-06-26,,,,,24,
2021-06-27,,,,,21,
2021-06-28,,,,,18,
2021-06-29,,,,,18,
2021-06-30,,,,,18,
2021-07-01,,,,27,18,
2021-07-02,,222,,23,20,
2021-07-03,,50,,22,19,
2021-07-04,,58,,28,21,
2021-07-05,,53,,17,21,
2021-07-06,,41,,19,18,
2021-07-07,,38,,23,18,
2021-07-08,,31,,29,16,
2021-07-09,,51,,22,20,
2021-07-10,,51,,19,23,
2021-07-11,,93,,13,9,
2021-07-12,,48,,13,12,
2021-07-13,,53,,16,17,
2021-07-14,,48,,16,17,
2021-07-15,,36,,19,17,
2021-07-16,,49,,17,18,
2021-07-17,,53,,20,18,
2021-07-18,,54,,19,19,
2021-07-19,,46,,13,19,
2021-07-20,,30,,12,15,
2021-07-21,,40,,11,15,
2021-07-22,,45,,16,16,
2021-07-23,,29,,17,15,
2021-07-24,,22,,18,17,
2021-07-25,,23,,13,16,
2021-07-26,,31,,12,15,
2021-07-27,,37,,7,17,
2021-07-28,,42,,15,16,
2021-07-29,,40,,12,17,
2021-07-30,,53,,4,18,
2021-07-31,,31,,,18,
2021-08-01,,45,,,16,
2021-08-02,,34,,2,16,
2021-08-03,,43,,1,17,
2021-08-04,,31,,1,16,
2021-08-05,,29,,,17,
2021-08-06,,33,,1,19,
2021-08-07,,72,,,18,
2021-08-08,,59,,,20,
2021-08-09,,39,,,17,
2021-08-10,,36,,,18,
2021-08-11,,30,,,17,
2021-08-12,,46,,21,21,10
2021-08-13,,62,,11,20,12
2021-08-14,,66,,13,16,24
2021-08-15,,58,,18,18,26
2021-08-16,,33,,14,17,23
2021-08-17,,29,,17,16,24
2021-08-18,,33,,22,16,29
2021-08-19,,39,,24,18,32
2021-08-20,,48,,23,19,31
2021-08-21,,43,,26,19,31
2021-08-22,,47,,,18,
2021-08-24,,,,19,,29
2021-08-25,,28,,22,26,28
2021-08-26,,39,,20,24,27
2021-08-27,,35,,20,21,27
2021-08-28,,19,,18,20,26
2021-08-29,,22,,23,21,31
2021-08-30,,26,,18,21,29
2021-08-31,,24,,23,23,31
2021-09-01,,21,,23,19,29
2021-09-02,,25,,27,22,30
2021-09-03,,35,,18,24,29
2021-09-04,,22,,14,19,25
2021-09-05,,23,,13,22,27
2021-09-06,,23,,14,20,25
2021-09-07,,22,,15,26,26
2021-09-08,,24,,14,23,27
2021-09-09,,23,,18,21,28
2021-09-10,,23,,19,21,27
2021-09-11,,20,,18,19,28
2021-09-12,,19,,19,16,29
2021-09-13,,18,,14,19,25
2021-09-14,,21,,13,20,25
2021-09-15,,22,,19,19,57
2021-09-16,,25,,14,,31
2021-09-17,,19,,12,14,24
2021-09-18,,21,,12,15,23
2021-09-19,,24,,13,14,25
2021-09-20,,28,,9,17,23
2021-09-21,,23,,11,18,24
2021-09-22,,25,,14,16,28
2021-09-23,,22,,,17,
2021-09-30,,,,13,17,25
2021-10-01,,28,,9,18,23
2021-10-02,,23,,11,16,24
2021-10-03,,25,,14,17,28
2021-10-04,,22,,15,23,23
2021-10-05,,24,,21,18,39
2021-10-06,,32,,24,18,31
2021-10-07,,30,,16,19,26
2021-10-08,,32,,11,18,33
2021-10-09,,50,,9,16,28
2021-10-10,,49,,13,20,27
2021-10-11,,47,,16,16,27
2021-10-12,,40,,10,15,24
2021-10-13,,34,,11,15,25
2021-10-14,,30,,11,16,26
2021-10-15,,33,,9,14,25
2021-10-16,,48,,12,15,26
2021-10-17,,26,,12,18,24
2021-10-18,,22,,17,15,27
2021-10-19,,24,,18,16,27
2021-10-20,,20,,12,16,23
2021-10-21,,17,,14,18,23
2021-10-22,,16,,11,25,22
2021-10-23,,15,,10,25,23
2021-10-24,,21,,12,20,24
2021-10-25,,29,,14,15,27
2021-10-26,,24,,15,16,27
2021-10-27,,23,,10,18,26
2021-10-28,,20,,9,13,25
2021-10-29,,14,,7,14,24
2021-10-30,,16,,9,14,24
2021-10-31,,15,,10,16,24
2021-11-01,,14,,11,14,23
2021-11-02,,13,,13,13,26
2021-11-03,,14,,12,16,24
2021-11-04,,13,,12,13,23
2021-11-05,,15,,11,13,23
2021-11-06,,14,,11,15,23
2021-11-07,,17,,14,15,23
2021-11-08,,19,,15,15,24
2021-11-09,,20,,14,13,25
2021-11-10,,19,,15,13,25
2021-11-11,,19,,17,17,26
2021-11-12,,19,,10,16,21
2021-11-13,,20,,14,15,28
2021-11-14,,22,,13,16,28
2021-11-15,,21,,14,15,25
2021-11-16,,17,,11,14,23
2021-11-17,,21,,11,13,23
2021-11-18,,20,,12,15,24
2021-11-19,,20,,11,15,23
2021-11-20,,23,,11,14,22
2021-11-21,,23,,15,15,24
2021-11-22,,19,,14,14,24
2021-11-23,,21,,17,15,27
2021-11-24,,18,,18,15,27
2021-11-25,,23,,18,14,25
2021-11-26,,21,,14,16,25
2021-11-27,,24,,17,17,26
2021-11-28,,30,,14,16,24
2021-11-29,,23,,19,17,24
2021-11-30,,32,,15,16,24
2021-12-01,,24,,21,16,26
