time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,71,,,28,20,14
2021-01-01,85,,,24,20,13
2021-01-02,76,,,32,22,17
2021-01-02,71,,,28,20,14
2021-01-03,65,,,33,24,9
2021-01-03,76,,,32,22,17
2021-01-04,69,,,31,23,9
2021-01-04,65,,,33,24,9
2021-01-05,61,,,30,21,12
2021-01-05,69,,,,,
2021-01-06,53,,,33,26,12
2021-01-07,69,,,28,24,10
2021-01-08,55,,,22,21,11
2021-01-09,59,,,19,14,12
2021-01-10,32,,,23,19,12
2021-01-11,32,,,31,20,13
2021-01-12,40,,,32,22,8
2021-01-13,47,,,38,25,9
2021-01-14,51,,,38,25,9
2021-01-15,60,,,34,24,10
2021-01-16,62,,,34,25,9
2021-01-17,66,,,38,26,14
2021-01-18,75,,,39,26,12
2021-01-19,71,,,39,26,11
2021-01-20,67,,,43,28,15
2021-01-21,72,,,40,27,10
2021-01-22,72,,,39,26,10
2021-01-23,74,,,34,22,9
2021-01-24,68,,,34,17,6
2021-01-25,62,,,39,19,13
2021-01-26,69,,,40,20,12
2021-01-27,68,,,43,21,10
2021-01-28,81,,,39,19,11
2021-01-29,77,,,40,61,7
2021-01-30,65,,,47,,105
2021-01-31,75,,,43,,97
2021-02-01,77,,,40,,94
2021-02-02,71,,,37,,91
2021-02-03,66,,,38,,93
2021-02-04,67,,,40,,100
2021-02-05,71,,,37,,89
2021-02-06,73,,,36,,77
2021-02-07,83,,,35,,39
2021-02-08,66,,,30,15,49
2021-02-09,62,,,26,16,8
2021-02-10,,,,34,23,8
2021-02-10,54,,,31,17,10
2021-02-11,52,,,27,25,13
2021-02-11,56,,,30,17,10
2021-02-12,54,,,,21,12
2021-02-12,54,,,26,17,7
2021-02-13,37,,,,31,12
2021-02-13,38,,,27,20,14
2021-02-14,41,,,,,24
2021-02-14,30,,,34,19,9
2021-02-15,46,,,,,18
2021-02-15,37,,,35,20,9
2021-02-16,48,,,41,22,15
2021-02-16,55,,,30,18,12
2021-02-17,44,,,41,23,9
2021-02-17,44,,,30,18,12
2021-02-18,50,,,43,25,12
2021-02-18,54,,,33,19,12
2021-02-19,54,,,43,25,8
2021-02-19,58,,,32,17,11
2021-02-20,57,,,46,26,12
2021-02-20,44,,,30,16,13
2021-02-21,50,,,35,23,10
2021-02-21,41,,,26,15,11
2021-02-22,54,,,40,22,15
2021-02-22,27,,,30,14,12
2021-02-23,50,,,32,21,6
2021-02-23,43,,,31,16,10
2021-02-24,54,,,33,21,12
2021-02-24,49,,,35,17,11
2021-02-25,61,,,34,21,14
2021-02-25,50,,,33,15,10
2021-02-26,42,,,39,22,12
2021-02-26,43,,,24,16,6
2021-02-27,33,,,23,18,9
2021-02-27,80,,,28,15,13
2021-02-28,28,,,28,21,10
2021-02-28,48,,,30,17,13
2021-03-01,28,,,34,21,13
2021-03-01,17,,,35,17,6
2021-03-02,39,,,42,21,9
2021-03-02,41,,,33,17,9
2021-03-03,52,,,39,21,8
2021-03-03,49,,,33,17,12
2021-03-04,40,,,38,24,10
2021-03-04,40,,,27,38,12
2021-03-05,55,,,40,24,12
2021-03-05,20,,,29,,29
2021-03-06,92,,,36,24,9
2021-03-06,37,,,34,,41
2021-03-07,62,,,27,22,11
2021-03-07,46,,,27,6,39
2021-03-08,63,,,28,18,12
2021-03-08,29,,,29,7,10
2021-03-09,60,,,35,19,14
2021-03-09,19,,,32,,34
2021-03-10,58,,,36,19,13
2021-03-10,40,,,36,,29
2021-03-11,41,,,40,20,12
2021-03-11,45,,,34,,12
2021-03-12,43,,,41,20,7
2021-03-12,53,,,31,,20
2021-03-13,44,,,42,22,11
2021-03-13,54,,,33,,23
2021-03-14,43,,,39,22,9
2021-03-14,52,,,35,,15
2021-03-15,71,,,37,18,15
2021-03-15,55,,,36,,29
2021-03-16,54,,,31,17,10
2021-03-16,54,,,36,19,7
2021-03-17,22,,,38,19,16
2021-03-17,60,,,32,16,9
2021-03-18,42,,,39,18,12
2021-03-18,40,,,33,15,9
2021-03-19,52,,,37,20,7
2021-03-19,28,,,27,15,10
2021-03-20,50,,,36,20,8
2021-03-20,27,,,32,16,14
2021-03-21,41,,,34,19,11
2021-03-21,43,,,32,16,13
2021-03-22,34,,,38,19,15
2021-03-22,36,,,37,16,11
2021-03-23,43,,,,21,13
2021-03-23,55,,,37,19,10
2021-03-24,36,,,,25,10
2021-03-24,45,,,37,18,13
2021-03-25,46,,,,22,11
2021-03-25,50,,,23,18,5
2021-03-26,56,,,,22,9
2021-03-26,40,,,22,17,14
2021-03-27,51,,,,15,14
2021-03-27,27,,,28,18,13
2021-03-28,43,,,,16,10
2021-03-28,25,,,37,20,12
2021-03-29,72,,,,17,13
2021-03-29,36,,,34,20,9
2021-03-30,43,,,,18,11
2021-03-30,45,,,36,19,13
2021-03-31,43,,,,18,13
2021-03-31,45,,,36,19,8
2021-04-01,57,,,,18,13
2021-04-01,50,,,33,20,10
2021-04-02,61,,,,18,14
2021-04-02,52,,,33,19,8
2021-04-03,31,,,,17,9
2021-04-03,55,,,35,20,15
2021-04-04,26,,,,17,9
2021-04-04,52,,,38,22,10
2021-04-05,41,,,,17,12
2021-04-05,55,,,,,
2021-04-06,36,,,,18,12
2021-04-07,48,,,,34,10
2021-04-08,38,,,,37,8
2021-04-09,53,,,,17,6
2021-04-10,48,,,,18,12
2021-04-11,48,,,,20,7
2021-04-12,50,,,,19,15
2021-04-13,46,,,,17,12
2021-04-14,42,,,,19,12
2021-04-15,35,,,,22,13
2021-04-16,53,,,,20,13
2021-04-17,54,,,,19,13
2021-04-18,61,,,,33,15
2021-04-19,72,,,,36,15
2021-04-20,26,,,,36,31
2021-04-21,39,,,,28,22
2021-04-22,46,,,,36,34
2021-04-23,86,,,,24,42
2021-04-24,166,,,,24,13
2021-04-25,130,,,,23,11
2021-04-26,83,,,,19,12
2021-04-27,,,,,19,17
2021-04-27,30,,,,18,14
2021-04-28,122,,,,23,12
2021-04-28,20,,,,18,12
2021-04-29,97,,,,21,13
2021-04-29,55,,,,19,17
2021-04-30,55,,,,17,14
2021-04-30,59,,,,21,13
2021-05-01,29,,,,18,14
2021-05-01,88,,,,28,11
2021-05-02,28,,,,19,15
2021-05-02,157,,,,19,13
2021-05-03,54,,,,18,12
2021-05-03,150,,,,21,13
2021-05-04,105,,,,18,11
2021-05-04,134,,,,18,12
2021-05-05,85,,,,21,12
2021-05-05,28,,,,18,13
2021-05-06,89,,,,21,14
2021-05-06,25,,,,18,16
2021-05-07,87,,,,19,11
2021-05-07,29,,,,20,14
2021-05-08,66,,,,18,13
2021-05-08,75,,,,19,17
2021-05-09,56,,,,19,12
2021-05-09,122,,,,23,12
2021-05-10,69,,,,20,11
2021-05-10,97,,,,21,13
2021-05-11,67,,,,18,13
2021-05-11,55,,,,17,14
2021-05-12,45,,,,19,12
2021-05-12,29,,,,,
2021-05-13,37,,,,19,10
2021-05-14,39,,,,18,8
2021-05-15,48,,,,20,8
2021-05-16,53,,,,19,13
2021-05-17,63,,,,19,9
2021-05-18,64,,,,20,11
2021-05-19,56,,,,22,10
2021-05-20,57,,,,20,15
2021-05-21,58,,,,22,12
2021-05-22,47,,,,21,11
2021-05-23,65,,,,27,10
2021-05-24,90,,,,20,10
2021-05-25,60,,,,19,13
2021-05-26,41,,,,19,17
2021-05-27,40,,,,20,
2021-05-28,46,,,,18,
2021-05-29,51,,,,23,
2021-05-30,68,,,,18,
2021-05-31,49,,,,23,
2021-06-01,52,,,,24,
2021-06-02,63,,,,23,
2021-06-03,67,,,,24,
2021-06-04,60,,,,23,
2021-06-05,58,,,,21,
2021-06-06,50,,,,20,
2021-06-07,67,,,,20,
2021-06-08,80,,,,18,
2021-06-09,74,,,,16,
2021-06-10,45,,,,16,
2021-06-11,35,,,,17,
2021-06-12,35,,,,20,
2021-06-13,45,,,,22,
2021-06-14,63,,,,21,
2021-06-15,55,,,,20,
2021-06-16,42,,,,19,
2021-06-17,38,,,,21,
2021-06-18,60,,,,21,
2021-06-19,78,,,,21,
2021-06-20,48,,,,22,
2021-06-21,78,,,,21,
2021-06-22,52,,,,20,
2021-06-23,46,,,,19,
2021-06-24,35,,,,20,
2021-06-25,47,,,,21,
2021-06-26,54,,,,20,
2021-06-27,47,,,,21,
2021-06-28,42,,,,21,
2021-06-29,59,,,,,
2021-07-01,,,,,19,
