time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,57,38,,12,,37
2021-01-01,87,25,,10,,33
2021-01-02,76,34,,16,,33
2021-01-02,57,38,,12,,37
2021-01-03,71,39,,16,,34
2021-01-03,76,34,,16,,33
2021-01-04,78,41,,13,,24
2021-01-04,71,39,,16,,34
2021-01-05,75,38,,12,,30
2021-01-05,78,,,,,
2021-01-06,77,40,,13,,19
2021-01-07,78,30,,14,,24
2021-01-08,63,34,,6,,26
2021-01-09,66,19,,3,,24
2021-01-10,45,29,,12,,61
2021-01-11,61,33,,14,,43
2021-01-12,68,30,,14,,29
2021-01-13,63,35,,14,,28
2021-01-14,75,44,,13,,28
2021-01-15,90,44,,12,,17
2021-01-16,91,36,,15,,26
2021-01-17,71,45,,16,,42
2021-01-18,92,52,,17,,45
2021-01-19,108,48,,14,,21
2021-01-20,96,53,,17,,26
2021-01-21,106,54,,18,,31
2021-01-22,109,45,,17,,18
2021-01-23,93,47,,19,,39
2021-01-24,90,41,,17,,19
2021-01-25,84,39,,17,,35
2021-01-26,81,47,,17,,22
2021-01-27,93,43,,17,,17
2021-01-28,85,46,,15,,19
2021-01-29,96,46,,14,,26
2021-01-30,95,56,,18,,37
2021-01-31,115,42,,16,,20
2021-02-01,88,38,,13,,21
2021-02-02,82,54,,11,,5
2021-02-03,111,51,,12,,220
2021-02-04,111,45,,13,,32
2021-02-05,93,46,,13,,23
2021-02-06,93,26,,15,,21
2021-02-07,59,37,,15,,36
2021-02-08,75,34,,12,,21
2021-02-09,79,58,,12,,16
2021-02-10,109,46,,12,,21
2021-02-11,103,38,,9,,18
2021-02-12,87,16,,9,,23
2021-02-13,42,21,,5,,34
2021-02-14,60,26,,12,,23
2021-02-15,60,38,,14,,111
2021-02-16,83,37,,13,,31
2021-02-17,78,33,,12,,11
2021-02-18,68,38,,14,,27
2021-02-19,74,,,13,,28
2021-02-20,,,,10,,29
2021-02-21,,49,,10,,34
2021-02-22,105,33,,12,,23
2021-02-23,71,35,,14,,47
2021-02-24,73,42,,13,,45
2021-02-25,89,24,,14,,37
2021-02-26,56,25,,5,,30
2021-02-27,63,13,,10,,38
2021-02-28,35,12,,11,,30
