time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,67,50,,,,
2021-01-01,54,55,,,,
2021-01-02,82,43,,,,
2021-01-02,74,44,,,,
2021-01-03,74,49,,,,
2021-01-03,62,51,,,,
2021-01-04,80,63,,,,
2021-01-04,73,69,,,,
2021-01-05,90,57,,,,
2021-01-05,96,,,,,
2021-01-06,89,80,,,,
2021-01-07,108,80,,,,
2021-01-08,122,144,,,,
2021-01-09,106,376,,,,
2021-01-10,474,,,,,
2021-01-12,,68,,,,
2021-01-13,84,116,,,,
2021-01-14,180,80,,,,
2021-01-15,,35,,,,
2021-01-16,53,46,,,,
2021-01-17,81,43,,,,
2021-01-18,45,53,,,,
2021-01-19,69,59,,,,
2021-01-20,97,118,,,,
2021-01-21,125,59,,,,
2021-01-22,79,94,,,,
2021-01-23,120,124,,,,
2021-01-24,103,68,,,,
2021-01-25,90,152,,,,
2021-01-26,145,57,,,,
2021-01-27,64,66,,,,
2021-01-28,75,68,,,,
2021-01-29,90,35,,,,
2021-01-30,52,20,,,,
2021-01-31,39,23,,,,
2021-02-01,36,22,,,,
2021-02-02,37,27,,,,
2021-02-03,41,32,,,,
2021-02-04,35,31,,,,
2021-02-05,42,33,,,,
2021-02-06,41,44,,,,
2021-02-07,41,41,,,,
2021-02-08,55,57,,,,
2021-02-09,90,42,,,,
2021-02-10,41,22,,,,
2021-02-11,33,45,,,,
2021-02-12,52,99,,,,
2021-02-13,114,97,,,,
2021-02-14,62,33,,,,
2021-02-15,44,50,,,,
2021-02-16,66,49,,,,
2021-02-17,61,51,,,,
2021-02-18,78,60,,,,
2021-02-19,62,289,,,,
2021-02-20,241,,,,,
2021-02-28,,500,,,,
2021-03-01,,500,,,,
2021-03-02,,500,,,,
2021-03-03,478,403,,,,
2021-03-04,347,470,,,,
2021-03-05,65,440,,,,
2021-03-06,178,462,,,,
2021-03-07,76,485,,,,
2021-03-08,68,,,,,
2021-12-30,,209,,,,
2021-12-31,200,360,,,,
2022-01-01,266,85,,,,
2022-01-02,106,,,,,
2022-01-06,,192,,,,
2022-01-07,200,167,,,,
2022-01-08,201,64,,,,
2022-01-09,94,61,,,,
2022-01-10,79,61,,,,
2022-01-11,75,63,,,,
2022-01-12,79,102,,,,
2022-01-13,127,94,,,,
2022-01-14,134,76,,,,
2022-01-15,128,41,,,,
2022-01-16,60,51,,,,
2022-01-17,70,73,,,,
2022-01-18,95,281,,,,
2022-01-19,222,181,,,,
2022-01-20,213,29,,,,
2022-01-21,50,27,,,,
2022-01-22,43,77,,,,
2022-01-23,100,58,,,,
2022-01-24,78,52,,,,
2022-01-25,67,80,,,,
2022-01-26,105,75,,,,
2022-01-27,84,52,,,,
2022-01-28,61,61,,,,
2022-01-29,92,68,,,,
2022-01-30,112,38,,,,
2022-01-31,54,50,,,,
2022-02-01,69,80,,,,
2022-02-02,94,120,,,,
2022-02-03,141,61,,,,
2022-02-04,82,44,,,,
2022-02-05,60,56,,,,
2022-02-06,60,39,,,,
2022-02-07,64,45,,,,
2022-02-08,61,52,,,,
2022-02-09,68,83,,,,
2022-02-10,98,65,,,,
2022-02-11,84,63,,,,
2022-02-12,83,44,,,,
2022-02-13,60,56,,,,
2022-02-14,65,264,,,,
2022-02-15,231,33,,,,
2022-02-16,59,28,,,,
2022-02-17,43,38,,,,
2022-02-18,52,39,,,,
2022-02-19,57,,,,,
2022-02-20,,52,,,,
2022-02-21,75,63,,,,
2022-02-22,93,78,,,,
2022-02-23,102,59,,,,
2022-02-24,67,56,,,,
2022-02-25,55,54,,,,
2022-02-26,55,64,,,,
2022-02-27,68,63,,,,
2022-02-28,71,54,,,,
2022-03-01,58,67,,,,
2022-03-02,76,93,,,,
2022-03-03,102,84,,,,
2022-03-04,91,25,,,,
2022-03-05,29,36,,,,
2022-03-06,48,43,,,,
2022-03-07,82,52,,,,
2022-03-08,66,76,,,,
2022-03-09,75,67,,,,
2022-03-10,143,66,,,,
2022-03-11,70,48,,,,
2022-03-12,58,51,,,,
2022-03-13,88,51,,,,
2022-03-14,70,126,,,,
2022-03-15,127,25,,,,
2022-03-16,45,44,,,,
2022-03-17,58,62,,,,
2022-03-18,76,75,,,,
2022-03-19,89,65,,,,
2022-03-20,75,83,,,,
2022-03-21,83,71,,,,
2022-03-22,73,81,,,,
2022-03-23,104,74,,,,
2022-03-24,72,70,,,,
2022-03-25,65,61,,,,
2022-03-26,73,39,,,,
2022-03-27,44,97,,,,
2022-03-28,103,58,,,,
2022-03-29,70,54,,,,
2022-03-30,64,42,,,,
2022-03-31,35,43,,,,
2022-04-01,20,,,,,
2022-04-01,36,33,,,,
2022-04-02,22,,,,,
2022-04-02,31,,,,,
2022-04-03,31,,,,,
2022-04-04,39,,,,,
2022-04-13,,425,,,,
2022-04-14,209,57,,,,
2022-04-15,49,51,,,,
2022-04-16,35,56,,,,
2022-04-17,61,93,,,,
2022-04-18,57,276,,,,
2022-04-19,202,45,,,,
2022-04-20,68,21,,,,
2022-04-21,23,57,,,,
2022-04-22,75,56,,,,
2022-04-23,59,60,,,,
2022-04-24,93,78,,,,
2022-04-25,129,128,,,,
2022-04-26,142,119,,,,
2022-04-27,144,39,,,,
2022-04-28,65,46,,,,
2022-04-29,84,54,,,,
2022-04-30,83,223,,,,
2022-05-01,257,30,,,,
2022-05-02,50,35,,,,
2022-05-03,55,61,,,,
2022-05-04,82,68,,,,
2022-05-05,82,38,,,,
2022-05-06,58,45,,,,
2022-05-07,82,27,,,,
2022-05-08,46,49,,,,
2022-05-09,90,54,,,,
2022-05-10,74,61,,,,
2022-05-11,118,75,,,,
2022-05-12,148,261,,,,
2022-05-13,500,53,,,,
2022-05-14,85,47,,,,
2022-05-15,86,40,,,,
2022-05-16,74,37,,,,
2022-05-17,68,49,,,,
2022-05-18,90,51,,,,
2022-05-19,96,76,,,,
2022-05-20,113,46,,,,
2022-05-21,94,25,,,,
2022-05-22,59,32,,,,
2022-05-23,73,33,,,,
2022-05-24,75,26,,,,
2022-05-25,79,,,,,
2022-05-26,,45,,,,
2022-05-27,101,49,,,,
2022-05-28,91,36,,,,
2022-05-29,72,52,,,,
2022-05-30,76,88,,,,
2022-05-31,128,122,,,,
2022-06-01,137,71,,,,
2022-06-02,106,76,,,,
2022-06-03,103,91,,,,
2022-06-04,125,120,,,,
2022-06-05,145,77,,,,
2022-06-06,125,77,,,,
2022-06-07,116,86,,,,
2022-06-08,139,161,,,,
2022-06-09,166,44,,,,
2022-06-10,78,69,,,,
2022-06-11,106,71,,,,
2022-06-12,121,183,,,,
2022-06-13,227,244,,,,
2022-06-14,315,68,,,,
2022-06-15,121,65,,,,
2022-06-16,98,88,,,,
2022-06-17,81,117,,,,
2022-06-18,129,195,,,,
2022-06-19,214,72,,,,
2022-06-20,107,66,,,,
2022-06-21,116,168,,,,
2022-06-22,171,232,,,,
2022-06-23,286,66,,,,
2022-06-24,123,299,,,,
2022-06-25,333,139,,,,
2022-06-26,113,64,,,,
2022-06-27,120,64,,,,
2022-06-28,98,68,,,,
2022-06-29,111,80,,,,
2022-06-30,89,,,,,
2022-09-11,,445,,,,
2022-09-12,407,146,,,,
2022-09-13,183,103,,,,
2022-09-14,155,410,,,,
2022-09-15,370,500,,,,
2022-09-16,497,171,,,,
2022-09-17,265,200,,,,
2022-09-18,258,134,,,,
2022-09-19,209,90,,,,
2022-09-20,160,96,,,,
2022-09-21,154,83,,,,
2022-09-22,164,78,,,,
2022-09-23,166,391,,,,
2022-09-24,425,175,,,,
2022-09-25,266,143,,,,
2022-09-26,209,165,,,,
2022-09-27,224,68,,,,
2022-09-28,146,62,,,,
2022-09-29,116,89,,,,
2022-09-30,155,182,,,,
2022-10-01,251,108,,,,
2022-10-02,163,57,,,,
2022-10-03,84,64,,,,
2022-10-04,91,138,,,,
2022-10-05,164,173,,,,
2022-10-06,181,176,,,,
2022-10-07,182,81,,,,
2022-10-08,103,83,,,,
2022-10-09,109,147,,,,
2022-10-10,170,78,,,,
2022-10-11,154,111,,,,
2022-10-12,180,81,,,,
2022-10-13,151,60,,,,
2022-10-14,102,65,,,,
2022-10-15,132,,,,,
2022-10-16,,121,,,,
2022-10-17,196,89,,,,
2022-10-18,143,50,,,,
2022-10-19,90,62,,,,
2022-10-20,133,113,,,,
2022-10-21,196,349,,,,
2022-10-22,345,,,,,
2022-10-23,,483,,,,
2022-10-24,458,106,,,,
2022-10-25,186,118,,,,
2022-10-26,187,82,,,,
2022-10-27,137,113,,,,
2022-10-28,116,65,,,,
2022-10-29,118,125,,,,
2022-10-30,185,128,,,,
2022-10-31,177,103,,,,
2022-11-01,175,121,,,,
2022-11-02,184,157,,,,
2022-11-03,211,118,,,,
2022-11-04,188,162,,,,
2022-11-05,234,178,,,,
2022-11-06,230,123,,,,
2022-11-07,186,77,,,,
2022-11-08,157,76,,,,
2022-11-09,155,47,,,,
2022-11-10,98,33,,,,
2022-11-11,61,33,,,,
2022-11-12,60,55,,,,
2022-11-13,88,46,,,,
2022-11-14,77,46,,,,
2022-11-15,90,55,,,,
2022-11-16,114,53,,,,
2022-11-17,106,48,,,,
2022-11-18,95,56,,,,
2022-11-19,95,57,,,,
2022-11-20,106,60,,,,
2022-11-21,151,65,,,,
2022-11-22,159,139,,,,
2022-11-23,247,164,,,,
2022-11-24,282,86,,,,
2022-11-25,178,62,,,,
2022-11-26,158,,,,,
2023-02-09,,35,,,,
2023-02-10,86,44,,,,
2023-02-11,115,38,,,,
2023-02-12,84,,,,,
2023-02-14,,62,,,,
2023-02-15,131,44,,,,
2023-02-16,91,13,,,,
2023-02-17,29,23,,,,
2023-02-18,57,,,,,
2023-02-22,,12,,,,
2023-02-23,36,21,,,,
2023-02-24,43,27,,,,
2023-02-25,57,45,,,,
2023-02-26,77,29,,,,
2023-02-27,62,9,,,,
2023-02-28,,18,,,,
2023-03-01,42,21,,,,
2023-03-02,60,38,,,,
2023-03-03,91,43,,,,
2023-03-04,100,35,,,,
2023-03-05,81,47,,,,
2023-03-06,106,34,,,,
2023-03-07,66,47,,,,
2023-03-08,79,36,,,,
2023-03-09,66,27,,,,
2023-03-10,49,21,,,,
2023-03-11,48,51,,,,
2023-03-12,104,84,,,,
2023-03-13,177,250,,,,
2023-03-14,393,120,,,,
2023-03-15,241,50,,,,
2023-03-16,143,42,,,,
2023-03-17,124,39,,,,
2023-03-18,110,24,,,,
2023-03-19,76,99,,,,
2023-03-20,190,,,,,
2023-03-22,,42,,,,
2023-03-23,118,34,,,,
2023-03-24,102,,,,,
