time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,37,33,,,,
2021-01-01,40,27,,,,
2021-01-02,36,40,,,,
2021-01-02,37,33,,,,
2021-01-03,44,42,,,,
2021-01-03,36,40,,,,
2021-01-04,50,41,,,,
2021-01-04,44,42,,,,
2021-01-05,44,43,,,,
2021-01-05,50,,,,,
2021-01-06,48,50,,,,
2021-01-07,54,44,,,,
2021-01-08,47,56,,,,
2021-01-09,70,57,,,,
2021-01-10,73,36,,,,
2021-01-11,51,32,,,,
2021-01-12,52,32,,,,
2021-01-13,58,28,,,,
2021-01-14,47,27,,,,
2021-01-15,47,30,,,,
2021-01-16,51,30,,,,
2021-01-17,49,24,,,,
2021-01-18,43,31,,,,
2021-01-19,52,39,,,,
2021-01-20,73,28,,,,
2021-01-21,49,43,,,,
2021-01-22,68,33,,,,
2021-01-23,45,29,,,,
2021-01-24,40,26,,,,
2021-01-25,38,32,,,,
2021-01-26,48,25,,,,
2021-01-27,49,32,,,,
2021-01-28,51,34,,,,
2021-01-29,53,30,,,,
2021-01-30,52,31,,,,
2021-01-31,61,32,,,,
2021-02-01,49,28,,,,
2021-02-02,39,35,,,,
2021-02-03,43,39,,,,
2021-02-04,47,35,,,,
2021-02-05,42,34,,,,
2021-02-06,42,39,,,,
2021-02-07,50,49,,,,
2021-02-08,59,55,,,,
2021-02-09,59,43,,,,
2021-02-10,37,40,,,,
2021-02-11,40,19,,,,
2021-02-12,19,20,,,,
2021-02-13,18,8,,,,
2021-02-14,12,10,,,,
2021-02-15,15,10,,,,
2021-02-16,14,11,,,,
2021-02-17,16,14,,,,
2021-02-18,15,11,,,,
2021-02-19,16,15,,,,
2021-02-20,21,16,,,,
2021-02-21,19,19,,,,
2021-02-22,27,11,,,,
2021-02-23,13,10,,,,
2021-02-24,12,8,,,,
2021-02-25,12,11,,,,
2021-02-26,15,38,,,,
2021-02-27,43,35,,,,
2021-02-28,32,39,,,,
2021-03-01,35,36,,,,
2021-03-02,35,20,,,,
2021-03-03,20,26,,,,
2021-03-04,22,21,,,,
2021-03-05,21,23,,,,
2021-03-06,24,24,,,,
2021-03-07,26,14,,,,
2021-03-08,17,11,,,,
2021-03-09,11,14,,,,
2021-03-10,18,10,,,,
2021-03-11,13,14,,,,
2021-03-12,17,10,,,,
2021-03-13,12,16,,,,
2021-03-14,19,14,,,,
2021-03-15,16,10,,,,
2021-03-16,17,18,,,,
2021-03-17,26,29,,,,
2021-03-18,30,20,,,,
2021-03-19,23,22,,,,
2021-03-20,21,17,,,,
2021-03-21,20,18,,,,
2021-03-22,23,9,,,,
2021-03-23,15,,,,,
2021-03-27,,12,,,,
2021-03-28,22,10,,,,
2021-03-29,17,12,,,,
2021-03-30,18,17,,,,
2021-03-31,26,19,,,,
2021-04-01,26,15,,,,
2021-04-02,21,12,,,,
2021-04-03,17,26,,,,
2021-04-04,32,27,,,,
2021-04-05,35,,,,,
2021-07-01,,39,,,,
2021-07-02,53,58,,,,
2021-07-03,65,62,,,,
2021-07-04,69,135,,,,
2021-07-05,150,24,,,,
2021-07-06,45,20,,,,
2021-07-07,33,49,,,,
2021-07-08,58,45,,,,
2021-07-09,51,54,,,,
2021-07-10,56,56,,,,
2021-07-11,59,58,,,,
2021-07-12,63,57,,,,
2021-07-13,63,54,,,,
2021-07-14,60,52,,,,
2021-07-15,60,46,,,,
2021-07-16,59,28,,,,
2021-07-17,27,43,,,,
2021-07-18,53,38,,,,
2021-07-19,45,31,,,,
2021-07-20,41,51,,,,
2021-07-21,51,54,,,,
2021-07-22,55,48,,,,
2021-07-23,45,48,,,,
2021-07-24,49,42,,,,
2021-07-25,50,55,,,,
2021-07-26,55,53,,,,
2021-07-27,62,51,,,,
2021-07-28,58,67,,,,
2021-07-29,92,47,,,,
2021-07-30,61,44,,,,
2021-07-31,54,46,,,,
2021-08-01,53,32,,,,
2021-08-02,32,11,,,,
2021-08-03,11,7,,,,
2021-08-04,11,10,,,,
2021-08-05,12,11,,,,
2021-08-06,12,23,,,,
2021-08-07,29,46,,,,
2021-08-08,59,52,,,,
2021-08-09,57,31,,,,
2021-08-10,28,34,,,,
2021-08-11,39,35,,,,
2021-08-12,40,,,,,
2021-08-13,54,500,,,,
2021-08-14,64,500,,,,
2021-08-15,51,,,,,
2021-08-16,49,,,,,
2021-08-17,41,,,,,
2021-08-18,51,,,,,
2021-08-19,71,,,,,
2021-08-20,59,,,,,
2021-08-21,56,,,,,
2021-08-22,52,,,,,
2021-08-23,38,,,,,
2021-08-24,103,,,,,
2021-08-25,60,,,,,
2021-08-26,107,,,,,
2021-08-27,128,,,,,
2021-08-28,84,51,,,,
2021-08-29,68,50,,,,
2021-08-30,57,44,,,,
2021-08-31,72,57,,,,
2021-09-01,71,54,,,,
2021-09-02,59,,,,,
2021-09-04,,60,,,,
2021-09-05,99,54,,,,
2021-09-06,104,60,,,,
2021-09-07,111,73,,,,
2021-09-08,148,67,,,,
2021-09-09,140,53,,,,
2021-09-10,115,46,,,,
2021-09-11,98,74,,,,
2021-09-12,151,74,,,,
2021-09-13,121,66,,,,
2021-09-14,89,105,,,,
2021-09-15,121,52,,,,
2021-09-16,64,39,,,,
2021-09-17,53,39,,,,
2021-09-18,59,51,,,,
2021-09-19,69,56,,,,
2021-09-20,77,61,,,,
2021-09-21,78,44,,,,
2021-09-22,61,46,,,,
2021-09-23,64,,,,,
2021-09-25,,30,,,,
