time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,14,17,,0,0,
2021-01-02,30,13,,0,0,
2021-01-03,17,18,,0,0,
2021-01-04,28,,,,,
2021-01-08,,8,,0,0,
2021-01-09,9,3,,0,0,
2021-01-10,8,5,,0,0,
2021-01-11,5,2,,1,0,
2021-01-12,6,6,,0,0,
2021-01-13,14,5,,0,0,
2021-01-14,12,9,,0,0,
2021-01-15,17,,,,,
2021-01-16,,6,,0,,
2021-01-17,,4,,0,,
2021-01-18,6,3,,2,,
2021-01-19,8,7,,0,,
2021-01-20,9,3,,0,,
2021-01-21,21,2,,0,,
2021-01-22,6,4,,0,,
2021-01-23,29,1,,0,,
2021-01-24,5,9,,,,
2021-01-25,10,11,,,,
2021-01-26,16,9,,,,
2021-01-27,14,2,,,,
2021-01-28,6,3,,,,
2021-01-29,8,3,,,,
2021-01-30,11,19,,,,
2021-01-31,36,12,,,,
2021-02-01,26,7,,,,
2021-02-02,12,6,,,,
2021-02-03,9,3,,,,
2021-02-04,6,3,,,,
2021-02-05,5,2,,,,
2021-02-06,4,2,,3,0,
2021-02-07,14,4,,0,0,
2021-02-08,10,8,,0,0,
2021-02-09,22,6,,0,0,
2021-02-10,15,3,,0,0,
2021-02-11,13,6,,0,0,
2021-02-12,11,8,,0,0,
2021-02-13,19,4,,0,0,
2021-02-14,8,4,,0,0,
2021-02-15,12,5,,0,0,
2021-02-16,22,6,,0,0,
2021-02-17,27,10,,0,0,
2021-02-18,20,4,,0,0,
2021-02-19,13,11,,0,0,
2021-02-20,8,7,,0,0,
2021-02-21,17,6,,0,,
2021-06-12,,35,,0,0,
2021-06-13,5,25,,0,0,
2021-06-14,16,5,,0,0,
2021-06-15,11,5,,0,1,
2021-06-16,14,6,,0,0,
2021-06-17,10,5,,0,0,
2021-06-18,10,8,,0,0,
2021-06-19,13,4,,0,0,
2021-06-20,12,6,,0,0,
2021-06-21,12,6,,0,0,
2021-06-22,14,7,,0,0,
2021-06-23,16,3,,0,0,
2021-06-24,11,6,,0,0,
2021-06-25,14,6,,0,0,
2021-06-26,13,7,,0,0,
2021-06-27,17,5,,0,0,
2021-06-28,12,3,,0,0,
2021-06-29,8,3,,0,0,
2021-06-30,9,5,,0,0,
2021-07-01,11,4,,0,0,
2021-07-02,8,4,,0,0,
2021-07-03,7,3,,0,0,
2021-07-04,10,3,,0,0,
2021-07-05,8,3,,0,0,
2021-07-06,8,8,,0,0,
2021-07-07,17,4,,0,0,
2021-07-08,11,2,,0,0,
2021-07-09,7,3,,0,0,
2021-07-10,8,4,,0,0,
2021-07-11,10,10,,0,0,
2021-07-12,10,4,,0,0,
2021-07-13,10,6,,1,0,
2021-07-14,9,7,,0,0,
2021-07-15,14,5,,1,0,
2021-07-16,13,3,,0,0,
2021-07-17,10,1,,0,0,
2021-07-18,6,5,,0,0,
2021-07-19,7,3,,0,0,
2021-07-20,11,2,,0,0,
2021-07-21,13,4,,0,,
2021-07-22,13,4,,0,,
2021-07-23,15,7,,1,,
2021-07-24,13,,,,,
2021-07-28,,19,,0,,
2021-07-29,19,4,,0,,
2021-07-30,8,3,,0,,
2021-07-31,11,2,,0,,
2021-08-01,7,5,,0,,
2021-08-02,15,4,,0,,
2021-08-03,11,2,,0,,
2021-08-04,9,2,,0,,
2021-08-05,7,2,,0,,
2021-08-06,4,6,,,,
2021-08-07,25,6,,,0,
2021-08-08,21,2,,0,0,
2021-08-09,7,4,,0,0,
2021-08-10,12,6,,0,0,
2021-08-11,17,2,,0,0,
2021-08-12,10,2,,0,0,
2021-08-13,10,2,,0,0,
2021-08-14,9,,,0,,
2021-09-30,,6,,0,0,
2021-10-01,5,7,,0,1,
2021-10-02,4,19,,0,0,
2021-10-03,16,4,,1,1,
2021-10-04,7,9,,4,3,
2021-10-05,10,6,,1,7,
2021-10-06,10,11,,3,3,
2021-10-07,28,8,,0,2,
2021-10-08,26,12,,,1,
2021-10-09,34,8,,,2,
2021-10-10,19,5,,,0,
2021-10-11,5,23,,,1,
2021-10-12,23,2,,,0,
2021-10-13,4,4,,,0,
2021-10-14,8,4,,,1,
2021-10-15,4,7,,,1,
2021-10-16,10,6,,,1,
2021-10-17,13,4,,,0,
2021-10-18,9,3,,,1,
2021-10-19,6,5,,,2,
2021-10-20,7,7,,,5,
2021-10-21,13,9,,1,1,
2021-10-22,13,12,,0,0,
2021-10-23,8,6,,0,0,
2021-10-24,9,2,,0,0,
2021-10-25,3,7,,0,0,
2021-10-26,11,6,,0,0,
2021-10-27,9,13,,0,0,
2021-10-28,22,20,,0,0,
2021-10-29,13,8,,0,0,
2021-10-30,12,7,,1,0,
2021-10-31,15,3,,0,0,
2021-11-01,13,8,,0,0,
2021-11-02,47,13,,0,0,
2021-11-03,7,12,,0,0,
2021-11-04,63,2,,0,0,
2021-11-05,9,7,,0,0,
2021-11-06,,9,,1,0,
2021-11-07,,13,,11,5,
2021-11-08,,9,,2,0,
2021-11-10,34,,,,,
2021-12-28,,9,,1,0,
2021-12-29,,13,,11,5,
2021-12-30,34,9,,2,0,
2021-12-31,54,11,,5,3,
2022-01-01,56,13,,0,0,
2022-01-02,,4,,0,0,
2022-01-03,3,2,,0,0,
2022-01-04,8,7,,0,0,
2022-01-05,19,3,,0,0,
2022-01-06,,7,,1,0,
2022-01-07,6,2,,1,0,
2022-01-08,13,3,,1,0,
2022-01-09,,7,,1,0,
2022-01-10,37,10,,,,
2022-01-11,87,12,,,,
2022-01-12,,5,,,,
2022-01-13,,8,,,,
2022-01-14,,4,,,,
2022-01-15,,7,,,,
2022-01-16,44,12,,,,
2022-01-17,,10,,,,
2022-01-18,,13,,,,
2022-01-19,,4,,,,
2022-01-20,,3,,0,0,
2022-01-21,17,9,,,,
2022-01-22,,12,,,,
2022-01-23,34,3,,,,
2022-01-24,81,9,,,,
2022-01-25,,2,,,,
2022-01-26,,9,,,,
2022-01-27,,16,,,,
2022-01-28,,13,,,,
2022-01-29,43,8,,,,
2022-01-30,,8,,,,
2022-01-31,,4,,,,
2022-02-01,34,10,,,,
2022-02-02,53,25,,,,
2022-02-03,16,5,,,0,
2022-02-04,54,4,,,0,
2022-02-05,,14,,,0,
2022-02-06,14,15,,2,0,
2022-02-07,,8,,0,0,
2022-02-08,,5,,0,0,
2022-02-09,23,3,,0,0,
2022-02-10,15,13,,0,0,
2022-02-11,4,13,,0,0,
2022-02-12,6,8,,0,0,
2022-02-13,8,16,,0,0,
2022-02-14,9,13,,,0,
2022-02-15,7,3,,,0,
2022-02-16,18,9,,,0,
2022-02-17,12,13,,,0,
2022-02-18,8,33,,,0,
2022-02-19,12,10,,,0,
2022-02-20,8,15,,,2,
2022-02-21,9,8,,,,
2022-02-22,18,9,,,,
2022-02-23,35,6,,,,
2022-02-24,9,4,,,,
2022-02-25,12,3,,,,
2022-02-26,10,,,,,
2022-02-27,5,,,,,
2022-02-28,8,,,,,
2022-03-04,,,,0,0,
2022-03-05,,2,,0,0,
2022-03-06,,2,,1,0,
2022-03-07,8,3,,1,0,
2022-03-08,6,3,,2,0,
2022-03-09,8,10,,0,0,
2022-03-10,5,3,,0,0,
2022-03-11,8,9,,1,0,
2022-03-12,9,,,,,
2022-03-13,8,,,,,
2022-03-14,6,,,,,
2022-03-20,,9,,3,0,
2022-03-21,,3,,4,0,
2022-03-22,,2,,0,1,
2022-03-23,8,5,,1,0,
2022-03-24,10,5,,1,0,
2022-03-25,2,6,,1,0,
2022-03-26,14,8,,0,0,
2022-03-27,7,7,,0,0,
2022-03-28,10,7,,1,0,
2022-03-29,11,8,,1,3,
2022-03-30,9,22,,0,0,
2022-03-31,,24,,,,
2022-03-31,8,24,,,0,
2022-04-01,38,13,,,,
2022-04-01,20,,,,,
2022-04-02,17,5,,,,
2022-04-02,34,,,,,
2022-04-03,10,15,,,,
2022-04-03,30,,,,,
2022-04-04,3,2,,,,
2022-04-05,5,,,,,
2022-04-06,,,,,0,
2022-04-07,9,4,,0,0,
2022-04-08,5,5,,0,0,
2022-04-09,6,8,,0,0,
2022-04-10,11,9,,0,0,
2022-04-11,10,4,,0,0,
2022-04-12,5,,,,,
2022-04-14,,4,,0,0,
2022-04-15,,6,,0,0,
2022-04-16,,6,,1,0,
2022-04-17,8,4,,0,0,
2022-04-18,10,18,,0,0,
2022-04-19,7,8,,0,0,
2022-04-20,18,8,,3,0,
2022-04-21,7,11,,0,0,
2022-04-22,6,7,,2,0,
2022-04-23,7,3,,1,0,
2022-04-24,10,4,,1,0,
2022-04-25,8,7,,0,0,
2022-04-26,8,14,,0,0,
2022-04-27,11,6,,2,0,
2022-04-28,20,7,,0,0,
2022-04-29,5,4,,1,0,
2022-04-30,11,5,,2,0,
2022-05-01,9,6,,0,0,
2022-05-02,7,12,,0,1,
2022-05-03,10,6,,0,0,
2022-05-04,23,12,,0,0,
2022-05-05,8,7,,1,0,
2022-05-06,23,13,,1,0,
2022-05-07,11,13,,0,0,
2022-05-08,19,5,,1,0,
2022-05-09,20,10,,1,0,
2022-05-10,8,5,,,0,
2022-05-11,9,4,,,0,
2022-05-12,6,5,,,0,
2022-05-13,7,7,,,0,
2022-05-14,4,12,,0,0,
2022-05-15,7,9,,0,0,
2022-05-16,10,6,,0,0,
2022-05-17,19,4,,0,0,
2022-05-18,12,7,,0,0,
2022-05-19,8,6,,0,0,
2022-05-20,16,4,,2,0,
2022-05-21,13,13,,0,0,
2022-05-22,9,12,,0,0,
2022-05-23,24,4,,1,0,
2022-05-24,31,4,,1,0,
2022-05-25,9,7,,0,0,
2022-05-26,17,9,,0,0,
2022-05-27,10,14,,0,0,
2022-05-28,25,2,,1,0,
2022-05-29,24,8,,0,0,
2022-05-30,10,10,,,0,
2022-05-31,13,4,,,0,
2022-06-01,17,6,,,0,
2022-06-02,7,8,,,0,
2022-06-03,13,3,,0,0,
2022-06-04,6,4,,0,0,
2022-06-05,,7,,2,0,
2022-06-05,8,18,,1,0,
2022-06-06,16,3,,1,0,
2022-06-06,9,3,,0,0,
2022-06-07,10,1,,0,0,
2022-06-07,19,4,,0,0,
2022-06-08,6,4,,0,0,
2022-06-08,10,3,,0,0,
2022-06-09,11,9,,4,1,
2022-06-09,10,18,,0,0,
2022-06-10,23,9,,4,1,
2022-06-10,6,7,,0,0,
2022-06-11,22,4,,0,0,
2022-06-11,2,6,,0,0,
2022-06-12,8,6,,0,0,
2022-06-12,17,10,,0,0,
2022-06-13,9,5,,0,0,
2022-06-13,7,9,,0,0,
2022-06-14,11,4,,0,0,
2022-06-14,9,4,,1,0,
2022-06-15,8,5,,0,0,
2022-06-15,12,6,,0,0,
2022-06-16,13,7,,0,0,
2022-06-16,5,8,,0,0,
2022-06-17,12,11,,0,1,
2022-06-17,19,10,,2,0,
2022-06-18,6,14,,0,4,
2022-06-18,10,4,,0,0,
2022-06-19,8,7,,0,3,
2022-06-19,20,10,,0,0,
2022-06-20,9,3,,0,1,
2022-06-20,11,7,,0,0,
2022-06-21,7,2,,0,1,
2022-06-21,14,4,,0,0,
2022-06-22,6,2,,1,1,
2022-06-22,16,12,,0,0,
2022-06-23,7,3,,0,1,
2022-06-23,3,11,,0,0,
2022-06-24,9,7,,0,1,
2022-06-24,22,6,,0,0,
2022-06-25,9,4,,0,1,
2022-06-25,16,4,,0,0,
2022-06-26,8,6,,1,0,
2022-06-26,7,2,,0,0,
2022-06-27,16,5,,1,0,
2022-06-27,9,7,,2,0,
2022-06-28,15,7,,1,0,
2022-06-28,6,3,,1,0,
2022-06-29,22,2,,0,0,
2022-06-29,16,1,,0,0,
2022-06-30,7,4,,1,0,
2022-06-30,10,,,,,
2022-07-01,10,3,,0,0,
2022-07-01,6,,,,,
2022-07-02,10,6,,1,1,
2022-07-03,12,5,,0,0,
2022-07-04,8,9,,0,0,
2022-07-05,14,10,,1,0,
2022-07-06,23,7,,0,0,
2022-07-07,11,3,,1,0,
2022-07-08,10,4,,,0,
2022-07-09,15,2,,,0,
2022-07-10,9,4,,,0,
2022-07-11,,,,,0,
2022-07-12,,,,,0,
2022-07-13,,2,,0,0,
2022-07-14,,6,,0,0,
2022-07-15,6,7,,0,0,
2022-07-16,13,3,,0,0,
2022-07-17,15,6,,0,0,
2022-07-18,11,7,,0,0,
2022-07-19,18,5,,0,0,
2022-07-20,11,10,,0,0,
2022-07-21,15,10,,0,0,
2022-07-22,10,4,,1,0,
2022-07-23,10,4,,0,0,
2022-07-24,13,4,,1,0,
2022-07-25,9,1,,0,0,
2022-07-26,4,1,,0,0,
2022-07-27,6,2,,0,0,
2022-07-28,7,5,,1,1,
2022-07-29,5,2,,0,0,
2022-07-30,8,11,,0,0,
2022-07-31,7,5,,0,0,
2022-08-01,40,4,,0,0,
2022-08-02,11,3,,0,0,
2022-08-03,9,7,,0,0,
2022-08-04,7,8,,0,1,
2022-08-05,8,3,,0,0,
2022-08-06,14,5,,2,1,
2022-08-07,8,3,,0,1,
2022-08-08,14,4,,0,1,
2022-08-09,8,15,,1,1,
2022-08-10,8,7,,0,1,
2022-08-11,12,10,,0,1,
2022-08-12,7,6,,0,1,
2022-08-13,8,4,,1,,
2022-08-14,9,6,,0,,
2022-08-15,10,2,,0,,
2022-08-16,11,5,,0,,
2022-08-17,7,4,,0,,
2022-08-18,11,4,,0,,
2022-08-19,5,5,,0,,
2022-08-20,8,5,,0,,
2022-08-21,9,4,,1,,
2022-08-22,7,8,,2,,
2022-08-23,16,10,,0,,
2022-08-24,14,4,,0,,
2022-08-25,17,4,,0,,
2022-08-26,8,3,,0,,
2022-08-27,4,,,,,
2022-08-28,8,,,,,
2022-09-19,9,2,,0,,
2022-09-20,9,2,,0,,
2022-09-21,8,6,,1,,
2022-09-22,10,3,,1,,
2022-09-23,9,4,,1,,
2022-09-24,5,2,,0,,
2022-09-25,11,3,,0,1,
