time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,42,18,25,9,5,
2021-01-01,53,16,19,14,5,
2021-01-02,53,9,31,5,5,
2021-01-02,61,18,25,9,5,
2021-01-03,17,9,25,7,5,
2021-01-03,42,9,31,5,5,
2021-01-04,13,11,18,8,,
2021-01-04,53,9,25,7,5,
2021-01-05,30,15,16,12,,
2021-01-05,17,,,,5,
2021-01-06,38,22,21,16,,
2021-01-06,13,,,,,
2021-01-07,59,21,18,19,,
2021-01-08,59,30,17,22,,
2021-01-09,74,26,23,12,,
2021-01-10,63,12,17,6,,
2021-01-11,25,10,13,11,,
2021-01-12,25,12,14,20,,
2021-01-13,38,20,14,13,,
2021-01-14,55,17,14,8,,
2021-01-15,57,12,15,13,5,
2021-01-16,38,15,17,12,5,
2021-01-17,53,24,19,12,5,
2021-01-18,72,34,12,11,5,
2021-01-19,95,33,9,11,5,
2021-01-20,82,29,13,12,5,
2021-01-21,74,36,8,11,5,
2021-01-22,89,60,3,14,5,
2021-01-23,137,56,6,11,5,
2021-01-24,107,39,17,10,5,
2021-01-25,65,24,8,12,5,
2021-01-26,59,11,20,15,5,
2021-01-27,30,19,11,14,5,
2021-01-28,57,21,11,16,5,
2021-01-29,50,32,9,14,5,
2021-01-30,78,33,5,13,5,
2021-01-31,76,23,5,9,5,
2021-02-01,57,20,5,12,5,
2021-02-02,63,56,6,11,,
2021-02-03,137,48,11,12,,
2021-02-04,112,35,3,11,,
2021-02-05,85,25,13,17,,
2021-02-06,61,33,10,9,5,
2021-02-07,78,35,9,10,5,
2021-02-08,89,34,10,14,5,
2021-02-09,89,30,4,15,5,
2021-02-10,72,41,3,14,5,
2021-02-11,87,57,3,12,5,
2021-02-12,151,50,3,12,5,
2021-02-13,129,59,3,10,5,
2021-02-14,153,51,6,9,5,
2021-02-15,132,32,5,10,5,
2021-02-16,85,23,4,10,5,
2021-02-17,61,23,6,10,5,
2021-02-18,50,20,5,14,5,
2021-02-19,53,18,12,15,5,
2021-02-20,53,17,17,12,5,
2021-02-21,50,19,14,11,5,
2021-02-22,61,30,10,20,5,
2021-02-23,82,49,5,15,5,
2021-02-24,127,50,5,14,5,
2021-02-25,132,55,3,15,5,
2021-02-26,151,57,3,14,5,
2021-02-27,137,64,3,17,5,
2021-02-28,160,64,3,12,5,
2021-03-01,162,35,6,14,5,
2021-03-02,97,31,4,15,5,
2021-03-03,91,19,11,17,5,
2021-03-04,61,19,3,13,,
2021-03-05,57,23,7,15,5,
2021-03-06,68,12,9,14,5,
2021-03-07,42,18,12,11,5,
2021-03-08,59,21,10,17,5,
2021-03-09,63,11,17,11,5,
2021-03-10,42,10,11,10,5,
2021-03-11,30,23,8,13,5,
2021-03-12,70,33,3,12,5,
2021-03-13,95,30,3,13,5,
2021-03-14,93,22,5,11,5,
2021-03-15,65,33,3,12,5,
2021-03-16,80,40,3,13,5,
2021-03-17,119,38,3,13,5,
2021-03-18,109,32,3,17,5,
2021-03-19,93,48,3,16,5,
2021-03-20,134,45,3,11,5,
2021-03-21,127,47,3,15,5,
2021-03-22,132,30,3,12,5,
2021-03-23,91,42,4,11,5,
2021-03-24,122,50,3,11,5,
2021-03-25,129,57,3,14,5,
2021-03-26,142,10,20,13,5,
2021-03-27,38,15,21,9,5,
2021-03-28,55,21,11,11,5,
2021-03-29,68,19,15,18,5,
2021-03-30,63,40,4,20,5,
2021-03-31,124,43,3,19,5,
2021-04-01,,34,4,13,5,
2021-04-01,132,35,8,23,5,
2021-04-02,91,20,8,14,5,
2021-04-02,104,50,3,22,5,
2021-04-03,68,12,11,7,5,
2021-04-03,151,30,3,16,5,
2021-04-04,50,20,6,13,5,
2021-04-04,93,20,7,12,5,
2021-04-05,72,34,9,14,5,
2021-04-05,68,,,,,
2021-04-06,102,34,4,14,5,
2021-04-07,102,31,10,14,5,
2021-04-08,95,31,6,13,5,
2021-04-09,85,35,9,18,5,
2021-04-10,97,53,4,22,5,
2021-04-11,147,59,4,22,5,
2021-04-12,158,43,3,15,5,
2021-04-13,127,37,7,16,5,
2021-04-14,107,52,4,16,5,
2021-04-15,151,56,6,14,5,
2021-04-16,151,50,3,17,5,
2021-04-17,119,58,3,17,5,
2021-04-18,157,65,3,17,5,
2021-04-19,159,50,3,17,5,
2021-04-20,139,12,17,17,5,
2021-04-21,42,25,12,12,5,
2021-04-22,76,28,12,18,5,
2021-04-23,89,13,19,18,5,
2021-04-24,42,25,14,18,5,
2021-04-25,70,31,9,19,5,
2021-04-26,82,53,3,20,5,
2021-04-27,151,50,4,21,5,
2021-04-28,144,35,13,10,5,
2021-04-29,104,21,10,15,5,
2021-04-30,65,30,7,11,,
2021-05-01,76,37,5,13,5,
2021-05-02,82,28,3,17,5,
2021-05-03,87,41,3,15,5,
2021-05-04,107,45,3,12,5,
2021-05-05,114,30,11,7,5,
2021-05-06,72,13,21,11,5,
2021-05-07,38,29,12,15,5,
2021-05-08,82,18,8,11,5,
2021-05-09,61,20,12,13,5,
2021-05-10,63,15,22,7,5,
2021-05-11,53,15,28,16,5,
2021-05-12,50,24,23,16,5,
2021-05-13,72,22,18,24,5,
2021-05-14,65,30,18,20,5,
2021-05-15,85,,15,16,5,
2021-05-16,,62,9,17,5,
2021-05-17,158,57,5,14,5,
2021-05-18,153,48,17,12,5,
2021-05-19,119,51,9,11,5,
2021-05-20,122,33,18,13,5,
2021-05-21,76,49,19,17,5,
2021-05-22,109,50,22,19,5,
2021-05-23,93,60,21,19,5,
2021-05-24,95,67,17,22,5,
2021-05-25,114,56,25,14,5,
2021-05-26,93,20,28,13,5,
2021-05-27,42,20,27,17,5,
2021-05-28,55,30,21,22,5,
2021-05-29,72,42,23,19,,
2021-05-30,95,42,25,14,5,
2021-05-31,93,37,31,16,5,
2021-06-01,78,19,24,8,5,
2021-06-02,50,19,26,13,5,
2021-06-03,55,31,26,14,5,
2021-06-04,80,40,26,17,5,
2021-06-05,102,40,24,21,5,
2021-06-06,95,50,9,22,5,
2021-06-07,109,53,25,15,5,
2021-06-08,119,31,32,11,5,
2021-06-09,74,20,32,8,5,
2021-06-10,38,11,30,10,5,
2021-06-11,21,6,32,6,5,
2021-06-12,17,12,28,13,5,
2021-06-13,30,17,30,9,5,
2021-06-14,34,20,28,11,5,
2021-06-15,53,20,30,11,5,
2021-06-16,57,15,30,11,5,
2021-06-17,46,18,26,13,5,
2021-06-18,50,24,27,23,5,
2021-06-19,50,34,32,24,5,
2021-06-20,72,50,34,22,5,
2021-06-21,102,39,35,18,5,
2021-06-22,85,31,28,,5,
2021-06-23,74,25,33,,5,
2021-06-24,63,32,38,14,5,
2021-06-25,72,42,43,14,5,
2021-06-26,89,49,45,14,5,
2021-06-27,99,33,,,5,
2021-06-28,76,17,42,15,5,
2021-06-29,38,20,33,11,5,
2021-06-30,50,12,34,4,5,
2021-07-01,,33,,,5,
2021-07-01,30,,,,,
2021-07-02,76,17,42,15,5,
2021-07-03,38,20,33,11,5,
2021-07-04,50,12,34,4,5,
2021-07-05,30,13,36,6,5,
2021-07-06,38,15,30,,,
2021-07-07,34,10,32,6,5,
2021-07-08,30,11,37,17,5,
2021-07-09,25,15,34,13,5,
2021-07-10,30,20,31,14,5,
2021-07-11,42,14,29,6,5,
2021-07-12,42,11,24,9,5,
2021-07-13,34,6,26,6,5,
2021-07-14,13,12,35,11,5,
2021-07-15,38,14,32,11,5,
2021-07-16,42,19,37,14,5,
2021-07-17,57,23,39,12,5,
2021-07-18,61,20,31,9,5,
2021-07-19,57,19,37,11,5,
2021-07-20,61,14,41,12,5,
2021-07-21,46,17,45,11,5,
2021-07-22,53,27,46,13,5,
2021-07-23,68,26,46,12,5,
2021-07-24,65,20,47,12,5,
2021-07-25,55,23,57,9,5,
2021-07-26,63,27,36,9,5,
2021-07-27,63,20,31,7,5,
2021-07-28,57,22,36,8,5,
2021-07-29,65,27,25,,5,
2021-07-30,70,19,30,,5,
2021-07-31,55,22,25,7,5,
2021-08-01,59,11,33,3,5,
2021-08-02,25,11,37,9,5,
2021-08-03,21,10,39,12,,
2021-08-04,25,12,36,7,5,
2021-08-05,25,13,35,7,5,
2021-08-06,21,13,33,10,5,
2021-08-07,30,12,33,6,5,
2021-08-08,21,12,42,4,5,
2021-08-09,25,16,42,9,5,
2021-08-10,30,12,37,7,5,
2021-08-11,25,10,34,7,5,
2021-08-12,17,10,36,7,5,
2021-08-13,17,12,28,7,5,
2021-08-14,21,9,35,6,5,
2021-08-15,17,18,26,5,5,
2021-08-16,42,16,37,6,5,
2021-08-17,21,11,36,9,5,
2021-08-18,13,10,39,6,5,
2021-08-19,21,9,39,11,5,
2021-08-20,17,10,40,14,5,
2021-08-21,17,14,37,8,5,
2021-08-22,21,16,38,5,5,
2021-08-23,34,11,30,7,5,
2021-08-24,21,10,37,8,5,
2021-08-25,21,12,41,5,5,
2021-08-26,30,15,45,,5,
2021-08-27,30,12,50,6,5,
2021-08-28,30,13,50,7,5,
2021-08-29,30,9,43,4,5,
2021-08-30,21,11,43,6,5,
2021-08-31,30,18,49,7,5,
2021-09-01,42,20,45,5,5,
2021-09-02,42,18,50,9,,
2021-09-03,38,33,60,9,5,
2021-09-04,42,23,36,6,5,
2021-09-05,34,20,37,4,5,
2021-09-06,38,14,39,5,5,
2021-09-07,38,21,40,6,5,
2021-09-08,53,27,54,8,5,
2021-09-09,59,26,52,8,5,
2021-09-10,65,24,48,11,5,
2021-09-11,61,23,64,8,5,
2021-09-12,57,20,61,6,5,
2021-09-13,55,22,50,4,5,
2021-09-14,50,19,49,7,5,
2021-09-15,42,25,61,9,5,
2021-09-16,61,26,70,10,5,
2021-09-17,61,19,60,9,5,
2021-09-18,50,21,45,8,5,
2021-09-19,46,36,40,6,5,
2021-09-20,57,47,37,12,5,
2021-09-21,55,20,39,8,5,
2021-09-22,34,20,44,10,5,
2021-09-23,42,13,43,9,5,
2021-09-24,30,14,40,6,5,
2021-09-25,21,17,59,11,5,
2021-09-26,34,20,65,13,5,
2021-09-27,,18,50,10,5,
2021-09-27,50,20,62,11,5,
2021-09-28,30,19,56,9,5,
2021-09-28,50,17,41,9,5,
2021-09-29,38,19,60,11,5,
2021-09-29,34,14,38,4,5,
2021-09-30,46,24,39,8,5,
2021-09-30,17,18,50,10,5,
2021-10-01,63,13,45,11,5,
2021-10-01,30,19,56,9,5,
2021-10-02,34,17,57,10,,
2021-10-02,38,19,60,11,5,
2021-10-03,42,20,55,8,5,
2021-10-03,46,24,39,8,5,
2021-10-04,53,24,41,8,5,
2021-10-04,63,,,,,
2021-10-05,59,10,43,8,5,
2021-10-06,17,16,63,10,5,
2021-10-07,38,15,64,6,5,
2021-10-08,42,23,63,7,5,
2021-10-09,55,19,40,6,5,
2021-10-10,38,11,37,6,5,
2021-10-11,17,16,38,8,5,
2021-10-12,34,24,42,8,5,
2021-10-13,57,20,37,12,5,
2021-10-14,55,15,43,12,5,
2021-10-15,42,20,49,9,5,
2021-10-16,46,24,61,10,5,
2021-10-17,53,25,59,7,5,
2021-10-18,53,24,57,6,5,
2021-10-19,50,23,67,8,5,
2021-10-20,55,23,50,8,5,
2021-10-21,57,25,48,5,5,
2021-10-22,55,23,45,7,5,
2021-10-23,55,26,33,8,5,
2021-10-24,57,23,44,8,5,
2021-10-25,55,24,50,10,5,
2021-10-26,59,19,47,10,5,
2021-10-27,55,21,56,10,5,
2021-10-28,57,12,40,4,5,
2021-10-29,38,,35,11,5,
2021-10-30,,,43,12,5,
2021-10-31,,,34,8,,
2021-11-01,,,37,5,5,
2021-11-02,,13,49,7,5,
2021-11-03,34,15,43,6,5,
2021-11-04,34,20,37,5,5,
2021-11-05,38,18,48,9,5,
2021-11-06,34,20,51,9,5,
2021-11-07,38,22,74,11,5,
2021-11-08,46,24,65,12,5,
2021-11-09,57,26,63,12,5,
2021-11-10,61,27,76,13,5,
2021-11-11,61,30,72,10,5,
2021-11-12,68,32,44,7,5,
2021-11-13,68,45,44,5,5,
2021-11-14,68,12,42,4,5,
2021-11-15,25,13,47,6,5,
2021-11-16,25,16,50,8,5,
2021-11-17,34,18,59,8,5,
2021-11-18,38,20,57,6,5,
2021-11-19,50,19,36,7,5,
2021-11-20,50,15,40,10,5,
2021-11-21,38,11,41,6,5,
2021-11-22,25,12,53,9,5,
2021-11-23,25,16,38,8,5,
2021-11-24,38,13,40,8,5,
2021-11-25,34,10,39,7,5,
2021-11-26,21,9,39,7,5,
2021-11-27,21,13,42,8,5,
2021-11-28,30,20,50,9,5,
2021-11-29,46,17,46,7,,
2021-11-30,42,16,44,8,5,
2021-12-01,46,19,45,11,5,
2021-12-02,46,20,51,9,5,
2021-12-03,50,18,54,11,5,
2021-12-04,50,20,50,16,5,
2021-12-05,53,22,51,7,5,
2021-12-06,53,24,51,11,5,
2021-12-07,59,28,63,15,5,
2021-12-08,63,30,59,11,5,
2021-12-09,63,39,62,12,5,
2021-12-10,76,28,63,16,5,
2021-12-11,68,29,51,15,5,
2021-12-12,65,31,38,15,5,
2021-12-13,65,25,30,12,5,
2021-12-14,53,22,37,11,5,
2021-12-15,38,20,37,9,5,
2021-12-16,53,23,30,7,5,
2021-12-17,61,13,32,11,5,
2021-12-18,38,13,32,12,5,
2021-12-19,34,11,35,13,5,
2021-12-20,34,19,39,15,5,
2021-12-21,50,20,46,16,5,
2021-12-22,50,30,46,10,5,
2021-12-23,70,28,28,8,5,
2021-12-24,68,25,26,17,5,
2021-12-25,61,23,37,13,5,
2021-12-26,61,38,38,15,5,
2021-12-27,89,38,30,10,5,
2021-12-28,97,15,32,11,,
2021-12-29,42,15,34,11,,
2021-12-30,,15,32,11,,
2021-12-30,38,21,32,6,,
2021-12-31,38,21,34,11,,
2021-12-31,57,21,,,,
2022-01-01,57,21,32,6,,
2022-01-01,57,,,,,
2022-01-02,57,25,26,6,,
2022-01-03,57,10,26,12,,
2022-01-04,25,11,22,10,,
2022-01-05,25,12,14,14,,
2022-01-06,25,14,19,17,,
2022-01-07,34,20,31,10,,
2022-01-08,38,26,32,16,,
2022-01-09,57,23,29,18,,
2022-01-10,57,26,21,13,,
2022-01-11,65,24,28,10,,
2022-01-12,63,16,26,22,,
2022-01-13,46,19,26,20,,
2022-01-14,50,27,28,14,,
2022-01-15,70,25,25,17,,
2022-01-16,65,31,24,23,,
2022-01-17,76,44,19,25,,
2022-01-18,97,30,22,18,,
2022-01-19,76,49,13,12,,
2022-01-20,114,50,12,21,,
2022-01-21,104,45,21,17,,
2022-01-22,93,18,24,10,,
2022-01-23,42,30,15,18,,
2022-01-24,59,36,20,22,,
2022-01-25,76,41,18,25,,
2022-01-26,91,43,16,26,5,
2022-01-27,91,50,16,23,5,
2022-01-28,107,55,15,15,5,
2022-01-29,134,52,17,11,5,
2022-01-30,129,27,19,7,5,
2022-01-31,72,20,15,16,5,
2022-02-01,55,21,11,14,,
2022-02-02,57,12,24,19,5,
2022-02-03,38,19,8,15,5,
2022-02-04,55,21,18,19,5,
2022-02-05,61,29,7,14,5,
2022-02-06,76,30,7,13,5,
2022-02-07,78,23,11,13,5,
2022-02-08,61,30,4,14,5,
2022-02-09,78,32,5,16,5,
2022-02-10,80,30,3,15,5,
2022-02-11,72,31,3,15,5,
2022-02-12,74,19,18,12,5,
2022-02-13,57,19,17,13,5,
2022-02-14,59,28,11,11,5,
2022-02-15,74,38,9,13,5,
2022-02-16,95,38,6,11,5,
2022-02-17,85,29,13,7,5,
2022-02-18,76,17,9,9,5,
2022-02-19,42,14,7,8,5,
2022-02-20,34,18,7,11,5,
2022-02-21,50,18,13,17,5,
2022-02-22,46,24,10,19,5,
2022-02-23,68,27,7,16,5,
2022-02-24,76,25,14,19,5,
2022-02-25,63,26,5,15,5,
2022-02-26,68,19,13,10,5,
2022-02-27,53,18,9,15,5,
2022-02-28,55,14,15,15,5,
2022-03-01,34,29,7,19,5,
2022-03-02,70,41,3,15,,
2022-03-03,99,28,10,19,5,
2022-03-04,74,31,3,16,5,
2022-03-05,85,43,10,18,5,
2022-03-06,114,50,5,20,5,
2022-03-07,129,38,6,22,5,
2022-03-08,91,31,3,20,5,
2022-03-09,82,28,5,15,5,
2022-03-10,76,28,3,17,5,
2022-03-11,74,26,13,17,5,
2022-03-12,78,23,13,21,5,
2022-03-13,68,27,10,20,5,
2022-03-14,72,51,5,23,5,
2022-03-15,124,50,3,17,5,
2022-03-16,107,53,3,21,5,
2022-03-17,124,48,3,23,5,
2022-03-18,68,31,3,21,5,
2022-03-19,57,43,3,19,5,
2022-03-20,99,41,3,20,5,
2022-03-21,109,40,3,15,5,
2022-03-22,95,36,4,17,5,
2022-03-23,89,29,3,15,5,
2022-03-24,68,43,3,13,5,
2022-03-25,117,49,4,11,5,
2022-03-26,129,33,6,11,5,
2022-03-27,91,43,4,13,5,
2022-03-28,99,43,3,15,5,
2022-03-29,119,22,3,15,5,
2022-03-30,55,17,3,15,5,
2022-03-31,,20,3,11,5,
2022-03-31,34,20,3,15,5,
2022-04-01,55,40,3,12,,
2022-04-01,46,28,3,12,5,
2022-04-02,95,25,10,11,5,
2022-04-02,57,20,4,11,5,
2022-04-03,46,12,22,12,5,
2022-04-03,50,,,,,
2022-04-04,34,23,13,14,5,
2022-04-05,59,32,6,11,5,
2022-04-06,82,42,4,12,5,
2022-04-07,104,44,5,16,5,
2022-04-08,119,43,5,20,5,
2022-04-09,107,39,9,21,5,
2022-04-10,93,44,5,20,5,
2022-04-11,104,31,13,20,5,
2022-04-12,78,44,7,22,5,
2022-04-13,107,46,13,16,5,
2022-04-14,119,38,11,20,5,
2022-04-15,93,54,4,18,5,
2022-04-16,127,55,8,18,5,
2022-04-17,142,44,8,17,5,
2022-04-18,109,43,5,17,5,
2022-04-19,102,47,15,15,5,
2022-04-20,107,45,9,13,5,
2022-04-21,82,46,7,15,5,
2022-04-22,91,50,16,11,5,
2022-04-23,107,38,17,,5,
2022-04-24,72,41,13,11,5,
2022-04-25,82,29,9,20,5,
2022-04-26,63,31,6,23,5,
2022-04-27,78,51,15,17,5,
2022-04-28,129,51,12,22,5,
2022-04-29,122,10,25,25,5,
2022-04-30,21,16,23,,,
2022-05-01,34,34,16,,5,
2022-05-02,76,34,14,18,5,
2022-05-03,76,48,14,12,5,
2022-05-04,107,46,14,10,5,
2022-05-05,104,,22,24,5,
2022-05-06,,21,20,27,5,
2022-05-07,50,35,20,25,5,
2022-05-08,72,34,19,18,5,
2022-05-09,74,47,13,23,5,
2022-05-10,93,32,25,21,5,
2022-05-11,78,25,23,20,5,
2022-05-12,65,35,17,13,5,
2022-05-13,87,32,13,17,5,
2022-05-14,91,30,6,20,5,
2022-05-15,65,31,13,20,5,
2022-05-16,80,53,17,20,5,
2022-05-17,119,56,13,14,5,
2022-05-18,152,54,21,16,5,
2022-05-19,134,24,27,10,5,
2022-05-20,61,10,28,24,5,
2022-05-21,25,30,22,21,5,
2022-05-22,76,40,17,19,5,
2022-05-23,97,39,24,20,5,
2022-05-24,91,13,28,13,5,
2022-05-25,34,20,29,16,5,
2022-05-26,55,22,28,14,5,
2022-05-27,59,25,29,24,5,
2022-05-28,61,35,28,26,,
2022-05-29,78,37,32,26,5,
2022-05-30,82,41,35,14,5,
2022-05-31,102,29,30,12,5,
2022-06-01,70,25,31,14,5,
2022-06-02,65,30,31,22,5,
2022-06-03,76,35,29,,5,
2022-06-04,80,41,29,,5,
2022-06-05,91,52,34,38,5,
2022-06-06,104,37,32,27,5,
2022-06-07,82,26,34,12,5,
2022-06-08,63,26,37,,5,
2022-06-09,68,31,34,,5,
2022-06-10,74,47,34,19,5,
2022-06-11,107,50,30,23,5,
2022-06-12,102,56,27,28,5,
2022-06-13,132,42,30,19,5,
2022-06-14,95,26,37,13,5,
2022-06-15,65,31,39,,5,
2022-06-16,78,32,39,,5,
2022-06-17,78,38,41,25,5,
2022-06-18,78,38,43,19,5,
2022-06-19,82,36,42,23,5,
2022-06-20,74,37,45,29,5,
2022-06-21,76,46,50,30,5,
2022-06-22,91,52,49,18,5,
2022-06-23,122,51,47,18,5,
2022-06-24,109,44,42,13,5,
2022-06-25,93,46,27,6,5,
2022-06-26,89,24,28,15,5,
2022-06-27,59,17,28,11,5,
2022-06-28,38,10,35,8,5,
2022-06-29,21,14,32,7,5,
2022-06-30,,17,28,11,5,
2022-06-30,42,,,,,
2022-07-01,38,10,35,8,5,
2022-07-02,21,14,32,7,5,
2022-07-03,42,19,35,17,5,
2022-07-04,53,25,40,15,,
2022-07-05,70,28,39,13,5,
2022-07-06,70,17,38,14,5,
2022-07-07,46,16,32,19,5,
2022-07-08,30,10,35,4,5,
2022-07-09,13,9,35,11,5,
2022-07-10,21,14,39,14,5,
2022-07-11,42,21,42,13,5,
2022-07-12,46,20,44,12,5,
2022-07-13,50,20,49,14,5,
2022-07-14,50,21,47,16,5,
2022-07-15,55,20,40,9,5,
2022-07-16,46,15,37,6,5,
2022-07-17,25,15,40,6,5,
2022-07-18,34,16,41,9,5,
2022-07-19,38,20,37,6,5,
2022-07-20,34,16,29,9,5,
2022-07-21,34,20,26,9,5,
2022-07-22,57,16,29,12,5,
2022-07-23,30,5,32,6,5,
2022-07-24,13,10,33,7,5,
2022-07-25,21,18,32,10,5,
2022-07-26,38,15,41,10,5,
2022-07-27,42,14,42,10,5,
2022-07-28,38,19,44,13,5,
2022-07-29,50,19,47,8,5,
2022-07-30,50,16,40,7,5,
2022-07-31,42,16,41,11,5,
2022-08-01,42,18,41,9,,
2022-08-02,46,17,37,10,5,
2022-08-03,42,25,28,14,5,
2022-08-04,59,14,33,7,5,
2022-08-05,34,18,31,5,5,
