time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,26,15,28,4,1,
2021-01-02,48,11,34,1,7,
2021-01-03,42,18,31,1,2,
2021-01-04,47,13,32,1,,
2021-01-05,43,9,34,2,,
2021-01-06,38,9,29,1,,
2021-01-07,40,9,32,1,,
2021-01-08,41,8,33,2,,
2021-01-09,33,7,35,2,1,
2021-01-10,28,8,32,3,,
2021-01-11,31,15,33,1,,
2021-01-12,51,8,31,1,,
2021-01-13,27,5,32,,,
2021-01-14,26,7,36,1,,
2021-01-15,36,8,33,1,,
2021-01-16,28,6,34,3,1,
2021-01-17,25,8,36,1,1,
2021-01-18,30,10,34,1,1,
2021-01-19,33,6,34,1,1,
2021-01-20,26,8,36,1,1,
2021-01-21,33,10,38,2,1,
2021-01-22,43,15,35,1,,
2021-01-23,60,8,37,2,,
2021-01-24,36,6,33,4,,
2021-01-25,25,6,30,4,,
2021-01-26,29,21,41,1,1,
2021-01-27,72,18,38,2,1,
2021-01-28,62,6,30,1,,
2021-01-29,27,5,31,1,,
2021-01-30,20,5,31,1,,
2021-01-31,23,5,29,1,,
2021-02-01,18,7,32,1,1,
2021-02-02,29,7,30,1,,
2021-02-03,27,5,31,1,,
2021-02-04,20,12,32,2,,
2021-02-05,47,20,35,3,,
2021-02-06,70,17,38,5,1,
2021-02-07,63,17,39,2,2,
2021-02-08,57,11,32,1,,
2021-02-09,41,5,29,2,,
2021-02-10,32,8,27,2,1,
2021-02-11,29,6,35,1,,
2021-02-12,24,8,28,3,2,
2021-02-13,32,7,28,2,,
2021-02-14,24,5,28,1,,
2021-02-15,17,6,28,2,,
2021-02-16,21,6,32,1,,
2021-02-17,33,8,33,1,1,
2021-02-18,33,,,,,
2021-06-28,,8,37,1,,
2021-06-29,35,9,47,2,1,
2021-06-30,38,16,45,2,1,
2021-07-01,38,12,46,1,,
2021-07-02,32,10,48,1,,
2021-07-03,39,9,49,2,1,
2021-07-04,31,11,40,1,1,
2021-07-05,36,19,44,1,,
2021-07-06,57,12,48,1,,
2021-07-07,43,12,62,1,1,
2021-07-08,39,17,79,2,1,
2021-07-09,51,17,71,2,4,
2021-07-10,63,20,68,4,3,
2021-07-11,69,17,51,3,1,
2021-07-12,58,15,42,3,1,
2021-07-13,51,11,47,1,,
2021-07-14,43,7,45,1,,
2021-07-15,31,12,41,1,2,
2021-07-16,36,9,34,2,,
2021-07-17,26,16,64,1,1,
2021-07-18,44,26,76,1,1,
2021-07-19,69,14,56,1,,
2021-07-20,46,11,48,1,,
2021-07-21,44,7,47,1,1,
2021-07-22,30,16,44,1,3,
2021-07-23,40,16,55,1,,
2021-07-24,43,15,55,2,1,
2021-07-25,48,16,54,1,,
2021-07-26,43,46,64,1,,
2021-07-27,103,35,72,2,,
2021-07-28,86,39,55,2,,
2021-07-29,80,24,42,2,1,
2021-07-30,54,9,36,1,,
2021-07-31,25,8,37,1,,
2021-08-01,19,19,31,2,,
2021-08-02,49,13,29,2,,
2021-08-03,19,19,21,,,
2021-08-04,26,22,36,1,,
2021-08-05,35,10,37,1,,
2021-08-06,33,9,45,1,,
2021-08-07,30,13,47,4,,
2021-08-08,23,11,58,1,,
