time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,51,12,36,1,1,
2021-01-01,21,9,34,1,,
2021-01-02,34,9,27,1,1,
2021-01-02,22,11,38,,,
2021-01-03,33,7,27,1,1,
2021-01-03,32,14,36,,1,
2021-01-04,,4,28,1,,
2021-01-04,17,5,25,1,1,
2021-01-04,40,19,36,1,1,
2021-01-05,21,3,30,,,
2021-01-05,13,6,30,1,1,
2021-01-05,51,,,1,,
2021-01-06,11,4,30,1,,
2021-01-06,16,5,29,1,1,
2021-01-07,12,5,31,1,,
2021-01-07,21,5,28,,1,
2021-01-08,20,,,,,
2021-01-08,14,8,29,1,1,
2021-01-09,10,10,34,1,1,
2021-01-10,23,9,30,1,1,
2021-01-11,18,7,28,,1,
2021-01-12,18,6,32,,,
2021-01-13,10,4,32,1,,
2021-01-14,10,6,36,,,
2021-01-15,15,9,40,,,
2021-01-16,29,11,38,,,
2021-01-17,23,10,33,,,
2021-01-18,21,12,35,1,1,
2021-01-19,27,9,39,1,1,
2021-01-20,22,7,29,1,1,
2021-01-21,29,11,,1,1,
2021-01-22,,7,,,,
2021-01-23,,6,33,,,
2021-01-24,9,5,37,1,,
2021-01-25,13,9,33,1,,
2021-01-26,29,6,28,1,,
2021-01-27,25,6,32,1,,
2021-01-28,17,7,33,,1,
2021-01-29,18,10,35,1,,
2021-01-30,29,8,30,,,
2021-01-31,28,7,29,1,,
2021-02-01,35,6,34,1,,
2021-02-02,27,9,35,1,,
2021-02-03,26,10,36,1,1,
2021-02-04,30,25,40,1,1,
2021-02-05,57,7,24,1,1,
2021-02-06,33,5,29,1,,
2021-02-07,24,5,30,,,
2021-02-08,20,5,32,,,
2021-02-09,12,11,34,1,,
2021-02-10,28,8,28,,,
2021-02-11,26,11,32,,,
2021-02-12,22,16,35,1,1,
2021-02-13,45,16,30,1,,
2021-02-14,43,16,41,1,1,
2021-02-15,52,11,35,1,1,
2021-02-16,31,11,29,1,1,
2021-02-17,30,5,27,1,1,
2021-02-18,24,7,30,1,1,
2021-02-19,18,5,29,1,1,
2021-02-20,16,4,29,1,1,
2021-02-21,13,4,31,,1,
2021-02-22,10,8,31,1,1,
2021-02-23,31,8,27,1,1,
2021-02-24,26,6,30,1,1,
2021-02-25,18,6,30,,1,
2021-02-26,22,4,28,1,1,
2021-02-27,11,5,29,,1,
2021-02-28,22,5,28,,1,
2021-03-01,15,3,30,,1,
2021-03-02,8,6,28,,1,
2021-03-03,23,5,31,,1,
2021-03-04,13,4,32,1,1,
2021-03-05,10,12,33,,1,
2021-03-06,46,8,32,1,1,
2021-03-07,31,5,30,1,1,
2021-03-08,14,4,32,1,1,
2021-03-09,12,9,37,1,1,
2021-03-10,40,8,34,1,1,
2021-03-11,31,5,30,1,1,
2021-03-12,13,5,29,1,1,
2021-03-13,25,4,27,1,,
2021-03-14,21,,26,1,,
2021-03-15,20,5,29,,,
2021-03-16,26,5,29,,,
2021-03-17,20,7,28,1,1,
2021-03-18,35,5,30,,1,
2021-03-19,26,6,33,1,1,
2021-03-20,23,4,33,1,1,
2021-03-21,12,8,34,,1,
2021-03-22,27,13,37,1,1,
2021-03-23,52,15,32,1,,
2021-03-24,49,7,28,1,,
2021-03-25,33,7,31,1,,
2021-03-26,22,6,33,1,,
2021-03-27,25,11,35,1,,
2021-03-28,46,5,28,1,1,
2021-03-29,15,4,28,1,1,
2021-03-30,22,3,28,1,1,
2021-03-31,21,3,29,1,,
2021-04-01,25,4,28,,,
2021-04-02,19,,,1,,
2022-06-30,,8,,,,
2022-07-01,24,14,,,,
2022-07-02,45,9,,,,
2022-07-03,33,10,,,,
2022-07-04,37,12,,,,
2022-07-05,53,17,,,,
2022-07-06,55,19,65,1,1,
2022-07-07,62,19,60,1,2,
2022-07-08,63,21,60,1,1,
2022-07-09,67,11,55,1,,
2022-07-10,42,12,46,,,
2022-07-11,48,9,59,1,,
2022-07-12,34,13,55,1,,
2022-07-13,48,7,50,1,,
2022-07-14,26,12,46,1,,
2022-07-15,35,16,62,1,1,
2022-07-16,50,17,57,1,1,
2022-07-17,58,14,42,1,,
2022-07-18,44,9,40,1,,
2022-07-19,24,14,51,1,1,
2022-07-20,44,14,42,1,1,
2022-07-21,43,6,34,,1,
2022-07-22,17,3,25,,1,
2022-07-23,9,3,28,1,1,
2022-07-24,10,4,26,1,1,
2022-07-25,11,3,25,1,1,
2022-07-26,12,4,27,1,1,
2022-07-27,15,6,29,1,1,
2022-07-28,24,9,31,1,1,
2022-07-29,33,9,27,1,,
2022-07-30,31,6,23,,,
2022-07-31,22,9,28,1,,
2022-08-01,30,6,32,1,,
2022-08-02,23,10,56,1,,
2022-08-03,35,18,55,,,
2022-08-04,60,18,63,1,1,
2022-08-05,59,17,42,1,1,
2022-08-06,54,15,44,1,1,
2022-08-07,52,18,34,1,,
2022-08-08,60,20,38,1,,
2022-08-09,61,18,34,1,,
2022-08-10,,14,26,1,,
2022-08-11,,15,50,,,
2022-08-12,,12,40,1,1,
2022-08-13,,18,26,1,,
2022-08-14,,12,23,,1,
2022-08-15,50,13,24,1,1,
2022-08-16,47,13,22,,1,
2022-08-17,34,12,25,1,1,
2022-08-18,31,9,25,,1,
2022-08-19,34,9,24,1,1,
2022-08-20,40,,,,,
2022-09-29,,12,25,1,1,
2022-09-30,31,9,25,,1,
2022-10-01,34,9,24,1,1,
2022-10-02,40,7,28,1,1,
2022-10-03,25,8,24,1,1,
2022-10-04,,12,29,1,1,
2022-10-05,,16,30,1,1,
2022-10-06,,12,24,1,1,
2022-10-07,,8,26,1,1,
2022-10-08,,10,26,1,1,
2022-10-09,,7,22,,1,
2022-10-10,,9,33,1,1,
2022-10-11,,9,34,1,1,
2022-10-12,,9,26,1,1,
2022-10-13,,7,26,1,1,
2022-10-14,,7,33,1,1,
2022-10-15,,9,36,1,1,
2022-10-16,,13,42,,1,
2022-10-17,,12,41,1,1,
2022-10-18,,9,37,1,1,
2022-10-19,,8,26,,1,
2022-10-20,,10,37,1,1,
2022-10-21,,10,33,1,1,
2022-10-22,,10,20,,1,
2022-10-23,,12,37,1,1,
2022-10-24,,19,33,1,,
2022-10-25,,20,27,,1,
2022-10-26,,18,25,,1,
2022-10-27,,12,20,,1,
2022-10-28,,12,23,,1,
2022-10-29,,11,23,1,1,
2022-10-30,,10,19,,1,
2022-10-31,,14,14,,1,
2022-11-01,,19,28,,1,
2022-11-02,,15,29,,,
2022-11-03,,7,32,1,,
2022-11-04,,13,31,,,
2022-11-05,,15,35,1,,
2022-11-06,,16,33,1,,
2022-11-07,46,20,33,1,,
2022-11-08,48,19,26,1,1,
2022-11-09,47,16,29,,,
2022-11-10,46,19,27,1,1,
2022-11-11,46,12,28,,,
2022-11-12,30,12,36,1,,
2022-11-13,28,11,34,,,
2022-11-14,30,21,44,1,,
2022-11-15,47,8,34,,1,
2022-11-16,22,7,41,,1,
2022-11-17,21,9,29,,1,
2022-11-18,30,12,41,,1,
2022-11-19,30,9,31,1,1,
2022-11-20,29,11,35,,1,
2022-11-21,32,15,38,1,1,
2022-11-22,39,8,27,1,1,
2022-11-23,24,8,28,,1,
2022-11-24,24,7,27,1,1,
2022-11-25,22,10,38,1,1,
2022-11-26,30,10,32,1,1,
2022-11-27,32,7,30,1,1,
2022-11-28,24,12,29,1,1,
2022-11-29,38,10,30,1,1,
2022-11-30,33,7,36,,1,
2022-12-01,18,7,27,,1,
2022-12-02,20,9,22,,1,
2022-12-03,24,6,23,,1,
2022-12-04,17,12,26,1,1,
2022-12-05,35,16,39,,,
2022-12-06,40,9,41,,,
2022-12-07,24,11,33,1,,
2022-12-08,31,10,32,,,
2022-12-09,28,11,33,1,,
2022-12-10,33,12,33,1,,
2022-12-11,44,13,29,,1,
2022-12-12,43,17,30,1,1,
2022-12-13,49,11,30,,1,
2022-12-14,33,11,29,1,1,
2022-12-15,32,16,31,,1,
2022-12-16,45,17,39,1,1,
2022-12-17,51,11,28,1,1,
2022-12-18,33,11,25,1,1,
2022-12-19,28,10,28,1,1,
2022-12-20,,13,35,1,1,
2022-12-20,25,6,25,1,1,
2022-12-21,44,11,35,1,1,
2022-12-21,15,7,25,,1,
2022-12-22,40,18,39,1,1,
2022-12-22,20,6,23,,1,
2022-12-23,57,13,35,1,1,
2022-12-23,16,10,38,1,1,
2022-12-24,37,7,28,1,1,
2022-12-24,28,10,36,1,1,
2022-12-25,18,5,28,,1,
2022-12-25,29,9,32,1,1,
2022-12-26,20,3,26,1,1,
2022-12-26,25,8,37,,1,
2022-12-27,14,4,30,1,1,
2022-12-27,26,6,35,,1,
2022-12-28,13,7,30,1,1,
2022-12-28,18,7,39,1,1,
2022-12-29,26,7,32,1,1,
2022-12-29,21,9,37,,1,
2022-12-30,21,9,33,1,1,
2022-12-30,27,13,35,,1,
2022-12-31,27,8,34,1,1,
2022-12-31,44,11,35,1,1,
2023-01-01,31,7,31,1,1,
2023-01-01,40,,,1,1,
2023-01-02,24,6,29,1,1,
2023-01-02,,,,1,,
2023-01-03,24,9,33,1,1,
2023-01-04,33,10,33,1,1,
2023-01-05,36,10,33,1,1,
2023-01-06,38,7,28,1,1,
2023-01-07,27,5,29,1,1,
2023-01-08,21,5,32,1,1,
2023-01-09,17,6,38,1,1,
2023-01-10,19,11,41,1,1,
2023-01-11,39,10,40,1,1,
2023-01-12,37,5,28,1,1,
2023-01-13,22,3,24,1,1,
2023-01-14,13,4,29,1,1,
2023-01-15,17,5,30,1,1,
2023-01-16,16,7,32,1,1,
2023-01-17,24,8,31,1,1,
2023-01-18,32,10,28,1,1,
2023-01-19,30,5,28,1,1,
2023-01-20,17,8,32,1,1,
2023-01-21,32,7,35,1,1,
2023-01-22,24,8,37,1,1,
2023-01-23,30,5,29,1,1,
2023-01-24,26,8,31,1,1,
2023-01-25,32,6,33,1,,
2023-01-26,21,6,36,,,
2023-01-27,21,7,40,1,,
2023-01-28,28,10,38,1,,
2023-01-29,38,11,43,1,,
2023-01-30,43,11,37,1,,
2023-01-31,44,12,46,1,1,
2023-02-01,46,8,39,1,1,
2023-02-02,34,3,26,,1,
2023-02-03,11,3,29,,,
2023-02-04,11,6,29,,,
2023-02-05,,5,30,,,
2023-02-06,,7,37,1,,
2023-02-07,,11,31,1,,
2023-02-08,,11,32,1,1,
2023-02-09,,4,34,1,1,
2023-02-10,17,9,35,1,1,
2023-02-11,33,6,29,1,1,
2023-02-12,21,5,29,,1,
2023-02-13,17,6,31,1,1,
2023-02-14,23,12,36,1,1,
2023-02-15,33,12,28,,,
2023-02-16,37,8,30,,,
2023-02-17,25,5,29,1,1,
2023-02-18,19,8,27,1,1,
2023-02-19,21,2,25,1,1,
2023-02-20,9,3,27,,1,
2023-02-21,11,5,,,1,
2023-02-22,15,8,,,1,
2023-02-23,28,4,27,,1,
2023-02-24,15,4,31,,1,
2023-02-25,13,4,32,1,1,
2023-02-26,14,5,30,1,1,
2023-02-27,23,6,32,1,1,
2023-02-28,17,7,33,1,1,
2023-03-01,26,7,33,1,1,
2023-03-02,25,4,32,1,1,
2023-03-03,21,9,32,1,1,
2023-03-04,26,6,30,1,1,
2023-03-05,22,4,29,1,1,
2023-03-06,14,5,28,,1,
2023-03-07,18,5,29,1,1,
2023-03-08,15,2,28,,,
2023-03-09,11,3,29,,,
2023-03-10,13,5,31,,1,
2023-03-11,16,3,32,,1,
2023-03-12,14,7,32,1,1,
2023-03-13,23,6,33,1,1,
2023-03-14,18,4,,1,,
2023-03-15,13,4,,,,
2023-03-16,15,3,28,,,
2023-03-17,15,4,28,,,
2023-03-18,15,5,32,,,
2023-03-19,23,8,31,1,,
2023-03-20,34,6,32,1,,
2023-03-21,24,6,32,1,,
2023-03-22,25,6,32,1,,
2023-03-23,27,,,1,,
2023-03-28,,5,27,,,
2023-03-29,23,5,29,,,
2023-03-30,18,5,30,,1,
2023-03-31,20,4,32,,,
2023-04-01,16,5,33,,,
2023-04-02,21,4,33,1,,
2023-04-03,18,13,36,1,,
2023-04-04,53,13,35,1,1,
2023-04-05,49,9,31,1,,
2023-04-06,38,6,32,1,,
2023-04-07,18,10,35,1,,
2023-04-08,33,10,38,1,,
2023-04-09,42,6,32,1,1,
2023-04-10,26,8,31,1,1,
2023-04-11,32,2,33,1,,
2023-04-12,12,5,32,1,,
2023-04-13,17,6,32,1,,
2023-04-14,17,5,34,1,,
2023-04-15,20,10,35,1,,
2023-04-16,34,7,29,,1,
2023-04-17,31,6,31,1,1,
2023-04-18,26,13,34,1,1,
2023-04-19,41,8,33,1,1,
2023-04-20,24,3,33,1,1,
2023-04-21,11,3,32,1,1,
2023-04-22,12,5,32,1,1,
2023-04-23,25,5,32,1,1,
2023-04-24,24,5,28,1,1,
2023-04-25,22,4,30,1,1,
2023-04-26,21,5,34,1,1,
2023-04-27,22,11,36,1,1,
2023-04-28,41,7,32,,,
2023-04-29,31,8,32,,,
2023-04-30,34,5,32,1,,
2023-05-01,22,5,33,1,,
2023-05-02,23,7,44,1,,
2023-05-03,29,18,43,1,,
2023-05-04,64,14,39,1,1,
2023-05-05,53,7,33,1,1,
2023-05-06,33,4,32,1,1,
2023-05-07,22,4,36,1,1,
2023-05-08,18,5,38,1,1,
2023-05-09,25,9,36,1,1,
2023-05-10,39,5,33,,1,
2023-05-11,21,4,32,,1,
2023-05-12,18,3,33,,1,
2023-05-13,14,5,39,,1,
2023-05-14,19,12,43,1,1,
2023-05-15,49,8,43,1,,
2023-05-16,26,8,36,1,,
2023-05-17,31,5,35,1,,
2023-05-18,26,5,34,1,,
2023-05-19,19,7,41,1,,
2023-05-20,27,12,41,1,,
2023-05-21,45,8,37,1,1,
2023-05-22,33,8,36,1,,
2023-05-23,29,7,39,,,
2023-05-24,26,10,42,,,
2023-05-25,34,15,44,1,,
2023-05-26,50,4,42,1,2,
2023-05-27,18,7,37,,1,
2023-05-28,27,11,40,1,,
2023-05-29,39,9,35,,,
2023-05-30,33,8,38,1,1,
2023-05-31,32,16,59,1,,
2023-06-01,51,22,72,1,,
2023-06-02,64,28,73,2,1,
2023-06-03,74,13,50,1,1,
2023-06-04,47,9,42,1,2,
2023-06-05,34,18,52,1,1,
2023-06-06,53,10,41,1,,
2023-06-07,30,8,37,1,1,
2023-06-08,30,11,46,,,
2023-06-09,39,11,43,1,,
