time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,14,9,,,,
2021-01-02,14,8,,,,
2021-01-03,17,10,,,,
2021-01-04,22,8,,,,
2021-01-05,25,,,,,
2021-01-07,,7,,,,
2021-01-08,19,9,,,,
2021-01-09,16,9,,,,
2021-01-10,22,8,,,,
2021-01-11,7,6,,,,
2021-01-12,10,8,,,,
2021-01-13,11,9,,,,
2021-01-14,11,9,,,,
2021-01-15,16,7,,,,
2021-01-16,16,14,,,,
2021-01-17,31,8,,,,
2021-01-18,24,10,,,,
2021-01-19,33,8,,,,
2021-01-20,23,7,,,,
2021-01-21,23,8,,,,
2021-01-22,29,9,,,,
2021-01-23,28,10,,,,
2021-01-24,34,10,,,,
2021-01-25,26,12,,,,
2021-01-26,36,9,,,,
2021-01-27,38,11,,,,
2021-01-28,35,14,,,,
2021-01-29,39,12,,,,
2021-01-30,43,9,,,,
2021-01-31,31,14,,,,
2021-02-01,43,14,,,,
2021-02-02,50,11,,,,
2021-02-03,51,10,,,,
2021-02-04,33,11,,,,
2021-02-05,39,7,,,,
2021-02-06,19,9,,,,
2021-02-07,24,11,,,,
2021-02-08,28,11,,,,
2021-02-09,32,10,,,,
2021-02-10,28,7,,,,
2021-02-11,13,9,,,,
2021-02-12,27,9,,,,
2021-02-13,42,13,,,,
2021-02-14,49,16,,,,
2021-02-15,62,17,,,,
2021-02-16,70,11,,,,
2021-02-17,31,11,,,,
2021-02-18,42,12,,,,
2021-02-19,44,8,,,,
2021-02-20,32,10,,,,
2021-02-21,26,6,,,,
2021-02-22,18,7,,,,
2021-02-23,24,9,,,,
2021-02-24,20,9,,,,
2021-02-25,28,,,,,
2021-03-26,,9,,,,
2021-03-27,32,9,,,,
2021-03-28,36,10,,,,
2021-03-29,31,10,,,,
2021-03-30,43,10,,,,
2021-03-31,14,11,,,,
2021-04-01,40,12,,,,
2021-04-02,38,15,,,,
2021-04-03,57,15,,,,
2021-04-04,51,14,,,,
2021-04-05,46,14,,,,
2021-04-06,45,21,,,,
2021-04-07,85,17,,,,
2021-04-08,52,9,,,,
2021-04-09,33,14,,,,
2021-04-10,51,9,,,,
2021-04-11,31,13,,,,
2021-04-12,49,15,,,,
2021-04-13,52,13,,,,
2021-04-14,51,11,,,,
2021-04-15,46,10,,,,
2021-04-16,43,12,,,,
2021-04-17,50,16,,,,
2021-04-18,56,11,,,,
2021-04-19,33,14,,,,
2021-04-20,60,14,,,,
2021-04-21,51,9,,,,
2021-04-22,19,11,,,,
2021-04-23,25,16,,,,
2021-04-24,50,13,,,,
2021-04-25,31,8,,,,
2021-04-26,27,10,,,,
2021-04-27,37,11,,,,
2021-04-28,48,19,,,,
2021-04-29,61,12,,,,
2021-04-30,30,9,,,,
2021-05-01,35,10,,,,
2021-05-02,26,12,,,,
2021-05-03,42,11,,,,
2021-05-04,38,9,,,,
2021-05-05,19,11,,,,
2021-05-06,43,22,,,,
2021-05-07,69,34,,,,
2021-05-08,107,9,,,,
2021-05-09,22,11,,,,
2021-05-10,26,11,,,,
2021-05-11,22,10,,,,
2021-05-12,19,13,,,,
2021-05-13,33,12,,,,
2021-05-14,40,14,,,,
2021-05-15,43,9,,,,
2021-05-16,28,8,,,,
2021-05-17,21,8,,,,
2021-05-18,29,11,,,,
2021-05-19,37,6,,,,
2021-05-20,23,9,,,,
2021-05-21,32,13,,,,
2021-05-22,45,8,,,,
2021-05-23,21,11,,,,
2021-05-24,30,10,,,,
2021-05-25,40,8,,,,
2021-05-26,30,8,,,,
2021-05-27,29,7,,,,
2021-05-28,28,8,,,,
2021-05-29,33,11,,,,
2021-05-30,43,11,,,,
2021-05-31,45,8,,,,
2021-06-01,29,9,,,,
2021-06-02,34,9,,,,
2021-06-03,27,9,,,,
2021-06-04,33,8,,,,
2021-06-05,30,11,,,,
2021-06-06,41,9,,,,
2021-06-07,32,9,,,,
2021-06-08,26,10,,,,
2021-06-09,25,8,,,,
2021-06-10,22,6,,,,
2021-06-11,12,5,,,,
2021-06-12,17,8,,,,
2021-06-13,27,9,,,,
2021-06-14,47,34,,,,
2021-06-15,66,11,,,,
2021-06-16,32,9,,,,
2021-06-17,24,9,,,,
2021-06-18,30,3,,,,
2021-06-19,9,,,,,
2021-07-01,,13,,,,
2021-07-02,29,9,,,,
2021-07-03,32,14,,,,
2021-07-04,45,9,,,,
2021-07-05,30,,,,,
2021-07-06,18,15,,,,
2021-07-07,30,11,,,,
2021-07-08,44,8,,,,
2021-07-09,32,3,,,,
2021-07-10,8,6,,,,
2021-07-11,20,11,,,,
2021-07-12,41,7,,,,
2021-07-13,25,7,,,,
2021-07-14,27,10,,,,
2021-07-15,34,12,,,,
2021-07-16,46,4,,,,
2021-07-17,13,5,,,,
2021-07-18,12,9,,,,
2021-07-19,30,8,,,,
2021-07-20,36,12,,,,
2021-07-21,42,4,,,,
2021-07-22,17,5,,,,
2021-07-23,11,4,,,,
2021-07-24,12,3,,,,
2021-07-25,7,6,,,,
2021-07-26,22,6,,,,
2021-07-27,23,8,,,,
2021-07-28,28,11,,,,
2021-07-29,37,12,,,,
2021-07-30,34,19,,,,
2021-07-31,50,4,,,,
2021-08-01,12,5,,,,
2021-08-02,14,6,,,,
2021-08-03,18,5,,,,
2021-08-04,15,7,,,,
2021-08-05,28,8,,,,
2021-08-06,23,6,,,,
2021-08-07,14,5,,,,
2021-08-08,13,5,,,,
2021-08-09,13,5,,,,
2021-08-10,15,9,,,,
2021-08-11,26,6,,,,
2021-08-12,17,4,,,,
2021-08-13,13,3,,,,
2021-08-14,9,4,,,,
2021-08-15,11,8,,,,
2021-08-16,24,8,,,,
2021-08-17,22,9,,,,
2021-08-18,31,6,,,,
2021-08-19,18,4,,,,
2021-08-20,9,5,,,,
2021-08-21,10,8,,,,
2021-08-22,25,8,,,,
2021-08-23,34,8,,,,
2021-08-24,27,9,,,,
2021-08-25,32,6,,,,
2021-08-26,15,8,,,,
2021-08-27,26,11,,,,
2021-08-28,42,9,,,,
2021-08-29,35,7,,,,
2021-08-30,25,5,,,,
2021-08-31,11,9,,,,
2021-09-01,32,14,,,,
2021-09-02,48,13,,,,
2021-09-03,43,11,,,,
2021-09-04,37,10,,,,
2021-09-05,28,6,,,,
2021-09-06,17,8,,,,
2021-09-07,28,9,,,,
2021-09-08,29,8,,,,
2021-09-09,25,6,,,,
2021-09-10,18,6,,,,
2021-09-11,13,5,,,,
2021-09-12,15,9,,,,
2021-09-13,20,6,,,,
2021-09-14,25,6,,,,
2021-09-15,19,9,,,,
2021-09-16,29,8,,,,
