time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,38,,,,,
2021-01-02,31,,32,,,
2021-01-03,28,,,,,
2021-01-04,19,,35,,,
2021-01-05,29,,,,,
2021-01-06,41,,,,,
2021-01-07,34,,,,,
2021-01-08,36,,,,,
2021-01-09,44,,41,,,
2021-01-10,57,,53,,,
2021-01-11,41,,48,,,
2021-01-12,44,,45,,,
2021-01-13,21,,40,,,
2021-01-14,42,,52,,,
2021-01-15,56,,62,,,
2021-01-16,45,,59,,,
2021-01-17,41,,47,,,
2021-01-18,39,,42,,,
2021-01-19,21,,35,,,
2021-01-20,39,,36,,,
2021-01-21,26,,28,,,
2021-01-24,69,,82,,,
2021-01-25,74,,67,,,
2021-01-26,62,,46,,,
2021-01-27,30,,34,,,
2021-01-28,21,,36,,,
2021-01-29,40,,35,,,
2021-01-30,51,,31,,,
2021-01-31,48,,30,,,
2021-02-03,45,,37,,,
2021-02-04,46,,50,,,
2021-02-05,62,,43,,,
2021-02-06,20,,30,,,
2021-02-07,35,,38,,,
2021-02-08,28,,36,,,
2021-02-09,23,,36,,,
2021-02-10,41,,58,,,
2021-02-11,46,,51,,,
2021-02-12,33,18,36,3,,
2021-02-13,45,19,49,6,1,
2021-02-14,53,19,48,5,2,
2021-02-15,52,20,35,1,1,
2021-02-16,30,12,27,3,1,
2021-02-17,38,9,33,2,,
2021-02-18,25,8,30,3,1,
2021-02-19,22,10,28,3,1,
2021-02-20,34,9,33,4,1,
2021-02-21,29,9,41,7,,
2021-02-22,33,14,36,9,1,
2021-02-23,57,15,33,5,2,
2021-02-24,54,9,33,2,1,
2021-02-25,30,7,29,3,1,
2021-02-26,27,9,31,4,1,
2021-02-27,32,9,32,4,1,
2021-02-28,32,6,33,2,1,
2021-03-01,18,10,33,4,,
2021-03-02,39,8,33,4,,
2021-03-03,31,8,32,4,1,
2021-03-04,31,10,35,4,1,
2021-03-05,40,15,36,5,,
2021-03-06,56,18,34,4,1,
2021-03-07,66,10,35,7,1,
2021-03-08,46,8,43,10,2,
2021-03-09,34,11,32,7,1,
2021-03-10,43,22,36,6,,
2021-03-11,75,17,39,6,1,
2021-03-12,64,7,40,2,1,
2021-03-13,26,6,30,2,1,
2021-03-14,24,7,31,2,,
2021-03-15,26,5,32,2,1,
2021-03-16,19,11,32,6,1,
2021-03-17,40,7,36,2,,
2021-03-18,24,7,29,2,1,
2021-03-19,29,14,32,5,1,
2021-03-20,54,22,35,3,1,
2021-03-21,72,22,42,8,1,
2021-03-22,74,18,44,6,1,
2021-03-23,61,10,42,3,1,
2021-03-24,36,9,31,6,1,
2021-03-25,31,10,33,5,1,
2021-03-26,33,9,35,4,1,
2021-03-27,27,9,41,7,,
2021-03-28,31,7,40,2,,
2021-03-29,31,5,29,1,1,
2021-03-30,18,8,30,1,,
2021-03-31,27,11,32,2,,
2021-04-01,44,11,33,2,,
2021-04-02,40,,31,,,
2021-06-24,,14,41,1,,
2021-06-25,23,9,48,2,1,
2021-06-26,29,12,38,5,1,
2021-06-27,27,8,42,1,1,
2021-06-28,28,12,44,2,1,
2021-06-29,43,10,54,3,1,
2021-06-30,37,13,44,4,2,
2021-07-01,45,21,50,2,1,
2021-07-02,54,12,44,1,1,
2021-07-03,35,14,67,3,1,
2021-07-04,48,19,102,4,1,
2021-07-05,65,21,101,3,1,
2021-07-06,69,20,75,5,1,
2021-07-07,61,20,49,1,,
2021-07-08,45,18,,1,,
2021-07-09,,11,,1,,
2021-07-10,,9,46,1,,
2021-07-11,32,13,41,3,1,
2021-07-12,27,10,39,1,,
2021-07-13,32,18,73,2,1,
2021-07-14,44,27,66,1,1,
2021-07-15,65,13,48,1,1,
2021-07-16,38,12,,1,1,
2021-07-17,,8,,1,,
2021-07-18,,14,,1,3,
2021-07-19,,17,,1,,
2021-07-20,,15,,2,1,
2021-07-21,,21,64,1,,
2021-07-22,60,74,66,1,,
2021-07-23,141,37,74,1,1,
2021-07-24,82,15,54,3,1,
2021-07-25,47,12,50,1,,
2021-07-26,35,18,44,1,,
2021-07-27,30,11,43,1,,
2021-07-28,13,13,50,4,,
2021-07-29,36,12,32,3,,
2021-07-30,14,8,30,1,,
2021-07-31,12,19,32,1,,
2021-08-01,10,10,48,1,,
2021-08-02,27,10,58,1,1,
2021-08-03,36,14,48,3,,
2021-08-04,14,19,56,1,,
2021-08-05,40,12,57,1,1,
2021-08-06,38,18,76,2,1,
2021-08-07,58,14,55,1,,
2021-08-08,46,31,62,2,,
2021-08-09,77,17,44,3,1,
2021-08-10,48,12,54,1,,
2021-08-11,29,26,62,1,,
2021-08-12,63,16,60,1,,
2021-08-13,51,15,76,2,,
2021-08-14,53,12,61,2,1,
2021-08-15,39,13,80,1,1,
2021-08-16,43,20,80,3,,
2021-08-17,62,13,54,3,1,
2021-08-18,37,12,46,1,,
2021-08-19,24,20,66,1,,
2021-08-20,59,20,63,1,,
2021-08-21,57,11,47,2,,
2021-08-22,34,14,134,1,1,
2021-08-23,51,25,114,1,1,
2021-08-24,71,24,59,2,,
2021-08-25,69,20,43,2,1,
2021-08-26,38,11,23,2,1,
2021-08-27,11,7,30,1,,
2021-08-28,17,16,38,2,,
2021-08-29,50,14,30,4,,
2021-08-30,16,11,39,1,,
2021-08-31,6,15,36,1,1,
2021-09-01,6,9,30,2,,
2021-09-02,11,20,79,1,,
2021-09-03,50,24,81,2,,
2021-09-04,62,19,84,2,,
2021-09-05,60,11,38,1,,
2021-09-06,29,9,35,1,1,
2021-09-07,25,10,54,1,,
2021-09-08,33,10,45,1,,
2021-09-09,39,12,44,1,,
2021-09-10,41,20,43,1,,
2021-09-11,55,19,40,1,1,
2021-09-12,46,17,36,1,,
2021-09-13,48,17,34,1,1,
2021-09-14,46,19,33,1,,
2021-09-15,32,16,34,1,,
2021-09-16,25,16,33,1,,
2021-09-17,13,14,47,1,,
2021-09-18,20,,,,,
2021-09-30,,19,33,1,,
2021-10-01,32,16,34,1,,
2021-10-02,25,16,33,1,,
2021-10-03,13,14,47,1,,
2021-10-04,20,12,22,1,,
2021-10-05,12,18,11,1,,
2021-10-06,27,18,19,1,,
2021-10-07,16,20,39,1,,
2021-10-08,18,16,44,1,,
2021-10-09,34,19,44,1,,
2021-10-10,39,18,37,1,,
2021-10-11,32,14,19,1,,
2021-10-12,31,9,8,1,,
2021-10-13,20,9,9,1,,
2021-10-14,18,11,39,1,,
2021-10-15,27,19,56,2,1,
2021-10-16,42,11,24,2,1,
2021-10-17,22,12,28,3,,
2021-10-18,22,13,28,2,1,
2021-10-19,27,15,30,3,1,
2021-10-20,32,21,42,1,1,
2021-10-21,46,18,40,1,,
2021-10-22,39,17,41,1,,
2021-10-23,41,15,32,2,1,
2021-10-24,35,16,33,3,1,
2021-10-25,33,18,36,2,1,
2021-10-26,30,16,37,1,,
2021-10-27,41,13,23,1,,
2021-10-28,32,11,24,1,,
2021-10-29,26,12,26,1,,
2021-10-30,37,15,29,1,1,
2021-10-31,33,18,29,1,,
2021-11-01,43,16,24,1,,
2021-11-02,37,16,31,1,1,
2021-11-03,41,26,42,1,1,
2021-11-04,,16,35,1,,
2021-11-05,38,21,40,1,1,
2021-11-06,46,15,32,1,1,
2021-11-07,37,11,28,1,,
2021-11-08,17,14,41,1,,
2021-11-09,21,19,39,1,,
2021-11-10,42,24,43,1,,
2021-11-11,39,6,35,1,,
2021-11-12,8,10,48,1,,
2021-11-13,10,14,55,1,,
2021-11-14,9,14,47,1,,
2021-11-15,22,13,32,1,,
2021-11-16,18,9,39,1,,
2021-11-17,10,11,44,1,,
2021-11-18,14,12,42,1,,
2021-11-19,17,15,38,2,,
2021-11-20,32,16,40,1,1,
2021-11-21,21,12,39,1,,
2021-11-22,18,16,21,1,,
2021-11-23,18,29,27,1,,
2021-11-24,31,20,33,1,,
2021-11-25,31,17,40,1,,
2021-11-26,36,14,24,1,,
2021-11-27,31,12,25,1,,
2021-11-28,27,10,17,1,,
2021-11-29,23,14,25,1,,
2021-11-30,32,14,26,1,,
2021-12-01,32,12,19,1,,
2021-12-02,27,8,39,1,,
2021-12-03,7,6,36,1,,
2021-12-04,9,16,34,1,,
2021-12-05,18,13,36,1,,
2021-12-06,28,16,36,1,,
2021-12-07,30,17,36,1,,
2021-12-08,33,15,42,1,1,
2021-12-09,22,10,43,1,,
2021-12-10,24,10,39,1,,
2021-12-11,18,10,43,1,,
2021-12-12,22,12,60,1,,
2021-12-13,30,20,50,1,,
2021-12-14,38,16,26,2,,
2021-12-15,10,16,31,1,,
2021-12-16,20,18,31,1,,
2021-12-17,28,20,32,2,,
2021-12-18,10,15,31,1,,
2021-12-19,24,11,31,1,,
2021-12-20,24,17,42,2,,
2021-12-21,40,20,40,1,1,
2021-12-22,37,24,65,1,1,
2021-12-23,52,20,61,1,,
2021-12-24,46,9,48,2,1,
2021-12-25,30,10,,1,1,
2021-12-26,,12,,1,,
2021-12-27,,13,35,1,,
2021-12-28,26,15,37,1,,
2021-12-29,23,18,28,2,,
2021-12-30,,15,44,1,,
2021-12-30,30,11,35,1,1,
2021-12-31,22,19,79,2,1,
2021-12-31,16,15,44,1,,
2022-01-01,51,22,67,1,1,
2022-01-01,22,19,79,2,,
2022-01-02,58,,41,,,
2022-01-02,51,22,67,1,1,
2022-01-03,51,,41,,,
2022-01-03,58,,,,1,
2022-01-04,42,,41,,,
2022-01-05,42,,43,,,
2022-01-06,46,,48,,,
2022-01-07,60,,50,,,
2022-01-08,56,,35,,,
2022-01-09,42,,32,,,
2022-01-10,22,,34,,,
2022-01-11,8,,33,,,
2022-01-12,7,,42,,,
2022-01-13,14,,57,,,
2022-01-14,38,,32,,,
2022-01-15,23,,34,,,
2022-01-16,24,,36,,,
2022-01-17,17,,44,,,
2022-01-18,26,,36,,,
2022-01-19,24,,32,,,
2022-01-20,14,,51,,,
2022-01-21,34,,36,,,
2022-01-22,14,,35,,,
2022-01-23,20,,33,,,
2022-01-24,19,,56,,,
2022-01-25,42,,72,,,
2022-01-26,54,,54,,,
2022-01-27,49,,34,,,
2022-01-28,18,9,36,2,1,
2022-01-29,19,8,46,3,1,
2022-01-30,27,15,58,4,,
2022-01-31,47,19,56,3,,
2022-02-01,62,15,50,3,,
2022-02-02,53,17,59,4,,
2022-02-03,60,15,51,3,1,
2022-02-04,55,7,40,1,,
2022-02-05,21,7,37,1,,
2022-02-06,17,9,36,1,1,
2022-02-07,27,8,35,1,,
2022-02-08,22,9,36,1,,
2022-02-09,26,7,35,1,,
2022-02-10,23,6,31,1,,
2022-02-11,20,7,36,2,,
2022-02-12,24,20,49,3,1,
2022-02-13,55,29,60,5,1,
2022-02-14,70,20,48,7,1,
2022-02-15,60,26,50,8,2,
2022-02-16,66,23,58,6,1,
2022-02-17,64,20,60,6,1,
2022-02-18,64,24,59,6,1,
2022-02-19,72,18,46,4,1,
2022-02-20,53,15,40,1,1,
2022-02-21,39,5,19,1,,
2022-02-22,17,14,,2,1,
2022-02-23,,22,35,3,1,
2022-02-24,67,12,28,4,1,
2022-02-25,38,9,26,3,1,
2022-02-26,28,4,25,2,1,
2022-02-27,13,5,27,4,1,
2022-02-28,15,9,26,2,1,
2022-03-01,27,6,22,1,1,
2022-03-02,22,5,27,2,1,
2022-03-03,18,13,28,2,1,
2022-03-04,42,7,27,2,1,
2022-03-05,27,8,27,3,1,
2022-03-06,29,8,25,5,1,
2022-03-07,26,10,26,2,1,
2022-03-08,32,9,24,1,,
2022-03-09,28,6,23,1,1,
2022-03-10,14,7,26,5,1,
2022-03-11,18,16,29,5,1,
2022-03-12,60,26,24,4,1,
2022-03-13,79,6,22,4,1,
2022-03-14,21,6,25,3,1,
2022-03-15,23,10,28,6,1,
2022-03-16,32,8,25,4,,
2022-03-17,28,18,24,3,1,
2022-03-18,58,5,23,2,,
2022-03-19,13,9,24,1,1,
2022-03-20,29,11,42,3,1,
2022-03-21,35,21,44,5,1,
2022-03-22,52,17,29,6,1,
2022-03-23,47,12,36,9,1,
2022-03-24,47,18,39,8,1,
2022-03-25,62,13,34,3,1,
2022-03-26,43,5,33,1,,
2022-03-27,,16,33,4,1,
2022-03-27,17,7,32,2,1,
2022-03-28,58,20,39,7,1,
2022-03-28,23,12,35,5,1,
2022-03-29,71,10,31,5,1,
2022-03-29,41,13,36,4,1,
2022-03-30,33,6,28,5,1,
2022-03-30,43,14,33,2,1,
2022-03-31,25,9,35,5,1,
2022-03-31,43,7,34,2,1,
2022-04-01,35,8,37,5,1,
2022-04-01,21,5,34,3,1,
2022-04-02,32,26,44,6,1,
2022-04-02,11,9,38,3,1,
2022-04-03,93,32,42,7,1,
2022-04-03,32,,,,,
2022-04-04,106,16,35,3,1,
2022-04-05,55,7,34,2,1,
2022-04-06,24,12,33,2,1,
2022-04-07,47,6,33,4,1,
2022-04-08,19,7,32,7,1,
2022-04-09,20,17,36,3,1,
2022-04-10,52,9,33,2,1,
2022-04-11,30,8,31,5,1,
2022-04-12,30,10,36,9,1,
2022-04-13,42,10,33,2,1,
2022-04-14,35,5,33,1,1,
2022-04-15,10,6,38,2,,
2022-04-16,17,8,40,1,,
2022-04-17,20,10,38,1,,
2022-04-18,29,8,35,2,,
2022-04-19,22,26,44,5,1,
2022-04-20,84,36,49,8,1,
2022-04-21,115,14,38,7,1,
2022-04-22,53,8,34,4,1,
2022-04-23,29,8,36,4,1,
2022-04-24,33,7,36,4,1,
2022-04-25,22,24,40,2,1,
2022-04-26,74,29,42,4,1,
2022-04-27,87,9,36,4,1,
2022-04-28,31,14,42,3,1,
2022-04-29,51,9,36,1,1,
2022-04-30,33,8,37,1,1,
2022-05-01,24,7,35,3,1,
2022-05-02,22,10,33,7,1,
2022-05-03,41,8,37,4,1,
2022-05-04,21,9,44,4,1,
2022-05-05,37,16,48,7,1,
2022-05-06,59,12,46,3,1,
2022-05-07,43,13,43,1,1,
2022-05-08,36,10,48,2,,
2022-05-09,36,18,42,2,1,
2022-05-10,58,10,38,1,,
2022-05-11,37,9,38,3,,
2022-05-12,38,7,38,1,1,
2022-05-13,20,8,39,3,1,
2022-05-14,27,11,39,2,,
2022-05-15,41,10,40,2,1,
2022-05-16,33,10,38,2,1,
2022-05-17,36,13,39,2,1,
2022-05-18,44,12,44,5,,
2022-05-19,38,20,56,5,1,
2022-05-20,68,33,63,5,1,
2022-05-21,108,21,49,4,1,
2022-05-22,66,11,43,6,1,
2022-05-23,31,15,47,3,1,
2022-05-24,42,17,40,4,1,
