time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,29,9,30,16,1,2
2021-01-01,46,10,36,18,1,2
2021-01-02,30,13,32,19,1,2
2021-01-02,38,12,42,18,1,2
2021-01-03,42,5,26,24,,2
2021-01-03,33,22,32,19,2,3
2021-01-04,27,6,8,25,,2
2021-01-04,1,20,36,11,1,2
2021-01-05,31,5,19,19,,2
2021-01-05,1,,,,1,
2021-01-06,21,6,29,9,,2
2021-01-07,25,10,32,19,1,2
2021-01-08,37,8,34,20,2,1
2021-01-09,35,10,37,22,1,2
2021-01-10,42,6,34,17,1,
2021-01-11,28,9,33,23,1,2
2021-01-12,37,4,28,15,1,2
2021-01-13,21,7,26,11,1,3
2021-01-14,36,12,3,24,1,5
2021-01-15,49,10,28,20,1,3
2021-01-16,48,14,33,20,1,3
2021-01-17,56,19,15,24,3,2
2021-01-18,65,10,34,16,1,1
2021-01-19,37,6,34,13,1,2
2021-01-20,26,9,35,6,1,2
2021-01-21,32,10,35,22,1,2
2021-01-22,42,10,33,26,1,2
2021-01-23,44,14,24,28,1,3
2021-01-24,60,12,37,17,1,2
2021-01-25,49,6,28,14,1,2
2021-01-26,28,10,29,19,,3
2021-01-27,39,18,32,15,2,4
2021-01-28,65,15,11,26,2,3
2021-01-29,59,9,32,11,1,2
2021-01-30,34,6,26,16,1,2
2021-01-31,31,9,28,22,1,3
2021-02-01,47,18,16,28,1,4
2021-02-02,69,16,11,21,2,4
2021-02-03,63,19,43,8,1,3
2021-02-04,62,9,25,14,1,3
2021-02-05,28,4,24,16,1,
2021-02-06,20,4,28,18,1,2
2021-02-07,30,12,20,27,1,3
2021-02-08,50,15,30,22,2,2
2021-02-09,56,12,32,16,2,2
2021-02-10,50,21,31,17,1,4
2021-02-11,65,19,30,24,1,3
2021-02-12,74,22,28,36,1,3
2021-02-13,68,32,27,33,2,4
2021-02-14,88,29,26,26,2,3
2021-02-15,70,13,32,20,1,4
2021-02-16,38,7,30,8,1,2
2021-02-17,25,12,20,12,1,4
2021-02-18,50,9,28,11,1,2
2021-02-19,34,6,24,23,1,2
2021-02-20,32,10,21,29,1,2
2021-02-21,47,8,26,25,2,2
2021-02-22,43,8,23,22,2,2
2021-02-23,40,6,27,9,2,2
2021-02-24,26,6,23,12,1,3
2021-02-25,39,7,28,22,1,2
2021-02-26,31,5,27,23,1,2
2021-02-27,35,8,24,28,1,2
2021-02-28,44,6,29,19,1,2
2021-03-01,26,5,26,17,1,2
2021-03-02,24,6,29,16,1,2
2021-03-03,29,7,28,14,1,2
2021-03-04,40,9,29,23,1,3
2021-03-05,48,10,31,20,1,3
2021-03-06,52,12,21,34,1,4
2021-03-07,56,9,24,26,1,3
2021-03-08,46,13,19,34,1,3
2021-03-09,54,11,32,16,1,3
2021-03-10,48,9,31,11,1,2
2021-03-11,36,7,27,19,1,2
2021-03-12,33,4,21,13,1,1
2021-03-13,18,2,24,14,1,
2021-03-14,14,5,22,19,1,
2021-03-15,15,8,16,26,1,3
2021-03-16,41,6,26,16,1,2
2021-03-17,30,3,27,11,1,2
2021-03-18,18,5,26,24,,2
2021-03-19,26,15,22,34,1,4
2021-03-20,58,16,24,31,1,4
2021-03-21,65,22,12,31,1,4
2021-03-22,70,11,28,20,1,3
2021-03-23,39,4,23,16,1,3
2021-03-24,36,13,24,15,1,3
2021-03-25,60,9,27,17,1,3
2021-03-26,47,16,22,22,1,2
2021-03-27,62,10,32,7,2,1
2021-03-28,43,3,26,3,1,1
2021-03-29,17,3,28,3,,1
2021-03-30,21,6,28,4,,1
2021-03-31,28,7,27,5,,1
2021-04-01,,5,28,13,1,1
2021-04-01,34,,,,,
2021-04-02,27,6,29,19,1,3
2021-04-03,39,6,30,19,,3
2021-04-04,29,6,28,13,2,3
2021-04-05,30,2,28,9,,3
2021-04-06,17,4,28,10,1,3
2021-04-07,20,5,27,7,1,3
2021-04-08,29,9,23,21,1,4
2021-04-09,41,12,6,28,1,3
2021-04-10,46,14,24,32,1,3
2021-04-11,58,23,26,26,1,3
2021-04-12,77,25,18,30,4,3
2021-04-13,81,23,22,22,1,3
2021-04-14,59,5,28,10,1,2
2021-04-15,29,7,27,17,1,2
2021-04-16,28,7,28,13,1,2
2021-04-17,28,7,28,27,1,2
2021-04-18,32,15,23,34,2,3
2021-04-19,59,18,15,31,2,3
2021-04-20,67,7,21,22,1,2
2021-04-21,31,5,24,15,,3
2021-04-22,23,8,27,30,1,3
2021-04-23,38,13,17,27,3,3
2021-04-24,52,8,32,16,1,2
2021-04-25,35,14,24,30,1,3
2021-04-26,57,5,30,13,1,2
2021-04-27,27,7,29,14,1,2
2021-04-28,30,8,30,10,1,2
2021-04-29,42,14,12,27,1,4
2021-04-30,52,11,33,18,1,2
2021-05-01,39,7,30,18,1,2
2021-05-02,28,7,31,25,2,2
2021-05-03,46,8,30,31,1,3
2021-05-04,42,10,35,23,1,3
2021-05-05,49,19,41,12,1,3
2021-05-06,65,14,29,21,1,2
2021-05-07,48,5,28,15,1,2
2021-05-08,20,7,33,19,1,2
2021-05-09,40,13,39,16,1,2
2021-05-10,38,19,22,35,2,4
2021-05-11,73,21,22,25,2,3
2021-05-12,59,14,30,13,2,3
2021-05-13,45,11,40,14,1,2
2021-05-14,24,7,33,12,,2
2021-05-15,28,4,32,13,1,3
2021-05-16,22,5,27,16,,2
2021-05-17,14,7,28,25,1,2
2021-05-18,33,16,33,24,5,3
2021-05-19,56,24,44,18,2,4
2021-05-20,76,20,34,28,2,3
2021-05-21,70,13,38,11,1,2
2021-05-22,50,5,33,13,1,2
2021-05-23,28,8,29,35,1,2
2021-05-24,37,7,27,20,1,2
2021-05-25,34,6,35,11,1,2
2021-05-26,33,8,32,14,1,3
2021-05-27,40,10,26,21,2,2
2021-05-28,46,13,32,13,1,4
2021-05-29,30,6,35,15,1,2
2021-05-30,34,14,26,32,2,3
2021-05-31,55,15,13,27,1,3
2021-06-01,46,8,35,10,1,1
2021-06-02,29,8,32,10,1,2
2021-06-03,35,14,26,24,1,2
2021-06-04,55,9,21,28,3,2
2021-06-05,41,13,39,15,1,2
2021-06-06,45,,29,27,5,3
2021-06-07,43,18,25,33,1,4
2021-06-08,56,4,24,10,1,2
2021-06-09,21,5,37,3,1,2
2021-06-10,26,9,39,24,1,3
2021-06-11,46,18,21,27,1,4
2021-06-12,62,17,37,22,1,3
2021-06-13,55,14,33,30,2,2
2021-06-14,47,14,40,29,2,2
2021-06-15,53,19,44,18,1,3
2021-06-16,52,14,37,8,1,4
2021-06-17,52,12,36,11,1,2
2021-06-18,66,10,40,23,1,2
2021-06-19,47,14,39,25,2,2
2021-06-20,54,17,29,30,1,2
2021-06-21,55,17,50,21,1,2
2021-06-22,60,20,51,18,1,4
2021-06-23,64,19,45,9,1,2
2021-06-24,53,23,51,20,1,2
2021-06-25,,61,49,26,1,3
2021-06-26,,23,44,19,2,3
2021-06-27,1,41,50,21,1,3
2021-06-28,1,34,47,21,1,3
2021-06-29,1,18,42,10,2,3
2021-06-30,1,18,30,12,1,3
2021-07-01,,41,50,21,1,3
2021-07-01,1,,,,,
2021-07-02,1,34,47,21,1,3
2021-07-03,1,18,42,10,2,3
2021-07-04,1,18,30,12,1,3
2021-07-05,1,4,39,11,1,
2021-07-06,1,9,37,15,2,2
2021-07-07,1,7,43,17,1,2
2021-07-08,1,9,49,21,1,2
