time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,35,12,38,9,1,1
2021-01-01,42,,,,1,1
2021-01-02,42,,,,,1
2021-01-02,,,,,2,1
2021-01-03,,,,,,1
2021-01-03,,,,,1,1
2021-01-04,,13,29,13,1,1
2021-01-05,47,9,32,7,1,2
2021-01-06,33,11,30,11,1,2
2021-01-07,41,6,28,8,,2
2021-01-08,18,3,32,5,,1
2021-01-09,8,3,23,5,,2
2021-01-10,9,7,29,6,,1
2021-01-11,22,10,28,8,1,2
2021-01-12,31,10,32,10,1,1
2021-01-13,37,11,36,11,2,2
2021-01-14,43,8,35,10,1,2
2021-01-15,35,9,27,10,2,2
2021-01-16,38,7,19,9,1,2
2021-01-17,25,5,21,6,,1
2021-01-18,19,8,8,11,1,2
2021-01-19,26,10,25,11,1,2
2021-01-20,33,11,36,9,2,1
2021-01-21,39,11,31,8,1,1
2021-01-22,40,13,30,7,1,2
2021-01-23,43,8,34,5,1,2
2021-01-24,31,9,33,5,1,
2021-01-25,34,9,30,8,1,2
2021-01-26,34,12,26,12,2,2
2021-01-27,42,16,27,17,1,4
2021-01-28,52,16,36,12,2,2
2021-01-29,54,8,28,6,1,1
2021-01-30,30,9,28,7,,2
2021-01-31,30,11,27,9,2,1
2021-02-01,38,11,14,14,1,2
2021-02-02,33,9,29,10,,1
2021-02-03,32,8,24,9,1,1
2021-02-04,28,9,24,11,1,2
2021-02-05,34,15,19,17,1,2
2021-02-06,50,26,8,21,,2
2021-02-07,66,20,41,11,1,2
2021-02-08,57,10,25,7,1,1
2021-02-09,31,6,22,9,1,2
2021-02-10,24,7,27,9,1,1
2021-02-11,26,12,23,14,,1
2021-02-12,46,14,27,13,1,2
2021-02-13,48,13,29,11,3,2
2021-02-14,50,12,27,6,1,1
2021-02-15,40,15,28,12,1,3
2021-02-16,48,18,30,14,3,3
2021-02-17,58,19,32,11,1,2
2021-02-18,53,14,30,7,2,1
2021-02-19,38,14,28,6,1,1
2021-02-20,29,7,25,8,,
2021-02-21,28,10,20,7,,
2021-02-22,31,9,28,8,,
2021-02-23,31,8,22,12,,
2021-02-24,30,12,16,18,,2
2021-02-25,45,8,25,11,3,2
2021-02-26,32,10,19,15,1,2
2021-02-27,40,7,25,8,1,2
2021-02-28,28,6,23,5,1,2
2021-03-01,22,8,26,8,1,
2021-03-02,29,6,26,9,1,2
2021-03-03,27,13,13,19,,1
2021-03-04,43,8,27,11,,3
2021-03-05,30,7,24,11,1,2
2021-03-06,27,7,27,11,1,2
2021-03-07,28,8,27,9,,2
2021-03-08,28,10,27,11,,1
2021-03-09,39,13,30,10,2,2
2021-03-10,49,11,21,17,2,3
2021-03-11,42,11,18,17,2,2
2021-03-12,40,11,22,16,2,2
2021-03-13,41,12,29,14,2,3
2021-03-14,46,9,27,8,2,2
2021-03-15,34,7,31,7,1,2
2021-03-16,31,3,22,6,3,2
2021-03-17,13,3,25,4,1,2
2021-03-18,14,3,23,4,3,2
2021-03-19,12,7,22,12,2,3
2021-03-20,31,6,24,7,2,2
2021-03-21,26,3,25,5,4,2
2021-03-22,13,5,23,8,3,2
2021-03-23,22,12,23,15,2,3
2021-03-24,,6,27,5,1,
2021-03-24,47,15,25,16,1,3
2021-03-25,25,9,22,11,2,3
2021-03-25,56,27,5,33,2,2
2021-03-26,34,7,27,7,2,2
2021-03-26,75,15,26,15,1,4
2021-03-27,25,5,28,4,4,2
2021-03-27,42,7,22,7,,2
2021-03-28,22,4,24,5,5,2
2021-03-28,27,15,24,10,1,2
2021-03-29,18,6,25,5,6,2
2021-03-29,51,10,26,8,4,3
2021-03-30,23,6,24,5,6,2
2021-03-30,38,12,23,10,1,2
2021-03-31,27,8,22,13,4,2
2021-03-31,45,8,30,6,2,3
2021-04-01,36,14,8,24,,2
2021-04-01,29,3,27,2,1,2
2021-04-02,49,18,24,18,3,3
2021-04-02,11,4,28,1,2,2
2021-04-03,61,26,24,20,3,3
2021-04-03,17,6,28,2,4,2
2021-04-04,72,25,23,19,1,3
2021-04-04,28,7,27,3,3,2
2021-04-05,69,23,24,20,2,3
2021-04-05,32,,,,1,2
2021-04-06,60,7,28,9,1,2
2021-04-07,29,6,28,5,2,2
2021-04-08,26,6,26,7,2,2
2021-04-09,26,6,25,11,2,3
2021-04-10,31,18,23,24,5,3
2021-04-11,60,32,8,33,2,4
2021-04-12,83,19,9,24,,2
2021-04-13,53,10,19,11,,3
2021-04-14,37,10,20,15,1,3
2021-04-15,37,11,30,12,1,1
2021-04-16,36,12,26,8,2,2
2021-04-17,31,13,18,14,2,3
2021-04-18,47,7,28,6,3,2
2021-04-19,29,6,28,6,1,2
2021-04-20,24,11,28,7,1,2
2021-04-21,42,11,36,8,1,2
2021-04-22,39,13,29,13,4,2
2021-04-23,45,9,27,8,4,2
2021-04-24,37,10,30,8,2,3
2021-04-25,42,8,29,11,,2
2021-04-26,33,15,28,18,4,3
2021-04-27,54,26,37,14,2,3
2021-04-28,76,16,28,9,1,2
2021-04-29,49,5,27,7,1,2
2021-04-30,22,9,28,11,1,2
2021-05-01,42,16,34,10,2,2
2021-05-02,59,17,30,16,1,3
2021-05-03,60,13,32,11,,2
2021-05-04,48,11,33,6,,1
2021-05-05,35,7,33,6,1,2
2021-05-06,19,9,30,6,4,2
2021-05-07,41,7,32,4,3,2
2021-05-08,30,5,26,4,4,2
2021-05-09,21,7,25,12,1,2
2021-05-10,29,15,36,10,3,3
2021-05-11,55,28,42,14,3,3
2021-05-12,76,25,41,12,3,3
2021-05-13,70,13,34,7,2,2
2021-05-14,51,7,31,5,1,2
2021-05-15,31,8,26,12,4,3
2021-05-16,34,8,27,15,1,2
2021-05-17,32,7,33,4,1,2
2021-05-18,33,7,36,3,1,
2021-05-19,30,7,31,8,1,1
2021-05-20,25,11,32,4,1,1
2021-05-21,20,6,31,9,1,3
2021-05-22,26,7,37,6,,2
2021-05-23,28,7,29,6,,1
2021-05-24,22,9,31,9,1,1
2021-05-25,33,9,26,9,,2
2021-05-26,36,14,11,11,,3
2021-05-27,45,,,,1,3
2021-05-28,,,,,1,2
2021-05-29,,,,,2,2
2021-05-30,,,,,,1
2021-05-31,,,,,2,2
2021-06-01,,,,,1,2
2021-06-02,,13,36,9,1,2
2021-06-03,51,19,32,16,1,3
2021-06-04,66,23,34,13,3,2
2021-06-05,71,15,39,12,2,3
2021-06-06,53,20,41,15,5,2
2021-06-07,63,17,45,8,,2
2021-06-08,55,18,32,4,,
2021-06-09,29,10,32,7,1,2
2021-06-10,43,11,39,7,1,2
2021-06-11,47,13,45,12,1,2
2021-06-12,50,16,27,16,1,2
2021-06-13,60,18,45,12,2,2
2021-06-14,65,17,50,8,1,2
2021-06-15,60,19,46,1,,1
2021-06-16,50,13,28,7,,3
2021-06-17,34,,,,,4
2021-06-18,,,,,,3
2021-06-19,,,,,,2
2021-06-20,,,,,,2
2021-06-22,,,,,,2
2021-06-22,,,,,,1
2021-06-23,,,,,,2
2021-06-25,,,,,,1
2021-06-26,,,,,,1
2021-06-27,,,,,,1
2021-06-28,,,,,,1
2021-06-29,,,,,,2
2021-06-30,,10,37,5,1,2
2021-07-01,46,10,46,6,1,1
2021-07-02,46,10,37,6,,2
2021-07-03,43,10,32,3,,1
2021-07-04,29,7,40,6,1,1
2021-07-05,28,7,38,5,1,1
2021-07-06,29,9,38,4,,1
2021-07-07,38,13,35,3,,1
2021-07-08,32,12,36,5,1,2
2021-07-09,48,17,41,8,1,2
2021-07-10,61,20,66,13,2,2
2021-07-11,66,22,53,11,4,3
2021-07-12,72,13,44,10,1,2
2021-07-13,55,16,44,4,,2
2021-07-14,59,18,53,7,,2
2021-07-15,65,14,41,6,,2
2021-07-16,55,8,39,3,,2
2021-07-17,37,10,45,8,1,1
2021-07-18,41,12,35,10,,1
2021-07-19,43,11,32,2,1,1
2021-07-20,25,15,52,4,,1
2021-07-21,51,19,52,4,1,2
2021-07-22,56,8,41,2,1,1
2021-07-23,33,9,42,4,1,1
2021-07-24,37,13,52,7,1,2
2021-07-25,46,14,42,3,1,1
2021-07-26,37,9,49,7,,1
2021-07-27,34,14,38,9,1,1
2021-07-28,49,15,44,7,1,2
2021-07-29,49,28,53,8,1,2
2021-07-30,77,10,46,9,1,2
2021-07-31,44,11,49,11,2,1
2021-08-01,46,12,40,7,2,2
2021-08-02,49,7,41,7,1,1
2021-08-03,30,10,45,9,1,2
2021-08-04,36,10,40,4,2,2
2021-08-05,37,9,36,2,1,1
2021-08-06,32,13,12,2,1,
2021-08-07,31,12,37,9,1,2
2021-08-08,40,16,25,8,1,2
2021-08-09,45,17,31,8,1,2
2021-08-10,47,15,32,2,1,2
2021-08-11,30,11,44,5,1,1
2021-08-12,44,10,44,7,2,2
2021-08-13,45,12,45,7,3,1
2021-08-14,50,,48,6,2,2
2021-08-15,54,14,48,7,2,3
2021-08-16,58,12,32,9,2,2
2021-08-17,39,13,47,8,1,2
2021-08-18,47,19,54,5,1,3
2021-08-19,59,11,47,6,1,2
2021-08-20,46,11,43,5,3,2
2021-08-21,43,12,46,5,1,2
2021-08-22,42,9,35,4,1,1
2021-08-23,36,10,35,3,,1
2021-08-24,41,10,36,5,,
2021-08-25,20,11,46,8,1,2
2021-08-26,43,19,65,8,2,2
2021-08-27,62,20,55,7,3,3
2021-08-28,64,22,86,11,4,3
2021-08-29,69,22,74,7,5,2
2021-08-30,72,24,57,6,1,2
2021-08-31,72,17,36,5,1,2
2021-09-01,52,10,31,4,1,1
2021-09-02,37,12,29,3,1,1
2021-09-03,43,14,33,5,1,1
2021-09-04,47,15,42,6,1,1
2021-09-05,52,12,27,6,1,1
2021-09-06,39,10,40,6,,1
2021-09-07,38,11,35,5,1,1
2021-09-08,37,7,30,1,1,1
2021-09-09,16,8,36,4,1,1
2021-09-10,33,10,45,5,3,1
2021-09-11,38,11,44,8,2,1
2021-09-12,40,13,46,6,1,1
2021-09-13,46,12,46,5,1,2
2021-09-14,45,11,42,5,1,1
2021-09-15,37,9,38,5,1,1
2021-09-16,34,11,37,4,1,2
2021-09-17,36,13,42,4,1,1
2021-09-18,45,15,49,5,1,1
2021-09-19,50,14,43,4,2,2
2021-09-20,44,6,37,3,,1
2021-09-21,17,16,17,1,,
2021-09-22,25,13,33,4,,2
2021-09-23,36,18,19,4,,3
2021-09-24,51,,,,1,1
2021-09-30,,6,37,3,,
2021-10-01,17,16,17,1,,2
2021-10-02,25,13,33,4,1,3
2021-10-03,36,18,19,4,,1
2021-10-04,51,14,25,5,1,1
2021-10-05,38,18,33,9,2,2
2021-10-06,25,19,20,10,1,1
2021-10-07,,11,16,5,1,1
2021-10-08,39,18,18,5,1,1
2021-10-09,44,17,32,5,1,1
2021-10-10,47,18,48,5,1,1
2021-10-11,56,18,36,8,2,1
2021-10-12,54,12,48,7,6,2
2021-10-13,43,12,37,4,6,1
2021-10-14,39,9,36,4,1,1
2021-10-15,29,10,11,3,,1
2021-10-16,27,9,16,2,1,1
2021-10-17,27,10,12,1,,1
2021-10-18,25,8,15,2,3,1
2021-10-19,22,9,23,3,1,1
2021-10-20,27,8,21,4,1,
2021-10-21,24,7,24,3,1,
2021-10-22,23,7,20,3,,1
2021-10-23,18,7,18,3,,1
2021-10-24,20,8,24,2,1,1
2021-10-25,28,12,32,4,1,1
2021-10-26,41,13,32,5,,1
2021-10-27,50,18,37,5,1,2
2021-10-28,53,14,29,3,1,1
2021-10-29,39,9,29,3,1,1
2021-10-30,32,9,28,3,,
2021-10-31,29,16,40,4,1,
2021-11-01,46,12,24,4,,1
2021-11-02,34,12,13,1,,1
2021-11-03,20,9,18,3,1,1
2021-11-04,22,9,26,4,,1
2021-11-05,27,9,14,4,,1
2021-11-06,23,6,14,2,,1
2021-11-07,19,14,30,5,,1
2021-11-08,43,26,25,1,1,
2021-11-09,52,8,30,3,,1
2021-11-10,30,8,40,9,2,1
2021-11-11,38,,19,,1,1
2021-11-12,26,,7,,1,1
2021-11-13,23,,8,,,1
2021-11-14,35,,33,,,1
2021-11-15,28,4,20,2,1,1
2021-11-16,14,12,19,4,,1
2021-11-17,24,12,11,1,,1
2021-11-18,23,7,10,5,,1
2021-11-19,16,6,13,5,,1
2021-11-20,18,7,14,3,,
2021-11-21,18,9,12,2,,
2021-11-22,20,14,25,7,,1
2021-11-23,38,15,11,4,2,1
2021-11-24,39,15,19,3,,1
2021-11-25,39,23,40,9,1,2
2021-11-26,59,15,56,9,2,2
2021-11-27,55,21,56,10,1,1
2021-11-28,62,15,46,5,2,1
2021-11-29,44,21,58,5,1,2
2021-11-30,61,12,53,7,1,2
2021-12-01,51,24,51,8,1,2
2021-12-02,65,25,21,3,1,1
2021-12-03,62,5,26,4,1,1
2021-12-04,18,8,23,2,,1
2021-12-05,25,9,33,2,,1
2021-12-06,25,9,39,3,1,9
2021-12-07,36,8,40,2,1,2
2021-12-08,31,11,37,4,,
2021-12-09,38,8,42,6,1,15
2021-12-10,25,10,43,6,2,2
2021-12-11,37,20,56,6,1,3
2021-12-12,59,18,28,5,1,3
2021-12-13,55,14,43,8,1,3
2021-12-14,52,18,32,11,1,2
2021-12-15,55,10,40,4,1,2
2021-12-16,36,14,41,4,1,2
2021-12-17,49,9,27,3,1,2
2021-12-18,33,12,30,5,1,
2021-12-19,29,8,28,4,1,2
2021-12-20,28,9,37,4,1,2
2021-12-21,37,11,33,6,1,2
2021-12-22,43,11,24,5,1,2
2021-12-23,36,15,50,7,1,2
2021-12-24,52,14,41,9,2,2
2021-12-25,51,13,39,5,1,2
2021-12-26,50,8,25,3,1,
2021-12-27,32,9,35,4,,
2021-12-28,,9,27,7,,2
2021-12-28,34,11,33,6,1,2
2021-12-29,30,10,38,6,2,1
2021-12-29,38,11,32,4,1,1
2021-12-30,37,11,39,4,1,1
2021-12-30,39,8,27,5,,1
2021-12-31,43,11,34,6,,
2021-12-31,30,9,27,7,,2
2022-01-01,39,16,50,8,,
2022-01-01,30,10,38,6,,1
2022-01-02,52,15,38,8,,
2022-01-02,37,11,39,4,,1
2022-01-03,49,10,35,3,,
2022-01-03,43,,,,2,
2022-01-04,35,10,33,6,,
2022-01-04,,,,,1,
2022-01-05,35,11,38,3,,
2022-01-06,45,10,32,2,,
2022-01-07,42,9,29,5,,
2022-01-08,33,15,38,7,,
2022-01-09,46,8,23,5,,
2022-01-10,25,10,38,7,,
2022-01-11,36,14,40,8,,
2022-01-12,47,14,38,7,,
2022-01-13,44,3,27,2,,
2022-01-14,14,5,27,5,,
2022-01-15,22,8,25,8,,
2022-01-16,31,7,26,9,,
2022-01-17,30,5,25,7,,
2022-01-18,22,9,16,12,,
2022-01-19,33,,,,,
2022-01-21,,9,23,9,,
2022-01-22,30,5,27,7,,
2022-01-23,22,10,20,14,,
2022-01-24,36,11,35,12,,
2022-01-25,42,8,29,8,,
2022-01-26,32,11,28,9,1,1
2022-01-27,44,9,25,4,1,1
2022-01-28,37,12,31,9,1,2
2022-01-29,41,14,37,11,1,2
2022-01-30,52,9,35,10,2,2
2022-01-31,38,8,32,8,2,2
2022-02-01,33,10,35,9,1,2
2022-02-02,39,13,21,9,1,2
2022-02-03,49,8,25,5,1,1
2022-02-04,31,6,33,3,,1
2022-02-05,23,7,29,6,2,2
2022-02-06,23,7,33,4,4,2
2022-02-07,25,6,29,4,2,2
2022-02-08,22,6,28,7,2,2
2022-02-09,26,8,27,10,2,3
2022-02-10,34,9,28,7,4,3
2022-02-11,39,15,34,9,1,2
2022-02-12,52,16,29,11,1,2
2022-02-13,58,11,32,9,2,2
2022-02-14,45,17,25,17,2,3
2022-02-15,60,26,27,22,3,4
2022-02-16,79,18,31,12,1,2
2022-02-17,61,16,28,7,1,2
2022-02-18,53,12,27,7,1,2
2022-02-19,32,9,28,4,3,2
2022-02-20,34,7,27,4,5,2
2022-02-21,25,13,32,11,3,3
2022-02-22,48,10,27,8,2,2
2022-02-23,39,4,26,6,2,1
2022-02-24,18,4,26,3,1,1
2022-02-25,18,7,21,15,1,2
2022-02-26,31,8,32,10,1,1
2022-02-27,31,11,30,6,3,1
2022-02-28,24,5,22,7,3,1
2022-03-01,21,9,24,12,2,2
2022-03-02,33,9,24,8,2,2
2022-03-03,36,6,22,6,1,1
2022-03-04,23,9,13,10,1,2
2022-03-05,34,7,17,14,,2
2022-03-06,25,6,21,11,,1
2022-03-07,23,9,19,13,1,2
2022-03-08,35,18,16,15,1,3
2022-03-09,59,17,22,18,4,3
2022-03-10,56,14,27,10,3,2
2022-03-11,51,5,25,6,1,2
2022-03-12,24,8,23,12,3,3
2022-03-13,32,12,25,12,2,2
2022-03-14,48,20,23,18,3,3
2022-03-15,66,12,29,10,1,2
2022-03-16,43,4,24,4,,
2022-03-17,14,7,26,5,,
2022-03-18,27,9,23,11,1,3
2022-03-19,35,18,21,17,2,4
2022-03-20,60,14,30,11,2,2
2022-03-21,46,9,23,13,1,3
2022-03-22,38,21,25,18,2,3
2022-03-23,64,11,28,6,2,2
2022-03-24,42,2,25,2,1,2
2022-03-25,11,3,28,4,2,2
2022-03-26,14,5,28,5,3,2
2022-03-27,16,12,16,15,2,3
2022-03-28,44,14,30,8,2,2
2022-03-29,52,5,28,2,1,2
2022-03-30,19,,29,1,1,
2022-03-31,,10,30,4,1,2
2022-03-31,13,,,,,
2022-04-01,36,7,27,4,1,2
2022-04-02,30,4,28,2,1,
2022-04-03,18,9,21,14,1,2
2022-04-04,33,7,29,9,1,2
2022-04-05,29,9,25,11,2,2
2022-04-06,38,14,26,12,1,2
2022-04-07,52,13,27,13,2,2
2022-04-08,52,16,28,18,1,3
2022-04-09,54,5,25,5,1,2
2022-04-10,25,10,28,6,4,2
2022-04-11,37,5,24,6,3,3
2022-04-12,19,7,25,9,1,
2022-04-13,23,13,22,12,3,3
2022-04-14,45,16,26,12,3,3
2022-04-15,53,6,26,7,1,2
2022-04-16,23,7,25,8,3,3
2022-04-17,25,10,26,9,1,3
2022-04-18,35,5,30,7,,2
2022-04-19,17,7,28,7,3,2
2022-04-20,27,12,21,8,1,2
2022-04-21,40,8,26,14,1,2
2022-04-22,32,11,21,16,1,3
2022-04-23,38,11,31,15,1,2
2022-04-24,40,12,30,10,1,2
2022-04-25,47,13,28,13,2,3
2022-04-26,47,12,30,13,2,3
2022-04-27,44,7,25,8,1,2
2022-04-28,25,6,24,10,1,
2022-04-29,21,10,32,11,3,3
2022-04-30,38,12,29,10,1,2
2022-05-01,50,17,28,12,1,3
2022-05-02,55,7,31,9,1,
2022-05-03,27,7,31,6,1,2
2022-05-04,26,7,30,3,2,2
2022-05-05,23,6,29,8,1,2
2022-05-06,22,9,27,12,1,2
2022-05-07,37,9,31,12,2,3
2022-05-08,34,11,22,15,,2
2022-05-09,42,7,30,11,,1
2022-05-10,34,7,27,10,1,3
2022-05-11,33,9,24,8,1,2
2022-05-12,35,11,25,12,1,3
2022-05-13,47,18,32,13,1,2
2022-05-14,62,8,33,6,1,2
2022-05-15,38,6,31,5,1,2
2022-05-16,28,6,28,9,1,2
2022-05-17,30,11,19,17,1,2
2022-05-18,44,5,32,6,1,2
2022-05-19,25,7,31,6,1,2
2022-05-20,30,7,32,5,2,2
2022-05-21,35,6,32,6,1,2
2022-05-22,29,5,32,7,1,2
2022-05-23,26,8,34,7,1,2
2022-05-24,37,17,42,9,2,2
2022-05-25,64,15,35,10,2,2
2022-05-26,56,14,38,11,1,2
2022-05-27,55,22,20,23,1,3
2022-05-28,71,21,41,14,1,3
2022-05-29,71,17,38,12,1,2
2022-05-30,63,15,36,9,2,3
2022-05-31,58,20,40,14,1,2
2022-06-01,68,12,32,6,1,2
2022-06-02,48,8,30,8,1,
2022-06-03,36,11,34,10,1,3
2022-06-04,46,15,31,14,2,3
2022-06-05,58,18,39,13,1,2
2022-06-06,64,24,50,15,1,3
2022-06-07,75,36,49,14,2,3
2022-06-08,99,21,41,8,1,2
2022-06-09,64,13,42,7,1,2
2022-06-10,40,16,38,8,,2
2022-06-11,52,13,43,11,2,3
2022-06-12,50,18,37,13,3,2
2022-06-13,61,12,35,7,,1
2022-06-14,40,4,32,6,2,2
2022-06-15,17,4,34,4,1,2
2022-06-16,18,6,93,6,1,2
2022-06-17,22,6,82,7,,2
2022-06-18,26,8,37,8,1,2
2022-06-19,31,14,37,9,1,2
2022-06-20,51,22,48,8,1,2
2022-06-21,70,21,38,3,1,1
2022-06-22,44,7,39,7,2,2
2022-06-23,28,12,36,10,2,2
2022-06-24,46,14,33,9,2,2
2022-06-25,49,15,43,9,2,2
2022-06-26,49,17,34,13,2,2
2022-06-27,55,7,37,5,1,1
2022-06-28,,7,37,5,1,1
2022-06-28,26,10,42,4,,
2022-06-29,26,10,42,4,,
2022-06-29,7,7,33,3,1,1
2022-06-30,7,7,33,3,1,1
2022-06-30,5,,,,,
2022-07-01,5,7,37,7,1,2
2022-07-02,31,11,43,8,1,1
2022-07-03,46,18,54,9,2,1
2022-07-04,60,26,65,11,1,2
2022-07-05,75,17,47,10,1,2
2022-07-06,59,20,59,12,1,2
2022-07-07,65,23,66,7,1,2
2022-07-08,72,25,41,9,1,2
2022-07-09,72,19,37,6,1,1
2022-07-10,57,14,33,5,1,1
2022-07-11,43,16,35,6,,2
2022-07-12,48,9,23,8,,2
2022-07-13,32,6,35,4,1,1
2022-07-14,26,10,30,4,1,1
2022-07-15,39,6,27,7,1,1
2022-07-16,22,16,53,11,1,2
2022-07-17,56,18,52,7,1,2
2022-07-18,60,18,45,6,1,
2022-07-19,58,12,51,6,1,2
2022-07-20,45,21,53,8,1,2
2022-07-21,67,29,35,7,1,2
2022-07-22,76,23,47,7,1,2
2022-07-23,66,18,26,4,,1
2022-07-24,40,10,27,5,1,2
2022-07-25,30,16,43,7,1,2
2022-07-26,53,,,,,1
2022-07-27,,6,42,1,1,1
2022-07-28,22,8,37,1,1,2
2022-07-29,33,10,42,2,1,1
2022-07-30,41,10,41,3,1,2
2022-07-31,43,15,52,4,1,
2022-08-01,55,18,50,5,1,2
