time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,41,7,31,4,1,2
2021-01-01,41,9,18,10,,2
2021-01-02,39,11,31,8,1,3
2021-01-02,41,7,31,4,,2
2021-01-03,42,12,18,8,1,4
2021-01-03,39,11,31,8,1,3
2021-01-04,42,8,27,8,1,2
2021-01-04,42,12,18,8,6,4
2021-01-05,39,7,22,8,1,3
2021-01-05,42,,,,1,
2021-01-06,31,9,17,9,1,3
2021-01-06,,,,,1,
2021-01-07,30,9,20,8,1,4
2021-01-07,,,,,1,
2021-01-08,33,8,25,9,2,3
2021-01-08,,,,,1,
2021-01-09,37,13,29,5,1,3
2021-01-10,34,9,28,4,1,2
2021-01-11,39,10,27,4,1,2
2021-01-12,34,10,31,5,1,3
2021-01-13,36,5,26,7,1,3
2021-01-14,29,10,22,8,,3
2021-01-15,35,9,25,11,1,2
2021-01-16,29,11,29,10,1,1
2021-01-17,31,9,33,10,1,1
2021-01-18,31,14,27,13,1,3
2021-01-19,32,9,28,15,2,2
2021-01-20,30,13,32,9,1,1
2021-01-21,35,7,32,4,1,1
2021-01-22,44,13,31,5,1,1
2021-01-23,36,9,23,6,1,
2021-01-24,29,12,23,4,1,2
2021-01-25,31,7,20,11,1,2
2021-01-26,27,8,22,10,1,2
2021-01-27,32,8,25,9,1,2
2021-01-28,29,10,26,7,1,2
2021-01-29,35,9,18,11,4,2
2021-01-30,30,8,24,14,1,3
2021-01-31,35,12,30,7,1,3
2021-02-01,34,13,27,10,1,3
2021-02-02,43,8,24,7,2,2
2021-02-03,31,8,24,7,1,1
2021-02-04,18,8,27,8,1,1
2021-02-05,31,14,34,14,1,1
2021-02-06,55,15,31,12,1,2
2021-02-07,44,8,23,9,1,2
2021-02-08,47,5,22,7,1,3
2021-02-09,21,6,22,12,1,2
2021-02-10,25,6,22,14,1,4
2021-02-11,24,8,23,15,1,4
2021-02-12,25,11,27,18,1,5
2021-02-13,36,,,,,
2021-02-15,,11,20,16,1,2
2021-02-16,15,9,22,17,1,3
2021-02-17,30,8,24,25,5,4
2021-02-18,43,10,29,8,1,3
2021-02-19,32,11,27,8,1,3
2021-02-20,42,8,23,6,1,3
2021-02-21,22,10,25,9,1,3
2021-02-22,22,5,23,5,1,3
2021-02-23,25,10,21,12,1,3
2021-02-24,29,8,14,20,2,5
2021-02-25,38,9,20,15,1,3
2021-02-26,30,10,23,13,1,4
2021-02-27,32,8,19,14,1,3
2021-02-28,32,8,27,10,1,3
2021-03-01,27,6,27,11,1,2
2021-03-02,24,8,24,12,1,2
2021-03-03,31,10,24,12,1,3
2021-03-04,28,12,26,11,2,3
2021-03-05,31,8,21,16,1,3
2021-03-06,34,9,25,22,1,4
2021-03-07,37,9,24,20,1,4
2021-03-08,44,9,27,16,1,4
2021-03-09,45,11,24,12,1,4
2021-03-10,37,13,18,18,1,5
2021-03-11,32,10,15,24,1,5
2021-03-12,47,16,17,27,3,7
2021-03-13,64,11,26,13,1,4
2021-03-14,44,7,22,14,1,4
2021-03-15,31,11,18,12,1,2
2021-03-16,29,8,20,10,1,2
2021-03-17,27,5,20,14,1,2
2021-03-18,21,8,21,11,1,2
2021-03-19,35,9,21,17,1,3
2021-03-20,35,6,21,8,1,2
2021-03-21,30,7,17,16,1,3
2021-03-22,29,8,22,23,2,4
2021-03-23,39,9,21,25,1,4
2021-03-24,41,12,26,29,2,4
2021-03-25,45,21,31,23,2,5
2021-03-26,74,20,22,17,1,4
2021-03-27,67,12,23,8,1,3
2021-03-28,29,11,21,15,1,4
2021-03-29,37,13,18,15,1,3
2021-03-30,39,7,22,14,1,3
2021-03-31,26,7,24,5,1,2
2021-04-01,,11,26,12,1,3
2021-04-01,33,7,23,7,2,2
2021-04-02,29,11,25,24,1,4
2021-04-02,18,16,26,10,1,3
2021-04-03,34,14,19,23,3,4
2021-04-03,48,8,22,15,1,3
2021-04-04,41,5,29,12,1,3
2021-04-04,28,10,25,15,1,3
2021-04-05,25,10,27,10,,3
2021-04-05,33,,,,,
2021-04-06,32,11,25,14,1,3
2021-04-07,29,9,25,18,1,4
2021-04-08,30,10,17,23,1,3
2021-04-09,42,6,27,16,1,3
2021-04-10,27,7,24,12,1,3
2021-04-11,39,15,28,9,1,2
2021-04-12,61,16,26,21,4,3
2021-04-13,69,9,29,5,1,2
2021-04-14,39,8,24,9,2,3
2021-04-15,36,8,22,17,2,3
2021-04-16,40,8,24,8,2,3
2021-04-17,35,7,22,24,,3
2021-04-18,33,17,25,21,1,4
2021-04-19,55,12,27,16,1,2
2021-04-20,54,12,27,11,1,2
2021-04-21,35,10,25,18,1,3
2021-04-22,48,12,24,18,2,3
2021-04-23,45,9,30,10,3,3
2021-04-24,45,14,30,3,1,3
2021-04-25,43,9,27,9,1,3
2021-04-26,50,12,25,12,1,2
2021-04-27,33,13,25,13,1,2
2021-04-28,29,8,28,14,1,3
2021-04-29,40,9,29,18,1,4
2021-04-30,48,11,27,8,1,3
2021-05-01,48,13,27,8,1,3
2021-05-02,35,6,28,19,1,6
2021-05-03,30,8,30,14,3,3
2021-05-04,34,16,30,12,1,5
2021-05-05,64,11,28,12,3,3
2021-05-06,57,6,28,14,1,2
2021-05-07,28,10,23,15,1,2
2021-05-08,32,11,25,15,2,4
2021-05-09,44,7,27,18,1,3
2021-05-10,43,12,27,20,1,3
2021-05-11,28,7,26,20,1,3
2021-05-12,42,12,25,17,,3
2021-05-13,50,17,22,23,1,3
2021-05-14,52,6,29,7,1,2
2021-05-15,33,6,25,7,1,2
2021-05-16,31,15,27,10,1,3
2021-05-17,33,8,29,15,1,2
2021-05-18,39,12,33,6,1,3
2021-05-19,52,14,32,6,1,3
2021-05-20,49,8,25,15,,3
2021-05-21,35,11,30,8,1,2
2021-05-22,32,9,28,6,1,3
2021-05-23,36,9,31,17,1,3
2021-05-24,31,9,33,10,1,3
2021-05-25,41,14,28,13,1,2
2021-05-26,29,10,32,11,1,2
2021-05-27,27,10,32,10,1,2
2021-05-28,40,7,31,4,1,2
2021-05-29,27,13,32,16,1,3
2021-05-30,36,11,32,16,,3
2021-05-31,37,14,33,8,1,2
2021-06-01,50,13,34,5,1,2
2021-06-02,39,13,32,14,1,2
2021-06-03,31,11,37,22,1,3
2021-06-04,45,14,37,16,1,3
2021-06-05,47,14,38,6,1,3
2021-06-06,50,11,29,17,1,3
2021-06-07,49,11,36,10,1,2
2021-06-08,37,12,37,11,1,2
2021-06-09,44,11,38,6,1,2
2021-06-10,40,10,36,6,2,2
2021-06-11,39,13,31,15,3,2
2021-06-12,41,9,32,6,1,2
2021-06-13,39,6,33,4,1,2
2021-06-14,34,9,32,5,1,2
2021-06-15,30,10,35,5,1,
2021-06-16,34,11,31,10,1,4
2021-06-17,30,9,31,10,1,2
2021-06-18,38,13,34,12,2,2
2021-06-19,46,24,38,9,1,3
2021-06-20,70,25,40,15,1,3
2021-06-21,78,13,41,5,1,2
2021-06-22,54,11,33,5,1,2
2021-06-23,38,16,45,7,1,2
2021-06-24,42,11,41,8,1,2
2021-06-25,37,34,34,7,1,3
2021-06-26,82,32,32,13,3,3
2021-06-27,74,9,35,8,1,2
2021-06-28,33,9,32,8,1,2
2021-06-29,34,21,35,11,1,2
2021-06-30,42,11,35,4,1,2
2021-07-01,,9,35,8,1,2
2021-07-01,39,,,,,
2021-07-02,33,9,32,8,1,2
2021-07-03,34,21,35,11,1,2
2021-07-04,42,11,35,4,1,2
2021-07-05,39,9,34,4,1,2
2021-07-06,31,10,33,10,1,2
2021-07-07,29,11,36,4,1,2
2021-07-08,40,8,34,7,1,2
2021-07-09,33,6,33,10,1,2
2021-07-10,28,10,34,9,1,2
2021-07-11,41,15,36,11,1,2
2021-07-12,33,12,39,8,1,2
2021-07-13,48,17,38,4,,2
2021-07-14,53,9,31,5,1,2
2021-07-15,44,14,39,14,2,2
2021-07-16,47,10,41,10,1,2
2021-07-17,46,16,39,4,1,2
2021-07-18,51,16,39,4,1,2
2021-07-19,27,14,40,8,2,2
2021-07-20,34,17,43,5,1,2
2021-07-21,60,10,36,9,1,2
2021-07-22,38,11,36,3,1,2
2021-07-23,30,12,36,5,1,2
2021-07-24,36,14,29,11,1,2
2021-07-25,44,9,36,2,1,2
2021-07-26,37,7,31,3,,2
2021-07-27,25,13,35,12,2,2
2021-07-28,40,10,42,8,1,2
2021-07-29,45,22,33,14,3,2
2021-07-30,71,8,40,2,1,2
2021-07-31,30,13,40,2,1,
2021-08-01,36,11,34,1,,
2021-08-02,32,4,29,2,1,
2021-08-03,26,11,35,3,1,
2021-08-04,37,13,42,3,1,
2021-08-05,42,12,42,7,1,2
2021-08-06,46,14,46,5,1,2
2021-08-07,49,22,37,9,1,2
2021-08-08,64,33,38,9,1,2
2021-08-09,73,8,32,5,1,2
2021-08-10,31,9,38,3,1,2
2021-08-11,29,8,34,6,1,2
2021-08-12,30,10,30,10,1,2
2021-08-13,44,12,38,12,5,2
2021-08-14,92,13,42,8,1,2
2021-08-15,40,15,42,1,,2
2021-08-16,47,10,36,5,2,3
2021-08-17,33,11,34,4,1,2
2021-08-18,36,12,33,7,1,2
2021-08-19,34,10,34,9,2,2
2021-08-20,38,12,29,10,1,2
2021-08-21,32,9,36,11,1,
2021-08-22,39,12,35,7,6,
2021-08-23,38,12,28,7,1,2
2021-08-24,34,12,35,8,2,2
2021-08-25,35,12,39,9,1,2
2021-08-26,41,19,35,9,1,2
2021-08-27,46,9,40,6,1,2
2021-08-28,30,13,39,7,1,2
2021-08-29,42,14,34,5,2,
2021-08-30,32,11,28,1,,2
2021-08-31,28,9,27,5,2,2
2021-09-01,36,13,30,6,1,2
2021-09-02,36,8,33,5,1,
2021-09-03,43,14,34,4,1,2
2021-09-04,39,11,42,5,1,2
2021-09-05,46,14,52,5,1,2
2021-09-06,45,10,36,10,3,2
2021-09-07,39,13,42,7,3,3
2021-09-08,42,12,37,5,2,2
2021-09-09,54,14,26,18,6,2
2021-09-10,59,12,38,7,1,2
2021-09-11,54,15,32,4,1,2
2021-09-12,53,11,42,2,1,2
2021-09-13,31,9,39,5,7,2
2021-09-14,32,14,18,12,1,2
2021-09-15,38,12,25,6,5,
2021-09-16,44,10,25,5,1,
2021-09-17,28,12,28,4,1,2
2021-09-18,36,9,28,3,1,
2021-09-19,38,8,25,4,4,
2021-09-20,28,9,23,6,1,1
2021-09-21,29,12,24,7,9,1
2021-09-22,39,7,27,3,1,1
2021-09-23,32,10,22,3,,1
2021-09-24,27,11,29,4,1,1
2021-09-25,37,11,24,7,1,1
2021-09-26,43,9,33,4,1,1
2021-09-27,33,13,29,7,7,1
2021-09-28,49,10,32,3,1,2
2021-09-29,33,15,36,4,1,2
2021-09-30,,11,32,1,,
2021-09-30,35,11,32,1,,
2021-10-01,36,14,29,2,1,
2021-10-01,36,14,29,2,1,
2021-10-02,39,14,30,6,1,1
2021-10-02,39,14,30,6,1,1
2021-10-03,42,14,28,2,1,1
2021-10-03,42,14,28,2,1,1
2021-10-04,44,9,24,4,1,1
2021-10-04,44,,,,,
2021-10-05,28,12,22,3,,1
2021-10-06,25,11,21,5,1,1
2021-10-07,35,12,18,11,2,1
2021-10-08,36,12,21,2,1,
2021-10-09,30,12,17,3,1,1
2021-10-10,26,9,19,1,,1
2021-10-11,32,13,15,5,,1
2021-10-12,33,10,19,2,,1
2021-10-13,35,11,18,3,,1
2021-10-14,23,7,17,2,1,1
2021-10-15,27,13,17,9,1,1
2021-10-16,36,12,25,6,9,2
2021-10-17,36,12,28,3,5,1
2021-10-18,38,16,24,6,1,1
2021-10-19,38,15,28,2,3,1
2021-10-20,42,16,30,3,1,
2021-10-21,51,19,27,2,7,1
2021-10-22,50,19,23,3,1,1
2021-10-23,61,20,22,2,1,1
2021-10-24,56,18,24,1,1,
2021-10-25,39,15,23,6,,2
2021-10-26,59,16,31,7,1,2
2021-10-27,50,10,20,4,2,1
2021-10-28,32,15,17,1,1,1
2021-10-29,35,8,11,2,,1
2021-10-30,24,11,6,5,,1
2021-10-31,26,12,4,6,3,1
2021-11-01,23,11,21,3,,1
2021-11-02,32,16,19,4,,1
2021-11-03,34,20,25,11,1,1
2021-11-04,43,28,29,6,3,1
2021-11-05,55,30,34,5,1,1
2021-11-06,60,13,11,1,1,1
2021-11-07,31,10,10,1,,1
2021-11-08,28,12,16,3,1,2
2021-11-09,23,10,20,1,1,2
2021-11-10,15,13,28,3,,2
2021-11-11,32,10,24,1,1,2
2021-11-12,38,9,24,2,,
2021-11-13,32,15,23,2,1,
2021-11-14,50,16,28,2,1,
2021-11-15,53,15,27,2,1,
2021-11-16,48,12,29,2,,2
2021-11-17,48,12,22,3,,2
2021-11-18,29,10,29,3,,2
2021-11-19,21,10,28,5,,2
2021-11-20,30,12,33,3,1,2
2021-11-21,33,13,35,1,,3
2021-11-22,45,13,35,4,1,
2021-11-23,35,14,37,1,,2
2021-11-24,33,8,29,4,,2
2021-11-25,29,11,26,4,,2
2021-11-26,34,11,23,9,,2
2021-11-27,31,16,40,8,1,2
2021-11-28,49,14,30,11,2,3
2021-11-29,57,13,38,8,2,3
2021-11-30,46,12,26,6,1,3
2021-12-01,35,9,20,6,1,2
2021-12-02,28,6,28,4,1,2
2021-12-03,25,11,30,4,5,2
2021-12-04,31,12,31,3,4,
2021-12-05,32,13,34,3,1,
2021-12-06,32,13,30,4,1,2
2021-12-07,37,12,32,5,2,2
2021-12-08,36,11,24,2,2,2
2021-12-09,36,8,21,4,1,
2021-12-10,22,11,28,9,1,2
2021-12-11,39,12,33,4,,1
2021-12-12,36,11,40,4,1,1
2021-12-13,39,9,31,3,1,2
2021-12-14,28,9,28,6,1,1
2021-12-15,17,16,26,7,1,1
2021-12-16,20,13,27,4,1,1
2021-12-17,24,11,31,3,1,1
2021-12-18,22,13,17,6,,
2021-12-19,25,10,30,3,,2
2021-12-20,34,9,30,4,,2
2021-12-21,25,8,32,5,,2
2021-12-22,27,20,31,4,1,2
2021-12-23,38,17,33,7,1,2
2021-12-24,37,12,24,2,1,3
2021-12-25,28,8,27,4,1,3
2021-12-26,26,7,28,3,,3
2021-12-27,23,14,29,5,1,
2021-12-28,25,11,31,2,1,3
2021-12-29,28,16,34,1,1,
2021-12-30,,10,41,6,1,3
2021-12-30,32,21,29,6,1,
2021-12-31,23,12,37,5,1,3
2021-12-31,35,10,41,6,,3
2022-01-01,31,7,32,5,1,3
2022-01-01,23,12,37,5,,3
2022-01-02,30,17,38,9,1,
2022-01-02,31,7,32,5,1,3
2022-01-03,44,5,23,6,1,
