time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,50,16,24,6,1,3
2021-01-01,31,12,24,5,,2
2021-01-02,50,12,20,7,1,2
2021-01-02,30,16,36,7,3,3
2021-01-03,29,11,23,3,1,2
2021-01-03,40,19,26,10,2,3
2021-01-04,27,9,22,4,,2
2021-01-04,53,19,29,5,1,2
2021-01-05,17,9,24,2,1,
2021-01-05,50,,,,,
2021-01-06,16,9,23,1,,
2021-01-07,13,12,25,4,,2
2021-01-08,29,15,28,7,1,3
2021-01-09,37,15,28,6,,2
2021-01-10,40,17,27,8,1,2
2021-01-11,42,12,23,4,,2
2021-01-12,31,11,23,5,,2
2021-01-13,24,8,24,5,,2
2021-01-14,17,10,23,2,,2
2021-01-15,21,12,18,8,,2
2021-01-16,30,15,29,6,1,2
2021-01-17,41,20,29,9,1,3
2021-01-18,53,24,23,6,,2
2021-01-19,38,15,26,6,1,4
2021-01-20,35,14,26,5,1,3
2021-01-21,36,14,27,7,1,3
2021-01-22,38,15,26,9,1,3
2021-01-23,44,13,27,8,1,2
2021-01-24,34,17,24,12,2,4
2021-01-25,46,21,26,10,1,3
2021-01-26,54,12,22,6,,2
2021-01-27,29,14,22,11,1,3
2021-01-28,38,19,22,8,1,4
2021-01-29,48,16,18,12,1,3
2021-01-30,30,14,26,3,1,2
2021-01-31,31,11,21,5,1,3
2021-02-01,29,14,20,13,1,3
2021-02-02,38,19,21,14,3,3
2021-02-03,54,21,12,14,,4
2021-02-04,53,21,32,4,1,3
2021-02-05,54,14,19,5,,2
2021-02-06,33,10,20,6,1,2
2021-02-07,25,10,19,10,1,2
2021-02-08,25,15,17,13,1,3
2021-02-09,40,18,15,13,1,3
2021-02-10,47,13,23,5,,2
2021-02-11,35,16,20,9,3,4
2021-02-12,42,23,22,14,4,4
2021-02-13,58,28,28,14,2,4
2021-02-14,67,32,26,18,1,4
2021-02-15,75,20,25,10,1,3
2021-02-16,50,18,23,5,1,3
2021-02-17,40,11,22,2,,2
2021-02-18,26,11,18,8,3,4
2021-02-19,31,10,21,2,1,3
2021-02-20,22,11,20,5,1,2
2021-02-21,27,12,10,13,1,3
2021-02-22,35,15,20,9,1,3
2021-02-23,37,15,24,5,1,3
2021-02-24,42,10,21,3,,3
2021-02-25,33,9,19,4,1,2
2021-02-26,21,14,20,10,1,3
2021-02-27,36,12,19,10,1,3
2021-02-28,31,13,14,14,2,3
2021-03-01,32,10,21,9,1,3
2021-03-02,26,10,20,8,1,2
2021-03-03,21,12,21,8,1,3
2021-03-04,33,13,23,9,1,3
2021-03-05,36,18,18,14,4,4
2021-03-06,50,21,25,10,1,4
2021-03-07,66,18,19,17,2,6
2021-03-08,54,19,14,16,1,4
2021-03-09,60,18,20,16,1,4
2021-03-10,53,20,29,8,1,4
2021-03-11,62,18,24,6,1,4
2021-03-12,56,14,21,4,1,3
2021-03-13,35,10,21,4,1,3
2021-03-14,24,12,21,5,1,2
2021-03-15,27,9,18,5,1,3
2021-03-16,19,13,17,10,1,3
2021-03-17,35,12,21,7,1,3
2021-03-18,33,9,21,4,,2
2021-03-19,19,13,22,10,1,3
2021-03-20,34,20,19,18,2,4
2021-03-21,60,25,23,20,1,4
2021-03-22,72,36,2,28,1,5
2021-03-23,102,19,8,7,1,3
2021-03-24,50,16,5,8,,3
2021-03-25,44,17,7,10,2,4
2021-03-26,52,21,5,12,1,3
2021-03-27,55,18,7,11,,4
2021-03-28,54,12,6,5,,3
2021-03-29,32,8,6,2,1,2
2021-03-30,17,,7,2,1,2
2021-03-31,,3,8,7,1,3
2021-03-31,24,,7,3,1,3
2021-04-01,37,18,6,11,2,4
2021-04-01,39,,8,4,1,3
2021-04-02,49,14,8,5,1,3
2021-04-02,46,,,,,
2021-04-03,34,13,6,6,1,3
2021-04-04,32,11,6,5,1,3
2021-04-05,31,10,7,5,1,3
2021-04-06,32,12,8,2,1,3
2021-04-07,34,13,8,9,1,3
2021-04-08,41,22,4,16,2,5
2021-04-09,63,23,8,18,2,5
2021-04-10,66,40,18,19,2,6
2021-04-11,81,43,12,23,1,5
2021-04-12,78,29,21,16,1,4
2021-04-13,64,15,24,3,1,3
