time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,66,32,54,1,1,4
2021-01-01,54,29,68,1,1,4
2021-01-02,69,32,52,,1,6
2021-01-02,66,32,54,1,1,4
2021-01-03,66,20,44,1,1,3
2021-01-03,69,32,52,,1,6
2021-01-04,42,22,31,1,1,
2021-01-04,66,20,44,1,1,3
2021-01-05,32,16,42,1,1,
2021-01-05,42,,,,,
2021-01-06,40,17,45,2,1,3
2021-01-07,41,35,51,1,1,5
2021-01-08,62,22,41,1,1,3
2021-01-09,47,21,42,1,1,3
2021-01-10,50,27,42,1,1,4
2021-01-11,59,26,41,1,1,3
2021-01-12,42,20,44,2,1,3
2021-01-13,44,22,33,1,1,2
2021-01-14,,17,42,1,1,3
2021-01-15,,17,45,1,,4
2021-01-16,48,20,45,1,1,3
2021-01-17,52,42,77,3,2,4
2021-01-18,78,63,76,3,2,7
2021-01-19,109,68,93,4,2,6
2021-01-20,144,52,86,6,1,4
2021-01-21,106,64,36,3,1,3
2021-01-22,80,22,31,3,1,3
2021-01-23,30,19,39,3,1,3
2021-01-24,34,37,69,5,2,4
2021-01-25,61,48,71,5,1,5
2021-01-26,89,40,65,4,1,5
2021-01-27,81,24,38,4,1,3
2021-01-28,36,22,38,3,1,3
2021-01-29,39,23,38,3,2,4
2021-01-30,50,14,45,5,1,3
2021-01-31,38,59,45,4,1,5
2021-02-01,89,31,33,3,1,3
2021-02-02,44,21,31,1,1,3
2021-02-03,31,18,36,1,1,3
2021-02-04,28,24,44,2,1,4
2021-02-05,42,22,43,4,1,3
2021-02-06,46,80,44,10,2,6
2021-02-07,128,37,27,2,1,3
2021-02-08,45,22,30,3,1,4
2021-02-09,33,19,35,3,1,3
2021-02-10,39,23,44,3,1,4
2021-02-11,53,18,45,2,1,3
2021-02-12,45,38,40,3,1,4
2021-02-13,71,36,44,2,1,4
2021-02-14,61,25,44,5,1,3
2021-02-15,57,22,41,3,,4
2021-02-16,54,62,50,8,1,6
2021-02-17,135,24,35,3,1,3
2021-02-18,61,,,,,
2021-02-22,,16,25,2,1,4
2021-02-23,34,11,32,1,1,3
2021-02-24,30,13,32,2,1,3
2021-02-25,42,31,33,5,1,4
2021-02-26,73,29,30,5,3,5
2021-02-27,69,21,26,4,1,3
2021-02-28,50,13,27,2,1,2
2021-03-01,29,12,31,1,1,2
2021-03-02,34,12,31,1,1,2
2021-03-03,29,14,32,1,4,4
2021-03-04,38,15,32,2,2,3
2021-03-05,48,16,32,1,1,3
2021-03-06,51,17,33,2,2,3
2021-03-07,52,20,30,3,1,3
2021-03-08,55,54,37,8,5,6
2021-03-09,124,35,34,5,3,4
2021-03-10,87,13,33,2,1,3
2021-03-11,47,26,33,5,2,4
2021-03-12,71,70,36,11,4,8
2021-03-13,155,54,37,10,3,9
2021-03-14,120,31,34,6,2,5
2021-03-15,66,26,32,4,1,5
2021-03-16,60,16,27,1,1,4
2021-03-17,36,15,29,1,1,
2021-03-18,37,13,30,1,1,3
2021-03-19,31,24,28,6,2,5
2021-03-20,59,32,28,6,2,6
2021-03-21,62,20,28,2,1,4
2021-03-22,28,18,32,3,1,4
2021-03-23,38,27,30,6,2,5
2021-03-24,71,58,41,10,6,8
2021-03-25,122,67,47,10,5,7
2021-03-26,150,42,33,8,3,6
2021-03-27,77,26,31,4,1,5
2021-03-28,47,56,35,8,3,7
2021-03-29,95,40,41,5,2,5
2021-03-30,68,72,38,9,3,10
2021-03-31,151,42,26,6,2,7
2021-04-01,,24,31,3,2,6
2021-04-01,86,13,28,1,1,4
2021-04-02,63,17,34,2,2,5
2021-04-02,31,15,32,1,1,4
2021-04-03,46,17,33,2,1,5
2021-04-03,38,20,31,2,2,5
2021-04-04,38,10,28,1,2,5
2021-04-04,43,29,30,3,2,5
2021-04-05,27,9,32,1,3,5
2021-04-05,56,25,32,2,2,5
2021-04-06,29,14,29,2,3,5
2021-04-06,52,,,,,
2021-04-07,47,18,31,2,3,5
2021-04-08,56,28,30,3,3,6
2021-04-09,72,59,33,6,4,6
2021-04-10,87,115,33,8,3,6
2021-04-11,125,22,35,4,1,4
2021-04-12,50,62,30,12,1,6
2021-04-13,121,22,32,2,1,4
2021-04-14,56,20,32,1,1,4
2021-04-15,43,42,32,4,3,4
2021-04-16,68,10,32,1,1,4
2021-04-17,36,30,30,18,2,6
2021-04-18,76,43,18,26,2,7
2021-04-19,99,39,36,12,1,7
2021-04-20,76,33,33,4,1,8
2021-04-21,80,13,39,2,1,6
2021-04-22,45,25,37,7,3,6
2021-04-23,66,38,39,6,2,9
2021-04-24,88,28,36,1,1,5
2021-04-25,49,34,35,3,1,6
2021-04-26,64,22,31,1,1,5
2021-04-27,44,53,33,5,2,6
2021-04-28,85,42,39,5,1,6
2021-04-29,76,45,34,6,2,8
2021-04-30,90,24,30,1,1,5
2021-05-01,53,36,38,4,1,6
2021-05-02,70,25,38,2,2,5
2021-05-03,52,45,47,4,1,7
2021-05-04,80,73,40,11,1,9
2021-05-05,147,40,34,5,1,6
2021-05-06,85,21,33,1,1,5
2021-05-07,51,29,45,4,1,6
2021-05-08,66,39,41,6,2,6
2021-05-09,86,50,39,9,2,6
2021-05-10,117,40,41,7,1,5
2021-05-11,87,44,41,5,,5
2021-05-12,101,27,41,5,,5
2021-05-13,72,26,34,3,1,4
2021-05-14,62,21,34,1,1,3
2021-05-15,48,34,31,1,1,2
2021-05-16,47,33,36,,1,
2021-05-17,35,48,48,6,1,
2021-05-18,100,67,60,8,2,
2021-05-19,131,59,40,10,1,
2021-05-20,122,57,38,6,1,
2021-05-21,94,42,34,2,1,
2021-05-22,59,16,38,1,1,
2021-05-23,44,18,38,1,2,
2021-05-24,45,35,40,2,3,
2021-05-25,68,27,44,4,1,
2021-05-26,58,28,35,5,2,
2021-05-27,63,23,37,4,1,
2021-05-28,63,24,40,2,1,
2021-05-29,55,31,40,1,,
2021-05-30,52,28,40,5,1,
2021-05-31,60,21,36,4,1,
2021-06-01,52,31,39,1,1,
2021-06-02,63,29,39,1,1,
2021-06-03,64,32,52,2,1,
2021-06-04,76,44,48,7,2,
2021-06-05,100,82,84,14,3,7
2021-06-06,167,90,74,15,1,6
2021-06-07,174,74,66,13,2,7
2021-06-08,163,73,52,14,2,6
2021-06-09,160,69,59,14,2,5
2021-06-10,156,45,55,11,1,4
2021-06-11,110,72,40,6,1,3
2021-06-12,67,50,42,5,2,2
2021-06-13,61,46,39,5,3,3
2021-06-14,72,58,55,7,3,4
2021-06-15,97,53,46,9,1,4
2021-06-16,112,41,39,5,1,6
2021-06-17,88,43,35,9,2,4
2021-06-18,69,76,54,12,2,3
2021-06-19,112,44,50,7,1,2
2021-06-20,75,42,61,7,1,3
2021-06-21,90,43,89,7,2,3
2021-06-22,90,52,89,10,1,3
2021-06-23,99,31,56,6,1,4
2021-06-24,63,330,41,10,1,5
2021-06-25,147,57,38,11,4,2
2021-06-26,56,45,69,4,2,2
2021-06-27,64,44,55,7,1,2
2021-06-28,63,44,45,5,1,
2021-06-29,60,15,44,2,,3
2021-06-30,38,30,52,1,1,2
2021-07-01,59,,,,,
2021-09-29,,21,44,3,2,2
2021-09-30,56,34,70,4,3,3
2021-10-01,79,21,31,4,3,1
2021-10-02,53,8,32,3,3,1
2021-10-03,25,12,30,5,3,1
2021-10-04,35,20,66,2,3,2
2021-10-05,51,36,63,3,3,2
2021-10-06,79,42,39,1,3,3
2021-10-07,83,36,34,2,2,3
2021-10-08,79,32,43,1,2,3
2021-10-09,71,19,37,3,2,2
2021-10-10,46,15,38,1,2,2
2021-10-11,39,18,20,2,2,
2021-10-12,44,14,15,2,2,1
2021-10-13,33,14,18,3,2,1
2021-10-14,38,12,18,1,2,1
2021-10-15,32,19,40,1,3,2
2021-10-16,48,18,34,1,3,2
2021-10-17,50,19,35,2,3,1
2021-10-18,50,25,39,1,3,3
2021-10-19,58,24,22,1,4,3
2021-10-20,49,44,62,2,5,4
2021-10-21,73,45,50,1,3,4
2021-10-22,77,45,45,1,3,4
2021-10-23,75,42,46,2,3,4
2021-10-24,75,37,42,2,3,3
2021-10-25,70,34,38,1,3,3
2021-10-26,61,31,32,3,3,3
2021-10-27,64,29,32,1,2,3
2021-10-28,56,27,34,1,2,3
2021-10-29,43,50,61,1,2,5
2021-10-30,73,38,45,2,2,4
2021-10-31,65,26,38,1,2,4
2021-11-01,49,25,29,5,2,3
2021-11-02,48,13,17,3,2,4
2021-11-03,22,24,16,2,4,
2021-11-04,43,22,18,1,4,4
2021-11-05,41,20,26,1,5,4
2021-11-06,44,33,33,1,5,5
2021-11-07,63,22,28,1,6,4
2021-11-08,47,43,41,4,7,6
2021-11-09,74,39,36,2,,5
2021-11-10,71,44,33,1,6,5
2021-11-11,74,35,36,1,5,6
2021-11-12,63,39,32,1,6,4
2021-11-13,65,21,41,4,8,3
2021-11-14,47,26,43,2,7,4
2021-11-15,55,,,,,
2021-11-17,,27,68,2,11,3
2021-11-18,27,20,53,2,1,4
2021-11-19,32,16,39,1,1,4
2021-11-20,19,34,43,4,1,6
2021-11-21,56,29,39,3,1,5
2021-11-22,41,13,30,1,1,4
2021-11-23,13,20,57,1,1,5
2021-11-24,19,56,67,1,1,7
2021-11-25,89,32,53,3,1,5
2021-11-26,45,49,73,3,1,6
2021-11-27,72,29,46,2,1,5
2021-11-28,42,48,,,1,8
2021-11-29,73,17,30,1,1,4
2021-11-30,33,30,38,1,2,4
2021-12-01,45,19,32,1,1,4
2021-12-02,20,24,40,1,1,4
2021-12-03,36,21,32,1,1,3
2021-12-04,33,19,39,1,1,3
2021-12-05,23,21,38,2,,3
2021-12-06,34,11,27,1,12,2
2021-12-07,,16,40,1,1,1
2021-12-08,32,18,36,2,1,2
2021-12-09,46,22,32,2,1,2
2021-12-10,49,18,34,1,,2
2021-12-11,40,22,29,1,1,3
2021-12-12,45,34,38,1,1,3
2021-12-13,66,42,32,1,1,3
2021-12-14,71,26,24,1,1,1
2021-12-15,52,18,25,1,1,1
2021-12-16,42,29,25,1,1,1
2021-12-17,55,18,22,1,1,1
2021-12-18,48,28,31,1,1,2
2021-12-19,57,29,34,1,1,2
2021-12-20,58,33,41,1,1,2
2021-12-21,57,21,34,1,1,2
2021-12-22,48,22,29,1,1,1
2021-12-23,50,19,23,1,1,
2021-12-24,46,17,16,1,,1
2021-12-25,46,16,24,1,1,1
2021-12-26,43,19,18,1,1,1
2021-12-27,47,16,23,2,,1
2021-12-28,46,15,32,1,1,1
2021-12-29,39,51,40,1,1,3
2021-12-30,,38,35,1,1,2
2021-12-30,99,38,35,1,1,2
2021-12-31,68,27,40,1,1,3
2021-12-31,68,27,40,1,1,3
2022-01-01,58,47,46,1,,2
2022-01-01,58,47,46,1,,2
2022-01-02,76,26,32,1,,2
2022-01-02,76,,,,,
2022-01-03,44,19,,2,,
2022-01-04,46,15,,1,,
2022-01-05,39,15,,1,1,2
2022-01-06,40,13,,1,,
2022-01-07,41,24,,3,,2
2022-01-08,57,34,,1,1,2
2022-01-09,58,32,,1,1,1
2022-01-10,47,28,,1,1,1
2022-01-11,52,16,,1,1,1
2022-01-12,42,23,40,1,1,3
2022-01-13,51,27,28,1,2,3
2022-01-14,60,37,21,1,1,2
2022-01-15,53,24,20,1,1,
2022-01-16,40,28,34,2,,3
2022-01-17,62,30,25,2,1,3
2022-01-18,62,16,23,1,1,
2022-01-19,45,19,25,1,,2
2022-01-20,54,31,28,2,1,3
2022-01-21,66,,31,2,2,3
2022-01-22,,,32,1,1,2
2022-01-23,,48,42,7,1,3
2022-01-24,92,60,58,7,1,4
2022-01-25,125,38,25,4,3,3
2022-01-26,67,28,26,2,1,3
2022-01-27,54,37,37,4,1,3
2022-01-28,66,37,34,3,1,3
2022-01-29,70,36,36,3,1,4
2022-01-30,74,31,25,3,1,4
2022-01-31,72,25,26,2,1,3
2022-02-01,64,52,36,5,1,4
2022-02-02,106,75,36,12,1,5
2022-02-03,152,70,40,12,1,5
2022-02-04,146,49,32,6,1,4
2022-02-05,88,44,32,4,1,4
2022-02-06,79,17,23,3,2,2
2022-02-07,37,14,22,,1,
2022-02-08,35,16,23,1,1,
2022-02-09,34,21,22,1,1,
2022-02-10,31,15,21,1,1,
2022-02-11,31,32,28,5,1,3
2022-02-12,64,58,27,9,2,4
2022-02-13,98,32,24,3,3,3
2022-02-14,58,28,22,2,2,3
2022-02-15,56,35,44,2,1,3
2022-02-16,55,87,49,11,1,7
2022-02-17,147,58,43,8,3,5
2022-02-18,103,21,22,3,2,3
2022-02-19,37,32,24,3,1,4
2022-02-20,58,45,19,2,1,2
2022-02-21,57,18,21,,1,2
2022-02-22,27,34,23,5,1,3
2022-02-23,47,46,22,4,3,3
2022-02-24,60,23,22,1,2,2
2022-02-25,38,19,21,1,1,3
2022-02-26,38,22,24,3,1,3
2022-02-27,52,35,28,8,1,4
2022-02-28,76,20,24,2,1,4
2022-03-01,41,15,18,,1,
2022-03-02,28,27,22,5,,4
2022-03-03,44,22,20,2,2,3
2022-03-04,26,17,20,1,1,3
2022-03-05,28,13,25,2,1,3
2022-03-06,24,15,27,3,1,3
2022-03-07,27,41,22,3,1,5
2022-03-08,77,39,25,4,2,5
2022-03-09,74,54,25,15,10,5
2022-03-10,105,70,28,13,1,6
2022-03-11,137,61,26,6,2,6
2022-03-12,110,30,24,3,,3
2022-03-13,48,21,24,3,1,2
2022-03-14,31,50,36,6,1,5
2022-03-15,94,80,31,12,2,6
2022-03-16,153,68,30,13,3,6
2022-03-17,121,21,24,3,3,3
2022-03-18,36,24,27,4,1,3
2022-03-19,38,35,30,4,2,3
2022-03-20,37,75,32,11,2,5
2022-03-21,116,49,27,8,3,5
2022-03-22,84,11,29,1,2,
2022-03-23,20,20,28,2,1,3
2022-03-24,38,27,25,1,1,3
2022-03-25,52,14,24,2,1,3
