time,pm25,pm10,O3,NO2,SO2,CO
2022-03-31,,62,10,7,7,3
2022-04-01,92,57,9,7,5,4
2022-04-02,87,44,8,9,4,4
2022-04-03,63,64,9,8,6,3
2022-04-04,94,54,10,8,6,5
2022-04-05,78,62,14,11,6,9
2022-04-06,89,67,9,12,5,7
2022-04-07,99,82,13,12,6,6
2022-04-08,126,77,14,13,5,6
2022-04-09,103,75,11,15,4,12
2022-04-10,109,60,15,8,4,4
2022-04-11,85,61,8,5,4,3
2022-04-12,91,49,8,7,,4
2022-04-13,71,53,10,12,6,6
2022-04-14,72,78,9,13,4,10
2022-04-15,110,49,10,5,4,2
2022-04-16,53,48,12,9,6,5
2022-04-17,66,279,11,7,5,3
2022-04-18,182,495,10,4,4,2
2022-04-19,367,57,9,7,5,5
2022-04-20,76,65,7,13,12,7
2022-04-21,104,101,9,16,7,10
2022-04-22,154,85,15,13,6,10
2022-04-23,112,165,16,13,6,14
2022-04-24,181,283,10,6,5,3
2022-04-25,221,418,11,5,4,1
2022-04-26,354,183,13,10,7,6
2022-04-27,177,69,13,13,5,6
2022-04-28,102,59,10,11,6,5
2022-04-29,70,90,11,7,4,4
2022-04-30,133,65,13,9,6,5
2022-05-01,101,84,10,14,7,6
2022-05-02,127,118,11,7,5,3
2022-05-03,148,156,12,6,5,3
2022-05-04,172,95,14,8,6,4
2022-05-05,123,52,14,10,5,5
2022-05-06,75,54,15,10,6,6
2022-05-07,65,72,10,13,4,7
2022-05-08,109,99,19,9,5,3
2022-05-09,104,66,17,7,2,4
2022-05-10,89,67,14,5,2,3
2022-05-11,81,76,13,7,3,4
2022-05-12,100,71,18,9,3,5
2022-05-13,92,70,14,13,6,5
2022-05-14,118,76,18,13,5,6
2022-05-15,125,58,16,10,4,5
2022-05-16,79,72,15,12,2,5
2022-05-17,117,372,19,10,3,5
2022-05-18,199,344,15,4,2,3
2022-05-19,249,155,15,5,1,4
2022-05-20,135,84,15,9,2,7
2022-05-21,127,99,16,15,6,7
2022-05-22,146,117,20,15,4,7
2022-05-23,157,151,24,11,3,5
2022-05-24,150,91,18,8,4,3
2022-05-25,145,87,15,6,2,3
2022-05-26,101,61,17,8,2,4
2022-05-27,74,74,16,9,2,5
2022-05-28,107,102,13,16,6,9
2022-05-29,153,203,21,12,3,4
2022-05-30,174,330,13,6,2,4
2022-05-31,246,112,16,11,3,6
2022-06-01,148,124,10,15,5,6
2022-06-02,174,460,11,8,2,2
2022-06-03,329,261,15,7,2,4
2022-06-04,225,140,14,11,4,4
2022-06-05,168,175,13,9,2,5
2022-06-06,195,424,15,8,2,5
2022-06-07,293,736,11,6,2,3
2022-06-08,490,397,10,5,2,3
2022-06-09,313,97,13,7,3,4
2022-06-10,128,105,13,5,8,3
2022-06-11,144,151,13,4,2,3
2022-06-12,139,132,13,6,2,4
2022-06-13,167,53,15,7,2,6
2022-06-14,85,86,12,14,8,7
2022-06-15,137,91,11,17,5,8
2022-06-16,140,115,10,10,8,7
2022-06-17,163,111,20,16,6,9
2022-06-18,159,150,14,21,4,10
2022-06-19,184,396,12,8,2,4
2022-06-20,282,117,18,7,2,3
2022-06-21,154,108,15,6,2,3
2022-06-22,146,55,16,8,2,4
