time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,13,,2,,,
2021-01-02,14,,1,,,
2021-01-03,15,,2,,,
2021-01-04,19,,2,,,
2021-01-05,19,,,,,
2021-01-06,26,,,,,
2021-07-02,93,,,,,
2021-07-03,86,,,,,
2021-07-04,119,,,,,
2021-07-05,88,,,,,
2021-07-06,167,,,,,
2021-07-07,115,,,,,
2021-07-08,54,,,,,
2021-07-09,67,,,,,
2021-07-10,64,,,,,
2021-07-11,72,,,,,
2021-07-12,69,,,,,
2021-07-13,75,,,,,
2021-07-14,76,,,,,
2021-07-15,80,,,,,
2021-07-16,57,,,,,
2021-07-17,63,,,,,
2021-07-18,38,,,,,
2021-07-19,25,,,,,
2021-07-20,70,,,,,
2021-07-21,77,,,,,
2021-07-22,70,,,,,
2021-07-23,73,,,,,
2021-07-24,89,,,,,
2021-07-25,106,,,,,
2021-07-26,133,,,,,
2021-07-27,103,,,,,
2021-07-28,108,,,,,
2021-07-29,52,,,,,
2021-07-30,78,,,,,
2021-07-31,55,,,,,
2021-08-01,52,,,,,
2021-08-02,69,,,,,
2021-08-03,52,,,,,
2021-08-04,62,,,,,
2021-08-05,76,,,,,
2021-08-06,71,,,,,
2021-08-07,60,,,,,
2021-08-08,61,,,,,
2021-08-09,39,,,,,
2021-08-10,25,,,,,
2021-08-11,20,,,,,
2021-08-12,14,,,,,
2021-08-13,26,,,,,
2021-08-14,34,,,,,
2021-08-15,34,,,,,
2021-08-16,35,,,,,
2021-08-17,47,,,,,
2021-08-18,45,,,,,
2021-08-19,45,,,,,
2021-08-20,35,,,,,
2021-08-21,22,,,,,
2021-08-22,21,,,,,
2021-08-23,17,,,,,
2021-08-24,16,,,,,
2021-08-25,12,,,,,
2021-08-25,22,,,,,
2021-08-26,15,,,,,
2021-08-26,33,,,,,
2021-08-27,19,,,,,
2021-08-27,43,,,,,
2021-08-28,17,,,,,
2021-08-28,42,,,,,
2021-08-29,16,,,,,
2021-08-29,27,,,,,
2021-08-30,20,,,,,
2021-08-30,31,,,,,
2021-08-31,14,,,,,
2021-08-31,45,,,,,
2021-09-01,8,,,,,
2021-09-01,45,,,,,
2021-09-02,18,,,,,
2021-09-02,54,,,,,
2021-09-03,15,,,,,
2021-09-03,51,,,,,
2021-09-04,13,,,,,
2021-09-04,46,,,,,
2021-09-05,12,,,,,
2021-09-05,27,,,,,
2021-09-06,8,,,,,
2021-09-06,16,,,,,
2021-09-07,16,,,,,
2021-09-07,24,,,,,
2021-09-08,21,,,,,
2021-09-08,7,,,,,
2021-09-09,15,,,,,
2021-09-09,8,,,,,
2021-09-10,15,,,,,
2021-09-10,11,,,,,
2021-09-11,8,,,,,
2021-09-11,16,,,,,
2021-09-12,7,,,,,
2021-09-12,11,,,,,
2021-09-13,8,,,,,
2021-09-13,14,,,,,
2021-09-14,8,,,,,
2021-09-14,12,,,,,
2021-09-15,17,,,,,
2021-09-15,25,,,,,
2021-09-16,23,,,,,
2021-09-16,11,,,,,
2021-09-17,27,,,,,
2021-09-17,24,,,,,
2021-09-18,22,,,,,
2021-09-18,33,,,,,
2021-09-19,22,,,,,
2021-09-19,35,,,,,
2021-09-20,19,,,,,
2021-09-20,43,,,,,
2021-09-21,24,,,,,
2021-09-21,39,,,,,
2021-09-22,26,,,,,
2021-09-22,39,,,,,
2021-09-23,23,,,,,
2021-09-23,27,,,,,
2021-09-24,23,,,,,
2021-09-24,38,,,,,
2021-09-25,20,,,,,
2021-09-25,29,,,,,
2021-09-26,24,,,,,
2021-09-26,29,,,,,
2021-09-27,20,,,,,
2021-09-27,14,,,,,
2021-09-28,20,,,,,
2021-09-28,19,,,,,
2021-10-01,12,,,,,
2021-10-02,15,,,,,
2021-10-03,19,,,,,
2021-10-04,37,,,,,
2021-10-04,17,,,,,
2021-10-05,29,,,,,
2021-10-06,18,,,,,
2021-10-07,18,,,,,
2021-10-08,9,,,,,
2021-10-09,9,,,,,
2021-10-10,11,,,,,
2021-10-11,17,,,,,
2021-10-12,15,,,,,
2021-10-13,24,,,,,
2021-10-14,22,,,,,
2021-10-15,19,,,,,
2021-10-16,11,,,,,
2021-10-17,9,,,,,
2021-10-18,11,,,,,
2021-10-19,10,,,,,
2021-10-20,12,,,,,
2021-10-21,7,,,,,
2021-12-31,10,,,,,
2022-01-01,14,,,,,
2022-01-02,12,,,,,
2022-01-03,24,,,,,
2022-01-04,26,,,,,
2022-01-05,34,,,,,
2022-01-06,42,,,,,
2022-01-07,54,,,,,
2022-01-08,76,,,,,
2022-01-09,53,,,,,
2022-01-10,21,,,,,
2022-01-11,31,,,,,
2022-01-12,45,,,,,
2022-01-13,66,,,,,
2022-01-14,59,,,,,
2022-01-15,36,,,,,
2022-01-16,53,,,,,
2022-01-17,57,,,,,
2022-01-18,67,,,,,
2022-01-19,69,,,,,
2022-01-20,74,,,,,
2022-01-21,53,,,,,
2022-01-22,49,,,,,
2022-01-23,53,,,,,
2022-01-24,66,,,,,
2022-01-25,82,,,,,
2022-01-26,98,,,,,
2022-01-27,91,,,,,
2022-01-28,104,,,,,
2022-01-29,61,,,,,
2022-01-30,67,,,,,
2022-01-31,77,,,,,
2022-02-01,67,,,,,
2022-02-02,71,,,,,
2022-02-03,95,,,,,
2022-02-04,48,,,,,
2022-02-05,81,,,,,
2022-02-06,86,,,,,
2022-02-07,89,,,,,
2022-02-08,85,,,,,
2022-02-09,86,,,,,
2022-02-10,84,,,,,
2022-02-11,81,,,,,
2022-02-12,86,,,,,
2022-02-13,89,,,,,
2022-02-14,85,,,,,
2022-02-15,74,,,,,
2022-02-16,94,,,,,
2022-02-17,111,,,,,
2022-02-18,126,,,,,
2022-02-19,114,,,,,
2022-02-20,96,,,,,
2022-02-21,80,,,,,
2022-02-22,90,,,,,
2022-02-23,107,,,,,
2022-02-24,99,,,,,
2022-02-25,108,,,,,
2022-02-26,108,,,,,
2022-02-27,82,,,,,
2022-02-28,59,,,,,
2022-03-02,99,,,,,
2022-03-03,115,,,,,
2022-03-04,126,,,,,
2022-03-05,134,,,,,
2022-03-06,139,,,,,
2022-03-07,139,,,,,
2022-03-08,119,,,,,
2022-03-09,110,,,,,
2022-03-10,99,,,,,
2022-03-11,89,,,,,
2022-03-12,81,,,,,
2022-03-13,98,,,,,
2022-03-14,122,,,,,
2022-03-15,117,,,,,
2022-07-01,91,,,,,
2022-07-02,101,,,,,
2022-07-03,61,,,,,
2022-07-04,72,,,,,
2022-07-05,78,,,,,
2022-07-06,72,,,,,
2022-07-07,91,,,,,
2022-07-08,121,,,,,
2022-07-09,85,,,,,
2022-07-10,49,,,,,
2022-07-11,59,,,,,
2022-07-12,73,,,,,
2022-07-13,82,,,,,
2022-07-14,68,,,,,
2022-07-15,59,,,,,
2022-07-16,59,,,,,
2022-07-17,61,,,,,
2022-07-18,61,,,,,
2022-07-19,61,,,,,
2022-07-20,67,,,,,
2022-07-21,74,,,,,
2022-07-22,85,,,,,
2022-07-23,75,,,,,
2022-07-24,62,,,,,
2022-07-25,79,,,,,
2022-07-26,86,,,,,
2022-07-27,87,,,,,
2022-07-28,100,,,,,
2022-07-29,94,,,,,
2022-07-30,86,,,,,
2022-07-31,91,,,,,
2022-08-01,84,,,,,
2022-08-02,56,,,,,
2022-08-03,58,,,,,
2022-08-04,68,,,,,
2022-08-05,88,,,,,
2022-08-06,55,,,,,
