time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,,4,1,,73
2021-01-02,,189,5,1,,74
2021-01-03,,54,4,1,,74
2021-01-04,,50,4,1,,75
2021-01-05,,52,,,,
2021-02-19,,,,2,,17
2021-02-20,,,8,2,,14
2021-02-21,,,12,1,,13
2021-02-22,,,15,1,,14
2021-02-23,,,15,1,,15
2021-02-24,,,13,,,
2021-02-26,,,,2,,20
2021-02-27,,,13,2,,20
2021-02-28,,,13,3,,22
2021-03-01,,,11,2,,23
2021-03-02,,,14,1,,24
2021-03-03,,,12,2,,25
2021-03-04,,,,2,,28
2021-03-05,,,,2,,28
2021-03-06,,,,2,,27
2021-03-07,,,,2,,27
2021-03-08,,,,2,,28
2021-03-09,,,,2,,27
2021-05-08,,,,2,,0
2021-05-09,,,,1,,
2021-05-27,,,3,1,,
2021-05-28,,,4,1,,
2021-06-06,,,16,1,,
2021-06-07,,,16,2,,
2021-06-08,,,16,3,,
2021-06-13,,25,,,,
2021-06-14,81,32,1,2,8,27
2021-06-15,56,18,14,2,4,25
2021-06-16,28,24,12,2,6,23
2021-06-17,44,19,14,1,4,21
2021-06-18,38,27,13,1,3,21
2021-06-19,56,24,12,1,2,22
2021-06-20,48,36,12,1,2,23
2021-06-21,69,30,14,2,4,23
2021-06-22,52,40,16,1,6,22
2021-06-23,59,34,16,2,,24
2021-06-24,42,12,13,1,5,23
2021-06-25,29,14,10,1,,25
2021-06-26,26,25,12,1,3,24
2021-06-27,37,38,14,1,4,26
2021-06-28,48,45,16,1,3,27
2021-06-29,70,11,13,1,3,
2021-06-30,34,16,10,1,4,
2021-07-01,39,9,6,2,,
2021-07-02,30,15,6,1,,
2021-07-03,31,19,8,1,,
2021-07-04,42,20,9,1,,
2021-07-05,38,19,9,1,,
2021-07-06,35,13,9,1,4,
2021-07-07,40,17,8,1,,
2021-07-08,29,18,9,1,,
2021-07-09,37,12,9,1,4,
2021-07-10,27,14,7,1,1,
2021-07-11,31,9,6,1,1,
2021-07-12,31,15,6,1,3,
2021-07-13,38,10,7,1,3,
2021-07-14,29,17,9,1,2,
2021-07-15,44,8,9,1,4,
2021-07-16,25,,10,1,,
2021-08-15,,15,7,1,3,
2021-08-16,38,10,9,1,3,
2021-08-17,29,17,9,1,2,
2021-08-18,44,8,10,1,4,
2021-08-19,25,13,10,1,4,
2021-08-20,32,14,10,1,5,
2021-08-21,40,10,11,1,3,
2021-08-22,28,18,12,1,,
2021-08-23,47,20,15,1,,
2021-08-24,55,24,15,1,,
2021-08-25,42,15,16,1,,
2021-08-26,36,9,18,1,,
2021-08-27,25,12,18,1,,
2021-08-28,38,15,19,1,,
2021-08-29,38,22,21,1,,
2021-08-30,47,29,22,1,,
2021-08-31,45,17,23,1,,
2021-09-01,45,20,22,1,,
2021-09-02,51,38,25,1,,
2021-09-03,64,21,25,1,,
2021-09-04,48,26,27,1,,
2021-09-05,54,25,26,2,,
2021-09-06,44,27,26,2,,
2021-09-07,46,19,26,1,,
2021-09-08,35,23,27,1,,
2021-09-09,49,24,25,1,,
2021-09-10,51,31,26,1,,
2021-09-11,62,35,27,2,,
2021-09-12,70,35,26,1,,
2021-09-13,69,25,26,1,,
2021-09-14,69,18,27,1,,
2021-09-15,51,18,28,,,
2021-09-16,54,20,25,1,,
2021-09-17,46,17,20,1,,
2021-09-18,32,13,19,1,,
2021-09-19,28,13,18,1,6,
2021-09-20,30,14,19,1,6,
2021-09-21,29,14,19,1,,
2021-09-22,36,14,18,1,4,
2021-09-23,29,26,18,1,,
2021-09-24,45,18,18,1,1,
2021-09-25,35,25,17,1,3,
2021-09-26,42,23,17,1,4,
2021-09-27,34,20,22,1,,
2021-09-28,41,,,,,
2021-09-29,,16,18,1,5,
2021-09-30,25,20,17,1,,
2021-10-01,38,19,16,1,4,
2021-10-02,30,20,0,,4,
2021-10-03,32,20,48,9,,
2021-10-04,32,20,49,7,,
2021-10-05,34,22,47,7,,
2021-10-06,46,11,44,5,,
2021-10-07,22,18,43,6,,
2021-10-08,29,23,,6,,
2021-10-09,45,23,,6,,
2021-10-10,40,18,,7,,
2021-10-11,35,28,,8,,
2021-10-12,51,32,,7,,
2021-10-13,56,6,,6,,
2021-10-14,26,12,,8,,
2021-10-15,26,19,0,7,,
2021-10-16,34,34,0,13,,
2021-10-17,80,23,4,8,,
2021-10-18,41,16,7,7,,
2021-10-19,34,13,5,6,,
2021-10-20,36,13,6,7,,
2021-10-21,36,15,7,11,,
2021-10-22,35,34,11,9,,
2021-10-23,47,30,15,9,,
2021-10-24,49,23,17,7,,
2021-10-25,45,38,21,9,,
2021-10-26,51,38,23,10,,
2021-10-27,62,36,26,10,,
2021-10-28,63,26,28,8,,
2021-10-29,38,30,30,8,,
2021-10-30,46,24,37,8,,
2021-10-31,42,15,38,8,,
2021-11-01,47,26,44,7,,
2021-11-02,37,35,58,9,,
2021-11-03,50,27,58,8,,
2021-11-04,46,23,56,8,,
2021-11-05,39,30,50,6,,
2021-11-06,48,28,5,8,,
2021-11-07,46,31,2,11,,
2021-11-08,56,18,5,9,,
2021-11-09,35,25,5,9,,
2021-11-10,46,11,1,7,,
2021-11-11,29,18,0,8,,
2021-11-12,27,25,0,9,,
2021-11-13,37,20,0,8,,
2021-11-14,34,22,1,8,,
2021-11-15,35,26,0,8,,
2021-11-16,44,17,0,8,,
2021-11-17,39,11,0,6,,
2021-11-18,29,,,,,
2021-12-30,,26,0,8,,
2021-12-31,44,17,0,8,,
2022-01-01,39,11,0,6,,
2022-01-02,29,13,0,6,,
2022-01-03,34,25,1,8,,
2022-01-04,39,23,0,9,3,
2022-01-05,41,39,1,10,4,
2022-01-06,59,39,0,12,4,
2022-01-07,55,42,0,13,,
2022-01-08,60,17,1,7,2,
2022-01-09,33,20,0,7,,
2022-01-10,35,15,0,7,5,
2022-01-11,29,16,0,9,1,
2022-01-12,38,23,0,7,4,
2022-01-13,31,32,0,9,2,
2022-01-14,51,36,0,12,1,
2022-01-15,59,21,0,9,,
2022-01-16,42,27,0,11,4,
2022-01-17,41,30,5,10,2,
2022-01-18,42,40,1,10,,
2022-01-19,56,27,0,9,,
2022-01-20,43,25,1,9,4,
2022-01-21,41,23,0,9,,
2022-01-22,32,20,0,8,7,
2022-01-23,37,41,0,11,1,
2022-01-24,51,16,0,9,3,
2022-01-25,40,21,1,8,,
2022-01-26,33,43,3,13,,
2022-01-27,52,53,1,15,3,
2022-01-28,61,58,0,14,,
2022-01-29,74,19,0,8,,
2022-01-30,39,19,0,8,,
2022-01-31,39,,,,,
2022-02-01,,16,6,10,,
2022-02-02,34,33,11,8,,
2022-02-03,54,43,11,12,,
2022-02-04,57,39,12,12,,
2022-02-05,53,45,17,14,,
2022-02-06,61,52,37,15,5,
2022-02-07,60,51,48,15,3,
2022-02-08,68,49,62,18,,
2022-02-09,68,39,64,13,,
2022-02-10,72,52,65,17,,
2022-02-11,73,56,65,17,,
2022-02-12,79,42,58,14,,
2022-02-13,65,45,57,15,,
2022-02-14,75,41,54,13,,
2022-02-15,54,24,52,10,,
2022-02-16,35,35,64,11,3,
2022-02-17,53,59,61,11,2,
2022-02-18,73,38,51,12,1,
2022-02-19,54,32,49,10,2,
2022-02-20,53,55,47,15,7,
2022-02-21,75,,,,4,
2022-02-22,,34,,11,,
2022-02-23,41,41,,11,2,
2022-02-24,64,62,,15,2,
2022-02-25,77,,,,2,
2022-02-27,,47,,13,,
2022-02-28,62,41,1,13,3,
2022-03-01,55,28,2,9,4,
2022-03-02,54,51,1,16,4,
2022-03-03,75,38,4,13,1,
2022-03-04,64,,,,2,
2022-03-05,,30,3,10,,
2022-03-06,39,22,4,10,1,
2022-03-07,37,21,3,9,6,
2022-03-08,34,,,,4,
2022-03-09,,19,2,9,,
2022-03-10,18,21,3,10,0,
2022-03-11,32,29,4,11,1,
2022-03-12,37,38,5,12,5,
2022-03-13,50,39,3,12,3,
2022-03-14,50,45,3,14,4,
2022-03-15,61,33,4,14,5,
2022-03-16,56,25,8,16,3,
2022-03-17,29,43,11,15,3,
2022-03-18,54,26,19,11,5,
2022-03-19,38,26,18,13,4,
2022-03-20,44,40,25,14,2,
2022-03-21,68,55,29,18,1,
2022-03-22,85,70,28,22,3,
2022-03-23,95,75,30,21,2,
2022-03-24,108,45,17,15,3,
2022-03-25,72,51,24,13,0,
2022-03-26,89,38,25,13,2,
2022-03-27,,39,30,14,2,
2022-03-27,58,20,18,11,2,
2022-03-28,51,38,27,14,4,
2022-03-28,33,31,26,13,2,
2022-03-29,55,40,23,15,5,
2022-03-29,52,27,22,10,5,
2022-03-30,57,47,28,18,2,
2022-03-30,47,35,15,12,3,
2022-03-31,67,37,19,15,2,
2022-03-31,61,32,30,10,4,
2022-04-01,51,27,18,12,2,
2022-04-01,41,28,33,6,1,
2022-04-02,46,21,23,8,4,
2022-04-02,64,25,32,8,2,
2022-04-03,41,55,27,11,3,
2022-04-03,47,,,,2,
2022-04-04,74,57,29,16,6,
2022-04-05,85,41,36,12,4,
2022-04-06,63,51,30,15,3,
2022-04-07,73,50,24,14,3,
2022-04-08,76,40,23,7,5,
2022-04-09,55,77,28,11,5,
2022-04-10,91,58,8,14,5,
2022-04-11,84,26,6,9,6,
2022-04-12,44,15,6,8,2,24
2022-04-13,32,20,7,8,1,24
2022-04-14,38,26,8,8,4,25
2022-04-15,40,26,6,10,4,25
2022-04-16,40,26,7,9,3,25
2022-04-17,41,16,7,9,3,25
2022-04-18,27,25,7,9,3,25
2022-04-19,37,18,7,10,2,25
2022-04-20,33,27,7,11,1,27
2022-04-21,37,31,10,9,3,26
2022-04-22,48,36,9,9,3,26
2022-04-23,51,23,9,8,4,26
2022-04-24,34,14,10,8,2,25
2022-04-25,29,15,9,6,2,25
2022-04-26,26,29,11,11,2,28
2022-04-27,37,11,11,8,2,25
2022-04-28,24,27,14,8,1,26
2022-04-29,41,31,12,9,1,26
2022-04-30,51,15,8,9,3,26
2022-05-01,29,20,13,7,3,26
2022-05-02,40,36,14,12,2,29
2022-05-03,56,58,10,19,3,32
2022-05-04,95,30,9,12,5,28
2022-05-05,44,40,11,13,4,29
2022-05-06,57,26,13,7,6,27
2022-05-07,41,40,14,9,2,27
2022-05-08,54,45,14,14,5,30
2022-05-09,58,20,11,11,6,28
2022-05-10,40,25,9,8,4,28
2022-05-11,36,23,10,10,2,28
2022-05-12,39,20,10,10,3,28
2022-05-13,34,32,9,10,0,28
2022-05-14,48,16,10,8,1,27
2022-05-15,31,24,10,10,3,29
2022-05-16,40,24,10,10,2,28
2022-05-17,38,26,9,10,4,28
2022-05-18,38,31,9,10,4,29
2022-05-19,49,21,10,9,2,27
2022-05-20,39,19,11,9,2,28
2022-05-21,34,19,11,7,5,27
2022-05-22,39,44,11,12,3,29
2022-05-23,56,30,11,12,4,29
2022-05-24,49,28,13,11,4,28
2022-05-25,51,26,8,9,4,28
2022-05-26,43,25,8,10,3,28
2022-05-27,41,26,10,9,1,28
2022-05-28,,22,9,7,3,
2022-05-28,43,17,8,8,2,28
2022-05-29,42,30,13,9,1,
2022-05-29,38,23,9,9,1,28
2022-05-30,50,22,9,7,1,
2022-05-30,43,32,10,9,2,29
2022-05-31,34,40,8,9,0,
2022-05-31,41,21,13,8,2,27
2022-06-01,42,30,10,9,2,
2022-06-01,65,26,13,10,0,29
2022-06-02,40,26,11,9,1,
2022-06-02,32,29,12,9,1,29
2022-06-03,44,50,15,12,2,
2022-06-03,35,78,13,8,5,29
2022-06-04,88,66,11,10,3,
2022-06-04,81,53,11,13,4,32
2022-06-05,105,31,9,9,3,
2022-06-05,85,31,13,11,3,23
2022-06-06,64,27,8,7,4,
2022-06-06,44,49,9,12,2,3
2022-06-07,62,14,6,6,3,
2022-06-07,62,40,11,12,3,0
2022-06-08,42,19,11,7,1,
2022-06-08,49,28,13,9,2,
2022-06-09,60,24,10,9,1,
2022-06-09,39,29,11,10,2,86
2022-06-10,47,20,10,7,0,
2022-06-10,45,28,11,10,3,90
2022-06-11,44,14,10,6,0,
2022-06-11,48,27,12,9,3,87
2022-06-12,44,14,9,6,1,
2022-06-12,44,40,15,6,2,87
2022-06-13,44,19,8,8,2,
2022-06-13,42,30,16,8,3,89
2022-06-14,44,38,9,12,3,
2022-06-14,44,39,17,9,2,88
2022-06-15,64,32,10,10,2,
2022-06-15,50,31,17,7,1,77
2022-06-16,60,24,12,7,4,
2022-06-16,39,30,15,13,1,3
2022-06-17,60,33,10,8,2,
2022-06-17,41,38,12,13,2,7
2022-06-18,65,24,9,8,3,
2022-06-18,53,33,13,9,1,7
2022-06-19,50,18,9,6,1,
2022-06-19,58,21,11,9,3,7
2022-06-20,53,20,8,6,2,
2022-06-20,32,32,10,8,3,
2022-06-21,47,27,9,8,2,
2022-06-21,38,32,15,9,2,31
2022-06-22,53,41,10,6,4,
2022-06-22,41,28,13,10,2,
2022-06-23,63,31,9,10,4,500
2022-06-23,48,22,9,7,3,
2022-06-24,45,26,9,9,1,500
2022-06-24,42,30,13,9,1,
2022-06-25,45,25,11,7,2,277
2022-06-25,50,22,9,7,1,
2022-06-26,54,27,12,7,2,12
2022-06-26,34,,,,,
2022-06-27,53,47,10,8,3,
2022-06-28,76,24,12,7,1,
2022-06-29,49,29,12,8,2,34
2022-06-30,50,29,13,9,4,38
2022-07-01,43,25,12,8,4,32
2022-07-02,51,23,10,9,8,41
2022-07-03,48,31,8,7,7,38
2022-07-04,59,22,9,6,10,37
2022-07-05,55,26,9,7,6,48
2022-07-06,63,24,34,8,8,170
2022-07-07,82,22,10,8,10,179
2022-07-08,140,17,10,10,12,57
2022-07-09,106,20,10,8,12,58
2022-07-10,109,19,14,6,10,33
2022-07-11,111,19,12,7,10,56
2022-07-12,106,20,10,9,7,60
2022-07-13,100,19,9,9,6,77
2022-07-14,121,14,8,9,3,54
2022-07-15,84,13,11,7,5,50
2022-07-16,97,18,12,8,7,33
2022-07-17,105,15,17,7,7,27
2022-07-18,85,17,11,6,6,27
