time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,52,26,27,10,3,6
2021-01-02,47,25,27,8,3,6
2021-01-03,47,25,29,8,3,6
2021-01-04,53,35,31,10,3,7
2021-01-05,68,39,28,14,3,8
2021-01-06,56,41,23,13,3,10
2021-01-07,71,35,19,10,3,9
2021-01-08,62,33,18,11,3,9
2021-01-09,53,34,18,12,3,10
2021-01-10,55,33,21,10,4,10
2021-01-11,60,29,15,11,4,11
2021-01-12,56,27,13,9,3,10
2021-01-13,57,24,12,9,3,11
2021-01-14,45,32,12,10,3,12
2021-01-15,50,30,9,10,3,12
2021-01-16,33,24,11,9,4,11
2021-01-17,29,37,12,11,4,13
2021-01-18,42,24,9,9,3,11
2021-01-19,31,26,10,8,3,11
2021-01-20,32,33,10,9,3,11
2021-01-21,36,40,9,12,4,14
2021-01-22,43,50,8,14,3,14
2021-01-23,44,39,9,12,3,12
2021-01-24,45,33,7,11,3,13
2021-01-25,35,51,10,17,7,15
2021-01-26,49,55,13,19,7,14
2021-01-27,63,52,13,15,5,14
2021-01-28,66,40,20,12,3,13
2021-01-29,63,34,21,9,3,15
2021-01-30,37,53,34,15,7,16
2021-01-31,58,49,20,10,5,15
2021-02-01,45,24,26,5,3,11
2021-02-02,31,33,26,10,6,14
2021-02-03,34,40,23,12,5,15
2021-02-04,57,38,7,11,4,15
2021-02-05,44,41,,12,5,15
2021-02-06,44,43,,12,4,13
2021-02-07,60,48,0,12,8,18
2021-02-08,54,46,0,15,6,16
2021-02-09,61,49,,15,5,16
2021-02-10,58,55,,16,10,18
2021-02-11,60,49,,16,5,17
2021-02-12,63,53,,18,4,20
2021-02-13,54,54,,17,6,20
2021-02-14,64,50,,13,4,17
2021-02-15,57,25,,7,3,15
2021-02-16,34,24,,8,3,19
2021-02-17,23,21,0,8,3,18
2021-02-18,25,31,0,11,4,19
2021-02-19,36,41,0,11,11,19
2021-02-20,40,29,0,10,4,20
2021-02-21,35,26,1,9,6,18
2021-02-22,39,37,2,12,4,20
2021-02-23,29,41,,15,5,20
2021-02-24,47,43,,15,5,19
2021-02-25,55,42,,13,5,18
2021-02-26,70,30,,15,6,19
2021-02-27,60,,,,,
2021-03-01,,61,24,17,5,27
2021-03-02,64,60,38,18,6,21
2021-03-03,63,61,38,18,6,21
2021-03-04,76,79,39,20,7,22
2021-03-05,72,,29,17,5,20
2021-03-06,65,,29,15,6,20
2021-03-07,72,,38,16,6,23
2021-03-08,70,,17,11,3,18
2021-03-09,51,34,24,14,4,11
2021-03-10,36,35,26,16,2,11
2021-03-11,43,44,38,21,5,11
2021-03-12,58,51,56,21,2,9
2021-03-13,58,54,45,17,0,9
2021-03-14,68,39,35,17,0,12
2021-03-15,58,39,41,10,0,6
2021-03-16,58,46,30,16,0,11
2021-03-17,62,54,42,16,1,9
2021-03-18,62,60,36,15,1,9
2021-03-19,61,46,36,20,9,11
2021-03-20,62,67,35,16,5,10
2021-03-21,50,48,37,14,4,10
2021-03-22,55,46,35,18,5,12
2021-03-23,74,56,34,15,5,11
2021-03-24,52,53,42,21,5,16
2021-03-25,81,68,39,17,4,13
2021-03-26,71,65,34,12,12,11
2021-03-27,83,52,31,13,7,12
2021-03-28,57,52,30,11,3,11
2021-03-29,42,40,30,15,4,11
2021-03-30,44,50,40,23,5,15
2021-03-31,56,84,42,17,2,10
2021-04-01,,46,34,14,3,13
2021-04-01,91,98,36,5,1,8
2021-04-02,44,62,45,20,6,15
2021-04-02,74,145,39,8,2,9
2021-04-03,60,57,33,15,3,14
2021-04-03,81,59,37,15,1,13
2021-04-04,63,50,41,12,3,12
2021-04-04,56,53,41,14,3,13
2021-04-05,60,52,39,13,3,13
2021-04-05,53,51,,,,
2021-04-06,62,46,34,16,4,14
2021-04-07,61,40,27,11,3,15
2021-04-08,50,54,25,9,3,8
2021-04-09,72,43,36,11,2,6
2021-04-10,51,44,31,13,7,8
2021-04-11,59,51,22,13,6,12
2021-04-12,49,52,33,12,9,8
2021-04-13,50,55,38,15,9,8
2021-04-14,58,33,20,11,5,8
2021-04-15,51,38,41,14,3,8
2021-04-16,40,42,44,10,5,6
2021-04-17,48,34,22,8,1,7
2021-04-18,41,49,30,15,2,11
2021-04-19,64,48,42,13,4,8
2021-04-20,65,50,48,15,5,9
2021-04-21,72,57,46,13,5,9
2021-04-22,71,63,47,14,2,9
2021-04-23,77,62,52,14,2,9
2021-04-24,69,70,39,11,5,8
2021-04-25,88,34,28,4,1,8
2021-04-26,27,52,54,15,2,11
2021-04-27,63,54,42,14,8,12
2021-04-28,68,45,35,7,2,8
2021-04-29,62,22,30,5,1,8
2021-04-30,40,37,30,9,2,10
2021-05-01,49,38,28,12,3,9
2021-05-02,50,59,42,18,5,11
2021-05-03,66,73,57,19,5,12
2021-05-04,101,74,46,22,5,13
2021-05-05,108,57,60,8,4,9
2021-05-06,89,60,46,12,3,9
2021-05-07,84,54,57,12,2,9
2021-05-08,80,58,48,13,4,11
2021-05-09,82,60,32,10,2,9
2021-05-10,71,59,31,10,2,11
2021-05-11,65,88,37,10,5,12
2021-05-12,77,61,44,10,2,10
2021-05-13,75,74,42,13,2,10
2021-05-14,72,105,40,17,2,13
2021-05-15,96,60,39,13,2,11
2021-05-16,78,57,38,16,4,13
2021-05-17,45,78,31,14,8,20
2021-05-18,40,54,40,15,6,13
2021-05-19,60,47,53,10,9,12
2021-05-20,57,57,39,10,4,12
2021-05-21,64,57,38,12,3,14
2021-05-22,65,54,29,12,5,13
2021-05-23,55,49,43,13,3,13
2021-05-24,47,61,44,16,13,16
2021-05-25,74,52,62,11,7,13
2021-05-26,57,60,76,13,6,14
2021-05-27,71,69,56,11,9,14
2021-05-28,84,45,52,6,2,13
2021-05-29,59,65,46,13,7,15
2021-05-30,69,58,49,13,3,14
2021-05-31,70,53,46,12,4,14
2021-06-01,59,44,45,7,1,14
2021-06-02,51,58,36,12,3,15
2021-06-03,61,53,29,9,2,12
2021-06-04,58,47,40,13,2,7
2021-06-05,43,40,30,13,2,5
2021-06-06,34,50,42,14,2,6
2021-06-07,50,51,49,14,3,6
2021-06-08,57,57,54,14,5,8
2021-06-09,65,63,61,12,5,7
2021-06-10,72,57,58,13,6,7
2021-06-11,78,66,60,15,4,8
2021-06-12,92,65,55,13,7,8
2021-06-13,77,46,44,7,1,6
2021-06-14,58,49,24,12,1,8
2021-06-15,67,59,51,16,14,10
2021-06-16,68,53,53,16,10,8
2021-06-17,59,63,51,6,2,8
2021-06-18,66,77,44,8,4,11
2021-06-19,86,96,64,8,2,8
2021-06-20,76,61,67,8,3,8
2021-06-21,73,64,72,9,6,8
2021-06-22,82,62,79,12,4,8
2021-06-23,73,64,60,10,6,8
2021-06-24,87,31,35,6,1,10
2021-06-25,33,51,61,9,4,9
2021-06-26,56,56,47,10,1,8
2021-06-27,62,32,30,4,1,8
2021-06-28,34,23,31,3,1,8
2021-06-29,20,26,37,8,1,9
2021-06-30,25,30,52,7,1,8
2021-07-01,26,,,,,
2022-03-31,,42,34,14,2,14
2022-04-01,61,62,40,18,6,16
2022-04-02,71,81,44,25,8,18
2022-04-03,84,68,47,22,4,17
2022-04-04,79,50,34,18,5,15
2022-04-05,60,58,40,17,4,15
2022-04-06,84,25,33,14,2,14
2022-04-07,50,40,21,14,9,16
2022-04-08,63,16,19,8,2,13
2022-04-09,32,36,27,15,4,17
