time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,30,,,8,31
2021-01-01,,25,,,15,31
2021-01-02,,25,,,14,32
2021-01-02,,30,,,8,31
2021-01-03,,28,,,9,31
2021-01-03,,25,,,14,32
2021-01-04,,26,,,6,31
2021-01-04,,28,,,9,31
2021-01-05,,35,,,7,31
2021-01-05,,26,,,,
2021-01-06,,33,,,13,32
2021-01-07,,34,,,10,33
2021-01-08,,35,,,9,35
2021-01-09,,46,,,8,34
2021-01-10,,46,,,13,34
2021-01-11,,42,,,12,33
2021-01-12,,43,,,10,33
2021-01-13,,28,,,12,33
2021-01-14,,26,,,6,33
2021-01-15,,28,,,15,33
2021-01-16,,30,,,8,33
2021-01-17,,24,,,10,33
2021-01-18,,20,,,9,33
2021-01-19,,25,,,8,33
2021-01-20,,24,,,9,33
2021-01-21,,26,,,15,34
2021-01-22,,30,,,27,36
2021-01-23,,53,,,13,34
2021-01-24,,41,,,9,34
2021-01-25,,32,,,16,37
2021-01-26,,51,,,8,36
2021-01-27,,58,,,7,36
2021-01-28,,41,,,9,35
2021-01-29,,46,,,9,34
2021-01-30,,31,,,6,35
2021-01-31,,34,,,11,33
2021-02-01,,33,,,4,33
2021-02-02,,32,,,6,34
2021-02-03,,,,,18,47
2021-02-03,,32,,,14,34
2021-02-04,,71,,,7,44
2021-02-04,,26,,,16,34
2021-02-05,,59,,,11,43
2021-02-05,,26,,,14,35
2021-02-06,,63,,,9,46
2021-02-06,,30,,,8,38
2021-02-07,,64,,,8,42
2021-02-07,,42,,,14,43
2021-02-08,,76,,,6,41
2021-02-08,,63,,,10,39
2021-02-09,,49,,,5,40
2021-02-09,,57,,,8,39
2021-02-10,,34,,,9,40
2021-02-10,,54,,,10,39
2021-02-11,,40,,,13,41
2021-02-11,,56,,,14,42
2021-02-12,,46,,,8,41
2021-02-12,,67,,,12,41
2021-02-13,,44,,,13,42
2021-02-13,,78,,,7,39
2021-02-14,,56,,,12,48
2021-02-14,,62,,,11,37
2021-02-15,,69,,,8,43
2021-02-15,,63,,,23,36
2021-02-16,,62,,,4,43
2021-02-16,,31,,,12,35
2021-02-17,,38,,,12,41
2021-02-17,,23,,,5,34
2021-02-18,,47,,,11,42
2021-02-18,,33,,,4,35
2021-02-19,,47,,,6,41
2021-02-19,,27,,,3,35
2021-02-20,,39,,,5,41
2021-02-20,,24,,,7,36
2021-02-21,,34,,,7,45
2021-02-21,,22,,,19,35
2021-02-22,,47,,,,46
2021-02-22,,19,,,9,37
2021-02-23,,66,,,,44
2021-02-23,,30,,,7,42
2021-02-24,,55,,,5,42
2021-02-24,,55,,,10,45
2021-02-25,,40,,,7,42
2021-02-25,,74,,,14,42
2021-02-26,,44,,,25,42
2021-02-26,,67,,,14,44
2021-02-27,,71,,,5,40
2021-02-27,,74,,,17,43
2021-02-28,,37,,,7,44
2021-02-28,,78,,,5,39
2021-03-01,,39,,,11,50
2021-03-01,,58,,,2,37
2021-03-02,,77,,,26,43
2021-03-02,,46,,,2,35
2021-03-03,,66,,,14,40
