time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,42,,4,4,3
2021-01-01,,26,,3,5,3
2021-01-02,,43,,5,,4
2021-01-02,,38,,,,
2021-01-03,,35,,5,,3
2021-01-04,,45,,1,,3
2021-01-05,,26,,3,,3
2021-01-06,,29,,5,,3
2021-01-07,,41,,3,,1
2021-01-08,,37,,9,,3
2021-01-09,,28,,4,,3
2021-01-10,,29,14,5,12,3
2021-01-11,,46,19,5,7,3
2021-01-12,,44,19,4,6,2
2021-01-13,,32,24,5,6,3
2021-01-14,,35,23,7,10,4
2021-01-15,,50,20,4,5,3
2021-01-16,,37,22,6,5,5
2021-01-17,,42,21,9,11,4
2021-01-18,,48,27,9,12,3
2021-01-19,,61,19,7,7,6
2021-01-20,,51,17,2,6,4
2021-01-21,,35,21,4,4,3
2021-01-22,,36,21,7,9,4
2021-01-23,,50,21,4,6,2
2021-01-24,,45,17,1,4,2
2021-01-25,,25,18,3,6,3
2021-01-26,,34,17,4,7,3
2021-01-27,,40,18,3,5,2
2021-01-28,,557,17,4,7,1
2021-01-29,,39,25,7,6,5
2021-01-30,,51,25,7,6,7
2021-01-31,,48,28,10,8,7
2021-02-01,,52,18,9,9,5
2021-02-02,,48,20,8,7,6
2021-02-03,,55,31,5,7,5
2021-02-04,,49,26,5,7,3
2021-02-05,,49,24,7,7,5
2021-02-06,,57,22,5,6,4
2021-02-07,,,23,,7,6
2021-02-07,,52,14,2,9,2
2021-02-08,,41,22,,9,6
2021-02-08,,19,15,3,3,2
2021-02-09,,56,17,,8,9
2021-02-09,,24,16,2,6,2
2021-02-10,,60,21,,8,6
2021-02-10,,57,15,3,6,2
2021-02-11,,57,23,,9,5
2021-02-11,,27,16,4,7,2
2021-02-12,,60,14,,9,4
2021-02-12,,40,13,3,6,3
2021-02-13,,46,17,,6,3
2021-02-13,,25,16,3,7,2
2021-02-14,,20,13,,6,3
2021-02-14,,35,14,5,6,2
2021-02-15,,35,10,,10,3
2021-02-15,,36,14,9,10,6
2021-02-16,,44,15,,7,3
2021-02-16,,49,18,7,8,5
2021-02-17,,35,15,,8,8
2021-02-17,,47,34,10,10,6
2021-02-18,,62,16,,8,7
2021-02-18,,57,25,10,9,7
2021-02-19,,57,21,,7,8
2021-02-19,,54,23,12,10,9
2021-02-20,,62,17,,8,7
2021-02-20,,64,20,4,8,3
2021-02-21,,57,20,,10,6
2021-02-21,,51,16,2,6,2
2021-02-22,,54,21,,5,6
2021-02-22,,25,15,6,12,3
2021-02-23,,66,18,,7,3
2021-02-23,,48,15,6,7,4
2021-02-24,,43,18,,16,5
2021-02-24,,44,20,7,10,4
2021-02-25,,77,17,,8,3
2021-02-25,,57,9,4,5,4
2021-02-26,,35,,,,
2021-02-26,,45,12,5,7,5
2021-02-27,,84,,,,
2021-02-27,,41,14,,7,4
2021-02-28,,40,,,,
2021-02-28,,42,8,4,5,4
2021-03-01,,41,,,,
2021-03-01,,48,15,8,5,3
2021-03-02,,36,,,,
2021-03-02,,40,17,11,10,5
2021-03-03,,50,,,,
2021-03-03,,45,11,,12,10
2021-03-04,,38,,,,
2021-03-04,,54,7,9,7,9
2021-03-05,,37,,,,
2021-03-05,,20,19,6,8,6
2021-03-06,,61,,,,
2021-03-06,,45,14,4,5,7
2021-03-07,,50,,,,
2021-03-07,,32,17,5,4,4
2021-03-08,,37,,,,
2021-03-08,,51,13,4,5,3
2021-03-09,,52,,,,
2021-03-09,,42,16,8,6,6
2021-03-10,,53,,,,
2021-03-10,,49,20,6,8,4
2021-03-11,,59,,,,
2021-03-11,,55,17,7,7,6
2021-03-12,,32,,,,
2021-03-12,,53,18,7,7,5
2021-03-13,,28,,,,
2021-03-13,,51,19,5,6,4
2021-03-14,,44,15,,5,7
2021-03-14,,46,18,7,7,4
2021-03-15,,44,26,,9,8
2021-03-15,,47,19,8,11,9
2021-03-16,,49,27,,6,6
2021-03-16,,60,15,5,7,4
2021-03-17,,56,18,,5,
2021-03-17,,39,16,5,7,4
2021-03-18,,113,16,,8,
2021-03-18,,50,21,2,6,2
2021-03-19,,46,22,,5,
2021-03-19,,50,16,11,10,6
2021-03-20,,60,24,,4,
2021-03-20,,62,17,,8,11
2021-03-21,,56,19,,7,
2021-03-21,,69,16,,8,7
2021-03-22,,80,18,,6,
2021-03-22,,125,22,,11,8
2021-03-23,,48,22,,7,
2021-03-23,,62,23,,7,3
2021-03-24,,35,18,,6,
2021-03-24,,51,25,,6,5
2021-03-25,,29,20,,7,
2021-03-25,,50,21,,12,8
2021-03-26,,33,26,,10,
2021-03-26,,92,22,,9,4
2021-03-27,,51,33,,7,
2021-03-27,,36,20,,7,5
2021-03-28,,63,25,,8,
2021-03-28,,48,,,,
2021-03-29,,59,27,,8,
2021-03-30,,50,27,,8,
2021-03-31,,54,19,,9,
2021-04-01,,42,27,,10,
2021-04-02,,60,30,,7,
2021-04-03,,59,31,,7,
2021-04-04,,50,24,,6,
2021-04-05,,48,17,,7,
2021-04-06,,41,25,,8,
2021-04-07,,47,30,,8,
2021-04-08,,60,21,,6,
2021-04-09,,59,23,,7,
2021-04-10,,41,30,,10,
2021-04-11,,57,22,,4,
2021-04-12,,36,27,,5,
2021-04-13,,37,25,,8,
2021-04-14,,63,25,,7,
2021-04-15,,58,27,,7,
2021-04-16,,56,29,,6,
2021-04-17,,48,21,,7,
2021-04-18,,52,18,,8,
2021-04-19,,47,19,,10,
2021-04-20,,63,22,,5,
2021-04-21,,33,29,,7,
2021-04-22,,60,28,,5,
2021-04-23,,59,27,,5,
2021-04-24,,46,27,,6,
2021-04-25,,100,19,,9,
2021-04-26,,51,15,,7,
2021-04-27,,42,18,,6,
2021-04-28,,54,23,,6,
2021-04-29,,69,19,,6,
2021-04-30,,57,33,,8,
2021-05-01,,52,24,,8,
2021-05-02,,62,21,,6,
2021-05-03,,37,30,,5,
2021-05-04,,49,30,,4,
2021-05-05,,59,23,,4,
2021-05-06,,61,19,,5,
2021-05-07,,16,23,,7,
2021-05-08,,24,26,,7,
2021-05-09,,32,,,,
2021-07-01,,,23,,4,
2021-07-02,,61,19,,5,
2021-07-03,,16,23,,7,
2021-07-04,,24,26,,7,
2021-07-05,,32,27,,5,
2021-07-06,,44,29,,6,
2021-07-07,,45,27,,8,
2021-07-08,,39,35,,8,
2021-07-09,,53,28,,7,
2021-07-10,,252,20,,7,
2021-07-11,,868,25,,6,
2021-07-12,,868,29,,9,
2021-07-13,,560,30,,7,
2021-07-14,,45,28,,7,
2021-07-15,,54,27,,6,
2021-07-16,,44,29,,5,
2021-07-17,,48,30,,9,
2021-07-18,,51,22,,7,
2021-07-19,,39,25,,7,
2021-07-20,,46,21,,7,
2021-07-21,,81,24,,6,
2021-07-22,,46,21,,7,
2021-07-23,,47,16,,7,
2021-07-24,,55,67,,11,
2021-07-25,,36,,,7,
2021-07-26,,53,,,,
2021-07-27,,,5,,7,
2021-07-28,,50,31,,6,
2021-07-29,,89,25,,7,
2021-07-30,,88,28,,,
2021-07-31,,46,17,,,
2021-08-01,,42,32,,,
2021-08-02,,23,26,,,
2021-08-03,,43,34,,9,
2021-08-04,,52,22,,10,
2021-08-05,,58,20,,8,
2021-08-06,,58,18,,3,
2021-08-07,,40,,,7,
2021-08-11,,,43,,,
2021-08-12,,32,26,,3,
2021-08-13,,69,17,,3,
2021-08-14,,21,16,,4,
2021-08-15,,22,23,,4,
2021-08-16,,35,34,,4,
2021-08-17,,863,29,,6,
2021-08-18,,794,19,,1,
2021-08-19,,,,,5,
2021-08-27,,,21,,5,
2021-08-28,,6,28,,6,
2021-08-29,,6,31,,,
2021-08-30,,5,23,,3,
2021-08-31,,,26,,8,
2021-09-01,,5,23,,3,
2021-09-02,,11,23,,3,
2021-09-03,,2,26,,9,
2021-09-04,,12,24,,3,
2021-09-05,,6,29,,4,
2021-09-06,,7,32,,2,
2021-09-07,,5,35,,3,
2021-09-08,,4,27,,6,
2021-09-09,,37,24,,2,
2021-09-10,,48,21,,9,
2021-09-11,,,15,,4,
2021-09-11,,82,19,,9,
2021-09-12,,12,15,,4,
2021-09-12,,98,17,,10,
2021-09-13,,18,20,,3,
2021-09-13,,27,13,,6,
2021-09-14,,27,24,,4,
2021-09-14,,13,11,,6,
2021-09-15,,27,21,,11,
2021-09-15,,15,19,,4,
2021-09-16,,24,15,,9,
2021-09-16,,26,23,,6,
2021-09-17,,32,14,,9,
2021-09-17,,31,18,,3,
2021-09-18,,239,17,,7,
2021-09-18,,25,18,,2,
2021-09-19,,868,13,,7,
2021-09-19,,73,14,,3,
2021-09-20,,868,19,,7,
2021-09-20,,21,19,,7,
2021-09-21,,867,16,,1,
2021-09-21,,22,24,,7,
2021-09-22,,868,13,,6,
2021-09-22,,15,20,,7,
2021-09-23,,431,14,,4,
2021-09-23,,26,21,,9,
2021-09-24,,46,15,,10,
2021-09-24,,69,21,,4,
2021-09-25,,34,15,,3,
2021-09-25,,65,18,,6,
2021-09-26,,38,14,,3,
2021-09-26,,68,22,,9,
2021-09-27,,37,17,,7,
2021-09-27,,71,12,,7,
2021-09-28,,50,14,,13,
2021-09-28,,18,9,,6,
2021-09-29,,48,18,,3,
2021-09-29,,18,18,,7,
2021-09-30,,38,23,,6,
2021-09-30,,67,16,,6,
2021-10-01,,39,17,,8,
2021-10-01,,26,15,,7,
2021-10-02,,42,17,,10,
2021-10-02,,12,15,,4,
2021-10-03,,36,18,,4,
2021-10-03,,18,20,,4,
2021-10-04,,55,28,,3,
2021-10-04,,27,24,,3,
2021-10-05,,96,21,,,
2021-10-05,,27,,,4,
2021-10-06,,152,21,,,
2021-10-07,,46,25,,,
2021-10-08,,40,22,,,
2021-10-09,,42,19,,0,
2021-10-10,,79,16,,6,
2021-10-11,,32,14,,7,
2021-10-12,,48,6,,9,
2021-10-13,,65,21,,3,
2021-10-14,,41,21,,9,
2021-10-15,,34,15,,10,
2021-10-16,,38,16,,7,
2021-10-17,,30,19,,5,
2021-10-18,,86,20,,4,
2021-10-19,,42,17,,2,
2021-10-20,,33,17,,1,
2021-10-21,,26,16,,4,
2021-10-22,,84,19,,,
2021-10-23,,99,25,,,
2021-10-24,,45,125,,5,
2021-10-25,,37,3,,6,
2021-10-26,,41,,,6,
2021-10-27,,35,,,7,
2021-10-28,,30,,,9,
2021-10-29,,39,,,8,
2021-10-30,,37,,,5,
2021-10-31,,40,,,3,
2021-11-01,,41,,,6,
2021-11-02,,23,,,5,
2021-11-03,,11,,,4,
2021-11-04,,34,,,2,
2021-11-05,,51,,,5,
2021-11-06,,27,,,7,
2021-11-07,,85,,,4,
2021-11-08,,177,2,18,6,4
2021-11-09,,341,3,10,4,4
2021-11-10,,232,15,8,8,4
2021-11-11,,16,21,9,8,3
2021-11-12,,29,31,7,4,3
2021-11-13,,64,26,8,1,1
2021-11-14,,38,18,8,0,1
2021-11-15,,23,,,,
2021-11-17,,,29,,,1
2021-11-18,,186,36,,,1
2021-11-19,,93,30,3,0,1
2021-11-20,,37,32,6,0,2
2021-11-21,,39,41,5,1,0
2021-11-22,,35,36,5,,0
2021-11-23,,124,29,2,,
2021-11-24,,18,30,6,0,7
2021-11-25,,30,34,9,0,10
2021-11-26,,34,33,6,0,
2021-11-27,,16,27,7,0,
2021-11-28,,14,19,12,,
2021-11-29,,20,26,10,0,
2021-11-30,,23,27,10,,
2021-12-01,,36,27,12,0,
2021-12-02,,43,32,7,4,
2021-12-03,,90,23,,,
2021-12-04,,152,,,,
2021-12-05,,29,,,,
2021-12-06,,39,,,,
2021-12-07,,39,,,,
2021-12-08,,34,,,,
2021-12-09,,454,,,,
2021-12-10,,867,,,,
2021-12-11,,868,,,,
2021-12-12,,469,,,,
2021-12-13,,32,,,,
2021-12-14,,18,,,,
2021-12-15,,17,,,,
2021-12-30,,32,,,,
2021-12-31,,18,,,,
2022-01-01,,17,18,4,,
2022-01-02,,24,32,5,,
2022-01-03,,21,33,7,0,
2022-01-04,,27,35,13,0,
2022-01-05,,42,37,11,4,
2022-01-06,,41,36,10,3,
2022-01-07,,45,38,12,1,
2022-01-08,,37,45,5,,
2022-01-09,,27,48,10,0,
2022-01-10,,46,28,8,0,
2022-01-11,,39,29,7,1,
2022-01-12,,38,32,10,0,
2022-01-13,,45,22,3,,
2022-01-14,,24,27,5,0,
2022-01-15,,23,32,11,0,
2022-01-16,,38,36,11,0,
2022-01-17,,40,30,5,0,
2022-01-18,,32,24,6,0,
2022-01-19,,32,27,9,0,
2022-01-20,,35,37,13,8,
2022-01-21,,41,34,15,0,
2022-01-22,,54,21,20,0,
2022-01-23,,50,24,13,0,
2022-01-24,,38,32,8,3,
2022-01-25,,24,40,13,1,
2022-01-26,,35,38,9,0,
2022-01-27,,44,37,21,0,
2022-01-28,,56,,,,
2022-02-01,,,31,9,0,
2022-02-02,,47,32,9,0,34
2022-02-03,,36,32,9,0,
2022-02-04,,33,33,10,11,
2022-02-05,,37,34,11,0,
2022-02-06,,38,33,16,0,
2022-02-07,,45,38,13,0,
2022-02-08,,40,38,26,1,
2022-02-09,,50,41,26,1,2
2022-02-10,,55,35,14,1,8
2022-02-11,,47,29,12,1,20
2022-02-12,,37,36,11,0,1
2022-02-13,,29,34,16,0,19
2022-02-14,,37,37,26,0,6
2022-02-15,,45,44,35,1,9
2022-02-16,,60,39,19,1,
2022-02-17,,54,26,9,0,
2022-02-18,,26,31,11,,25
2022-02-19,,25,36,15,2,3
2022-02-20,,39,29,11,0,
2022-02-21,,36,30,10,,2
2022-02-22,,31,27,25,1,30
2022-02-23,,55,32,19,2,
2022-02-24,,50,24,11,0,
2022-02-25,,31,28,17,0,1
2022-02-26,,35,35,16,0,21
2022-02-27,,50,31,11,0,18
2022-02-28,,36,37,26,1,
