time,pm25,pm10,O3,NO2,SO2,CO
2021-04-02,98,,,,,
2021-04-03,98,,,,,
2021-04-04,80,,,,,
2021-04-05,92,,,,,
2021-04-06,65,,,,,
2021-04-07,70,,,,,
2021-04-08,64,,,,,
2021-04-09,61,,,,,
2021-04-10,68,,,,,
2021-04-11,73,,,,,
2021-04-12,68,,,,,
2021-04-13,76,,,,,
2021-04-14,78,,,,,
2021-04-15,86,,,,,
2021-04-16,87,,,,,
2021-04-17,93,,,,,
2021-04-18,111,,,,,
2021-04-19,160,,,,,
2021-04-20,224,,,,,
2021-04-21,212,,,,,
2021-04-22,264,,,,,
2021-04-23,197,,,,,
2021-04-24,182,,,,,
2021-04-25,166,,,,,
2021-04-26,145,,,,,
2021-04-27,130,,,,,
2021-04-28,119,,,,,
2021-04-29,97,,,,,
2021-04-30,107,,,,,
2021-05-01,119,,,,,
2021-05-02,120,,,,,
2021-05-03,129,,,,,
2021-05-04,113,,,,,
2021-05-05,99,,,,,
2021-05-06,103,,,,,
2021-05-07,120,,,,,
2021-05-08,108,,,,,
2021-05-09,100,,,,,
2021-05-10,110,,,,,
2021-05-11,107,,,,,
2021-05-12,113,,,,,
2021-05-13,90,,,,,
2021-05-14,95,,,,,
2021-05-15,85,,,,,
2021-05-16,106,,,,,
2021-05-17,192,,,,,
2021-05-18,321,,,,,
2021-05-19,370,,,,,
2021-05-20,327,,,,,
2021-05-21,198,,,,,
2021-05-22,190,,,,,
2021-05-23,179,,,,,
2021-05-24,166,,,,,
2021-05-25,149,,,,,
2021-05-26,141,,,,,
2021-05-27,130,,,,,
2021-05-28,123,,,,,
2021-05-29,126,,,,,
2021-05-30,131,,,,,
2021-05-31,120,,,,,
2021-06-01,111,,,,,
2021-06-02,113,,,,,
2021-06-03,91,,,,,
2021-06-04,90,,,,,
2021-06-05,78,,,,,
2021-06-06,83,,,,,
2021-06-07,79,,,,,
2021-06-08,90,,,,,
2021-06-09,86,,,,,
2021-06-10,76,,,,,
2021-06-11,82,,,,,
2021-06-12,67,,,,,
2021-06-13,86,,,,,
2021-06-14,113,,,,,
2021-06-15,119,,,,,
2021-06-16,62,,,,,
2021-06-17,62,,,,,
2021-06-18,65,,,,,
2021-06-19,77,,,,,
2021-06-20,119,,,,,
2021-06-21,40,,,,,
2021-06-22,83,,,,,
2021-06-24,120,,,,,
2021-06-25,132,,,,,
2021-06-26,148,,,,,
2021-06-27,149,,,,,
2021-06-28,150,,,,,
2021-06-29,145,,,,,
2021-06-30,145,,,,,
2021-07-01,124,,,,,
2021-07-02,150,,,,,
2021-07-03,145,,,,,
2021-07-04,145,,,,,
2021-07-05,124,,,,,
2021-07-06,96,,,,,
2021-07-07,87,,,,,
2021-07-08,98,,,,,
2021-07-09,75,,,,,
2021-07-10,65,,,,,
2021-07-11,79,,,,,
2021-07-12,73,,,,,
2021-07-13,80,,,,,
2021-07-14,55,,,,,
2021-07-15,61,,,,,
2021-07-16,74,,,,,
2021-07-17,74,,,,,
2021-07-18,96,,,,,
2021-07-19,100,,,,,
2021-07-20,118,,,,,
2021-07-21,100,,,,,
2021-07-22,68,,,,,
2021-07-23,86,,,,,
2021-07-24,85,,,,,
2021-07-25,70,,,,,
2021-07-26,69,,,,,
2021-07-27,79,,,,,
2021-07-28,74,,,,,
2021-07-29,74,,,,,
2021-07-30,114,,,,,
2021-07-31,75,,,,,
2021-08-01,61,,,,,
2021-08-02,58,,,,,
2021-08-03,73,,,,,
2021-08-04,121,,,,,
2021-08-05,109,,,,,
2021-08-06,87,,,,,
2021-08-07,114,,,,,
2021-08-08,99,,,,,
2021-08-09,112,,,,,
2021-08-10,98,,,,,
2021-08-11,86,,,,,
2021-08-12,83,,,,,
2021-08-13,111,,,,,
2021-08-14,114,,,,,
2021-08-15,94,,,,,
2021-08-16,110,,,,,
2021-08-17,100,,,,,
2021-08-18,104,,,,,
2021-08-19,115,,,,,
2021-08-20,101,,,,,
2021-08-21,95,,,,,
2021-08-22,116,,,,,
2021-08-23,121,,,,,
2021-08-24,102,,,,,
2021-08-25,111,,,,,
2021-08-26,113,,,,,
2021-08-27,115,,,,,
2021-08-28,113,,,,,
2021-08-29,115,,,,,
2021-08-30,123,,,,,
2021-08-31,132,,,,,
2021-09-01,131,,,,,
2021-09-02,147,,,,,
2021-09-03,129,,,,,
2021-09-04,135,,,,,
2021-09-05,139,,,,,
2021-09-06,134,,,,,
2021-09-07,141,,,,,
2021-09-08,148,,,,,
2021-09-09,148,,,,,
2021-09-10,146,,,,,
2021-09-11,158,,,,,
2021-09-16,148,,,,,
2021-09-17,149,,,,,
2021-09-18,148,,,,,
2021-09-19,147,,,,,
2021-09-20,148,,,,,
2021-09-21,145,,,,,
2021-09-22,56,,,,,
2021-09-23,103,,,,,
2021-09-24,80,,,,,
2021-09-25,91,,,,,
2021-09-26,96,,,,,
2021-09-27,98,,,,,
2021-09-28,98,,,,,
2021-09-29,103,,,,,
2021-09-30,80,,,,,
2021-10-01,91,,,,,
2021-10-01,95,,,,,
2021-10-02,95,,,,,
2021-10-02,91,,,,,
2021-10-03,104,,,,,
2021-10-03,95,,,,,
2021-10-04,87,,,,,
2021-10-04,104,,,,,
2021-10-05,91,,,,,
2021-10-05,87,,,,,
2021-10-06,89,,,,,
2021-10-07,113,,,,,
2021-10-08,107,,,,,
2021-10-09,104,,,,,
2021-10-10,99,,,,,
2021-10-11,112,,,,,
2021-10-12,118,,,,,
2021-10-13,123,,,,,
2021-10-14,123,,,,,
2021-10-15,125,,,,,
2021-10-16,127,,,,,
2021-10-17,129,,,,,
2021-10-18,129,,,,,
2021-10-19,123,,,,,
2021-10-20,120,,,,,
2021-10-21,124,,,,,
2021-10-22,130,,,,,
2021-10-23,133,,,,,
2021-10-24,127,,,,,
2021-10-25,131,,,,,
2021-10-26,127,,,,,
2021-10-27,138,,,,,
2021-10-28,139,,,,,
2021-10-29,148,,,,,
2021-10-30,147,,,,,
2021-10-31,146,,,,,
2021-11-01,150,,,,,
2021-11-02,150,,,,,
2021-11-03,148,,,,,
2021-11-04,149,,,,,
2021-11-05,151,,,,,
2021-11-06,151,,,,,
2021-11-07,152,,,,,
2021-11-08,152,,,,,
2021-11-09,150,,,,,
2021-11-10,152,,,,,
2021-11-11,152,,,,,
2021-11-12,152,,,,,
2021-11-13,150,,,,,
2021-11-14,150,,,,,
2021-11-15,150,,,,,
2021-11-16,150,,,,,
2021-11-17,151,,,,,
2021-11-18,151,,,,,
2021-11-19,151,,,,,
2021-11-20,151,,,,,
2021-11-21,150,,,,,
2021-11-22,151,,,,,
2021-11-23,153,,,,,
2021-11-24,146,,,,,
2021-11-25,148,,,,,
2021-11-26,151,,,,,
2021-11-27,148,,,,,
2021-11-28,148,,,,,
2021-11-29,147,,,,,
2021-11-30,148,,,,,
2021-12-01,143,,,,,
2021-12-02,144,,,,,
2021-12-04,154,,,,,
2021-12-05,154,,,,,
2021-12-06,152,,,,,
2021-12-07,150,,,,,
2021-12-08,149,,,,,
2021-12-09,146,,,,,
2021-12-10,147,,,,,
2021-12-11,146,,,,,
2021-12-12,152,,,,,
2021-12-13,151,,,,,
2021-12-14,148,,,,,
2021-12-15,150,,,,,
2021-12-16,147,,,,,
2021-12-17,150,,,,,
2021-12-18,144,,,,,
2021-12-19,140,,,,,
2021-12-20,143,,,,,
2021-12-21,149,,,,,
2021-12-22,144,,,,,
2021-12-23,150,,,,,
2021-12-24,141,,,,,
2021-12-25,138,,,,,
2021-12-26,142,,,,,
2021-12-27,140,,,,,
2021-12-28,132,,,,,
2021-12-29,131,,,,,
2021-12-30,124,,,,,
2021-12-31,119,,,,,
2021-12-31,135,,,,,
2022-01-01,126,,,,,
2022-01-01,119,,,,,
2022-01-02,121,,,,,
2022-01-02,126,,,,,
2022-01-03,116,,,,,
2022-01-03,121,,,,,
2022-01-04,128,,,,,
2022-01-05,129,,,,,
2022-01-06,120,,,,,
2022-01-07,116,,,,,
2022-01-08,113,,,,,
2022-01-09,113,,,,,
2022-01-10,117,,,,,
2022-01-11,119,,,,,
2022-01-12,107,,,,,
2022-01-13,107,,,,,
2022-01-14,103,,,,,
2022-01-15,117,,,,,
2022-01-16,114,,,,,
2022-01-17,109,,,,,
2022-01-18,120,,,,,
2022-01-19,118,,,,,
2022-01-20,111,,,,,
2022-01-21,109,,,,,
2022-01-22,111,,,,,
2022-01-23,103,,,,,
2022-01-24,91,,,,,
2022-01-25,102,,,,,
2022-01-26,89,,,,,
2022-01-27,101,,,,,
2022-01-28,105,,,,,
2022-01-29,98,,,,,
2022-01-30,87,,,,,
2022-01-31,80,,,,,
2022-02-01,90,,,,,
2022-02-02,84,,,,,
2022-02-03,86,,,,,
2022-02-04,82,,,,,
2022-02-05,72,,,,,
2022-02-06,73,,,,,
2022-02-07,69,,,,,
2022-02-08,64,,,,,
2022-02-09,59,,,,,
2022-02-10,65,,,,,
2022-02-11,61,,,,,
2022-02-12,60,,,,,
2022-02-13,57,,,,,
2022-02-14,58,,,,,
2022-02-15,49,,,,,
2022-02-16,47,,,,,
2022-02-17,52,,,,,
2022-02-18,51,,,,,
2022-02-19,54,,,,,
2022-02-20,49,,,,,
2022-02-21,46,,,,,
2022-02-22,47,,,,,
2022-02-23,52,,,,,
2022-02-24,39,,,,,
2022-02-25,46,,,,,
2022-02-26,48,,,,,
2022-02-27,38,,,,,
2022-02-28,40,,,,,
2022-03-01,36,,,,,
2022-03-02,34,,,,,
2022-03-03,34,,,,,
2022-03-04,31,,,,,
2022-03-14,8,,,,,
2022-03-15,10,,,,,
2022-03-16,9,,,,,
2022-03-17,7,,,,,
2022-03-18,7,,,,,
2022-03-19,6,,,,,
2022-03-20,6,,,,,
2022-03-21,3,,,,,
2022-03-22,2,,,,,
2022-03-23,2,,,,,
2022-03-24,2,,,,,
2022-03-25,1,,,,,
2022-03-26,1,,,,,
2022-03-27,1,,,,,
2022-03-28,1,,,,,
2022-03-29,1,,,,,
2022-03-30,1,,,,,
2022-03-31,1,,,,,
2022-04-01,1,,,,,
2022-04-01,1,,,,,
2022-04-02,1,,,,,
2022-04-03,1,,,,,
2022-04-08,141,,,,,
2022-04-09,152,,,,,
2022-04-10,130,,,,,
2022-04-11,126,,,,,
2022-04-12,130,,,,,
2022-04-13,134,,,,,
2022-04-14,123,,,,,
2022-04-15,117,,,,,
2022-04-16,125,,,,,
2022-04-17,160,,,,,
2022-04-18,223,,,,,
2022-04-19,281,,,,,
2022-04-20,270,,,,,
2022-04-21,268,,,,,
2022-04-22,228,,,,,
2022-04-23,199,,,,,
2022-04-24,264,,,,,
2022-04-25,257,,,,,
2022-04-26,208,,,,,
2022-04-27,284,,,,,
2022-04-28,334,,,,,
2022-04-29,278,,,,,
2022-04-30,257,,,,,
2022-05-01,218,,,,,
2022-05-02,192,,,,,
2022-05-03,173,,,,,
2022-05-04,169,,,,,
2022-05-05,169,,,,,
2022-05-06,165,,,,,
2022-05-07,161,,,,,
2022-05-08,157,,,,,
2022-05-09,161,,,,,
2022-05-10,158,,,,,
2022-05-11,147,,,,,
2022-05-12,143,,,,,
2022-05-13,146,,,,,
2022-05-14,139,,,,,
2022-05-15,135,,,,,
2022-05-16,124,,,,,
2022-05-17,129,,,,,
2022-05-18,121,,,,,
2022-05-19,127,,,,,
2022-05-20,113,,,,,
2022-05-21,122,,,,,
2022-05-22,109,,,,,
2022-05-23,104,,,,,
2022-05-24,103,,,,,
2022-05-25,98,,,,,
2022-05-26,88,,,,,
2022-05-27,88,,,,,
2022-05-28,72,,,,,
2022-05-29,77,,,,,
2022-05-30,63,,,,,
2022-05-31,79,,,,,
2022-06-01,66,,,,,
2022-06-02,73,,,,,
2022-06-03,136,,,,,
2022-06-04,131,,,,,
2022-06-05,128,,,,,
2022-06-06,132,,,,,
2022-06-07,131,,,,,
2022-06-08,126,,,,,
2022-06-09,123,,,,,
2022-06-10,118,,,,,
2022-06-11,124,,,,,
2022-06-12,129,,,,,
2022-06-13,117,,,,,
2022-06-14,110,,,,,
2022-06-15,107,,,,,
2022-06-16,111,,,,,
2022-06-17,92,,,,,
2022-06-18,86,,,,,
2022-06-19,71,,,,,
2022-06-20,72,,,,,
2022-06-21,53,,,,,
2022-06-22,94,,,,,
2022-06-23,115,,,,,
2022-06-24,97,,,,,
2022-06-25,72,,,,,
2022-06-26,83,,,,,
2022-06-27,83,,,,,
2022-06-28,97,,,,,
2022-06-29,85,,,,,
2022-06-30,76,,,,,
2022-09-30,70,,,,,
2022-10-01,62,,,,,
2022-10-02,95,,,,,
2022-10-03,58,,,,,
2022-10-04,62,,,,,
2022-10-05,79,,,,,
2022-10-06,61,,,,,
2022-10-07,71,,,,,
2022-10-08,66,,,,,
2022-10-09,72,,,,,
2022-10-10,63,,,,,
2022-10-11,58,,,,,
2022-10-12,63,,,,,
2022-10-13,56,,,,,
2022-10-14,53,,,,,
2022-10-15,54,,,,,
2022-10-16,58,,,,,
2022-10-17,60,,,,,
2022-10-18,63,,,,,
2022-10-19,62,,,,,
2022-10-20,71,,,,,
2022-10-21,67,,,,,
2022-10-22,58,,,,,
2022-10-23,62,,,,,
2022-10-24,71,,,,,
2022-10-25,54,,,,,
2022-10-26,54,,,,,
2022-10-27,58,,,,,
2022-10-28,59,,,,,
2022-10-29,62,,,,,
2022-10-30,59,,,,,
2022-10-31,63,,,,,
2022-11-01,88,,,,,
2022-11-02,69,,,,,
2022-11-03,57,,,,,
2022-11-04,55,,,,,
2022-11-05,61,,,,,
2022-11-06,52,,,,,
2022-11-07,55,,,,,
2022-11-08,54,,,,,
2022-11-09,51,,,,,
2022-11-10,54,,,,,
2022-11-11,59,,,,,
2022-11-12,66,,,,,
2022-11-13,61,,,,,
2022-11-14,62,,,,,
2022-11-15,56,,,,,
2022-11-16,56,,,,,
2022-11-17,61,,,,,
2022-11-18,56,,,,,
2022-11-19,60,,,,,
2022-11-20,80,,,,,
2022-11-21,59,,,,,
2022-11-22,61,,,,,
2022-11-23,63,,,,,
2022-11-24,73,,,,,
2022-11-25,52,,,,,
2022-11-26,56,,,,,
2022-11-27,55,,,,,
2022-11-28,62,,,,,
2022-11-29,51,,,,,
2022-11-30,38,,,,,
2022-12-01,40,,,,,
2022-12-02,43,,,,,
2022-12-03,33,,,,,
2022-12-04,53,,,,,
2022-12-05,45,,,,,
2022-12-06,42,,,,,
2022-12-07,43,,,,,
2022-12-08,38,,,,,
2022-12-09,39,,,,,
2022-12-10,50,,,,,
2022-12-11,56,,,,,
2022-12-12,44,,,,,
2022-12-13,49,,,,,
2022-12-14,57,,,,,
2022-12-15,47,,,,,
2022-12-16,38,,,,,
2022-12-17,60,,,,,
2022-12-18,46,,,,,
2022-12-19,51,,,,,
2022-12-20,55,,,,,
2022-12-21,65,,,,,
2022-12-22,67,,,,,
2022-12-23,59,,,,,
2022-12-24,50,,,,,
2022-12-25,47,,,,,
2022-12-26,48,,,,,
2022-12-27,56,,,,,
2022-12-28,55,,,,,
2022-12-29,64,,,,,
2022-12-30,43,,,,,
2022-12-31,33,,,,,
2023-01-01,51,,,,,
2023-03-31,345,,,,,
