time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,30,47,,11,,
2021-01-02,49,47,,8,,
2021-01-03,68,13,,7,,
2021-01-04,35,11,,9,,
2021-01-05,21,19,,11,,
2021-01-06,25,12,,7,,
2021-01-07,24,10,,6,,
2021-01-08,17,10,,7,,
2021-01-09,18,12,,6,,
2021-01-10,20,11,,5,,
2021-01-11,14,20,,9,,
2021-01-12,20,22,,9,,
2021-01-13,22,25,,10,,
2021-01-14,22,31,,11,,
2021-01-15,22,28,,9,,
2021-01-16,27,15,,6,,
2021-01-17,16,14,,5,,
2021-01-18,14,29,,12,,
2021-01-19,26,6,,15,,
2021-01-20,22,6,,13,,
2021-01-21,31,5,,10,,
2021-01-22,23,30,,11,,
2021-01-23,23,7,,5,,
2021-01-24,20,3,,6,,
2021-01-25,15,7,,10,,
2021-01-26,23,4,,11,,
2021-01-27,18,8,,9,,
2021-01-28,17,48,,6,,
2021-01-29,32,26,,5,,
2021-01-30,24,3,,6,,
2021-01-31,15,2,,2,,
2021-02-01,8,18,,9,,
2021-02-02,20,37,,12,,
2021-02-03,31,18,,14,,
2021-02-04,30,23,,16,,
2021-02-05,30,12,,16,,
2021-02-06,35,7,,8,,
2021-02-07,26,4,,4,,
2021-02-08,25,6,,5,,
2021-02-09,24,9,,7,,
2021-02-10,23,9,,8,,
2021-02-11,22,3,,6,,
2021-02-12,14,3,,8,,
2021-02-13,13,3,,7,,
2021-02-14,17,3,,3,,
2021-02-15,13,3,,7,,
2021-02-16,16,5,,11,,
2021-02-17,18,2,,8,,
2021-02-18,10,46,,11,,
2021-02-19,28,77,,19,,
2021-02-20,35,5,,7,,
2021-02-21,10,4,,10,,
2021-02-22,17,25,,22,,
2021-02-23,37,18,,20,,
2021-02-24,43,7,,17,,
2021-02-25,30,6,,14,,
2021-02-26,27,8,,15,,
2021-02-27,29,15,,10,,
2021-02-28,31,12,,8,,
2021-03-01,27,16,,13,,
2021-03-02,33,9,,17,,
2021-03-03,37,8,,14,,
2021-03-04,19,4,,6,,
2021-03-05,20,6,,13,,
2021-03-06,30,8,,9,,
2021-03-07,34,7,,7,,
2021-03-08,28,7,,12,,
2021-03-09,27,10,,14,,
2021-03-10,37,7,,15,,
2021-03-11,26,5,,14,,
2021-03-12,19,6,,13,,
2021-03-13,24,7,,12,,
2021-03-14,26,8,,7,,
2021-03-15,32,5,,10,,
2021-03-16,19,2,,13,,
2021-03-17,33,5,,13,,
2021-03-18,22,7,,16,,
2021-03-19,32,6,,14,,
2021-03-20,27,5,,10,,
2021-03-21,22,5,,9,,
2021-03-22,16,7,,19,,
2021-03-23,21,4,,12,,
2021-03-24,13,6,,14,,
2021-03-25,26,6,,8,,
2021-03-26,20,17,,7,,
2021-03-27,19,8,,9,,
2021-03-28,24,3,,4,,
2021-03-29,13,6,,11,,
2021-03-30,26,7,,14,,
2021-03-31,29,7,,10,,
2021-04-01,,7,,14,,
2021-04-01,28,5,,5,,
2021-04-02,26,11,,17,,
2021-04-02,21,10,,6,,
2021-04-03,35,11,,16,,
2021-04-03,40,7,,8,,
2021-04-04,33,8,,14,,
2021-04-04,33,7,,11,,
2021-04-05,23,10,,13,,
2021-04-05,32,,,,,
2021-04-06,25,13,,12,,
2021-04-07,36,12,,15,,
2021-04-08,45,11,,15,,
2021-04-09,32,18,,21,,
2021-04-10,41,8,,11,,
2021-04-11,25,17,,13,,
2021-04-12,38,14,,13,,
2021-04-13,39,12,,13,,
2021-04-14,37,12,,10,,
2021-04-15,39,18,,13,,
2021-04-16,36,15,,14,,
2021-04-17,40,12,,20,,
2021-04-18,51,7,,18,,
2021-04-19,30,4,,4,,
2021-04-20,14,,,,,
2021-05-14,,26,,20,,
2021-05-15,44,4,,12,,
2021-05-16,16,5,,11,,
2021-05-17,16,9,,19,,
2021-05-18,35,7,,14,,
2021-05-19,28,9,,12,,
2021-05-20,28,8,,13,,
2021-05-21,29,7,,11,,
2021-05-22,23,6,,14,,
2021-05-23,19,8,,15,,
2021-05-24,25,10,,17,,
2021-05-25,27,10,,17,,
2021-05-26,29,11,,18,,
2021-05-27,27,18,,23,,
2021-05-28,30,12,,19,,
2021-05-29,26,10,,13,,
2021-05-30,15,84,,13,,
2021-05-31,22,48,,17,,
2021-06-01,26,28,,11,,
2021-06-02,19,58,,5,,
2021-06-03,22,71,,11,,
2021-06-04,28,28,,12,,
2021-06-05,23,7,,4,,
2021-06-06,15,4,,6,,
2021-06-07,12,7,,13,,
2021-06-08,27,6,,7,,
2021-06-09,25,7,,6,,
2021-06-10,23,18,,15,,
2021-06-11,25,14,,12,,
2021-06-12,22,61,,12,,
2021-06-13,27,44,,15,,
2021-06-14,27,7,,9,,
2021-06-15,19,14,,11,,
2021-06-16,24,32,,5,,
2021-06-17,18,38,,17,,
