time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,16,16,,4,,
2021-01-02,36,20,,4,,
2021-01-03,49,4,,8,,
2021-01-04,13,3,,8,,
2021-01-05,8,3,,7,,
2021-01-06,9,3,,10,,
2021-01-07,12,4,,10,,
2021-01-08,13,3,,7,,
2021-01-09,12,5,,9,,
2021-01-10,16,3,,6,,
2021-01-11,11,3,,8,,
2021-01-12,10,5,,14,,
2021-01-13,15,6,,14,,
2021-01-14,21,7,,15,,
2021-01-15,25,9,,18,,
2021-01-16,29,5,,7,,
2021-01-17,18,4,,2,,
2021-01-18,12,4,,11,,
2021-01-19,13,4,,6,,
2021-01-20,18,8,,10,,
2021-01-21,34,5,,13,,
2021-01-22,20,5,,10,,
2021-01-23,15,4,,4,,
2021-01-24,14,5,,3,,
2021-01-25,17,5,,9,,
2021-01-26,18,2,,9,,
2021-01-27,10,5,,5,,
2021-01-28,20,6,,12,,
2021-01-29,23,4,,9,,
2021-01-30,16,5,,9,,
2021-01-31,20,7,,2,,
2021-02-01,27,5,,11,,
2021-02-02,20,5,,14,,
2021-02-03,18,5,,9,,
2021-02-04,19,4,,6,,
2021-02-05,16,10,,15,,
2021-02-06,34,12,,13,,
2021-02-07,42,18,,16,,
2021-02-08,65,12,,18,,
2021-02-09,44,11,,18,,
2021-02-10,39,4,,5,,
2021-02-11,17,2,,4,,
2021-02-12,6,3,,4,,
2021-02-13,12,6,,2,,
2021-02-14,22,5,,1,,
2021-02-15,21,4,,5,,
2021-02-16,15,6,,7,,
2021-02-17,24,6,,5,,
2021-02-18,26,4,,3,,
2021-02-19,15,5,,12,,
2021-02-20,19,7,,3,,
2021-02-21,26,7,,2,,
2021-02-22,26,5,,8,,
2021-02-23,18,4,,9,,
2021-02-24,18,13,,13,,
2021-02-25,49,12,,20,,
2021-02-26,45,14,,23,,
2021-02-27,46,4,,9,,
2021-02-28,16,5,,3,,
2021-03-01,22,6,,9,,
2021-03-02,24,12,,16,,
2021-03-03,37,4,,5,,
2021-03-04,15,2,,6,,
2021-03-05,7,4,,6,,
2021-03-06,12,7,,11,,
2021-03-07,29,8,,10,,
2021-03-08,29,2,,6,,
2021-03-09,7,8,,8,,
2021-03-10,25,8,,7,,
2021-03-11,27,4,,5,,
2021-03-12,13,3,,4,,
2021-03-13,7,8,,10,,
2021-03-14,22,7,,8,,
2021-03-15,23,2,,3,,
2021-03-16,8,12,,10,,
2021-03-17,47,7,,6,,
2021-03-18,26,8,,8,,
2021-03-19,29,4,,4,,
2021-03-20,15,5,,2,,
2021-03-21,20,9,,3,,
2021-03-22,33,8,,6,,
2021-03-23,29,5,,11,,
2021-03-24,19,7,,7,,
2021-03-25,26,2,,4,,
2021-03-26,7,10,,11,,
2021-03-27,35,4,,2,,
2021-03-28,19,4,,2,,
2021-03-29,16,5,,15,,
2021-03-30,18,6,,13,,
2021-03-31,26,9,,10,,
2021-04-01,,31,,27,,
2021-04-01,30,16,,11,,
2021-04-02,92,26,,28,,
2021-04-02,54,25,,11,,
2021-04-03,80,53,,32,,
2021-04-03,74,18,,18,,
2021-04-04,133,34,,34,,
2021-04-04,58,19,,19,,
2021-04-05,99,19,,25,,
2021-04-05,56,,,,,
2021-04-06,58,14,,10,,
2021-04-07,52,15,,14,,
2021-04-08,54,6,,10,,
2021-04-09,25,9,,12,,
2021-04-10,33,5,,7,,
2021-04-11,16,26,,28,,
2021-04-12,78,37,,30,,
2021-04-13,102,14,,9,,
2021-04-14,46,8,,3,,
2021-04-15,32,8,,8,,
2021-04-16,31,6,,13,,
2021-04-17,21,2,,4,,
2021-04-18,7,4,,2,,
2021-04-19,16,7,,12,,
2021-04-20,26,,,,,
2021-05-14,,3,,6,,
2021-05-15,11,8,,5,,
2021-05-16,18,4,,4,,
2021-05-17,14,7,,5,,
2021-05-18,24,10,,4,,
2021-05-19,35,21,,3,,
2021-05-20,62,22,,11,,
2021-05-21,60,10,,6,,
2021-05-22,32,11,,5,,
2021-05-23,44,12,,8,,
2021-05-24,41,14,,5,,
2021-05-25,44,10,,7,,
2021-05-26,39,17,,13,,
2021-05-27,52,13,,9,,
2021-05-28,45,12,,10,,
2021-05-29,39,9,,8,,
2021-05-30,30,7,,5,,
2021-05-31,16,6,,7,,
2021-06-01,16,7,,4,,
2021-06-02,23,9,,5,,
2021-06-03,23,17,,17,,
2021-06-04,29,19,,18,,
2021-06-05,39,14,,3,,
2021-06-06,34,7,,7,,
2021-06-07,23,13,,7,,
2021-06-08,43,11,,5,,
2021-06-09,30,8,,5,,
2021-06-10,31,4,,5,,
2021-06-11,12,6,,4,,
2021-06-12,14,7,,8,,
2021-06-13,15,9,,11,,
2021-06-14,27,13,,13,,
2021-06-15,28,7,,5,,
2021-06-16,25,11,,3,,
2021-06-17,33,6,,9,,
2021-06-18,22,12,,8,,
2021-06-19,41,16,,7,,
2021-06-20,51,13,,6,,
2021-06-21,40,8,,3,,
2021-06-22,34,10,,5,,
2021-06-23,28,10,,4,,
2021-06-24,33,12,,6,,
2021-06-25,41,16,,6,,
2021-06-26,54,9,,3,,
2021-06-27,32,5,,3,,
2021-06-28,16,8,,1,,
2021-06-29,26,9,,2,,
2021-06-30,27,8,,3,,
2021-07-01,,5,,3,,
2021-07-01,30,,,,,
2021-07-02,16,8,,1,,
2021-07-03,26,9,,2,,
2021-07-04,27,8,,3,,
2021-07-05,30,10,,1,,
2021-07-06,26,6,,4,,
2021-07-07,21,5,,4,,
2021-07-08,17,7,,7,,
2021-07-09,24,8,,3,,
2021-07-10,25,7,,6,,
2021-07-11,22,4,,7,,
2021-07-12,14,5,,8,,
2021-07-13,11,6,,5,,
2021-07-14,14,7,,4,,
2021-07-15,22,14,,9,,
2021-07-16,28,8,,10,,
2021-07-17,20,8,,6,,
2021-07-18,21,11,,11,,
2021-07-19,28,17,,15,,
2021-07-20,39,22,,13,,
2021-07-21,56,7,,2,,
2021-07-22,24,9,,2,,
2021-07-23,29,7,,4,,
2021-07-24,22,3,,2,,
2021-07-25,10,3,,3,,
2021-07-26,10,8,,6,,
2021-07-27,17,7,,8,,
2021-07-28,21,7,,9,,
2021-07-29,21,7,,9,,
2021-07-30,20,9,,10,,
2021-07-31,22,9,,8,,
2021-08-01,28,8,,7,,
2021-08-02,23,4,,8,,
2021-08-03,12,6,,5,,
2021-08-04,9,2,,5,,
2021-08-05,4,4,,7,,
2021-08-06,9,7,,8,,
2021-08-07,24,5,,5,,
2021-08-08,16,2,,2,,
2021-08-09,7,9,,7,,
2021-08-10,35,11,,5,,
2021-08-11,38,17,,11,,
2021-08-12,55,16,,4,,
2021-08-13,56,17,,14,,
2021-08-14,62,14,,10,,
2021-08-15,50,4,,5,,
2021-08-16,17,5,,5,,
2021-08-17,20,8,,6,,
2021-08-18,31,10,,7,,
2021-08-19,36,4,,3,,
2021-08-20,13,4,,7,,
2021-08-21,11,2,,7,,
2021-08-22,10,6,,6,,
2021-08-23,26,3,,4,,
2021-08-24,10,4,,10,,
2021-08-25,12,3,,7,,
2021-08-26,8,7,,8,,
2021-08-27,24,14,,5,,
2021-08-28,47,16,,5,,
2021-08-29,56,18,,4,,
2021-08-30,62,16,,6,,
2021-08-31,55,17,,9,,
2021-09-01,57,12,,7,,
2021-09-02,36,11,,5,,
2021-09-03,31,14,,8,,
2021-09-04,,10,,6,,
2021-09-04,45,21,,10,,
2021-09-05,35,11,,6,,
2021-09-05,65,17,,6,,
2021-09-06,38,7,,4,,
2021-09-06,57,13,,7,,
2021-09-07,31,12,,4,,
2021-09-07,48,15,,8,,
2021-09-08,51,12,,8,,
2021-09-08,51,15,,6,,
2021-09-09,50,6,,5,,
2021-09-09,51,10,,5,,
2021-09-10,21,5,,3,,
2021-09-10,35,11,,4,,
2021-09-11,20,7,,4,,
2021-09-11,42,9,,1,,
2021-09-12,26,6,,6,,
2021-09-12,28,10,,4,,
2021-09-13,26,7,,4,,
2021-09-13,35,7,,5,,
2021-09-14,31,5,,3,,
2021-09-14,27,7,,3,,
2021-09-15,20,6,,8,,
