time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,19,9,,0,,
2021-01-01,20,9,,0,,
2021-01-02,17,8,,0,,
2021-01-02,19,9,,0,,
2021-01-03,19,9,,0,,
2021-01-03,17,8,,0,,
2021-01-04,23,12,,0,,
2021-01-04,19,9,,0,,
2021-01-05,22,8,,0,,
2021-01-05,23,,,,,
2021-01-06,14,12,,0,,
2021-01-07,24,11,,0,,
2021-01-08,14,8,,0,,
2021-01-09,17,11,,0,,
2021-01-10,22,13,,0,,
2021-01-11,17,18,,0,,
2021-01-12,28,9,,0,,
2021-01-13,22,8,,0,,
2021-01-14,18,8,,0,,
2021-01-15,20,5,,0,,
2021-01-16,14,8,,0,,
2021-01-17,22,10,,0,,
2021-01-18,24,9,,0,,
2021-01-19,14,12,,0,,
2021-01-20,23,11,,0,,
2021-01-21,25,10,,1,,
2021-01-22,27,5,,0,,
2021-01-23,18,5,,0,,
2021-01-24,12,5,,0,,
2021-01-25,17,6,,0,,
2021-01-26,15,9,,0,,
2021-01-27,21,9,,0,,
2021-01-28,16,10,,0,,
2021-01-29,18,10,,0,,
2021-01-30,23,12,,0,,
2021-01-31,14,11,,0,,
2021-02-01,22,9,,0,,
2021-02-02,21,9,,0,,
2021-02-03,22,10,,0,,
2021-02-04,16,10,,0,,
2021-02-05,21,8,,0,,
2021-02-06,17,10,,0,,
2021-02-07,22,,,,,
2021-02-09,,4,,0,,
2021-02-10,18,16,,0,,
2021-02-11,34,11,,0,,
2021-02-12,24,9,,0,,
2021-02-13,19,7,,0,,
2021-02-14,23,10,,0,,
2021-02-15,20,8,,0,,
2021-02-16,22,13,,0,,
2021-02-17,18,13,,0,,
2021-02-18,18,15,,0,,
2021-02-19,17,12,,0,,
2021-02-20,24,13,,0,,
2021-02-21,20,17,,0,,
2021-02-22,19,11,,0,,
2021-02-23,41,8,,0,,
2021-02-24,27,10,,0,,
2021-02-25,25,14,,0,,
2021-02-26,25,13,,0,,
2021-02-27,19,20,,0,,
2021-02-28,27,19,,0,,
2021-03-01,37,19,,1,,
2021-03-02,29,13,,0,,
2021-03-03,28,11,,0,,
2021-03-04,23,22,,0,,
2021-03-05,32,23,,0,,
2021-03-06,27,17,,0,,
2021-03-07,25,17,,0,,
2021-03-08,29,14,,0,,
2021-03-09,27,11,,0,,
2021-03-10,17,12,,0,,
2021-03-11,19,12,,0,,
2021-03-12,21,14,,0,,
2021-03-13,21,15,,0,,
2021-03-14,17,17,,,,
2021-03-15,27,17,,0,,
2021-03-16,32,18,,0,,
2021-03-17,28,13,,0,,
2021-03-18,13,13,,0,,
2021-03-19,20,16,,0,,
2021-03-20,32,19,,0,,
2021-03-21,34,17,,0,,
2021-03-22,31,12,,0,,
2021-03-23,26,8,,0,,
2021-03-24,27,10,,0,,
2021-03-25,13,11,,0,,
2021-03-26,18,20,,0,,
2021-03-27,26,13,,0,,
2021-03-28,22,11,,0,,
2021-03-29,26,10,,0,,
2021-03-30,18,14,,0,,
2021-03-31,22,13,,0,,
2021-04-01,,9,,0,,
2021-04-01,17,12,,0,,
2021-04-02,14,11,,0,,
2021-04-02,19,10,,0,,
2021-04-03,23,9,,0,,
2021-04-03,29,7,,0,,
2021-04-04,25,9,,0,,
2021-04-04,19,6,,0,,
2021-04-05,19,7,,0,,
2021-04-05,13,,,,,
2021-04-06,19,8,,0,,
2021-04-07,19,10,,0,,
2021-04-08,28,12,,0,,
2021-04-09,19,18,,0,,
2021-04-10,34,14,,0,,
2021-04-11,18,19,,0,,
2021-04-12,31,13,,0,,
2021-04-13,26,10,,0,,
2021-04-14,18,9,,0,,
2021-04-15,24,20,,0,,
2021-04-16,23,16,,0,,
2021-04-17,29,16,,0,,
2021-04-18,24,15,,0,,
2021-04-19,26,15,,0,,
2021-04-20,22,7,,0,,
2021-04-21,20,12,,0,,
2021-04-22,28,17,,0,,
2021-04-23,24,10,,0,,
2021-04-24,24,11,,0,,
2021-04-25,28,8,,0,,
2021-04-26,18,19,,0,,
2021-04-27,20,11,,0,,
2021-04-28,30,9,,0,,
2021-04-29,29,11,,0,,
2021-04-30,28,17,,0,,
2021-05-01,30,14,,0,,
2021-05-02,28,15,,0,,
2021-05-03,22,18,,0,,
2021-05-04,34,15,,0,,
2021-05-05,25,8,,0,,
2021-05-06,25,14,,0,,
2021-05-07,28,9,,0,,
2021-05-08,25,10,,0,,
2021-05-09,17,12,,0,,
2021-05-10,17,11,,0,,
2021-05-11,18,13,,0,,
2021-05-12,27,13,,0,,
2021-05-13,32,,,,,
2021-05-14,,6,,0,,
2021-05-15,18,7,,0,,
2021-05-16,26,11,,0,,
2021-05-17,29,14,,0,,
2021-05-18,28,11,,0,,
2021-05-19,23,11,,0,,
2021-05-20,25,11,,0,,
2021-05-21,16,11,,0,,
2021-05-22,25,8,,0,,
2021-05-23,23,12,,0,,
2021-05-24,26,10,,0,,
2021-05-25,16,10,,0,,
2021-05-26,21,7,,0,,
2021-05-27,25,6,,0,,
2021-05-28,14,7,,0,,
2021-05-29,19,9,,0,,
2021-05-30,23,8,,0,,
2021-05-31,15,11,,0,,
2021-06-01,17,8,,0,,
2021-06-02,21,10,,0,,
2021-06-03,26,24,,0,,
2021-06-04,24,11,,0,,
2021-06-05,19,10,,1,,
2021-06-06,17,9,,0,,
2021-06-07,22,7,,0,,
2021-06-08,17,10,,0,,
2021-06-09,31,10,,0,,
2021-06-10,26,8,,0,,
2021-06-11,20,10,,1,,
2021-06-12,19,15,,0,,
2021-06-13,24,13,,0,,
2021-06-14,26,10,,0,,
2021-06-15,24,7,,0,,
2021-06-16,23,7,,0,,
2021-06-17,18,11,,0,,
2021-06-18,22,13,,0,,
2021-06-19,27,17,,0,,
2021-06-20,29,9,,0,,
2021-06-21,24,8,,0,,
2021-06-22,25,8,,0,,
2021-06-23,22,11,,0,,
2021-06-24,23,26,,0,,
2021-06-25,21,9,,0,,
2021-06-26,22,16,,0,,
2021-06-27,21,11,,0,,
2021-06-28,42,8,,0,,
2021-06-29,24,9,,0,,
2021-06-30,20,8,,0,,
2021-07-01,,11,,0,,
2021-07-01,24,,,,,
2021-07-02,42,8,,0,,
2021-07-03,24,9,,0,,
2021-07-04,20,8,,0,,
2021-07-05,24,11,,0,,
2021-07-06,31,16,,0,,
2021-07-07,25,18,,0,,
2021-07-08,23,17,,1,,
2021-07-09,33,12,,0,,
2021-07-10,18,12,,0,,
2021-07-11,22,8,,0,,
2021-07-12,14,12,,0,,
2021-07-13,28,14,,0,,
2021-07-14,20,14,,0,,
2021-07-15,26,9,,0,,
2021-07-16,26,19,,0,,
2021-07-17,27,11,,0,,
2021-07-18,20,9,,0,,
2021-07-19,22,7,,0,,
2021-07-20,14,7,,0,,
2021-07-21,16,8,,0,,
2021-07-22,24,11,,0,,
2021-07-23,17,10,,1,,
2021-07-24,26,8,,0,,
2021-07-25,24,11,,0,,
2021-07-26,19,9,,0,,
2021-07-27,21,11,,0,,
2021-07-28,30,9,,0,,
2021-07-29,18,11,,0,,
2021-07-30,12,,,,,
2021-08-01,,10,,0,,
2021-08-02,31,12,,0,,
2021-08-03,30,11,,1,,
2021-08-04,26,9,,0,,
2021-08-05,31,10,,0,,
2021-08-06,25,9,,0,,
2021-08-07,18,12,,0,,
2021-08-08,26,11,,0,,
2021-08-09,21,6,,0,,
2021-08-10,15,8,,0,,
2021-08-11,18,6,,0,,
2021-08-12,20,24,,0,,
2021-08-13,21,6,,0,,
2021-08-14,32,15,,0,,
2021-08-15,35,16,,0,,
2021-08-16,30,10,,0,,
2021-08-17,23,13,,0,,
2021-08-18,25,18,,0,,
2021-08-19,37,11,,0,,
2021-08-20,22,12,,0,,
2021-08-21,37,8,,0,,
2021-08-22,26,5,,0,,
2021-08-23,,4,,0,,
2021-08-24,,6,,0,,
2021-08-25,,4,,0,,
2021-09-06,,7,,0,,
2021-09-07,37,7,,0,,
2021-09-08,15,6,,0,,
2021-09-09,27,12,,0,,
2021-09-10,26,,,,,
2021-09-14,,6,,0,,
2021-09-15,29,5,,1,,
2021-09-16,26,6,,1,,
2021-09-17,14,8,,1,,
2021-09-18,15,9,,2,,
2021-09-19,26,9,,0,,
2021-09-20,22,6,,0,,
2021-09-21,17,6,,0,,
2021-09-22,18,8,,0,,
2021-09-23,19,6,,0,,
2021-09-24,24,10,,2,,
2021-09-25,34,10,,1,,
2021-09-26,35,8,,0,,
2021-09-27,28,8,,0,,
2021-09-28,22,14,,0,,
2021-09-29,19,10,,0,,
2021-09-30,,5,,0,,
2021-09-30,22,9,,0,,
2021-10-01,23,5,,0,,
2021-10-01,37,5,,0,,
2021-10-02,23,6,,0,,
2021-10-02,23,5,,0,,
2021-10-03,31,5,,0,,
2021-10-03,23,6,,0,,
2021-10-04,20,9,,1,,
2021-10-04,31,5,,0,,
2021-10-05,38,8,,0,,
2021-10-05,20,,,,,
2021-10-06,24,7,,0,,
2021-10-07,18,9,,0,,
2021-10-08,18,10,,0,,
2021-10-09,22,11,,0,,
2021-10-10,25,17,,0,,
2021-10-11,47,4,,0,,
2021-10-12,19,6,,0,,
2021-10-13,9,7,,0,,
2021-10-14,,15,,2,,
2021-10-15,,12,,1,,
2021-10-16,,16,,0,,
2021-10-17,,22,,0,,
2021-10-18,,11,,0,,
2021-10-19,49,13,,1,,
2021-10-20,23,8,,1,,
2021-10-21,27,14,,0,,
2021-10-22,15,10,,1,,
2021-10-23,20,9,,0,,
2021-10-24,39,8,,0,,
2021-10-25,23,9,,0,,
2021-10-26,21,13,,0,,
2021-10-27,24,15,,0,,
2021-10-28,37,8,,1,,
2021-10-29,26,8,,0,,
2021-10-30,23,6,,0,,
2021-10-31,15,8,,0,,
2021-11-01,28,10,,0,,
