time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,16,15,,,,
2021-01-01,72,15,,,,
2021-01-02,29,16,,,,
2021-01-02,48,11,,,,
2021-01-03,28,15,,,,
2021-01-03,33,5,,,,
2021-01-04,25,11,,,,
2021-01-04,16,15,,,,
2021-01-05,22,13,,,,
2021-01-05,29,,,,,
2021-01-06,25,11,,,,
2021-01-07,24,13,,,,
2021-01-08,42,12,,,,
2021-01-09,36,6,,,,
2021-01-10,15,9,,,,
2021-01-11,22,13,,,,
2021-01-12,28,11,,,,
2021-01-13,25,14,,,,
2021-01-14,31,17,,,,
2021-01-15,46,15,,,,
2021-01-16,38,4,,,,
2021-01-17,13,9,,,,
2021-01-18,27,16,,,,
2021-01-19,35,13,,,,
2021-01-20,19,15,,,,
2021-01-21,16,16,,,,
2021-01-22,12,15,,,,
2021-01-23,13,6,,,,
2021-01-24,16,4,,,,
2021-01-25,16,8,,,,
2021-01-26,19,14,,,,
2021-01-27,36,11,,,,
2021-01-28,29,4,,,,
2021-01-29,19,5,,,,
2021-01-30,14,10,,,,
2021-01-31,21,13,,,,
2021-02-01,33,10,,,,
2021-02-02,26,7,,,,
2021-02-03,13,16,,,,
2021-02-04,31,8,,,,
2021-02-05,28,4,,,,
2021-02-06,14,11,,,,
2021-02-07,16,4,,,,
2021-02-08,12,12,,,,
2021-02-09,32,16,,,,
2021-02-10,34,11,,,,
2021-02-11,26,6,,,,
2021-02-12,11,9,,,,
2021-02-13,23,10,,,,
2021-02-14,22,11,,,,
2021-02-15,19,7,,,,
2021-02-16,15,9,,,,
2021-02-17,26,10,,,,
2021-02-18,13,8,,,,
2021-02-19,18,10,,,,
2021-02-20,18,14,,,,
2021-02-21,24,8,,,,
2021-02-22,19,8,,,,
2021-02-23,23,6,,,,
2021-02-24,13,8,,,,
2021-02-25,19,10,,,,
2021-02-26,17,10,,,,
2021-02-27,16,9,,,,
2021-02-28,17,14,,,,
2021-03-01,26,16,,,,
2021-03-02,28,17,,,,
2021-03-03,25,9,,,,
2021-03-04,13,7,,,,
2021-03-05,10,6,,,,
2021-03-06,18,9,,,,
2021-03-07,18,9,,,,
2021-03-08,22,23,,,,
2021-03-09,31,7,,,,
2021-03-10,27,9,,,,
2021-03-11,19,13,,,,
2021-03-12,20,19,,,,
2021-03-13,27,24,,,,
2021-03-14,42,13,,,,
2021-03-15,21,26,,,,
2021-03-16,44,21,,,,
2021-03-17,37,13,,,,
2021-03-18,26,12,,,,
2021-03-19,26,13,,,,
2021-03-20,25,7,,,,
2021-03-21,24,6,,,,
2021-03-22,20,5,,,,
2021-03-23,13,6,,,,
2021-03-24,19,8,,,,
2021-03-25,19,7,,,,
2021-03-26,12,7,,,,
2021-03-27,25,8,,,,
2021-03-28,18,10,,,,
2021-03-29,15,7,,,,
2021-03-30,18,13,,,,
2021-03-31,22,12,,,,
2021-04-01,,7,,,,
2021-04-01,23,,,,,
2021-04-02,13,8,,,,
2021-04-03,17,11,,,,
2021-04-04,20,10,,,,
2021-04-05,20,7,,,,
2021-04-06,18,17,,,,
2021-04-07,32,13,,,,
2021-04-08,22,12,,,,
2021-04-09,25,16,,,,
2021-04-10,26,12,,,,
2021-04-11,26,12,,,,
2021-04-12,24,13,,,,
2021-04-13,23,14,,,,
2021-04-14,28,9,,,,
2021-04-15,27,8,,,,
2021-04-16,16,9,,,,
2021-04-17,16,4,,,,
2021-04-18,14,4,,,,
2021-04-19,10,10,,,,
2021-04-20,17,7,,,,
2021-04-21,17,6,,,,
2021-04-22,16,9,,,,
2021-04-23,15,24,,,,
2021-04-24,43,16,,,,
2021-04-25,32,15,,,,
2021-04-26,21,7,,,,
2021-04-27,14,10,,,,
2021-04-28,20,10,,,,
2021-04-29,20,10,,,,
2021-04-30,21,11,,,,
2021-05-01,21,13,,,,
2021-05-02,28,15,,,,
2021-05-03,24,18,,,,
2021-05-04,31,8,,,,
2021-05-05,16,8,,,,
2021-05-06,13,11,,,,
2021-05-07,22,8,,,,
2021-05-08,13,4,,,,
2021-05-09,21,12,,,,
2021-05-10,14,12,,,,
2021-05-11,23,13,,,,
2021-05-12,22,8,,,,
2021-05-13,16,11,,,,
2021-05-14,22,9,,,,
2021-05-15,28,14,,,,
2021-05-16,23,10,,,,
2021-05-17,20,13,,,,
2021-05-18,20,15,,,,
2021-05-19,26,12,,,,
2021-05-20,32,9,,,,
2021-05-21,19,11,,,,
2021-05-22,16,8,,,,
2021-05-23,14,8,,,,
2021-05-24,21,11,,,,
2021-05-25,15,9,,,,
2021-05-26,27,10,,,,
2021-05-27,26,11,,,,
2021-05-28,22,5,,,,
2021-05-29,14,7,,,,
2021-05-30,19,6,,,,
2021-05-31,17,7,,,,
2021-06-01,10,6,,,,
2021-06-02,10,4,,,,
2021-06-03,12,9,,,,
2021-06-04,21,15,,,,
2021-06-05,20,5,,,,
2021-06-06,20,10,,,,
2021-06-07,24,14,,,,
2021-06-08,17,8,,,,
2021-06-09,17,7,,,,
2021-06-10,21,10,,,,
2021-06-11,16,5,,,,
2021-06-12,19,12,,,,
2021-06-13,22,24,,,,
2021-06-14,43,22,,,,
2021-06-15,46,15,,,,
2021-06-16,34,11,,,,
2021-06-17,19,14,,,,
2021-06-18,25,14,,,,
2021-06-19,20,14,,,,
2021-06-20,20,8,,,,
2021-06-21,14,12,,,,
2021-06-22,26,11,,,,
2021-06-23,38,8,,,,
2021-06-24,25,4,,,,
2021-06-25,20,10,,,,
2021-06-26,17,7,,,,
2021-06-27,18,9,,,,
2021-06-28,34,12,,,,
2021-06-29,38,10,,,,
2021-06-30,30,15,,,,
2021-07-01,,9,,,,
2021-07-01,21,,,,,
2021-07-02,34,12,,,,
2021-07-03,38,10,,,,
2021-07-04,30,15,,,,
2021-07-05,21,10,,,,
2021-07-06,24,24,,,,
2021-07-07,42,18,,,,
2021-07-08,34,13,,,,
2021-07-09,20,10,,,,
2021-07-10,21,9,,,,
2021-07-11,20,11,,,,
2021-07-12,27,10,,,,
2021-07-13,18,9,,,,
2021-07-14,19,10,,,,
2021-07-15,23,12,,,,
2021-07-16,29,9,,,,
2021-07-17,18,6,,,,
2021-07-18,18,13,,,,
2021-07-19,32,5,,,,
2021-07-20,6,6,,,,
2021-07-21,16,13,,,,
2021-07-22,28,12,,,,
2021-07-23,37,7,,,,
2021-07-24,19,7,,,,
2021-07-25,27,6,,,,
2021-07-26,13,11,,,,
2021-07-27,30,15,,,,
2021-07-28,44,20,,,,
2021-07-29,52,18,,,,
2021-07-30,55,19,,,,
2021-07-31,49,19,,,,
2021-08-01,47,24,,,,
2021-08-02,62,20,,,,
2021-08-03,57,18,,,,
2021-08-04,50,19,,,,
2021-08-05,32,12,,,,
2021-08-06,35,18,,,,
2021-08-07,43,21,,,,
2021-08-08,50,5,,,,
2021-08-09,16,6,,,,
2021-08-10,15,4,,,,
2021-08-11,13,7,,,,
2021-08-12,29,15,,,,
2021-08-13,40,15,,,,
2021-08-14,52,19,,,,
2021-08-15,57,24,,,,
2021-08-16,67,18,,,,
2021-08-17,59,9,,,,
2021-08-18,29,17,,,,
