time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,6,,,,
2021-01-01,,9,,,,
2021-01-02,,7,,,,
2021-01-02,,9,,,,
2021-01-03,,10,,,,
2021-01-03,,6,,,,
2021-01-04,,8,,,,
2021-01-04,,6,,,,
2021-01-05,,8,,,,
2021-01-05,,7,,,,
2021-01-06,,9,,,,
2021-01-07,,7,,,,
2021-01-08,,8,,,,
2021-01-09,,8,,,,
2021-01-10,,9,,,,
2021-01-11,,10,,,,
2021-01-12,,7,,,,
2021-01-13,,5,,,,
2021-01-14,,5,,,,
2021-01-15,,7,,,,
2021-01-16,,6,,,,
2021-01-17,,7,,,,
2021-01-18,,8,,,,
2021-01-19,,9,,,,
2021-01-20,,8,,,,
2021-01-21,,5,,,,
2021-01-22,,5,,,,
2021-01-23,,7,,,,
2021-01-24,,4,,,,
2021-01-25,,6,,,,
2021-01-26,,5,,,,
2021-01-27,,8,,,,
2021-01-28,,8,,,,
2021-01-29,,5,,,,
2021-01-30,,8,,,,
2021-01-31,,7,,,,
2021-02-01,,6,,,,
2021-02-02,,8,,,,
2021-02-03,,6,,,,
2021-02-04,,6,,,,
2021-02-05,,7,,,,
2021-02-06,,10,,,,
2021-02-07,,7,,,,
2021-02-08,,5,,,,
2021-02-09,,23,,,,
2021-02-10,,9,,,,
2021-02-11,,9,,,,
2021-02-12,,5,,,,
2021-02-13,,7,,,,
2021-02-14,,7,,,,
2021-02-15,,10,,,,
2021-02-16,,10,,,,
2021-02-17,,8,,,,
2021-02-18,,8,,,,
2021-02-19,,9,,,,
2021-02-20,,12,,,,
2021-02-21,,8,,,,
2021-02-22,,5,,,,
2021-02-23,,7,,,,
2021-02-24,,10,,,,
2021-02-25,,9,,,,
2021-02-26,,13,,,,
2021-02-27,,15,,,,
2021-02-28,,13,,,,
2021-03-01,,4,,,,
2021-03-02,,11,,,,
2021-03-03,,14,,,,
2021-03-04,,17,,,,
2021-03-05,,10,,,,
2021-03-06,,10,,,,
2021-03-07,,9,,,,
2021-03-08,,7,,,,
2021-03-09,,7,,,,
2021-03-10,,11,,,,
2021-03-11,,11,,,,
2021-03-12,,11,,,,
2021-03-13,,13,,,,
2021-03-14,,10,,,,
2021-03-15,,11,,,,
2021-03-16,,10,,,,
2021-03-17,,9,,,,
2021-03-18,,11,,,,
2021-03-19,,12,,,,
2021-03-20,,12,,,,
2021-03-21,,9,,,,
2021-03-22,,7,,,,
2021-03-23,,8,,,,
2021-03-24,,9,,,,
2021-03-25,,15,,,,
2021-03-26,,9,,,,
2021-03-27,,7,,,,
2021-03-28,,7,,,,
2021-03-29,,9,,,,
2021-03-30,,8,,,,
2021-03-31,,9,,,,
2021-04-01,,8,,,,
2021-04-02,,7,,,,
2021-04-03,,6,,,,
2021-04-04,,61,,,,
2021-04-05,,6,,,,
2021-04-06,,8,,,,
2021-04-07,,7,,,,
2021-04-08,,8,,,,
2021-04-09,,9,,,,
2021-04-10,,11,,,,
2021-04-11,,12,,,,
2021-04-12,,14,,,,
2021-04-13,,11,,,,
2021-04-14,,9,,,,
2021-04-15,,9,,,,
2021-04-16,,16,,,,
2021-04-17,,14,,,,
2021-04-18,,14,,,,
