time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,31,,,,
2021-01-02,,28,,,,
2021-01-03,,19,,,,
2021-02-08,,47,,,,
2021-02-09,,15,,,,
2021-02-10,,21,,,,
2021-02-11,,16,,,,
2021-02-12,,10,,,,
2021-02-13,,32,,,,
2021-02-14,,31,,,,
2021-02-15,,29,,,,
2021-02-16,,17,,,,
2021-02-17,,26,,,,
2021-02-18,,10,,,,
2021-04-02,,1,,,,
2021-04-04,,39,,,,
2021-04-05,,21,,,,
2021-06-11,,27,,,,
2021-06-12,,22,,,,
2021-06-13,,26,,,,
2021-06-14,,23,,,,
2021-06-15,,20,,,,
2021-07-01,,38,,,,
2021-07-02,,38,,,,
2021-07-03,,51,,,,
2021-07-04,,64,,,,
2021-07-05,,56,,,,
2021-07-06,,36,,,,
2021-07-14,,16,,,,
2021-07-15,,8,,,,
2021-09-07,,17,,,,
2021-09-08,,27,,,,
2021-09-09,,31,,,,
2021-09-10,,33,,,,
2021-09-11,,19,,,,
2021-10-01,,17,,,,
2021-11-09,,27,,,,
2021-11-10,,25,,,,
2021-11-11,,24,,,,
2021-11-12,,25,,,,
2021-11-13,,26,,,,
2021-12-27,,20,,,,
2021-12-28,,18,,,,
2021-12-29,,22,,,,
2021-12-30,,34,,,,
2021-12-31,,23,,,,
2022-01-18,,21,,,,
2022-01-19,,19,,,,
2022-03-10,,30,,,,
2022-03-11,,29,,,,
2022-03-12,,40,,,,
2022-03-13,,21,,,,
2022-03-16,,18,,,,
2022-03-17,,11,,,,
2023-03-31,,22,,,,
2023-04-01,,20,,,,
2023-04-02,,21,,,,
2023-04-03,,27,,,,
2023-04-04,,33,,,,
2023-04-05,,25,,,,
2023-04-06,,16,,,,
2023-04-07,,13,,,,
2023-04-08,,19,,,,
2023-04-09,,20,,,,
2023-04-10,,29,,,,
2023-04-11,,35,,,,
2023-04-12,,23,,,,
2023-04-13,,21,,,,
2023-04-14,,17,,,,
2023-04-15,,16,,,,
2023-04-16,,28,,,,
2023-04-17,,38,,,,
2023-04-18,,28,,,,
2023-04-23,,38,,,,
2023-04-24,,28,,,,
2023-04-25,,30,,,,
2023-04-26,,32,,,,
2023-04-27,,21,,,,
2023-04-28,,30,,,,
2023-04-29,,33,,,,
2023-04-30,,21,,,,
2023-05-01,,19,,,,
2023-05-02,,18,,,,
2023-05-03,,17,,,,
2023-05-04,,15,,,,
2023-05-05,,20,,,,
2023-06-21,,15,,,,
2023-06-22,,20,,,,
2023-06-23,,30,,,,
2023-06-24,,39,,,,
2023-06-25,,33,,,,
2023-06-26,,39,,,,
2023-06-27,,27,,,,
2023-06-28,,20,,,,
2023-06-29,,21,,,,
2023-06-30,,29,,,,
2023-07-01,,34,,,,
2023-07-02,,58,,,,
2023-07-03,,40,,,,
2023-07-04,,33,,,,
2023-07-05,,37,,,,
2023-07-06,,27,,,,
2023-07-07,,42,,,,
2023-07-08,,29,,,,
2023-07-09,,31,,,,
2023-07-10,,31,,,,
2023-07-11,,22,,,,
2023-07-12,,20,,,,
2023-07-13,,20,,,,
2023-07-14,,28,,,,
2023-07-15,,32,,,,
2023-07-16,,27,,,,
2023-07-17,,24,,,,
2023-07-18,,29,,,,
2023-07-19,,21,,,,
2023-07-20,,18,,,,
2023-07-21,,16,,,,
2023-07-22,,19,,,,
2023-07-23,,16,,,,
2023-07-24,,12,,,,
2023-08-24,,29,,,,
2023-08-25,,33,,,,
2023-08-26,,29,,,,
2023-08-27,,27,,,,
2023-08-28,,29,,,,
2023-08-29,,10,,,,
2023-09-09,,23,,,,
2023-09-10,,17,,,,
2023-09-11,,14,,,,
2023-09-12,,22,,,,
2023-09-29,,28,,,,
2023-09-30,,19,,,,
2023-10-01,,25,,,,
2023-10-02,,10,,,,
2023-10-03,,21,,,,
2023-10-04,,29,,,,
2023-10-05,,31,,,,
2023-10-06,,15,,,,
2023-10-07,,19,,,,
2023-10-08,,16,,,,
2023-10-09,,13,,,,
2023-10-10,,28,,,,
2023-10-11,,22,,,,
2023-10-12,,11,,,,
2023-10-13,,21,,,,
2023-10-14,,25,,,,
2023-10-15,,20,,,,
2023-11-23,,48,,,,
2023-11-24,,46,,,,
2023-11-25,,52,,,,
2023-11-26,,36,,,,
2023-11-27,,37,,,,
2023-11-28,,19,,,,
2023-11-30,,40,,,,
2023-12-01,,29,,,,
2023-12-02,,26,,,,
2023-12-03,,27,,,,
2023-12-04,,15,,,,
2023-12-05,,6,,,,
2023-12-06,,26,,,,
2023-12-07,,19,,,,
2023-12-08,,18,,,,
2023-12-09,,36,,,,
2023-12-10,,36,,,,
2023-12-11,,36,,,,
2023-12-12,,36,,,,
2023-12-19,,27,,,,
2023-12-20,,19,,,,
2023-12-21,,19,,,,
2023-12-22,,21,,,,
2023-12-23,,28,,,,
2023-12-24,,34,,,,
2023-12-25,,24,,,,
2023-12-29,,24,,,,
2023-12-30,,34,,,,
2023-12-31,,34,,,,
