time,pm25,pm10,O3,NO2,SO2,CO
2023-05-01,,41,,,,
2023-05-02,101,34,,,,
2023-05-03,44,36,,,,
2023-05-04,76,37,,,,
2023-05-05,70,38,,,,
2023-05-06,91,43,,,,
2023-05-07,91,37,,,,
2023-05-08,88,38,,,,
2023-05-09,87,37,,,,
2023-05-10,99,36,,,,
2023-05-11,63,37,,,,
2023-05-12,61,42,,,,
2023-05-13,91,41,,,,
2023-05-14,74,42,,,,
2023-05-15,92,36,,,,
2023-05-16,89,41,,,,
2023-05-17,107,39,,,,
2023-05-18,77,41,,,,
2023-05-19,95,40,,,,
2023-05-20,107,36,,,,
2023-05-21,71,37,,,,
2023-05-22,78,38,,,,
2023-05-23,92,36,,,,
2023-05-24,54,37,,,,
2023-05-25,117,35,,,,
2023-05-26,64,36,,,,
2023-05-27,85,37,,,,
2023-05-28,77,40,,,,
2023-05-29,105,38,,,,
2023-05-30,82,37,,,,
2023-05-31,94,32,,,,
2023-06-01,59,34,,,,
2023-06-02,55,36,,,,
2023-06-03,68,31,,,,
2023-06-04,52,,,,,
2023-09-05,,14,,,,
2023-09-06,,9,,,,
2023-09-07,,10,,,,
2023-09-08,,9,,,,
2023-09-09,,12,,,,
2023-09-10,,10,,,,
2023-09-11,,10,,,,
2023-09-12,,10,,,,
2023-09-13,,13,,,,
2023-09-14,,14,,,,
2023-09-15,,11,,,,
2023-09-16,,6,,,,
2023-10-25,,12,,,,
2023-10-26,,14,,,,
2023-10-27,,13,,,,
2023-10-28,,13,,,,
2023-10-29,,14,,,,
2023-10-30,,13,,,,
2023-10-31,,14,,,,
2023-11-01,,13,,,,
2023-11-02,,12,,,,
2023-12-29,,10,,,,
2023-12-30,,17,,,,
2023-12-31,,16,,,,
