time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,12,,,8,0,0
2021-01-02,12,,,6,0,0
2021-01-03,12,,,5,0,0
2021-01-04,12,,,9,0,0
2021-01-05,34,,,,,
2021-04-01,,,,4,2,0
2021-04-02,29,,,5,3,0
2021-04-03,27,,,7,2,0
2021-04-04,49,,,11,1,0
2021-04-05,96,,,14,1,0
2021-04-06,126,,,7,11,0
2021-04-07,19,,,5,9,0
2021-04-08,24,,,9,1,0
2021-04-09,72,,,14,1,0
2021-04-10,106,,,7,6,0
2021-04-11,37,,,3,8,0
2021-04-12,11,,,9,1,0
2021-04-13,31,,,10,2,0
2021-04-14,27,,,5,3,0
2021-04-15,21,,,4,1,0
2021-04-16,20,,,6,1,0
2021-04-17,26,,,15,0,0
2021-04-18,96,,,19,0,0
2021-04-19,134,,,9,2,0
2021-04-20,51,,,10,2,0
2021-04-21,50,,,6,2,0
2021-04-22,41,,,14,2,0
2021-04-23,115,,,16,2,0
2021-04-24,135,,,5,2,0
2021-04-25,30,,,10,0,0
2021-04-26,73,,,4,0,0
2021-04-27,38,,,8,0,0
2021-04-28,104,,,13,1,0
2021-04-29,158,,,14,1,0
2021-04-30,153,,,12,1,0
2021-05-01,89,,,4,3,0
2021-05-02,25,,,9,1,0
2021-05-03,42,,,18,0,0
2021-05-04,109,,,9,2,0
2021-05-05,24,,,10,1,0
2021-05-06,24,,,5,3,0
2021-05-07,12,,,7,2,0
2021-05-08,16,,,7,2,0
2021-05-09,34,,,7,2,0
2021-05-10,36,,,8,1,0
2021-05-11,44,,,9,1,0
2021-05-12,45,,,16,0,0
2021-05-13,110,,,18,0,0
2021-05-14,92,,,8,2,0
2021-05-15,43,,,7,2,0
2021-05-16,28,,,13,1,0
2021-05-17,57,,,4,2,0
2021-05-18,29,,,8,1,0
2021-05-19,52,,,16,1,0
2021-05-20,95,,,7,2,0
2021-05-21,40,,,12,2,0
2021-05-22,82,,,9,2,0
2021-05-23,43,,,6,3,0
2021-05-24,23,,,5,5,0
2021-05-25,17,,,7,6,0
2021-05-26,50,,,19,2,0
2021-05-27,120,,,10,7,0
2021-05-28,70,,,,,
2021-05-29,,,,16,4,0
2021-05-30,77,,,10,4,0
2021-05-31,23,,,3,4,0
2021-06-01,8,,,6,7,0
2021-06-02,9,,,12,3,0
2021-06-03,48,,,7,4,0
2021-06-04,14,,,19,0,0
2021-06-05,61,,,15,1,0
2021-06-06,69,,,10,1,0
2021-06-07,26,,,4,1,0
2021-06-08,17,,,6,2,0
2021-06-09,25,,,19,1,0
2021-06-10,67,,,6,2,0
2021-06-11,22,,,11,1,0
2021-06-12,25,,,10,1,0
2021-06-13,22,,,6,3,0
2021-06-14,27,,,10,3,0
2021-06-15,17,,,11,4,0
2021-06-16,31,,,5,4,0
2021-06-17,16,,,,2,0
2021-06-18,23,,,,0,0
2021-06-19,38,,,,1,0
2021-06-20,25,,,,0,0
2021-06-21,42,,,,1,0
2021-06-22,28,,,,0,0
2021-06-23,69,,,5,0,0
2021-06-24,30,,,3,1,0
2021-06-25,12,,,4,1,0
2021-06-26,11,,,4,1,
2021-06-27,14,,,8,2,0
2021-06-28,16,,,8,1,
2021-06-29,21,,,10,0,0
2021-06-30,31,,,,,
2021-07-01,,,,4,1,
2021-07-02,14,,,8,2,0
2021-07-03,16,,,8,1,
2021-07-04,21,,,10,0,0
2021-07-05,31,,,16,1,0
2021-07-06,55,,,21,1,0
2021-07-07,49,,,12,0,0
2021-07-08,19,,,16,0,0
2021-07-09,20,,,16,1,0
2021-07-10,31,,,12,1,0
2021-07-11,23,,,15,1,0
2021-07-12,36,,,11,2,0
2021-07-13,12,,,8,2,0
2021-07-14,10,,,10,2,0
2021-07-15,8,,,11,3,0
2021-07-16,9,,,15,6,0
2021-07-17,22,,,9,4,0
2021-07-18,12,,,18,4,0
2021-07-19,27,,,6,5,0
2021-07-20,11,,,2,3,0
2021-07-21,8,,,5,4,0
2021-07-22,15,,,10,3,0
2021-07-23,38,,,12,2,0
2021-07-24,44,,,8,4,0
2021-07-25,30,,,8,5,0
2021-07-26,19,,,11,5,0
2021-07-27,26,,,19,6,0
2021-07-28,58,,,11,7,0
2021-07-29,37,,,9,14,0
2021-07-30,31,,,13,13,0
2021-07-31,25,,,14,0,0
2021-08-01,23,,,7,0,0
2021-08-02,16,,,7,1,
2021-08-03,13,,,9,1,0
2021-08-04,12,,,8,1,0
2021-08-05,7,,,15,2,0
2021-08-06,28,,,7,2,0
2021-08-07,29,,,14,1,0
2021-08-08,18,,,6,1,0
2021-08-09,7,,,11,2,0
2021-08-10,17,,,16,3,0
2021-08-11,30,,,9,4,0
2021-08-12,28,,,9,6,0
2021-08-13,23,,,13,3,0
2021-08-14,26,,,7,1,0
2021-08-15,8,,,,,
2021-08-16,,,,12,0,0
2021-08-17,19,,,13,0,0
2021-08-18,31,,,7,0,0
2021-08-19,12,,,6,0,0
2021-08-20,17,,,8,0,0
2021-08-21,20,,,6,0,0
2021-08-22,27,,,10,0,0
2021-08-23,19,,,6,1,0
2021-08-24,16,,,7,0,0
2021-08-25,12,,,7,0,0
2021-08-26,13,,,16,0,0
2021-08-27,32,,,7,0,0
2021-08-28,18,,,7,1,0
2021-08-29,8,,,9,1,0
2021-08-30,20,,,13,2,0
2021-08-31,25,,,10,1,0
2021-09-01,14,,,30,2,0
2021-09-02,28,,,32,3,0
2021-09-03,34,,,17,5,0
2021-09-04,40,,,13,2,0
2021-09-05,17,,,7,4,0
2021-09-06,11,,,10,5,0
2021-09-07,17,,,9,6,0
