time,pm25,pm10,O3,NO2,SO2,CO
2022-04-01,87,,,,,
2022-04-02,97,,,,,
2022-04-03,81,,,,,
2022-04-04,105,,,,,
2022-04-05,112,,,,,
2022-04-06,107,,,,,
2022-04-07,110,,,,,
2022-04-08,110,,,,,
2022-04-09,102,,,,,
2022-04-10,113,,,,,
2022-04-11,121,,,,,
2022-04-12,117,,,,,
2022-04-13,100,,,,,
2022-04-14,117,,,,,
2022-04-15,113,,,,,
2022-04-16,145,,,,,
2022-04-17,141,,,,,
2022-04-18,155,,,,,
2022-04-19,142,,,,,
2022-04-20,155,,,,,
2022-04-21,154,,,,,
2022-04-26,75,,,,,
2022-04-27,91,,,,,
2022-04-28,90,,,,,
2022-04-29,84,,,,,
2022-04-30,92,,,,,
2022-05-01,64,,,,,
2022-05-02,85,,,,,
2022-05-03,101,,,,,
2022-05-04,113,,,,,
2022-05-05,98,,,,,
2022-07-01,101,,,,,
2022-07-02,113,,,,,
2022-07-03,98,,,,,
2022-07-04,120,,,,,
2022-07-09,77,,,,,
2022-07-10,107,,,,,
2022-07-11,111,,,,,
2022-07-12,94,,,,,
2022-07-13,93,,,,,
2022-07-14,87,,,,,
2022-07-15,81,,,,,
2022-07-16,52,,,,,
2022-07-17,83,,,,,
2022-07-18,95,,,,,
2022-07-19,58,,,,,
2022-07-20,49,,,,,
2022-07-21,51,,,,,
2022-07-22,71,,,,,
2022-07-23,77,,,,,
2022-07-24,104,,,,,
2022-07-25,43,,,,,
2022-07-26,109,,,,,
2022-07-27,87,,,,,
2022-07-28,96,,,,,
2022-07-29,77,,,,,
2022-07-30,59,,,,,
2022-07-31,91,,,,,
2022-08-01,103,,,,,
2022-08-02,107,,,,,
2022-08-03,108,,,,,
2022-08-04,111,,,,,
2022-08-05,99,,,,,
2022-08-06,60,,,,,
2022-08-07,70,,,,,
2022-08-08,100,,,,,
2022-08-09,87,,,,,
2022-08-10,95,,,,,
2022-08-11,82,,,,,
2022-08-12,85,,,,,
2022-08-13,104,,,,,
2022-08-14,104,,,,,
2022-08-15,88,,,,,
2022-08-16,100,,,,,
2022-08-17,93,,,,,
2022-08-18,86,,,,,
2022-08-19,111,,,,,
2022-08-20,117,,,,,
2022-08-21,120,,,,,
2022-08-22,119,,,,,
2022-08-23,111,,,,,
2022-08-24,98,,,,,
2022-08-25,124,,,,,
2022-08-26,118,,,,,
2022-08-27,85,,,,,
2022-08-28,109,,,,,
2022-08-29,73,,,,,
2022-08-30,86,,,,,
2022-08-31,118,,,,,
2022-09-01,123,,,,,
2022-09-02,111,,,,,
2022-09-03,100,,,,,
2022-09-04,114,,,,,
2022-09-05,122,,,,,
2022-09-06,125,,,,,
2022-09-07,120,,,,,
2022-09-08,106,,,,,
2022-09-09,125,,,,,
2022-09-10,135,,,,,
2022-09-11,127,,,,,
2022-09-12,113,,,,,
2022-09-13,119,,,,,
2022-09-14,129,,,,,
2022-09-15,141,,,,,
2022-09-16,136,,,,,
2022-09-17,152,,,,,
2022-09-22,125,,,,,
2022-09-23,151,,,,,
2022-09-24,156,,,,,
2022-09-25,158,,,,,
2022-09-26,152,,,,,
2022-09-27,144,,,,,
2022-09-28,131,,,,,
2022-09-29,127,,,,,
2022-09-29,137,,,,,
2022-09-30,128,,,,,
2022-09-30,142,,,,,
2022-10-01,133,,,,,
2022-10-01,148,,,,,
2022-10-02,151,,,,,
2022-10-02,127,,,,,
2022-10-03,152,,,,,
2022-10-03,128,,,,,
2022-10-04,162,,,,,
2022-10-04,133,,,,,
2022-10-05,173,,,,,
2022-10-06,172,,,,,
2022-10-07,138,,,,,
2022-10-08,138,,,,,
2022-10-09,139,,,,,
2022-10-10,140,,,,,
2022-10-11,122,,,,,
2022-10-12,134,,,,,
2022-10-13,138,,,,,
2022-10-14,128,,,,,
2022-10-15,138,,,,,
2022-10-16,145,,,,,
2022-10-17,140,,,,,
2022-10-18,126,,,,,
2022-10-19,117,,,,,
2022-10-20,109,,,,,
2022-10-21,139,,,,,
2022-10-22,128,,,,,
2022-10-23,141,,,,,
2022-10-24,142,,,,,
2022-10-25,147,,,,,
2022-10-26,154,,,,,
2022-10-27,158,,,,,
2022-10-28,163,,,,,
2022-10-29,155,,,,,
2022-10-30,140,,,,,
2022-10-31,98,,,,,
2022-11-01,157,,,,,
2022-11-02,161,,,,,
2022-11-03,159,,,,,
2022-11-04,153,,,,,
2022-11-05,169,,,,,
2022-12-06,120,,,,,
2022-12-07,146,,,,,
2022-12-08,152,,,,,
2022-12-09,172,,,,,
2022-12-10,129,,,,,
2022-12-11,103,,,,,
2022-12-12,157,,,,,
2022-12-13,146,,,,,
2022-12-14,129,,,,,
2022-12-15,144,,,,,
2022-12-16,150,,,,,
2022-12-17,109,,,,,
2022-12-18,112,,,,,
2022-12-19,116,,,,,
2022-12-20,128,,,,,
2022-12-21,123,,,,,
2022-12-22,118,,,,,
2022-12-23,122,,,,,
2022-12-24,124,,,,,
2022-12-25,119,,,,,
2022-12-26,110,,,,,
2022-12-27,119,,,,,
2022-12-28,128,,,,,
2022-12-29,118,,,,,
2022-12-30,103,,,,,
2023-06-28,57,,,,,
2023-06-29,87,,,,,
2023-06-30,99,,,,,
2023-07-01,77,,,,,
2023-07-02,92,,,,,
2023-07-03,44,,,,,
2023-07-04,88,,,,,
2023-07-05,119,,,,,
2023-07-06,84,,,,,
2023-07-07,74,,,,,
2023-07-08,98,,,,,
2023-07-09,97,,,,,
2023-07-10,90,,,,,
2023-07-11,73,,,,,
2023-07-12,86,,,,,
2023-07-13,55,,,,,
2023-07-14,117,,,,,
2023-07-15,110,,,,,
2023-07-16,117,,,,,
2023-07-17,110,,,,,
2023-07-18,110,,,,,
2023-07-19,106,,,,,
2023-07-20,56,,,,,
2023-07-21,58,,,,,
2023-07-22,100,,,,,
2023-07-23,109,,,,,
2023-07-24,121,,,,,
2023-07-26,93,,,,,
2023-07-27,108,,,,,
2023-07-28,110,,,,,
2023-07-29,112,,,,,
2023-07-30,110,,,,,
2023-07-31,111,,,,,
2023-08-01,109,,,,,
2023-08-02,102,,,,,
2023-08-03,75,,,,,
2023-08-04,54,,,,,
2023-08-05,87,,,,,
2023-08-06,105,,,,,
2023-08-07,109,,,,,
2023-08-08,91,,,,,
2023-08-09,62,,,,,
2023-08-10,103,,,,,
2023-08-11,111,,,,,
2023-08-12,107,,,,,
2023-08-13,108,,,,,
2023-08-14,95,,,,,
2023-08-15,89,,,,,
2023-08-16,96,,,,,
2023-08-17,111,,,,,
2023-08-18,109,,,,,
2023-08-19,115,,,,,
2023-08-20,118,,,,,
2023-08-21,113,,,,,
2023-08-22,121,,,,,
2023-08-23,137,,,,,
2023-08-24,132,,,,,
2023-08-25,131,,,,,
2023-08-26,139,,,,,
2023-08-27,135,,,,,
2023-08-28,130,,,,,
2023-08-29,128,,,,,
2023-08-30,129,,,,,
2023-08-31,135,,,,,
2023-09-01,133,,,,,
2023-09-02,136,,,,,
2023-09-03,128,,,,,
2023-09-04,144,,,,,
2023-09-05,140,,,,,
2023-09-06,129,,,,,
2023-09-07,137,,,,,
2023-09-08,125,,,,,
2023-09-09,144,,,,,
