time,pm25,pm10,O3,NO2,SO2,CO
2022-09-29,,5,,,,
2022-09-30,11,5,,,,
2022-10-01,11,4,,,,
2022-10-02,7,5,,,,
2022-10-03,11,5,,,,
2022-10-04,9,5,,,,
2022-10-05,9,8,,,,
2022-10-06,10,13,,,,
2022-10-07,18,13,,,,
2022-10-08,27,15,,,,
2022-10-09,27,10,,,,
2022-10-10,19,6,,,,
2022-10-11,16,5,,,,
2022-10-12,9,5,,,,
2022-10-13,10,3,,,,
2022-10-14,7,3,,,,
2022-10-15,6,4,,,,
2022-10-16,8,4,,,,
2022-10-17,7,5,,,,
2022-10-18,12,6,,,,
2022-10-19,14,6,,,,
2022-10-20,10,7,,,,
2022-10-21,16,9,,,,
2022-10-22,22,8,,,,
2022-10-23,23,10,,,,
2022-10-24,32,14,,,,
2022-10-25,40,10,,,,
2022-10-26,29,7,,,,
2022-10-27,18,5,,,,
2022-10-28,11,10,,,,
2022-10-29,33,8,,,,
2022-10-30,28,,,,,
2022-12-29,,10,,,,
2022-12-30,33,8,,,,
2022-12-31,28,8,,,,
2023-01-01,26,6,,,,
2023-01-02,13,12,,,,
2023-01-03,34,9,,,,
2023-01-04,21,11,,,,
2023-01-05,28,6,,,,
2023-01-06,16,4,,,,
2023-01-07,9,8,,,,
2023-01-08,21,7,,,,
2023-01-09,17,6,,,,
2023-01-10,15,11,,,,
2023-01-11,28,15,,,,
2023-01-12,49,26,,,,
2023-01-13,73,11,,,,
2023-01-14,37,12,,,,
2023-01-15,28,7,,,,
2023-01-16,19,2,,,,
2023-01-17,6,6,,,,
2023-01-18,14,10,,,,
2023-01-19,23,20,,,,
2023-01-20,55,6,,,,
2023-01-21,19,7,,,,
2023-01-22,24,13,,,,
2023-01-23,33,5,,,,
2023-01-24,11,11,,,,
2023-01-25,28,11,,,,
2023-01-26,39,10,,,,
2023-01-27,28,16,,,,
2023-01-28,35,13,,,,
2023-01-29,33,9,,,,
2023-01-30,22,18,,,,
2023-01-31,37,14,,,,
2023-02-01,26,8,,,,
2023-02-02,19,6,,,,
2023-02-03,19,6,,,,
2023-02-04,18,11,,,,
2023-02-05,29,11,,,,
2023-02-06,28,13,,,,
2023-02-07,29,11,,,,
2023-02-08,24,9,,,,
2023-02-09,18,6,,,,
2023-02-10,18,7,,,,
2023-02-11,26,11,,,,
2023-02-12,26,10,,,,
2023-02-13,17,10,,,,
2023-02-14,9,2,,,,
2023-02-15,6,15,,,,
2023-02-16,16,3,,,,
2023-02-17,11,8,,,,
2023-02-18,33,5,,,,
2023-02-19,21,12,,,,
2023-02-20,48,6,,,,
2023-02-21,23,10,,,,
2023-02-22,35,9,,,,
2023-02-23,28,6,,,,
2023-02-24,23,8,,,,
2023-02-25,29,7,,,,
2023-02-26,28,8,,,,
2023-02-27,29,7,,,,
2023-02-28,28,8,,,,
2023-03-01,30,55,,,,
2023-03-02,63,54,,,,
2023-03-03,53,24,,,,
2023-03-04,45,16,,,,
2023-03-05,42,6,,,,
2023-03-06,18,3,,,,
2023-03-07,9,22,,,,
2023-03-08,22,18,,,,
2023-03-09,16,3,,,,
2023-03-10,12,4,,,,
2023-03-11,14,8,,,,
2023-03-12,19,5,,,,
2023-03-13,11,6,,,,
2023-03-14,19,7,,,,
2023-03-15,21,5,,,,
2023-03-16,15,12,,,,
2023-03-17,22,7,,,,
2023-03-18,27,12,,,,
2023-03-19,46,5,,,,
2023-03-20,22,5,,,,
2023-03-21,18,8,,,,
2023-03-22,28,4,,,,
2023-03-23,11,65,,,,
2023-03-24,,5,,,,
2023-03-24,50,13,,,,
2023-03-25,17,4,,,,
2023-03-25,22,8,,,,
2023-03-26,6,35,,,,
2023-03-26,31,14,,,,
2023-03-27,25,19,,,,
2023-03-27,23,6,,,,
2023-03-28,18,43,,,,
2023-03-28,16,5,,,,
2023-03-29,38,10,,,,
2023-03-29,18,9,,,,
2023-03-30,42,15,,,,
2023-03-30,20,6,,,,
2023-03-31,55,14,,,,
2023-03-31,21,4,,,,
2023-04-01,55,6,,,,
2023-04-01,12,,,,,
2023-04-02,24,18,,,,
2023-04-03,26,7,,,,
2023-04-04,23,6,,,,
2023-04-05,18,17,,,,
2023-04-06,22,8,,,,
2023-04-07,17,51,,,,
2023-04-08,43,21,,,,
2023-04-09,36,8,,,,
2023-04-10,26,44,,,,
2023-04-11,41,25,,,,
2023-04-12,43,25,,,,
2023-04-13,46,88,,,,
2023-04-14,62,64,,,,
2023-04-15,45,43,,,,
2023-04-16,36,32,,,,
2023-04-17,37,9,,,,
2023-04-18,33,219,,,,
2023-04-19,75,53,,,,
2023-04-20,39,17,,,,
2023-04-21,19,14,,,,
2023-04-22,20,46,,,,
2023-04-23,34,4,,,,
2023-04-24,12,8,,,,
2023-04-25,11,115,,,,
2023-04-26,67,71,,,,
2023-04-27,50,49,,,,
2023-04-28,35,8,,,,
2023-04-29,25,5,,,,
2023-04-30,15,15,,,,
2023-05-01,44,79,,,,
2023-05-02,92,29,,,,
2023-05-03,32,31,,,,
2023-05-04,30,23,,,,
2023-05-05,25,14,,,,
2023-05-06,21,38,,,,
2023-05-07,32,40,,,,
2023-05-08,49,38,,,,
2023-05-09,65,25,,,,
2023-05-10,50,9,,,,
2023-05-11,12,16,,,,
2023-05-12,14,12,,,,
2023-05-13,18,10,,,,
2023-05-14,20,87,,,,
2023-05-15,64,45,,,,
2023-05-16,48,5,,,,
2023-05-17,18,5,,,,
2023-05-18,14,5,,,,
2023-05-19,13,7,,,,
2023-05-20,14,33,,,,
2023-05-21,24,30,,,,
2023-05-22,22,41,,,,
2023-05-23,28,41,,,,
2023-05-24,32,73,,,,
2023-05-25,49,11,,,,
2023-05-26,11,31,,,,
2023-05-27,26,14,,,,
2023-05-28,22,6,,,,
2023-05-29,12,14,,,,
2023-05-30,14,28,,,,
2023-05-31,26,19,,,,
2023-06-01,20,10,,,,
2023-06-02,12,25,,,,
2023-06-03,27,49,,,,
2023-06-04,40,42,,,,
2023-06-05,31,94,,,,
2023-06-06,52,68,,,,
2023-06-07,56,35,,,,
2023-06-08,70,31,,,,
2023-06-09,58,31,,,,
