time,pm25,pm10,O3,NO2,SO2,CO
2021-12-31,84,,,,,
2022-01-01,66,,,,,
2022-01-02,67,,,,,
2022-01-03,71,,,,,
2022-01-04,63,,,,,
2022-01-05,63,,,,,
2022-04-01,69,,,,,
2022-04-02,76,,,,,
2022-04-03,87,,,,,
2022-04-04,95,,,,,
2022-04-05,96,,,,,
2022-04-06,97,,,,,
2022-04-07,92,,,,,
2022-04-08,98,,,,,
2022-04-09,107,,,,,
2022-04-10,97,,,,,
2022-04-11,114,,,,,
2022-04-12,109,,,,,
2022-04-13,113,,,,,
2022-04-14,127,,,,,
2022-04-15,110,,,,,
2022-04-16,91,,,,,
2022-04-17,97,,,,,
2022-04-18,84,,,,,
2022-04-19,83,,,,,
2022-04-20,79,,,,,
2022-04-21,71,,,,,
2022-04-22,77,,,,,
2022-04-23,86,,,,,
2022-04-24,78,,,,,
2022-04-25,78,,,,,
2022-04-26,76,,,,,
2022-04-27,60,,,,,
2022-04-28,79,,,,,
2022-04-29,107,,,,,
2022-04-30,92,,,,,
2022-05-01,72,,,,,
2022-05-02,94,,,,,
2022-05-03,108,,,,,
2022-05-04,72,,,,,
2022-05-05,63,,,,,
2022-05-06,77,,,,,
2022-05-07,82,,,,,
2022-05-08,75,,,,,
2022-05-09,74,,,,,
2022-05-10,107,,,,,
2022-05-11,85,,,,,
2022-05-12,84,,,,,
2022-05-13,92,,,,,
2022-05-14,79,,,,,
2022-05-15,76,,,,,
2022-05-16,94,,,,,
2022-05-17,74,,,,,
2022-05-18,44,,,,,
2022-05-19,47,,,,,
2022-05-20,84,,,,,
2022-05-21,84,,,,,
2022-05-22,106,,,,,
2022-05-23,103,,,,,
2022-05-24,109,,,,,
2022-05-25,111,,,,,
2022-05-26,119,,,,,
2022-05-27,110,,,,,
2022-05-28,135,,,,,
2022-05-29,139,,,,,
2022-05-30,131,,,,,
2022-05-31,116,,,,,
2022-06-01,122,,,,,
2022-06-02,109,,,,,
2022-06-03,84,,,,,
2022-06-04,57,,,,,
2022-06-05,65,,,,,
2022-06-06,90,,,,,
2022-06-07,94,,,,,
2022-06-08,117,,,,,
2022-06-09,119,,,,,
2022-06-10,145,,,,,
2022-06-11,124,,,,,
2022-06-12,99,,,,,
2022-06-13,79,,,,,
2022-06-14,92,,,,,
2022-06-15,62,,,,,
2022-06-16,91,,,,,
2022-06-17,55,,,,,
2022-06-18,54,,,,,
2022-06-19,45,,,,,
2022-06-20,34,,,,,
2022-06-21,55,,,,,
2022-06-22,78,,,,,
2022-06-23,89,,,,,
2022-06-24,86,,,,,
2022-06-25,59,,,,,
2022-06-26,72,,,,,
2022-06-27,104,,,,,
2022-06-28,86,,,,,
2022-06-29,42,,,,,
2022-06-30,21,,,,,
2022-06-30,86,,,,,
2022-06-30,59,,,,,
2022-07-01,27,,,,,
2022-07-01,42,,,,,
2022-07-02,59,,,,,
2022-07-03,69,,,,,
2022-07-04,85,,,,,
2022-07-05,78,,,,,
2022-07-06,110,,,,,
2022-07-07,155,,,,,
2022-07-08,158,,,,,
2022-07-09,155,,,,,
2022-07-10,124,,,,,
2022-07-11,110,,,,,
2022-07-12,140,,,,,
2022-07-13,127,,,,,
2022-07-14,107,,,,,
2022-07-15,95,,,,,
2022-07-16,106,,,,,
2022-07-17,64,,,,,
2022-07-18,41,,,,,
2022-07-19,70,,,,,
2022-07-20,72,,,,,
2022-07-21,77,,,,,
2022-07-22,67,,,,,
2022-07-23,84,,,,,
2022-07-24,77,,,,,
2022-07-25,74,,,,,
2022-07-26,83,,,,,
2022-07-27,96,,,,,
2022-07-28,38,,,,,
2022-07-29,49,,,,,
2022-07-30,54,,,,,
