time,pm25,pm10,O3,NO2,SO2,CO
2022-03-31,,21,17,2,,0
2022-04-01,41,21,15,1,0,0
2022-04-02,36,23,15,2,,0
2022-04-03,51,23,18,2,,0
2022-04-04,47,25,12,0,,0
2022-04-05,59,22,10,0,,0
2022-04-06,42,22,18,0,0,0
2022-04-07,41,23,19,1,0,0
2022-04-08,47,22,15,1,0,0
2022-04-09,48,21,18,0,0,0
2022-04-10,30,25,20,0,0,0
2022-04-11,35,26,22,0,0,0
2022-04-12,46,25,21,0,0,0
2022-04-13,37,23,17,0,0,0
2022-04-14,40,25,16,1,,0
2022-04-15,45,25,19,0,,0
2022-04-16,53,24,16,0,0,0
2022-04-17,46,27,18,1,0,0
2022-04-18,39,22,15,1,0,0
2022-04-19,31,23,14,1,,0
2022-04-20,43,27,15,2,0,0
2022-04-21,57,22,15,1,0,0
2022-04-22,48,23,16,1,,0
2022-04-23,50,25,15,1,,0
2022-04-24,53,24,16,0,0,0
2022-04-25,55,25,19,2,,0
2022-04-26,57,31,19,2,,0
2022-04-27,66,30,15,2,0,0
2022-04-28,63,26,16,1,0,0
2022-04-29,55,21,14,1,0,0
2022-04-30,45,22,12,1,0,0
2022-05-01,39,16,9,1,0,0
2022-05-02,28,34,8,0,,0
2022-05-03,48,25,11,0,,0
2022-05-04,45,25,16,0,,0
2022-05-05,38,25,13,1,,0
2022-05-06,40,23,12,1,,0
2022-05-07,42,21,9,0,,0
2022-05-08,35,22,10,0,0,0
2022-05-09,45,23,9,1,0,0
2022-05-10,45,28,10,0,2,0
2022-05-11,44,23,9,0,0,0
2022-05-12,40,17,7,0,0,0
2022-05-13,28,14,8,0,,0
2022-05-14,22,16,10,1,,0
2022-05-15,29,13,8,1,0,0
2022-05-16,18,22,9,1,0,1
2022-05-17,29,22,15,1,0,0
2022-05-18,32,25,10,1,0,0
2022-05-19,48,25,11,0,0,0
2022-05-20,46,19,10,0,0,1
2022-05-21,40,18,11,0,0,0
2022-05-22,30,22,11,1,0,0
2022-05-23,44,17,12,0,0,0
2022-05-24,30,16,11,0,0,0
2022-05-25,34,22,9,0,,0
2022-05-26,34,20,9,,,0
2022-05-27,26,20,9,0,0,0
2022-05-28,32,24,9,0,2,0
2022-05-29,38,21,9,0,0,0
2022-05-30,33,25,10,0,0,0
2022-05-31,42,31,11,1,,0
2022-06-01,55,23,5,1,,0
2022-06-02,47,19,6,0,,0
2022-06-03,29,17,6,0,,0
2022-06-04,37,20,8,0,0,0
2022-06-05,26,25,15,0,0,0
2022-06-06,46,30,17,0,0,0
2022-06-07,63,39,18,0,0,0
2022-06-08,81,34,15,0,,0
2022-06-09,69,19,6,1,,0
2022-06-10,44,20,8,1,,0
2022-06-11,31,20,9,0,,0
2022-06-12,35,17,10,0,0,0
2022-06-13,34,18,10,0,0,0
2022-06-14,44,19,8,1,0,0
2022-06-15,39,19,9,1,,0
2022-06-16,26,22,10,1,0,0
2022-06-17,41,23,10,1,0,0
2022-06-18,45,22,8,1,,0
2022-06-19,44,21,8,0,0,0
2022-06-20,39,19,8,1,0,0
2022-06-21,43,19,12,1,0,0
2022-06-22,39,19,11,2,0,0
2022-06-23,41,23,9,2,0,0
2022-06-24,46,24,11,2,0,0
2022-06-25,46,27,10,3,0,0
2022-06-26,56,23,11,2,0,0
2022-06-27,53,20,13,2,0,0
2022-06-28,45,24,14,2,0,0
2022-06-29,51,23,11,1,,0
2022-06-30,,20,13,2,0,0
2022-06-30,48,,,,0,
2022-07-01,45,24,14,2,,0
2022-07-02,51,23,11,1,0,0
2022-07-03,48,16,9,1,,0
2022-07-04,14,15,9,1,,0
2022-07-05,18,20,9,2,,0
2022-07-06,23,21,12,1,,0
2022-07-07,36,23,11,1,0,0
2022-07-08,46,20,16,1,0,0
2022-07-09,44,24,15,2,0,0
2022-07-10,50,23,17,2,,0
2022-07-11,59,36,18,2,,0
2022-07-12,81,25,13,1,0,0
2022-07-13,72,21,11,1,0,0
2022-07-14,62,20,12,1,,0
2022-07-15,58,24,12,1,0,0
2022-07-16,56,25,14,1,,0
2022-07-17,74,27,10,1,0,0
2022-07-18,77,21,9,2,0,0
2022-07-19,63,19,11,1,,0
2022-07-20,49,19,8,1,0,0
2022-07-21,51,17,9,1,0,0
2022-07-22,43,15,9,2,0,0
2022-07-23,41,20,6,2,0,0
2022-07-24,55,15,9,1,0,0
2022-07-25,44,13,9,2,0,0
2022-07-26,39,13,12,1,0,0
2022-07-27,39,17,9,2,0,0
2022-07-28,48,19,12,2,0,0
2022-07-29,54,17,13,1,,0
2022-07-30,51,16,11,2,0,0
2022-07-31,47,19,9,1,,0
2022-08-01,55,9,10,2,0,0
2022-08-02,29,14,14,1,0,0
2022-08-03,43,13,10,2,0,0
2022-08-04,39,14,8,2,0,0
2022-08-05,41,15,7,2,0,0
