time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,49,24,30,15,0,4
2021-01-01,64,24,35,12,0,3
2021-01-02,46,27,36,15,0,4
2021-01-02,49,24,30,15,0,4
2021-01-03,50,35,38,15,1,5
2021-01-03,46,27,36,15,0,4
2021-01-04,55,44,24,16,1,6
2021-01-04,50,35,38,15,1,5
2021-01-05,60,56,21,16,0,5
2021-01-05,55,,,,,
2021-01-06,72,65,32,14,1,5
2021-01-07,82,58,31,11,0,4
2021-01-08,76,54,31,6,1,4
2021-01-09,75,39,30,11,0,4
2021-01-10,65,28,34,10,0,4
2021-01-11,61,25,34,9,0,4
2021-01-12,58,32,36,9,0,4
2021-01-13,61,32,27,11,1,4
2021-01-14,58,30,26,16,0,4
2021-01-15,61,31,29,17,0,4
2021-01-16,54,57,29,15,0,5
2021-01-17,53,52,27,9,1,4
2021-01-18,65,34,15,12,2,5
2021-01-19,61,33,20,11,1,7
2021-01-20,70,28,15,14,2,5
2021-01-21,66,25,20,14,2,5
2021-01-22,64,30,20,16,3,6
2021-01-23,65,42,26,17,4,5
2021-01-24,77,44,25,16,4,4
2021-01-25,75,51,32,14,3,5
2021-01-26,78,58,41,15,3,5
2021-01-27,68,63,30,24,4,5
2021-01-28,74,,,,,
2021-03-01,,75,25,20,15,14
2021-03-02,166,58,18,21,16,10
2021-03-03,147,71,32,15,9,12
2021-03-04,163,46,29,15,9,8
2021-03-05,108,48,33,15,10,10
2021-03-06,122,46,31,16,10,7
2021-03-07,109,52,25,15,11,8
2021-03-08,121,68,34,12,11,13
2021-03-09,140,45,28,16,7,7
2021-03-10,89,45,14,17,9,8
2021-03-11,93,56,31,12,7,11
2021-03-12,135,30,32,10,5,5
2021-03-13,81,28,36,3,4,4
2021-03-14,64,15,36,2,3,3
2021-03-15,44,11,30,8,2,4
2021-03-16,38,22,18,16,7,8
2021-03-17,63,40,13,11,8,7
2021-03-18,85,58,13,15,10,14
2021-03-19,139,60,7,13,5,10
2021-03-20,145,53,4,,,9
2021-03-21,121,,,,,
2021-03-22,,49,4,12,5,8
2021-03-23,117,61,5,14,5,10
2021-03-24,145,64,15,15,10,8
2021-03-25,154,69,12,18,11,11
2021-03-26,159,77,21,12,11,15
2021-03-27,162,63,18,11,12,11
2021-03-28,153,50,21,9,8,8
2021-03-29,114,36,22,8,3,4
2021-03-30,92,39,7,17,6,11
2021-03-31,99,57,3,15,2,12
2021-04-01,,55,3,11,3,10
2021-04-01,143,51,3,13,2,11
2021-04-02,140,48,16,9,4,7
2021-04-02,121,61,21,8,9,14
2021-04-03,110,41,10,14,3,11
2021-04-03,146,46,15,10,5,8
2021-04-04,107,43,2,12,2,12
2021-04-04,119,53,4,9,2,10
2021-04-05,104,46,14,10,2,12
2021-04-05,131,,,,,
2021-04-06,107,49,16,11,9,8
2021-04-07,115,58,12,10,10,11
2021-04-08,150,70,7,14,10,17
2021-04-09,156,67,18,6,6,8
2021-04-10,151,40,19,10,6,4
2021-04-11,82,33,11,14,7,7
2021-04-12,88,40,7,16,7,8
2021-04-13,96,37,11,10,4,6
2021-04-14,99,25,12,4,4,4
2021-04-15,78,17,9,11,4,4
2021-04-16,57,37,9,12,10,7
2021-04-17,93,47,7,14,8,5
2021-04-18,101,49,8,23,21,8
2021-04-19,82,78,9,23,23,16
2021-04-20,154,73,4,13,12,12
2021-04-21,158,36,25,4,4,4
2021-04-22,89,17,22,5,3,4
2021-04-23,53,22,18,5,2,4
2021-04-24,54,21,13,4,3,3
2021-04-25,48,14,2,4,6,4
2021-04-26,41,24,5,13,9,5
2021-04-27,70,43,5,14,8,8
2021-04-28,99,43,6,11,7,10
2021-04-29,109,22,38,3,4,4
2021-04-30,69,14,25,5,3,4
2021-05-01,46,40,20,19,14,11
2021-05-02,84,62,8,17,12,10
2021-05-03,123,61,33,18,12,11
2021-05-04,129,54,61,12,6,7
2021-05-05,115,44,50,10,10,8
2021-05-06,93,38,44,4,3,4
2021-05-07,78,28,38,4,2,3
2021-05-08,57,39,38,8,4,4
2021-05-09,68,53,39,9,4,4
2021-05-10,87,48,39,4,3,3
2021-05-11,72,29,36,15,10,6
2021-05-12,64,41,43,9,7,7
2021-05-13,104,28,44,7,2,4
2021-05-14,69,17,40,4,1,3
2021-05-15,51,24,40,4,2,3
2021-05-16,40,41,36,11,6,5
2021-05-17,63,30,35,14,9,5
2021-05-18,73,50,36,17,14,9
2021-05-19,112,57,39,15,14,10
2021-05-20,143,53,33,20,15,10
2021-05-21,122,56,29,20,19,10
2021-05-22,123,55,29,19,19,11
2021-05-23,132,49,35,7,6,5
2021-05-24,106,42,30,16,14,7
2021-05-25,91,51,28,27,29,8
2021-05-26,125,17,29,10,8,7
2021-05-27,122,2,28,8,4,3
2021-05-28,76,1,24,9,7,6
