time,pm25,pm10,O3,NO2,SO2,CO
2023-03-30,,,32,2,1,4
2023-03-31,,28,30,6,2,7
2023-04-01,,8,17,3,2,8
2023-04-02,,38,18,8,4,4
2023-04-03,,68,27,7,2,10
2023-04-04,,41,27,4,1,8
2023-04-05,,28,28,4,1,7
2023-04-06,,30,26,4,1,7
2023-04-07,,35,23,,,3
2023-04-08,,25,24,5,3,4
2023-04-09,,33,23,5,2,7
2023-04-10,,16,31,5,0,2
2023-04-10,,39,21,5,1,7
2023-04-11,,13,27,4,0,2
2023-04-11,,41,24,4,1,5
2023-04-12,,14,24,5,0,3
2023-04-12,,34,24,3,1,3
2023-04-13,,17,30,5,0,2
2023-04-13,,30,23,6,2,5
2023-04-14,,17,28,4,0,0
2023-04-14,,41,21,8,2,6
2023-04-15,,10,28,4,0,0
2023-04-15,,48,22,6,2,7
2023-04-16,,7,27,5,0,0
2023-04-16,,45,22,7,2,6
2023-04-17,,10,21,6,0,3
2023-04-17,,44,26,6,1,4
2023-04-18,,21,26,5,0,2
2023-04-18,,52,23,3,0,2
2023-04-19,,19,15,5,0,2
2023-04-19,,35,25,3,0,3
2023-04-20,,17,30,5,0,1
2023-04-20,,25,25,5,0,3
2023-04-21,,9,30,5,0,1
2023-04-21,,17,25,5,1,4
2023-04-22,,7,29,5,0,0
2023-04-22,,22,27,4,0,2
2023-04-23,,11,31,5,0,1
2023-04-23,,20,26,3,0,4
2023-04-24,,14,31,5,0,2
2023-04-24,,20,28,4,0,2
2023-04-25,,15,36,5,0,2
2023-04-25,,15,29,3,0,2
2023-04-26,,19,32,6,0,3
2023-04-26,,18,29,4,0,2
2023-04-27,,19,31,11,0,2
2023-04-27,,19,17,3,0,2
2023-04-28,,20,32,4,1,2
2023-04-28,,16,18,5,0,1
2023-04-29,,11,33,3,0,1
2023-04-29,,7,24,5,0,3
2023-04-30,,9,30,3,0,1
2023-04-30,,23,25,3,0,2
2023-05-01,,10,30,3,0,2
2023-05-01,,13,28,3,1,1
2023-05-02,,11,29,4,0,2
2023-05-02,,6,22,3,0,4
2023-05-03,,11,30,4,0,1
2023-05-03,,9,17,10,0,2
2023-05-04,,11,32,4,0,1
2023-05-04,,16,25,4,0,1
2023-05-05,,10,29,4,0,1
2023-05-05,,16,23,6,1,2
2023-05-06,,10,29,4,1,1
2023-05-06,,17,23,6,0,3
2023-05-07,,8,22,5,0,1
2023-05-07,,20,23,6,0,3
2023-05-08,,7,28,5,0,0
2023-05-08,,18,20,6,0,3
2023-05-09,,7,31,5,0,0
2023-05-09,,22,28,5,0,2
2023-05-10,,12,29,5,0,2
2023-05-10,,24,30,4,0,2
2023-05-11,,14,27,5,0,2
2023-05-11,,20,25,5,0,3
2023-05-12,,16,32,6,0,1
2023-05-12,,22,29,4,0,2
2023-05-13,,14,32,6,0,1
2023-05-13,,18,32,3,0,0
2023-05-14,,15,30,7,0,1
2023-05-14,,11,30,5,0,0
2023-05-15,,20,32,6,1,2
2023-05-15,,4,31,6,1,1
2023-05-16,,11,27,4,0,1
2023-05-16,,8,31,5,0,2
2023-05-17,,11,27,5,0,1
2023-05-17,,16,27,4,0,2
2023-05-18,,13,28,5,1,1
2023-05-18,,13,,,,
2023-05-19,,18,25,5,0,2
2023-05-20,,20,26,6,0,0
2023-05-21,,24,30,6,1,1
2023-05-22,,23,28,5,1,1
2023-05-23,,22,28,4,0,1
2023-05-24,,22,26,5,0,2
2023-05-25,,20,30,6,0,2
2023-05-26,,22,33,6,1,1
2023-05-27,,21,30,11,1,1
2023-05-28,,16,28,4,0,0
2023-05-29,,11,32,4,0,1
2023-05-30,,10,31,4,0,1
2023-05-31,,13,24,6,0,0
2023-06-01,,20,30,4,1,0
2023-06-02,,18,25,4,0,1
2023-06-03,,18,27,4,3,3
2023-06-04,,16,30,4,1,3
2023-06-05,,16,22,5,2,3
2023-06-06,,20,33,5,2,3
2023-06-07,,15,25,5,2,3
2023-06-08,,10,27,4,2,4
2023-06-09,,16,26,4,1,4
2023-06-10,,16,22,4,2,3
2023-06-11,,16,21,5,1,3
2023-06-12,,22,28,5,2,3
2023-06-13,,25,33,4,1,
2023-06-14,,18,25,5,2,1
2023-06-15,,21,29,5,2,4
2023-06-16,,16,31,8,2,6
2023-06-17,58,14,30,5,2,8
2023-06-18,66,16,29,6,2,8
2023-06-19,69,18,33,7,1,8
2023-06-20,83,21,33,5,2,9
2023-06-21,77,19,28,8,2,9
2023-06-22,66,14,31,8,2,6
2023-06-23,72,15,30,7,2,8
2023-06-24,73,13,32,6,2,8
2023-06-25,84,21,30,7,2,8
2023-06-26,85,22,27,14,2,9
2023-06-27,63,15,27,5,1,8
2023-06-28,67,14,29,4,1,8
2023-06-29,,15,31,5,0,7
2023-06-30,,18,30,3,4,8
2023-07-01,,15,37,,4,5
2023-07-02,,12,37,,4,5
2023-07-03,,14,34,2,7,6
2023-07-04,,17,39,9,8,7
2023-07-05,,19,29,6,7,8
2023-07-06,,22,27,6,7,9
2023-07-07,,22,30,5,7,9
2023-07-08,,19,29,6,7,9
2023-07-09,,16,26,20,7,9
2023-07-10,,18,49,9,7,9
2023-07-11,,16,32,6,7,6
2023-12-24,,,,6,1,2
2023-12-25,,17,,9,1,2
2023-12-26,,21,,7,1,2
2023-12-27,,21,,8,1,2
2023-12-28,,24,,7,1,3
2023-12-29,,24,,7,1,2
2023-12-30,,25,,8,1,2
2023-12-31,,28,,8,1,2
