time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,71,52,27,10,1,5
2021-01-01,74,71,31,11,1,5
2021-01-02,59,49,28,10,1,5
2021-01-02,71,52,27,10,1,5
2021-01-03,62,44,31,7,1,4
2021-01-03,59,49,28,10,1,5
2021-01-04,61,43,28,8,1,5
2021-01-04,62,44,31,7,1,4
2021-01-05,55,42,28,13,1,6
2021-01-05,61,,,,,
2021-01-06,47,52,32,6,1,6
2021-01-07,55,52,24,17,1,8
2021-01-08,56,65,24,20,2,10
2021-01-09,67,82,23,21,1,11
2021-01-10,82,78,26,20,2,9
2021-01-11,85,94,24,26,2,12
2021-01-12,108,104,21,26,2,14
2021-01-13,121,86,21,24,2,12
2021-01-14,102,93,21,25,2,14
2021-01-15,110,95,21,26,3,13
2021-01-16,106,93,21,26,3,13
2021-01-17,102,91,27,24,3,13
2021-01-18,109,93,24,23,6,13
2021-01-19,115,63,17,10,13,8
2021-01-20,88,36,15,12,2,9
2021-01-21,63,13,15,17,3,12
2021-01-22,72,67,16,19,3,14
2021-01-23,106,68,15,20,4,15
2021-01-24,108,69,16,18,3,14
2021-01-25,110,74,15,26,4,16
2021-01-26,124,79,18,27,5,16
2021-01-27,139,80,0,26,5,20
2021-01-28,150,,,,,
2021-03-01,,93,24,39,17,26
2021-03-02,167,122,13,30,8,37
2021-03-03,183,70,11,23,4,7
2021-03-04,127,64,15,21,2,9
2021-03-05,139,60,13,20,2,7
2021-03-06,136,55,25,15,2,3
2021-03-07,121,63,21,21,3,8
2021-03-08,146,77,14,35,6,16
2021-03-09,162,80,21,23,4,11
2021-03-10,158,52,20,20,2,9
2021-03-11,111,64,15,27,3,16
2021-03-12,151,65,13,30,6,13
2021-03-13,152,85,14,25,6,15
2021-03-14,164,63,26,12,3,7
2021-03-15,129,59,21,19,3,10
2021-03-16,78,68,26,9,1,8
2021-03-17,82,51,19,29,4,11
2021-03-18,70,73,10,25,3,19
2021-03-19,153,55,15,23,3,13
2021-03-20,123,56,6,,,37
2021-03-21,111,,,,,
