time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,67,,,10,
2021-01-02,,80,,,11,
2021-01-03,,79,,,11,
2021-01-04,,69,,,11,
2021-01-05,,47,,,13,
2021-01-06,,51,,,,
2021-01-07,,54,,,,
2021-04-01,,62,24,5,2,3
2021-04-02,63,51,26,6,4,1
2021-04-03,32,57,25,12,6,2
2021-04-04,51,67,24,14,6,5
2021-04-05,61,74,25,7,4,4
2021-04-06,91,62,29,7,6,1
2021-04-07,56,61,29,10,9,2
2021-04-08,56,85,22,18,9,8
2021-04-09,96,98,24,16,9,7
2021-04-10,115,85,24,9,5,2
2021-04-11,113,62,18,9,2,2
2021-04-12,65,43,19,13,3,5
2021-04-13,41,53,17,8,2,3
2021-04-14,48,36,22,5,2,1
2021-04-15,21,29,26,8,2,2
2021-04-16,46,33,24,7,4,2
2021-04-17,66,36,26,5,5,2
2021-04-18,70,45,27,24,14,5
2021-04-19,61,77,26,13,5,8
2021-04-20,105,57,30,6,3,4
2021-04-21,72,38,31,5,2,2
2021-04-22,61,35,,,,
2021-04-23,58,,,,,
2021-05-17,,61,4,,5,10
2021-05-18,67,80,23,10,7,4
2021-05-19,70,20,31,5,2,2
2021-05-20,77,54,29,10,5,4
2021-05-21,61,63,25,15,7,7
2021-05-22,85,53,27,2,4,3
2021-05-23,86,32,24,15,8,2
2021-05-24,81,42,28,13,5,4
2021-05-25,86,48,24,25,15,6
2021-05-26,120,51,30,7,7,5
2021-05-27,113,46,25,8,3,3
2021-05-28,109,49,22,7,3,3
2021-05-29,89,40,28,5,3,2
2021-05-30,73,44,24,6,4,2
2021-05-31,83,36,24,8,6,4
2021-06-01,85,27,26,7,5,4
2021-06-02,85,33,27,5,4,3
2021-06-03,93,28,23,8,5,4
2021-06-04,105,25,24,8,6,4
2021-06-05,80,39,26,7,3,3
2021-06-06,87,55,25,6,4,2
2021-06-07,94,43,23,2,3,2
2021-06-08,93,18,29,11,6,3
2021-06-09,69,41,28,7,4,4
2021-06-10,75,51,20,5,2,2
2021-06-11,76,40,22,7,4,2
2021-06-12,92,35,24,5,3,3
2021-06-13,85,20,22,7,4,3
2021-06-14,77,18,24,7,4,3
2021-06-15,85,25,27,10,3,4
2021-06-16,91,41,26,7,3,4
2021-06-17,83,51,21,7,3,6
2021-06-18,105,57,13,7,3,3
2021-06-19,96,50,25,5,3,1
2021-06-20,91,16,27,5,3,2
2021-06-21,80,15,23,7,4,2
2021-06-22,74,13,23,7,4,3
2021-06-23,75,18,27,6,5,3
2021-06-24,73,32,27,13,10,4
2021-06-25,82,42,30,6,3,3
2021-06-26,91,31,31,4,4,1
2021-06-27,80,33,26,5,3,3
2021-06-28,80,22,24,8,4,3
2021-06-29,74,13,24,3,3,3
2021-06-30,79,17,25,3,4,2
2021-07-01,,33,26,5,3,3
2021-07-01,81,,,,,
2021-07-02,80,22,24,8,4,3
2021-07-03,74,13,24,3,3,3
2021-07-04,79,17,25,3,4,2
2021-07-05,81,24,20,13,3,4
2021-07-06,83,48,19,4,3,5
2021-07-07,97,54,17,8,3,2
2021-07-08,85,67,26,9,3,5
2021-07-09,112,48,22,5,3,2
2021-07-10,94,28,25,3,3,1
2021-07-11,85,15,23,3,3,2
2021-07-12,76,23,20,7,3,2
2021-07-13,72,27,19,8,4,3
2021-07-14,76,21,25,8,3,3
2021-07-15,68,27,24,9,3,4
2021-07-16,78,37,18,10,3,3
2021-07-17,79,48,19,5,3,2
2021-07-18,87,49,14,7,2,2
2021-07-19,95,59,11,9,3,3
2021-07-20,90,69,11,10,3,4
2021-07-21,120,66,16,3,3,2
2021-07-22,102,36,,,,
2021-07-23,75,,,,,
2021-07-29,,49,8,7,3,3
2021-07-30,89,54,8,3,3,3
2021-07-31,94,50,9,5,3,2
2021-08-01,91,45,9,5,3,2
2021-08-02,79,51,9,4,3,3
2021-08-03,90,59,10,5,3,3
2021-08-04,96,62,10,3,3,2
2021-08-05,108,60,12,3,2,2
2021-08-06,102,44,10,5,2,2
2021-08-07,82,31,10,5,3,2
2021-08-08,79,41,13,5,2,2
2021-08-09,84,49,17,5,3,2
2021-08-10,91,31,14,4,6,2
2021-08-11,80,36,,,,
2021-08-12,83,32,10,4,3,2
2021-08-13,88,,,,,
2021-08-17,,36,11,5,2,2
2021-08-18,73,38,10,4,2,2
2021-08-19,85,39,8,6,3,2
2021-08-20,81,42,11,7,3,2
2021-08-21,90,40,9,9,3,4
2021-08-22,91,50,13,4,2,1
2021-08-23,85,38,11,3,2,2
2021-08-24,81,26,11,6,3,2
2021-08-25,75,42,13,8,4,3
2021-08-26,96,45,9,8,4,4
2021-08-27,86,48,12,6,3,3
2021-08-28,86,49,11,6,3,2
2021-08-29,93,57,9,3,3,2
2021-08-30,96,52,11,3,3,2
2021-08-31,98,50,15,6,3,2
2021-09-01,89,54,12,4,3,2
2021-09-02,85,47,9,1,2,1
2021-09-03,90,37,11,12,2,2
2021-09-04,73,39,12,9,2,2
2021-09-05,65,39,12,8,2,2
2021-09-06,66,37,14,5,2,2
2021-09-07,70,40,13,9,2,2
2021-09-08,74,47,12,9,2,3
2021-09-09,83,51,11,5,3,2
2021-09-10,73,53,11,5,2,2
2021-09-11,72,50,11,4,2,1
2021-09-12,80,49,14,4,2,1
2021-09-13,74,44,14,4,2,2
2021-09-14,74,40,14,5,2,2
2021-09-15,66,45,14,5,2,2
2021-09-16,68,41,12,4,2,2
2021-09-17,71,40,12,6,2,1
2021-09-18,74,38,11,7,2,2
2021-09-19,77,41,13,6,2,2
2021-09-20,70,46,12,3,2,1
2021-09-21,70,45,14,7,3,2
2021-09-22,81,37,13,6,2,2
2021-09-23,68,40,12,5,2,2
2021-09-24,75,46,12,6,3,2
2021-09-25,70,51,13,7,3,2
2021-09-26,81,50,14,8,3,3
2021-09-27,84,44,16,9,4,3
2021-09-28,75,44,14,9,4,4
2021-09-29,81,50,19,9,4,3
2021-09-30,,55,16,11,0,3
2021-09-30,77,50,21,10,4,3
2021-10-01,96,54,14,10,0,3
2021-10-01,75,55,16,11,0,3
2021-10-02,95,56,16,8,0,2
2021-10-02,96,54,14,10,0,3
2021-10-03,89,63,16,7,0,1
2021-10-03,95,56,16,8,0,2
2021-10-04,93,56,19,9,0,2
2021-10-04,89,63,16,7,0,1
2021-10-05,83,47,13,4,0,2
2021-10-05,93,,,,,
2021-10-06,87,47,14,,0,3
2021-10-07,81,47,16,,0,3
2021-10-08,81,52,14,,0,3
2021-10-09,77,51,17,,0,3
2021-10-10,85,47,17,,0,2
2021-10-11,82,49,15,,0,2
2021-10-12,81,50,16,,0,3
2021-10-13,93,51,12,,0,3
2021-10-14,85,52,14,,0,3
2021-10-15,87,46,18,,0,4
2021-10-16,79,52,18,,0,4
2021-10-17,86,53,24,,0,3
2021-10-18,91,51,20,,0,3
2021-10-19,83,51,17,,1,3
2021-10-20,84,47,17,,1,1
2021-10-21,83,51,13,,1,2
2021-10-22,86,49,15,,1,3
2021-10-23,90,41,17,,1,3
2021-10-24,82,41,20,,1,3
2021-10-25,83,46,23,,1,3
2021-10-26,89,48,18,,1,3
2021-10-27,75,51,18,,2,3
2021-10-28,80,61,22,,4,3
2021-10-29,75,62,23,,1,5
2021-10-30,94,55,17,,2,4
2021-10-31,99,47,21,,1,4
2021-11-01,85,37,21,0,1,4
2021-11-02,75,40,26,0,1,4
2021-11-03,83,43,31,0,1,4
2021-11-04,93,42,25,0,1,3
2021-11-05,87,49,19,10,2,4
2021-11-06,76,54,21,11,1,3
2021-11-07,72,57,22,7,1,2
2021-11-08,87,48,21,9,1,2
2021-11-09,74,44,19,10,1,2
2021-11-10,57,50,17,11,1,3
2021-11-11,50,46,23,10,1,3
2021-11-12,49,35,19,11,1,3
2021-11-13,32,30,18,12,1,2
2021-11-14,44,26,19,10,1,3
2021-11-15,36,29,17,10,2,3
2021-11-16,25,29,21,10,2,3
2021-11-17,21,37,20,7,1,3
2021-11-18,33,53,17,6,1,3
2021-11-19,48,51,26,9,3,3
2021-11-20,51,51,31,8,4,3
2021-11-21,55,53,27,7,2,3
2021-11-22,57,54,18,9,2,3
2021-11-23,59,59,15,7,1,2
2021-11-24,60,58,17,7,1,3
2021-11-25,68,58,23,7,2,3
2021-11-26,73,58,,,,
2021-11-27,64,,,,,
2021-11-29,,54,,,,
2021-11-30,52,57,21,8,2,2
2021-12-01,56,55,17,6,2,2
2021-12-02,56,53,21,7,2,2
2021-12-03,56,51,18,7,2,2
2021-12-04,52,37,19,9,3,3
2021-12-05,30,43,26,10,8,3
2021-12-06,28,53,22,7,3,3
2021-12-07,35,51,20,8,2,3
2021-12-08,43,52,19,8,2,3
2021-12-09,50,54,20,7,2,3
2021-12-10,56,57,20,8,2,3
2021-12-11,47,56,19,7,2,2
2021-12-12,45,52,23,6,2,2
2021-12-13,47,53,23,7,2,2
2021-12-14,54,51,23,7,2,2
2021-12-15,50,51,22,8,2,2
2021-12-16,41,43,20,7,2,2
2021-12-17,24,43,22,7,2,2
2021-12-18,,53,18,4,2,3
2021-12-18,32,28,25,9,2,2
2021-12-19,53,53,17,9,1,3
2021-12-19,19,,,,,
2021-12-20,64,55,24,9,3,3
2021-12-20,,47,,,,
2021-12-21,42,47,23,12,3,3
2021-12-21,42,52,16,12,2,3
2021-12-22,37,36,26,12,4,4
2021-12-22,44,56,20,10,2,2
2021-12-23,24,36,24,15,5,4
2021-12-23,52,57,20,10,2,2
2021-12-24,22,38,26,15,4,4
2021-12-24,53,42,23,7,2,2
2021-12-25,31,55,26,17,3,5
2021-12-25,31,31,23,10,5,2
2021-12-26,49,64,27,18,3,5
2021-12-26,18,34,26,13,2,3
2021-12-27,46,71,23,15,3,6
2021-12-27,19,53,25,14,4,3
2021-12-28,63,74,23,17,3,6
2021-12-28,49,52,30,21,4,4
2021-12-29,65,72,26,21,3,6
