time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,53,27,4,16,2,6
2021-01-01,59,33,,20,3,8
2021-01-02,59,33,,20,3,8
2021-01-02,81,35,,23,2,9
2021-01-03,81,35,,23,2,9
2021-01-03,94,,,,,
2021-01-04,94,34,,25,2,12
2021-01-05,106,38,,23,3,15
2021-01-06,104,48,,20,3,15
2021-01-07,103,50,,26,7,17
2021-01-08,95,60,,25,4,14
2021-01-09,91,59,14,24,4,12
2021-01-10,102,48,8,21,3,8
2021-01-11,106,47,6,16,3,11
2021-01-12,114,61,9,14,3,16
2021-01-13,119,57,7,20,3,17
2021-01-14,99,41,8,18,3,9
2021-01-15,81,38,7,13,13,14
2021-01-16,94,57,2,13,5,18
2021-01-17,128,61,3,15,4,16
2021-01-18,130,45,5,10,2,5
2021-01-19,101,19,10,9,2,4
2021-01-20,50,12,11,10,2,4
2021-01-21,29,27,3,10,2,8
2021-01-22,75,43,4,17,3,15
2021-01-23,97,49,2,33,4,21
2021-01-24,111,60,3,33,4,21
2021-01-25,140,58,3,48,4,19
2021-01-26,119,64,7,34,3,19
2021-01-27,128,67,2,40,2,23
2021-01-28,141,,,,,
2021-03-01,,65,3,60,7,14
2021-03-02,188,97,3,54,11,14
2021-03-03,213,130,3,57,17,17
2021-03-04,218,97,3,59,14,13
2021-03-05,236,78,3,59,10,16
2021-03-06,207,79,4,54,9,15
2021-03-07,205,68,7,45,8,11
2021-03-08,198,64,4,59,10,8
2021-03-09,177,71,2,42,10,14
2021-03-10,193,66,3,40,7,6
2021-03-11,195,52,3,40,9,7
2021-03-12,153,62,2,40,9,15
2021-03-13,201,72,2,33,7,17
2021-03-14,233,58,2,48,14,10
2021-03-15,201,53,2,40,12,14
2021-03-16,169,73,3,37,12,11
2021-03-17,193,38,4,31,5,5
2021-03-18,131,24,4,35,6,5
2021-03-19,78,48,3,33,5,8
2021-03-20,152,52,2,,,8
2021-03-21,140,,,,,
2021-03-22,,50,2,36,5,9
2021-03-23,216,71,4,29,4,8
2021-03-24,186,38,6,29,3,4
2021-03-25,104,29,4,30,3,8
2021-03-26,132,40,3,35,5,8
2021-03-27,138,43,2,42,6,17
2021-03-28,192,42,2,38,5,12
2021-03-29,177,59,2,50,7,19
2021-03-30,190,76,2,50,7,17
2021-03-31,220,53,2,51,6,19
2021-04-01,189,58,2,54,3,19
2021-04-02,190,63,2,45,5,14
2021-04-03,190,49,2,48,7,11
2021-04-04,173,56,3,40,5,12
2021-04-05,178,,,,,
2021-07-01,,15,2,69,4,6
2021-07-02,41,28,2,65,4,6
2021-07-03,80,35,2,64,4,6
2021-07-04,89,36,3,55,4,145
2021-07-05,103,33,2,53,4,26
2021-07-06,72,34,2,62,5,13
2021-07-07,69,57,3,54,5,8
2021-07-08,84,52,3,64,5,9
2021-07-09,99,24,2,76,4,6
2021-07-10,46,11,2,78,4,7
2021-07-11,36,14,2,82,4,7
2021-07-12,52,15,3,82,4,8
2021-07-13,50,25,3,79,5,9
2021-07-14,68,31,3,86,5,10
2021-07-15,81,34,3,84,4,12
2021-07-16,102,47,3,82,5,12
2021-07-17,123,44,3,79,5,9
2021-07-18,100,50,3,70,5,9
2021-07-19,106,40,3,87,5,8
2021-07-20,67,46,4,87,5,9
2021-07-21,70,32,3,98,4,7
2021-07-22,54,28,2,96,4,10
2021-07-23,57,27,,95,5,5
2021-07-24,62,33,,102,5,6
2021-07-25,79,28,,101,4,8
2021-07-26,63,22,,,,
2021-07-27,54,22,,102,4,7
2021-07-28,57,29,,104,4,10
2021-07-29,77,50,,96,6,9
2021-07-30,72,52,,102,4,6
2021-07-31,60,37,,103,5,7
2021-08-01,68,39,,102,6,5
2021-08-02,74,46,,102,5,7
2021-08-03,80,53,,102,4,11
2021-08-04,76,26,,105,4,7
2021-08-05,51,40,,103,4,4
2021-08-06,65,30,,106,5,
2021-08-07,71,35,,105,5,
2021-08-08,81,30,,102,4,
2021-08-09,74,15,,,4,
2021-08-10,41,18,,16,4,
2021-08-11,42,19,,,,
2021-08-12,44,34,,30,7,
2021-08-13,78,,,,,
2021-08-17,,40,,17,5,
2021-08-18,60,29,,19,6,
2021-08-19,64,28,7,15,5,
2021-08-20,51,31,6,27,6,
2021-08-21,62,45,6,19,7,
2021-08-22,65,41,6,7,4,
2021-08-23,55,18,6,11,4,
2021-08-24,44,26,7,17,5,
2021-08-25,69,31,7,15,5,
2021-08-26,77,28,5,18,4,
2021-08-27,52,31,5,27,5,
2021-08-28,67,34,5,17,6,
2021-08-29,68,30,5,14,6,
2021-08-30,42,19,4,9,5,
2021-08-31,53,23,4,19,4,
2021-09-01,56,28,4,21,4,
2021-09-02,73,22,4,8,4,
2021-09-03,62,21,4,14,4,
2021-09-04,62,19,5,10,4,
2021-09-05,54,20,5,11,4,
2021-09-06,45,20,5,8,5,
2021-09-07,45,29,,15,5,1
2021-09-08,57,34,,19,5,1
2021-09-09,60,37,,21,4,3
2021-09-10,71,31,,18,5,12
2021-09-11,70,29,25,15,5,3
2021-09-12,60,26,26,15,3,3
2021-09-13,53,26,33,8,4,4
2021-09-14,38,29,28,11,4,4
2021-09-15,41,34,30,12,4,7
2021-09-16,51,26,25,13,4,5
2021-09-17,70,31,24,14,4,7
2021-09-18,74,36,33,17,5,6
2021-09-19,67,28,26,17,4,5
2021-09-20,65,28,30,11,5,5
2021-09-21,59,27,34,11,5,6
2021-09-22,38,30,18,12,3,7
2021-09-23,54,36,14,17,4,6
2021-09-24,70,40,22,13,4,6
2021-09-25,73,40,20,15,5,11
2021-09-26,66,48,17,16,6,18
2021-09-27,76,43,12,11,4,14
2021-09-28,74,49,10,13,5,13
2021-09-29,99,39,11,12,5,12
2021-09-30,,38,16,18,5,7
2021-09-30,76,33,17,13,5,7
