time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,56,24,34,5,1,6
2021-01-02,22,37,40,6,2,6
2021-01-03,51,49,32,7,3,8
2021-01-04,57,48,33,10,4,8
2021-01-05,61,,,,,
2021-04-01,,81,13,15,20,11
2021-04-02,157,75,14,17,15,9
2021-04-03,135,68,12,16,17,9
2021-04-04,127,77,10,18,26,12
2021-04-05,152,96,7,20,24,13
2021-04-06,161,85,15,10,10,10
2021-04-07,145,41,16,6,6,6
2021-04-08,62,48,4,14,18,13
2021-04-09,107,75,10,10,9,12
2021-04-10,155,43,23,4,6,6
2021-04-11,74,22,19,4,5,7
2021-04-12,51,25,19,13,12,8
2021-04-13,56,43,15,9,13,9
2021-04-14,99,39,20,6,8,9
2021-04-15,89,23,21,3,4,6
2021-04-16,50,21,21,4,7,7
2021-04-17,50,25,21,10,14,8
2021-04-18,62,52,14,21,30,13
2021-04-19,124,62,16,14,18,12
2021-04-20,152,54,18,10,13,10
2021-04-21,111,41,21,4,7,8
2021-04-22,83,26,22,2,3,6
2021-04-23,49,27,20,5,10,8
2021-04-24,46,34,20,3,5,7
2021-04-25,57,19,16,6,7,8
2021-04-26,26,31,23,3,6,8
2021-04-27,72,15,22,4,7,7
2021-04-28,22,26,16,8,11,10
2021-04-29,55,39,21,2,3,8
2021-04-30,77,29,17,15,16,10
2021-05-01,40,73,14,13,15,16
2021-05-02,143,66,22,10,15,13
2021-05-03,139,41,18,10,7,8
2021-05-04,70,52,19,14,20,13
2021-05-05,100,64,16,13,16,14
2021-05-06,140,81,19,13,17,17
2021-05-07,155,55,20,9,7,9
2021-05-08,84,58,18,11,12,13
2021-05-09,91,62,9,19,16,15
2021-05-10,113,73,18,6,7,13
2021-05-11,122,29,23,4,6,9
2021-05-12,50,30,21,3,5,10
2021-05-13,59,19,22,2,5,9
2021-05-14,30,27,20,5,8,12
2021-05-15,57,25,22,5,10,10
2021-05-16,49,43,21,7,12,14
2021-05-17,93,28,24,3,7,11
2021-05-18,63,32,25,7,13,12
2021-05-19,70,58,19,13,25,17
2021-05-20,132,64,20,14,23,16
2021-05-21,149,110,23,16,23,19
2021-05-22,157,105,19,17,19,18
2021-05-23,159,58,17,10,9,14
2021-05-24,125,60,17,13,18,16
2021-05-25,114,65,16,26,25,16
2021-05-26,134,70,17,8,11,16
2021-05-27,151,40,16,9,10,14
2021-05-28,89,41,17,10,10,15
2021-05-29,87,42,15,9,9,15
2021-05-30,85,48,16,11,10,16
2021-05-31,96,63,24,14,19,17
2021-06-01,127,67,15,11,14,18
2021-06-02,127,37,18,5,5,13
2021-06-03,62,41,22,9,9,17
2021-06-04,83,57,20,10,10,16
2021-06-05,121,67,18,12,10,19
2021-06-06,138,69,19,5,4,16
2021-06-07,114,42,17,9,10,14
2021-06-08,60,57,18,14,15,12
2021-06-09,88,71,4,,,12
2021-06-10,124,71,18,0,15,17
2021-06-11,154,61,20,0,6,14
2021-06-12,108,34,15,0,5,13
2021-06-13,68,20,16,0,4,10
2021-06-14,41,17,18,6,10,13
2021-06-15,120,46,19,6,6,17
2021-06-16,104,28,19,5,4,15
2021-06-17,59,43,14,8,12,20
2021-06-18,94,40,21,8,3,14
2021-06-19,77,25,20,5,6,324
2021-06-20,54,27,21,3,4,500
2021-06-21,62,21,17,3,3,500
2021-06-22,44,20,21,5,8,500
2021-06-23,39,54,24,5,10,
2021-06-24,118,58,18,4,7,
2021-06-25,129,40,19,5,6,
2021-06-26,83,38,19,4,3,
2021-06-27,67,44,21,4,3,15
2021-06-28,53,40,20,9,10,1
2021-06-29,85,57,20,10,9,3
2021-06-30,110,64,17,6,6,5
2021-07-01,117,,,,,4
2021-07-10,,43,12,,,3
2021-07-11,31,49,29,5,3,3
2021-07-12,63,35,26,9,3,3
2021-07-13,44,20,35,3,1,3
2021-07-14,17,22,47,5,1,3
2021-07-15,23,27,39,5,1,3
2021-07-16,40,27,31,3,1,3
2021-07-17,38,25,35,3,1,3
2021-07-18,33,33,38,3,1,3
2021-07-19,29,33,39,4,3,3
2021-07-20,34,32,38,3,1,3
2021-07-21,45,33,38,3,1,3
2021-07-22,53,32,23,5,2,3
2021-07-23,48,32,,,,
2021-07-24,45,,,,,
2021-12-30,,56,16,9,10,10
2021-12-31,134,55,14,11,9,11
2022-01-01,120,62,11,14,11,11
2022-01-02,127,62,12,11,10,10
2022-01-03,119,55,,,,
2022-01-04,84,,,,,
2022-01-05,,62,7,14,23,11
2022-01-06,122,75,20,7,6,14
2022-01-07,154,50,20,4,9,6
2022-01-08,78,40,16,8,11,8
2022-01-09,67,55,11,12,22,11
2022-01-10,109,72,1,13,18,16
2022-01-11,149,66,15,20,29,11
2022-01-12,143,74,15,15,19,13
2022-01-13,156,72,18,9,11,11
2022-01-14,148,67,11,11,15,11
2022-01-15,120,64,16,11,15,12
2022-01-16,149,54,14,8,11,8
2022-01-17,116,44,16,8,11,9
2022-01-18,97,54,13,10,14,11
2022-01-19,97,65,11,14,23,14
2022-01-20,140,74,20,11,13,11
2022-01-21,153,45,16,5,7,7
2022-01-22,84,45,8,11,16,11
2022-01-23,84,62,8,13,18,12
2022-01-24,133,57,18,13,11,10
2022-01-25,108,66,19,10,11,11
2022-01-26,132,64,20,6,9,9
2022-01-27,120,54,21,5,6,6
2022-01-28,63,21,17,4,5,7
2022-01-29,22,28,15,13,17,9
2022-01-30,38,54,23,4,10,10
2022-01-31,112,26,20,6,8,8
2022-02-01,44,34,12,8,7,10
2022-02-02,61,57,7,14,19,15
2022-02-03,126,55,20,8,13,9
2022-02-04,102,45,19,6,6,9
2022-02-05,68,32,9,10,12,12
2022-02-06,64,53,16,8,14,12
2022-02-07,108,47,20,10,10,10
2022-02-08,76,50,,6,7,9
2022-02-09,76,46,,12,10,12
2022-02-10,80,68,19,9,9,9
2022-02-11,95,50,13,2,5,4
2022-02-12,30,14,9,4,5,4
2022-02-13,14,17,10,5,6,5
2022-02-14,17,18,14,6,7,6
2022-02-15,30,31,13,6,7,6
2022-02-16,70,29,14,4,7,6
2022-02-17,63,20,18,4,6,5
2022-02-18,36,21,16,6,8,5
2022-02-19,49,32,14,10,11,7
2022-02-20,79,49,17,15,18,11
2022-02-21,51,47,18,3,9,6
2022-02-22,61,24,4,3,8,6
2022-02-23,71,29,4,4,7,6
2022-02-24,71,38,3,13,12,8
2022-02-25,145,63,1,17,16,12
2022-02-26,132,59,2,6,5,7
2022-02-27,84,40,3,7,6,7
2022-02-28,101,39,2,6,6,9
2022-03-01,96,28,2,5,6,7
2022-03-02,75,,,,,
2022-03-31,,41,2,8,11,10
2022-04-01,76,35,3,8,10,7
2022-04-02,69,68,2,15,21,13
2022-04-03,139,,2,14,18,14
2022-04-04,151,,1,4,3,8
2022-04-05,82,44,1,10,10,11
2022-04-06,69,71,1,13,6,16
2022-04-07,166,62,2,12,7,12
2022-04-08,,63,2,8,7,13
2022-04-09,,31,1,3,17,7
2022-04-10,50,21,4,2,5,6
2022-04-11,52,27,4,8,4,8
2022-04-12,57,47,6,3,3,9
2022-04-13,101,27,5,8,4,7
2022-04-14,60,44,3,9,4,11
2022-04-15,112,40,5,2,3,7
2022-04-16,78,22,5,1,4,7
2022-04-17,46,22,5,3,5,7
2022-04-18,35,32,6,3,4,7
2022-04-19,41,26,5,6,4,9
2022-04-20,49,29,6,3,5,9
2022-04-21,74,28,5,10,5,10
2022-04-22,71,53,4,9,7,12
2022-04-23,135,38,5,5,5,10
2022-04-24,95,27,6,8,5,9
2022-04-25,69,49,4,9,5,12
2022-04-26,122,48,4,13,6,11
2022-04-27,100,61,4,12,6,15
2022-04-28,151,49,5,9,5,9
2022-04-29,106,55,6,13,8,12
2022-04-30,110,57,17,8,7,12
2022-05-01,144,38,16,11,4,11
2022-05-02,81,40,18,6,5,9
2022-05-03,76,47,14,12,4,12
2022-05-04,100,62,12,10,5,13
2022-05-05,145,62,21,8,8,14
2022-05-06,153,41,17,10,5,11
2022-05-07,90,33,16,5,5,8
2022-05-08,63,37,9,11,7,11
2022-05-09,71,60,6,18,16,15
2022-05-10,144,79,14,11,10,15
2022-05-11,164,47,13,7,14,9
2022-05-12,88,68,11,12,7,15
2022-05-13,123,52,10,13,9,12
2022-05-14,115,66,8,18,11,15
2022-05-15,150,84,9,17,8,16
2022-05-16,161,88,14,8,6,13
2022-05-17,151,50,10,10,4,13
2022-05-18,102,58,7,16,8,15
2022-05-19,144,76,8,16,10,15
2022-05-20,156,77,13,16,8,15
2022-05-21,156,70,9,8,5,14
2022-05-22,153,37,13,7,8,10
2022-05-23,78,19,15,4,9,10
2022-05-24,39,24,15,8,4,11
2022-05-25,57,55,15,7,13,14
2022-05-26,111,55,15,6,5,13
2022-05-27,107,25,14,3,3,10
2022-05-28,43,24,12,4,3,11
2022-05-29,44,33,12,3,3,12
2022-05-30,66,26,16,7,4,11
2022-05-31,44,60,15,11,13,15
2022-06-01,133,58,15,7,9,13
2022-06-02,114,61,17,8,5,15
2022-06-03,124,30,16,5,8,11
2022-06-04,68,26,16,7,8,10
2022-06-05,60,36,19,6,12,2
2022-06-06,66,32,20,4,9,1
2022-06-07,50,23,19,7,11,2
2022-06-08,51,49,20,10,17,6
2022-06-09,119,54,19,10,14,6
2022-06-10,133,49,19,10,13,5
2022-06-11,102,60,19,14,18,7
2022-06-12,138,70,18,11,13,6
2022-06-13,153,43,21,8,11,2
2022-06-14,71,37,17,8,15,3
2022-06-15,85,37,18,8,13,2
2022-06-16,71,56,16,14,18,7
2022-06-17,118,60,20,14,15,7
2022-06-18,148,58,17,13,13,6
2022-06-19,127,54,16,9,8,4
2022-06-20,96,55,19,10,11,6
2022-06-21,116,54,19,8,7,4
2022-06-22,109,58,24,9,10,5
2022-06-23,106,68,15,17,16,7
2022-06-24,143,91,13,26,24,9
2022-06-25,157,91,22,11,9,6
2022-06-26,156,76,13,19,15,6
2022-06-27,129,100,17,7,9,5
2022-06-28,152,79,20,10,8,3
2022-06-29,102,86,19,5,5,3
2022-06-30,,100,17,7,9,5
2022-06-30,111,,,,,
2022-07-01,152,79,20,10,8,3
2022-07-02,102,86,19,5,5,3
2022-07-03,111,42,17,6,8,4
2022-07-04,66,32,14,10,7,4
2022-07-05,62,39,17,12,19,4
2022-07-06,76,60,10,14,12,7
2022-07-07,114,58,20,7,7,3
2022-07-08,95,50,20,7,6,130
2022-07-09,70,43,21,6,5,123
2022-07-10,33,43,16,4,3,5
2022-07-11,,30,18,1,3,3
2022-07-12,,37,19,6,6,7
2022-07-13,2,31,,,,
2022-07-24,,,24,10,4,6
2022-07-25,22,44,7,7,6,8
2022-07-26,87,50,23,5,4,4
2022-07-27,37,29,22,6,7,4
2022-07-28,65,37,23,4,2,3
2022-07-29,56,40,18,6,2,5
2022-07-30,69,27,19,4,2,4
2022-07-31,57,36,19,3,3,6
2022-08-01,68,42,17,5,3,6
2022-08-02,74,27,19,2,2,4
2022-08-03,57,20,22,4,2,4
