time,pm25,pm10,O3,NO2,SO2,CO
2022-12-13,,42,,6,0,
2022-12-14,41,41,,4,0,
2022-12-15,28,42,,6,0,
2022-12-16,27,51,,9,0,
2022-12-17,51,47,,8,0,
2022-12-18,36,40,,3,,
2022-12-19,27,47,,4,,
2022-12-20,39,39,,6,,
2022-12-21,24,38,,4,,
2022-12-22,23,49,,6,,
2022-12-23,42,54,,5,3,
2022-12-24,49,49,,,0,
2022-12-25,47,53,,,,
2022-12-26,54,,,,,
2023-02-19,,,14,6,15,
2023-02-20,,56,18,8,16,
2023-02-21,59,57,16,5,16,
2023-02-22,58,59,15,5,16,
2023-02-23,60,57,13,6,16,
2023-02-24,55,54,14,5,16,
2023-02-25,53,55,13,3,19,
2023-02-26,57,57,13,4,0,
2023-02-27,63,59,15,5,0,
2023-02-27,,59,14,2,19,
2023-02-28,66,52,12,7,4,
2023-02-28,,54,5,,16,
2023-03-01,54,50,19,4,0,
2023-03-01,61,54,,,,
2023-03-02,47,43,14,5,0,
2023-03-02,64,47,8,,15,
2023-03-03,33,42,18,5,0,
2023-03-03,54,42,,,15,
2023-03-04,25,40,17,4,0,
2023-03-04,52,,,,,
2023-03-05,26,44,18,3,0,
2023-03-06,35,53,22,3,0,
2023-03-07,51,56,19,2,,
2023-03-08,60,49,19,4,,
2023-03-09,47,46,20,3,0,
2023-03-10,31,45,17,3,,
2023-03-11,31,51,19,4,,
2023-03-12,45,45,28,8,0,
2023-03-13,33,43,22,5,0,
2023-03-14,25,43,23,4,,
2023-03-15,29,47,21,8,,
2023-03-16,41,42,27,8,0,
2023-03-17,34,41,25,12,0,
2023-03-18,30,42,22,,0,
2023-03-19,31,44,14,,,
2023-03-20,36,50,15,,,
2023-03-21,38,51,14,,,
2023-03-22,37,45,13,,,
2023-03-23,30,43,15,,,
2023-03-24,31,49,16,1,,
2023-03-25,40,45,18,1,,
2023-03-26,31,40,19,1,,
2023-03-27,26,42,19,1,,
2023-03-28,21,39,20,0,,
2023-03-29,23,41,19,1,,
2023-03-30,23,42,16,1,,
2023-03-31,27,44,17,1,,
2023-04-01,31,46,21,1,,
2023-04-02,43,46,19,2,,
2023-04-03,32,50,21,1,,
2023-04-04,32,46,22,2,,
2023-04-05,33,52,27,2,,
2023-04-06,46,46,32,4,,
2023-04-07,39,47,24,3,,
2023-04-08,42,47,,2,0,
2023-04-09,37,47,19,2,,
2023-04-10,38,52,20,2,,
2023-04-11,49,59,20,2,,
2023-04-12,53,60,13,1,,
2023-04-13,59,60,13,1,,
2023-04-14,59,70,17,1,,
2023-04-15,76,64,11,1,,
2023-04-16,62,63,11,1,,
2023-04-17,60,67,12,0,,
2023-04-18,71,57,14,1,,
2023-04-19,60,58,16,1,,
2023-04-20,58,64,16,1,,
2023-04-21,65,64,13,2,,
2023-04-22,67,61,13,2,,
2023-04-23,65,57,16,1,,
2023-04-24,58,56,15,1,,
2023-04-25,58,57,14,0,,
2023-04-26,59,61,16,1,,
2023-04-27,67,61,16,2,,
2023-04-28,67,59,14,1,,
2023-04-29,61,61,14,2,,
2023-04-30,68,67,15,1,,
2023-05-01,87,62,18,2,,
2023-05-02,65,51,15,1,,
2023-05-03,35,54,15,2,,
2023-05-04,42,55,15,1,,
2023-05-05,51,55,18,2,,
2023-05-06,48,53,25,,,
2023-05-07,38,51,25,,,
2023-05-08,36,53,15,,,
2023-05-09,48,55,24,,,
2023-05-10,46,58,17,0,,
2023-05-11,55,61,22,1,,
2023-05-12,57,60,20,1,,
2023-05-13,50,56,22,0,,
2023-05-14,34,57,16,4,,
2023-05-15,41,60,12,3,,
2023-05-16,51,,11,2,,
2023-06-29,,57,12,3,,
2023-06-30,41,60,11,2,,
2023-07-01,51,60,11,3,,
2023-07-02,53,56,10,2,,
2023-07-03,47,65,12,2,,
2023-07-04,62,76,13,3,,
2023-07-05,77,84,13,2,,
2023-07-06,93,67,16,3,,
2023-07-07,64,57,16,1,,
2023-07-08,45,55,13,1,,
2023-07-09,43,61,14,2,,
2023-07-10,49,59,20,2,,
2023-07-11,51,57,22,3,0,
2023-07-12,48,58,12,3,0,
2023-07-13,44,56,15,2,0,
2023-07-14,38,63,18,2,0,
2023-07-15,59,67,19,5,0,
2023-07-16,66,66,19,4,0,
2023-07-17,61,67,14,3,,
2023-07-18,59,70,12,3,,
2023-07-19,65,75,10,3,0,
2023-07-20,70,74,17,3,0,
2023-07-21,68,55,11,3,,
2023-07-22,28,43,9,5,,
2023-07-23,14,40,4,6,,
2023-07-24,14,46,6,5,,
2023-07-25,20,59,5,4,,
2023-07-26,36,61,6,4,,
2023-07-27,47,63,11,4,0,
2023-07-28,50,63,14,3,0,
2023-07-29,55,65,14,3,0,
2023-07-30,56,66,12,3,0,
2023-07-31,58,63,9,4,0,
2023-08-01,51,67,12,4,0,
2023-08-02,55,72,14,4,0,
2023-08-03,61,69,16,3,,
2023-08-04,62,68,15,2,0,
2023-08-05,57,71,16,3,0,
2023-08-06,60,72,17,3,0,
2023-08-07,61,67,16,4,0,
2023-08-08,56,46,15,4,0,
2023-08-09,49,35,16,3,0,
2023-08-10,52,35,18,4,0,
2023-08-11,53,31,18,3,0,
2023-08-12,51,28,16,3,0,
2023-08-13,46,31,10,2,0,
2023-08-14,51,30,12,3,0,
2023-08-15,49,30,9,3,0,
2023-08-16,47,30,9,3,1,
2023-08-17,47,,,,,
2023-08-21,,30,8,3,1,
2023-08-22,47,30,12,3,0,
2023-08-23,47,30,6,3,0,
2023-08-24,47,30,10,3,0,
2023-08-25,47,30,10,3,0,
2023-08-26,47,30,10,3,,
2023-08-27,47,30,11,4,,
2023-08-28,47,,11,2,1,
2023-08-29,,,10,2,2,
2023-08-30,,21,13,2,3,
2023-08-31,33,17,12,4,3,
2023-09-01,24,14,17,5,5,
2023-09-02,20,,,,,
2023-09-03,,15,12,2,17,
2023-09-04,23,14,11,2,20,
2023-09-05,22,34,10,2,8,
2023-09-06,42,35,9,2,3,
2023-09-07,49,20,15,2,7,
2023-09-08,30,,,,,
2023-09-09,,20,6,1,2,
2023-09-10,30,11,10,3,1,
2023-09-11,17,19,12,2,0,
2023-09-12,26,23,8,2,0,
2023-09-13,32,33,9,2,0,
2023-09-14,45,34,8,2,0,
2023-09-15,48,24,9,3,0,
2023-09-16,38,17,12,3,0,
2023-09-17,27,14,18,4,0,
2023-09-18,22,15,11,3,0,
2023-09-19,25,18,19,15,0,
2023-09-20,28,15,18,5,0,
2023-09-21,23,14,13,4,0,
2023-09-22,20,28,12,4,0,
2023-09-23,41,19,12,3,0,
2023-09-24,29,18,17,9,2,
2023-09-25,28,16,14,6,0,
2023-09-26,25,13,12,3,0,
2023-09-27,17,42,10,2,0,
2023-09-28,46,34,14,1,0,
2023-09-29,39,9,13,1,0,
2023-09-30,15,17,12,1,0,
2023-10-01,26,,,,,
2023-12-28,,20,25,6,2,
2023-12-29,47,19,78,8,0,
2023-12-30,41,23,55,6,0,
2023-12-31,49,20,19,6,0,
