time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,70,40,,0,2
2021-01-01,76,61,45,,0,2
2021-01-02,74,75,37,,0,2
2021-01-02,71,46,29,,2,3
2021-01-03,68,73,41,,0,2
2021-01-03,60,,,,,
2021-01-04,62,93,40,,0,2
2021-01-05,76,107,35,,0,2
2021-01-06,74,100,37,,0,2
2021-01-07,76,80,31,,0,2
2021-01-08,74,71,33,,0,2
2021-01-09,74,73,44,,0,2
2021-01-10,79,77,42,,0,3
2021-01-11,81,78,43,,0,3
2021-01-12,79,85,43,,0,4
2021-01-13,89,72,45,,0,3
2021-01-14,72,76,47,,0,3
2021-01-15,78,71,48,,0,3
2021-01-16,78,78,49,,1,10
2021-01-17,85,88,32,,1,22
2021-01-18,96,,,,,
2021-02-16,,63,34,,4,11
2021-02-17,93,65,32,,1,10
2021-02-18,53,55,32,,1,9
2021-02-19,56,72,31,,0,7
2021-02-20,57,68,32,,1,8
2021-02-21,57,59,31,,1,7
2021-02-22,53,54,31,,2,7
2021-02-23,45,64,36,,0,9
2021-02-24,63,75,32,,0,7
2021-02-25,64,58,32,,0,6
2021-02-26,54,54,32,,0,6
2021-02-27,57,76,32,,0,7
2021-02-28,70,75,37,,1,6
2021-03-01,68,64,35,,0,6
2021-03-02,70,65,32,,0,7
2021-03-03,63,64,32,,0,6
2021-03-04,60,58,32,,0,6
2021-03-05,56,51,33,,0,6
2021-03-06,57,52,36,,4,8
2021-03-07,53,56,35,,0,7
2021-03-08,46,58,,,0,6
2021-03-09,48,53,,,0,7
2021-03-10,39,71,,,1,8
2021-03-11,82,70,,,2,10
2021-03-12,104,64,,,0,7
2021-03-13,58,58,30,,0,6
2021-03-14,46,57,32,,0,6
2021-03-15,46,59,30,,0,7
2021-03-16,49,60,29,,0,7
2021-03-17,43,61,31,,0,7
2021-03-18,48,64,32,,0,6
2021-03-19,50,54,33,,0,6
2021-03-20,44,65,33,,0,7
2021-03-21,60,55,26,,0,7
2021-03-22,47,68,43,,1,8
2021-03-23,70,74,39,,1,7
2021-03-24,82,71,29,,1,7
2021-03-25,66,63,29,,2,8
2021-03-26,71,48,31,,2,7
2021-03-27,65,67,35,,2,8
2021-03-28,82,59,28,,2,6
2021-03-29,73,58,28,,0,4
2021-03-30,71,,,,,
2021-09-30,,46,19,,3,6
2021-10-01,49,42,19,,1,8
2021-10-02,51,41,24,,2,6
2021-10-03,57,68,20,,1,5
2021-10-04,52,59,23,,1,7
2021-10-05,43,40,25,,1,8
2021-10-06,47,38,27,,1,7
2021-10-07,56,35,20,,1,7
2021-10-08,52,35,19,,1,6
2021-10-09,48,42,13,,1,6
2021-10-10,42,30,20,,1,6
2021-10-11,35,30,21,,1,6
2021-10-12,35,33,18,,1,6
2021-10-13,42,28,25,,2,6
2021-10-14,35,25,23,,1,5
2021-10-15,32,26,35,,2,5
2021-10-16,36,33,21,,1,6
2021-10-17,33,31,27,,1,5
2021-10-18,33,36,15,,2,5
2021-10-19,35,40,15,,2,5
2021-10-20,29,82,16,,1,6
2021-10-21,51,139,14,,1,6
2021-10-22,54,150,19,,1,5
2021-10-23,63,74,23,,0,5
2021-10-24,46,48,43,,1,5
2021-10-25,61,49,32,,1,6
2021-10-26,64,42,36,,2,6
2021-10-27,52,44,46,,2,8
2021-10-28,64,40,36,,1,7
2021-10-29,61,36,24,,2,7
2021-10-30,53,32,17,,2,7
2021-10-31,42,,,,,
2021-11-01,,30,36,,1,6
2021-11-02,43,41,41,,2,6
2021-11-03,63,32,26,,2,6
2021-11-04,40,46,23,,2,7
2021-11-05,55,40,6,,2,7
2021-11-06,55,26,26,,3,6
2021-11-07,34,41,38,,2,5
2021-11-08,56,38,35,,2,5
2021-11-09,49,43,26,,3,7
2021-11-10,60,39,27,,2,6
2021-11-11,55,34,21,,2,4
2021-11-12,47,33,20,,1,4
2021-11-13,42,33,1,,2,8
2021-11-14,46,,,,,
2021-11-15,,30,19,,3,7
2021-11-16,38,36,18,,3,5
2021-11-17,49,30,19,,7,7
2021-11-18,30,35,44,,5,7
2021-11-19,56,30,35,,4,6
2021-11-20,51,32,22,,3,7
2021-11-21,56,,,,,
2021-11-22,,37,16,,3,6
2021-11-23,53,33,18,,2,6
2021-11-24,43,35,25,,2,7
2021-11-25,48,35,32,,3,6
2021-11-26,55,36,38,,2,6
2021-11-27,66,31,36,,3,6
2021-11-28,47,27,23,,2,6
2021-11-29,36,26,48,,2,6
2021-11-30,39,33,54,,3,6
2021-12-01,32,,42,,3,6
2021-12-02,,,35,,2,7
2021-12-03,,73,23,,2,6
2021-12-04,42,1,29,,2,6
2021-12-05,5,1,19,,4,5
2021-12-06,5,1,32,,3,6
2021-12-07,5,22,36,,3,6
2021-12-08,34,27,31,,2,6
2021-12-09,49,21,37,,5,6
2021-12-10,33,23,22,,3,5
2021-12-11,23,27,15,,3,6
2021-12-12,24,37,18,,3,5
2021-12-13,31,30,33,,2,4
2021-12-14,45,22,23,,3,6
2021-12-15,42,25,34,,3,7
2021-12-16,47,39,19,,4,7
2021-12-17,68,40,4,,2,7
2021-12-18,69,28,19,,3,6
2021-12-19,52,27,21,,2,6
2021-12-20,49,27,32,,3,7
2021-12-21,62,23,46,,2,6
2021-12-22,46,20,36,,2,6
2021-12-23,40,28,33,,4,6
2021-12-24,50,31,30,,2,5
2021-12-25,37,44,43,,2,6
2021-12-26,58,44,39,,1,5
2021-12-27,55,34,24,,1,5
2021-12-28,47,35,30,,2,5
2021-12-29,44,35,36,,3,5
2021-12-30,,41,58,,4,7
2021-12-30,48,40,40,,4,6
2021-12-31,72,37,41,,3,5
2021-12-31,62,41,58,,4,7
2022-01-01,55,36,39,,3,5
2022-01-01,72,37,41,,3,5
2022-01-02,42,31,28,,2,5
2022-01-02,55,36,39,,3,5
2022-01-03,44,39,28,,2,5
2022-01-03,42,,,,,
2022-01-04,52,29,18,,2,5
2022-01-05,41,18,17,,2,5
2022-01-06,21,20,14,,2,5
2022-01-07,25,38,23,,2,5
2022-01-08,52,27,21,,1,4
2022-01-09,38,38,20,,1,10
2022-01-10,66,39,17,,1,15
2022-01-11,55,17,12,,1,4
2022-01-12,19,15,14,,1,4
2022-01-13,12,27,24,,1,4
2022-01-14,31,46,37,,1,5
2022-01-15,59,62,35,,0,4
2022-01-16,68,41,35,,1,3
2022-01-17,39,153,36,,0,4
2022-01-18,122,33,39,,0,2
2022-01-19,28,33,33,,0,4
2022-01-20,19,73,46,,1,4
2022-01-21,42,30,38,,1,4
2022-01-22,45,28,42,,0,4
2022-01-23,21,46,39,,1,4
2022-01-24,47,41,39,,1,3
2022-01-25,42,46,50,,1,3
2022-01-26,47,46,39,,1,3
2022-01-27,56,44,43,,1,4
2022-01-28,46,36,42,,1,4
