time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,71,18,12,9,
2021-01-01,,74,12,13,9,
2021-01-02,,64,15,22,9,
2021-01-02,,71,18,12,9,
2021-01-03,,66,39,9,7,
2021-01-03,,64,15,22,9,
2021-01-04,,66,41,11,9,
2021-01-04,,66,39,9,7,
2021-01-05,,62,41,11,8,
2021-01-05,,66,,,,
2021-01-06,,61,34,12,6,
2021-01-07,,60,36,11,6,
2021-01-08,,65,32,7,6,
2021-01-09,,58,43,7,5,
2021-01-10,,58,51,6,5,
2021-01-11,,72,35,9,5,
2021-01-12,,76,40,15,6,
2021-01-13,,68,39,12,7,
2021-01-14,,59,34,13,8,
2021-01-15,,54,35,16,8,
2021-01-16,,49,32,21,9,
2021-01-17,,43,37,17,9,
2021-01-18,,33,36,16,10,
2021-01-19,,30,34,25,10,
2021-01-20,,35,38,25,11,
2021-01-21,,41,43,22,11,
2021-01-22,,42,40,15,9,
2021-01-23,,55,45,18,10,
2021-01-24,,44,38,18,9,
2021-01-25,,49,35,10,7,
2021-01-26,,62,32,8,6,
2021-01-27,,66,42,9,7,
2021-01-28,,67,35,11,8,
2021-01-29,,61,38,12,9,
2021-01-30,,49,41,11,10,
2021-01-31,,53,41,8,9,
2021-02-01,,59,52,7,10,
2021-02-02,,62,58,5,11,
2021-02-03,,61,62,4,10,
2021-02-04,,57,59,7,9,
2021-02-05,,52,39,7,8,
2021-02-06,,52,45,8,8,
2021-02-07,,53,29,5,6,
2021-02-08,,59,32,13,10,
2021-02-09,,51,50,13,10,
2021-02-10,,53,35,14,9,
2021-02-11,,60,37,17,8,
2021-02-12,,73,53,16,9,
2021-02-13,,64,41,15,9,
2021-02-14,,73,43,8,8,
2021-02-15,,58,45,14,9,
2021-02-16,,41,42,14,9,
2021-02-17,,62,42,16,11,
2021-02-18,,60,43,9,9,
2021-02-19,,57,38,7,9,
2021-02-20,,44,39,13,10,
2021-02-21,,51,36,17,8,
2021-02-22,,59,39,14,7,
2021-02-23,,55,42,7,6,
2021-02-24,,56,38,12,7,
2021-02-25,,50,40,8,7,
2021-02-26,,46,42,6,8,
2021-02-27,,35,39,7,7,
2021-02-28,,32,47,10,8,
2021-03-01,,35,48,18,8,
2021-03-02,,51,44,17,9,
2021-03-03,,48,35,17,9,
2021-03-04,,49,37,19,12,
2021-03-05,,44,38,7,12,
2021-03-06,,46,32,12,11,
2021-03-07,,49,27,18,11,
2021-03-08,,57,34,13,12,
2021-03-09,,60,39,10,10,
2021-03-10,,41,39,18,8,
2021-03-11,,42,41,14,11,
2021-03-12,,41,39,17,13,
2021-03-13,,48,41,16,11,
2021-03-14,,52,41,14,11,
2021-03-15,,43,45,16,7,
2021-03-16,,45,44,19,2,
2021-03-17,,48,40,18,4,
2021-03-18,,48,41,20,5,
2021-03-19,,54,41,19,4,
2021-03-20,,56,42,15,4,
2021-03-21,,55,34,11,3,
2021-03-22,,51,39,13,5,
2021-03-23,,45,42,17,6,
2021-03-24,,34,43,14,6,
2021-03-25,,48,37,16,5,
2021-03-26,,47,42,15,10,
2021-03-27,,49,34,15,4,
2021-03-28,,46,33,10,5,
2021-03-29,,75,38,16,4,
2021-03-30,,83,34,25,7,
2021-03-31,,95,37,19,7,
2021-04-01,,,41,23,6,
2021-04-01,,80,38,22,6,
2021-04-02,,61,40,18,5,
2021-04-02,,74,39,17,4,
2021-04-03,,52,41,22,6,
2021-04-03,,70,40,20,5,
2021-04-04,,57,41,16,5,
2021-04-04,,66,43,16,9,
2021-04-05,,60,36,4,4,
2021-04-05,,64,,,,
2021-04-06,,75,33,13,6,
2021-04-07,,51,36,15,4,
2021-04-08,,40,32,20,1,
2021-04-09,,58,31,23,4,
2021-04-10,,58,44,20,3,
2021-04-11,,61,50,12,6,
2021-04-12,,56,54,10,4,
2021-04-13,,57,41,13,3,
2021-04-14,,60,41,13,4,
2021-04-15,,61,35,26,3,
2021-04-16,,75,41,20,3,
2021-04-17,,89,35,16,2,
2021-04-18,,72,41,19,6,
2021-04-19,,74,36,4,2,
2021-04-20,,82,35,12,1,
2021-04-21,,75,38,13,2,
2021-04-22,,127,40,9,2,
2021-04-23,,152,32,11,3,
2021-04-24,,125,37,10,4,
2021-04-25,,101,38,22,2,
2021-04-26,,90,36,16,1,
2021-04-27,,111,32,19,1,
2021-04-28,,94,41,17,3,
2021-04-29,,92,40,7,5,
2021-04-30,,79,36,11,3,
2021-05-01,,52,59,13,3,
2021-05-02,,53,42,24,3,
2021-05-03,,75,32,17,2,
2021-05-04,,86,34,13,2,
2021-05-05,,68,41,13,2,
2021-05-06,,77,43,16,1,
2021-05-07,,90,36,6,2,
2021-05-08,,88,38,13,2,
2021-05-09,,79,48,10,4,
2021-05-10,,79,44,7,6,
2021-05-11,,74,51,14,5,
2021-05-12,,70,54,9,5,
2021-05-13,,69,63,14,2,
2021-05-14,,70,60,26,2,
2021-05-15,,83,32,23,3,
2021-05-16,,94,30,17,1,
2021-05-17,,83,34,13,1,
2021-05-18,,95,41,13,2,
2021-05-19,,81,42,13,2,
2021-05-20,,81,45,15,2,
2021-05-21,,104,39,11,5,
2021-05-22,,77,33,13,3,
2021-05-23,,80,31,19,0,
2021-05-24,,74,41,6,2,
2021-05-25,,93,37,4,1,
2021-05-26,,60,40,7,4,
2021-05-27,,50,47,18,2,
2021-05-28,,61,29,15,1,
2021-05-29,,83,25,13,1,
2021-05-30,,107,33,20,2,
2021-05-31,,85,31,15,2,
2021-06-01,,63,44,8,2,
2021-06-02,,100,43,4,2,
2021-06-03,,58,44,8,5,
2021-06-04,,50,36,18,3,
2021-06-05,,52,38,19,4,
2021-06-06,,79,32,23,4,
2021-06-07,,86,28,12,2,
2021-06-08,,78,33,4,1,
2021-06-09,,117,39,7,2,
2021-06-10,,153,40,9,2,
2021-06-11,,99,26,20,2,
2021-06-12,,101,27,19,2,
2021-06-13,,193,27,19,3,
2021-06-14,,119,28,14,1,
2021-06-15,,80,42,14,3,
2021-06-16,,97,35,7,3,
2021-06-17,,85,35,14,4,
2021-06-18,,82,42,17,4,
2021-06-19,,83,49,18,3,
2021-06-20,,86,26,9,2,
2021-06-21,,116,28,10,2,
2021-06-22,,117,33,14,2,
2021-06-23,,85,34,14,2,
2021-06-24,,78,43,3,2,
2021-06-25,,76,45,5,2,
2021-06-26,,66,34,12,2,
2021-06-27,,64,33,17,2,
2021-06-28,,109,51,17,7,
2021-06-29,,90,42,17,15,
2021-06-30,,110,45,8,6,
2021-07-01,,124,,,,
2021-12-30,,,39,6,3,
2021-12-31,,92,61,12,2,
2022-01-01,,79,25,5,3,
2022-01-02,,99,23,8,3,
2022-01-03,,67,31,14,2,
2022-01-04,,48,28,11,2,
2022-01-05,,63,26,9,2,
2022-01-06,,59,41,15,2,
2022-01-07,,78,36,14,3,
2022-01-08,,79,36,12,2,
2022-01-09,,86,46,10,3,
2022-01-10,,76,29,17,4,
2022-01-11,,80,36,14,3,
2022-01-12,,80,41,21,2,
2022-01-13,,81,46,13,4,
2022-01-14,,77,30,21,1,
2022-01-15,,74,1,30,4,
2022-01-16,,,38,15,4,
2022-01-17,,85,40,7,3,
2022-01-18,,90,40,12,8,
2022-01-19,,87,31,9,1,
2022-01-20,,89,46,7,3,
2022-01-21,,73,44,7,3,
2022-01-22,,73,44,5,2,
2022-01-23,,74,40,15,2,
2022-01-24,,74,41,14,4,
2022-01-25,,81,41,11,3,
2022-01-26,,68,31,7,3,
2022-01-27,,75,37,6,3,
2022-01-28,,72,37,12,3,
2022-01-29,,76,34,19,4,
2022-01-30,,78,36,15,2,
2022-01-31,,78,37,14,4,
2022-02-01,,87,50,16,3,
2022-02-02,,85,37,10,3,
2022-02-03,,116,44,12,3,
2022-02-04,,116,44,9,2,
2022-02-05,,82,46,12,2,
2022-02-06,,76,41,16,3,
2022-02-07,,84,43,15,4,
2022-02-08,,138,48,12,3,
2022-02-09,,67,49,18,3,
2022-02-10,,61,40,16,2,
2022-02-11,,62,40,15,3,
2022-02-12,,66,41,14,3,
2022-02-13,,79,40,19,3,
2022-02-14,,58,38,18,4,
2022-02-15,,77,46,18,3,
2022-02-16,,77,36,13,3,
2022-02-17,,78,43,12,3,
2022-02-18,,96,42,18,4,
2022-02-19,,101,41,18,2,
2022-02-20,,90,31,19,2,
2022-02-21,,78,31,19,2,
2022-02-22,,69,37,7,3,
2022-02-23,,72,42,4,2,
2022-02-24,,55,50,6,3,
2022-02-25,,55,36,6,3,
2022-02-26,,72,38,7,2,
2022-02-27,,74,41,9,3,
2022-02-28,,68,39,10,3,
2022-03-01,,53,41,10,2,
2022-03-02,,47,44,11,3,
2022-03-03,,54,39,13,3,
2022-03-04,,60,40,15,3,
2022-03-05,,58,48,19,3,
2022-03-06,,56,43,17,4,
2022-03-07,,61,42,11,4,
2022-03-08,,58,39,12,6,
2022-03-09,,55,37,18,4,
2022-03-10,,55,41,18,3,
2022-03-11,,71,45,20,6,
2022-03-12,,67,47,16,4,
2022-03-13,,68,53,21,4,
2022-03-14,,63,42,18,3,
2022-03-15,,64,1,38,6,
2022-03-16,,65,39,20,3,
2022-03-17,,,41,21,3,
2022-03-18,,60,38,22,2,
2022-03-19,,62,45,20,4,
2022-03-20,,62,43,20,3,
2022-03-21,,60,36,26,4,
2022-03-22,,61,36,19,3,
2022-03-23,,66,35,11,4,
2022-03-24,,87,34,14,3,
2022-03-25,,73,31,13,3,
2022-03-26,,46,36,11,3,
2022-03-27,,55,34,8,3,
2022-03-28,,64,37,12,3,
2022-03-29,,50,,,,
2022-03-31,,,31,5,2,
2022-04-01,,156,32,11,3,
2022-04-02,,101,34,10,2,
2022-04-02,,,27,9,1,
2022-04-03,,42,29,12,3,
2022-04-03,,66,,,,
2022-04-04,,54,32,17,3,
2022-04-05,,61,39,18,2,
2022-04-06,,83,40,20,3,
2022-04-07,,63,46,19,5,
2022-04-08,,53,38,21,4,
2022-04-09,,54,51,23,4,
2022-04-10,,54,41,16,3,
2022-04-11,,49,36,15,4,
2022-04-12,,50,31,10,4,
2022-04-13,,55,32,6,4,
2022-04-14,,63,30,7,4,
2022-04-15,,50,26,7,2,
2022-04-16,,67,24,12,3,
2022-04-17,,98,33,7,4,
2022-04-18,,60,36,3,4,
2022-04-19,,102,39,5,3,
2022-04-20,,159,38,14,3,
2022-04-21,,58,39,16,7,
2022-04-22,,47,41,15,7,
2022-04-23,,62,39,19,5,
2022-04-24,,80,38,21,4,
2022-04-25,,72,43,18,3,
2022-04-26,,85,39,10,4,
2022-04-27,,97,36,11,4,
2022-04-28,,108,37,15,4,
2022-04-29,,94,38,24,4,
2022-04-30,,126,42,17,5,
2022-05-01,,121,43,13,5,
2022-05-02,,111,45,21,4,
2022-05-03,,98,41,22,5,
2022-05-04,,91,41,9,4,
2022-05-05,,94,41,9,4,
2022-05-06,,94,40,8,4,
2022-05-07,,62,41,18,4,
2022-05-08,,58,38,22,3,
2022-05-09,,59,37,21,4,
2022-05-10,,72,34,15,4,
2022-05-11,,70,41,12,5,
2022-05-12,,67,43,17,6,
2022-05-13,,68,34,15,4,
2022-05-14,,62,38,15,4,
2022-05-15,,84,50,14,7,
2022-05-16,,61,41,14,6,
2022-05-17,,53,40,28,3,
2022-05-18,,60,29,16,4,
2022-05-19,,76,38,14,4,
2022-05-20,,79,43,7,5,
2022-05-21,,164,47,8,3,
2022-05-22,,135,50,11,5,
2022-05-23,,145,46,25,2,
2022-05-24,,134,36,22,3,
2022-05-25,,109,24,16,3,
2022-05-26,,95,33,15,3,
2022-05-27,,82,47,7,4,
2022-05-28,,73,42,9,4,
2022-05-29,,52,39,18,3,
2022-05-30,,60,30,19,5,
2022-05-31,,81,26,15,4,
2022-06-01,,107,31,17,3,
2022-06-02,,84,31,19,4,
2022-06-03,,106,25,7,5,
2022-06-04,,98,27,9,5,
2022-06-05,,77,30,13,4,
2022-06-06,,63,32,15,4,
2022-06-07,,70,29,16,2,
2022-06-08,,80,29,13,6,
2022-06-09,,99,2,40,8,
2022-06-10,,95,40,21,3,
2022-06-11,,,31,16,5,
2022-06-12,,87,39,6,4,
2022-06-13,,88,44,4,4,
2022-06-14,,87,40,4,4,
2022-06-15,,63,39,6,5,
2022-06-16,,64,45,15,3,
2022-06-17,,66,35,23,5,
2022-06-18,,90,18,31,6,
2022-06-19,,98,33,20,4,
2022-06-20,,136,35,19,4,
2022-06-21,,120,39,18,2,
2022-06-22,,112,52,4,3,
2022-06-23,,87,55,5,4,
2022-06-24,,76,51,5,3,
2022-06-25,,123,63,8,4,
2022-06-26,,124,64,12,4,
2022-06-27,,94,55,12,4,
2022-06-28,,108,52,21,4,
2022-06-29,,109,71,14,3,
2022-06-30,,,55,12,4,
2022-06-30,,110,,,,
2022-07-01,,108,52,21,4,
2022-07-02,,109,71,14,3,
2022-07-03,,110,66,18,4,
2022-07-04,,89,46,21,3,
2022-07-05,,93,41,19,3,
2022-07-06,,85,39,21,3,
2022-07-07,,87,40,22,5,
2022-07-08,,84,40,18,5,
2022-07-09,,76,40,23,5,
2022-07-10,,86,44,20,5,
2022-07-11,,91,42,24,5,
2022-07-12,,96,42,20,5,
2022-07-13,,121,40,20,5,
2022-07-14,,128,39,13,4,
2022-07-15,,127,37,20,4,
2022-07-16,,142,40,11,4,
2022-07-17,,119,57,6,5,
2022-07-18,,133,62,15,5,
2022-07-19,,63,65,15,4,
2022-07-20,,57,62,21,3,
2022-07-21,,61,55,18,6,
2022-07-22,,70,45,18,6,
2022-07-23,,79,46,14,4,
2022-07-24,,115,33,12,4,
2022-07-25,,128,32,15,4,
2022-07-26,,110,36,15,4,
2022-07-27,,133,26,11,3,
2022-07-28,,105,30,9,4,
2022-07-29,,78,37,10,5,
2022-07-30,,108,44,14,4,
2022-07-31,,120,39,18,3,
2022-08-01,,122,40,4,3,
2022-08-02,,244,49,6,5,
2022-08-03,,421,49,13,4,
2022-08-04,,138,62,15,5,
2022-08-05,,167,32,8,2,
2022-08-06,,237,42,7,4,
2022-08-07,,126,43,9,5,
2022-08-08,,147,66,7,7,
2022-08-09,,123,55,6,5,
2022-08-10,,112,53,17,8,
2022-08-11,,94,64,7,6,
2022-08-12,,111,50,4,5,
2022-08-13,,139,54,12,6,
2022-08-14,,199,46,8,4,
2022-08-15,,383,80,16,8,
2022-08-16,,177,47,9,3,
2022-08-17,,843,46,16,5,
2022-08-18,,807,36,22,7,
2022-08-19,,585,47,20,6,
2022-08-20,,306,49,10,4,
2022-08-21,,133,47,15,4,
2022-08-22,,118,54,16,6,
2022-08-23,,135,42,11,6,
2022-08-24,,621,48,11,4,
2022-08-25,,378,54,11,6,
2022-08-26,,111,51,12,7,
2022-08-27,,100,49,20,11,
2022-08-28,,101,84,14,7,
2022-08-29,,88,72,12,6,
2022-08-30,,106,43,16,5,
2022-08-31,,91,33,7,4,
2022-09-01,,88,46,11,6,
2022-09-02,,81,67,13,5,
2022-09-03,,76,65,14,8,
2022-09-04,,80,61,16,5,
2022-09-05,,83,52,10,5,
2022-09-06,,94,45,7,5,
2022-09-07,,89,57,12,10,
2022-09-08,,81,71,21,18,
2022-09-09,,104,48,7,4,
2022-09-10,,116,80,5,6,
2022-09-11,,82,37,3,4,
2022-09-12,,82,33,7,4,
2022-09-13,,125,39,9,4,
2022-09-14,,183,51,12,5,
2022-09-15,,122,46,19,6,
2022-09-16,,95,51,16,3,
2022-09-17,,82,38,8,4,
2022-09-18,,100,41,8,5,
2022-09-19,,97,44,13,7,
2022-09-20,,107,47,17,8,
2022-09-21,,108,32,11,7,
2022-09-22,,150,23,5,7,
2022-09-23,,144,37,8,7,
2022-09-24,,148,41,13,7,
2022-09-25,,146,59,12,8,
2022-09-26,,108,48,4,8,
2022-09-27,,133,39,5,7,
2022-09-28,,111,51,6,7,
2022-09-29,,,87,10,6,
2022-09-29,,145,87,10,6,
2022-09-30,,114,59,10,6,
2022-09-30,,114,59,10,6,
2022-10-01,,109,49,5,6,
2022-10-01,,109,49,5,6,
2022-10-02,,112,46,4,8,
2022-10-02,,112,,,,
2022-10-03,,104,35,9,6,
2022-10-04,,117,34,11,6,
2022-10-05,,97,34,4,8,
2022-10-06,,87,25,4,7,
2022-10-07,,34,31,4,6,
2022-10-08,,39,28,3,6,
2022-10-09,,45,24,1,6,
2022-10-10,,29,27,2,4,
2022-10-11,,38,38,6,7,
2022-10-12,,53,34,11,6,
2022-10-13,,99,35,4,7,
2022-10-14,,148,44,7,7,
2022-10-15,,134,26,9,7,
2022-10-16,,128,27,4,8,
2022-10-17,,117,40,5,6,
2022-10-18,,74,39,3,6,
2022-10-19,,68,39,3,6,
2022-10-20,,69,27,4,7,
2022-10-21,,88,23,3,7,
2022-10-22,,89,19,3,7,
2022-10-23,,94,30,4,5,
2022-10-24,,112,19,6,8,
2022-10-25,,108,29,3,6,
2022-10-26,,73,25,2,7,
2022-10-27,,80,21,1,6,
2022-10-28,,83,27,2,6,
2022-10-29,,94,17,5,6,
2022-10-30,,100,15,5,7,
2022-10-31,,97,30,8,6,
2022-11-01,,78,37,10,6,
2022-11-02,,82,40,9,7,
2022-11-03,,114,56,13,7,
2022-11-04,,154,38,13,6,
2022-11-05,,133,34,7,6,
2022-11-06,,132,49,10,7,
2022-11-07,,121,53,16,7,
2022-11-08,,98,61,13,7,
2022-11-09,,80,79,9,7,
