time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,82,51,13,16,0
2021-01-01,,83,31,10,9,0
2021-01-02,,75,39,8,18,0
2021-01-02,,104,38,12,12,0
2021-01-03,,69,49,8,16,0
2021-01-03,,82,51,13,16,0
2021-01-04,,69,116,8,12,0
2021-01-04,,75,39,8,18,0
2021-01-05,,61,38,9,15,0
2021-01-05,,69,,,,
2021-01-06,,63,48,10,17,0
2021-01-07,,61,40,6,13,0
2021-01-08,,63,62,8,11,0
2021-01-09,,60,61,9,14,0
2021-01-10,,67,69,15,15,0
2021-01-11,,78,58,18,19,0
2021-01-12,,77,45,15,15,0
2021-01-13,,72,42,6,11,0
2021-01-14,,61,43,6,16,0
2021-01-15,,50,48,7,24,0
2021-01-16,,47,60,6,23,0
2021-01-17,,58,55,6,24,0
2021-01-18,,51,56,7,14,0
2021-01-19,,55,59,11,16,0
2021-01-20,,56,55,12,15,0
2021-01-21,,57,53,16,11,0
2021-01-22,,53,51,14,12,0
2021-01-23,,53,62,11,6,0
2021-01-24,,53,47,10,4,
2021-01-25,,45,42,15,5,0
2021-01-26,,51,45,10,17,
2021-01-27,,49,51,15,5,
2021-01-28,,54,47,7,37,
2021-01-29,,46,53,10,35,
2021-01-30,,49,49,7,11,
2021-01-31,,48,46,13,10,
2021-02-01,,46,58,16,13,
2021-02-02,,48,66,20,19,
2021-02-03,,50,58,19,22,
2021-02-04,,55,53,4,22,
2021-02-05,,49,58,5,26,
2021-02-06,,47,37,5,28,
2021-02-07,,43,41,5,15,
2021-02-08,,50,34,7,6,
2021-02-09,,42,40,13,10,
2021-02-10,,37,46,7,10,
2021-02-11,,44,30,7,7,
2021-02-12,,45,36,7,11,
2021-02-13,,48,41,12,13,
2021-02-14,,33,43,18,7,
2021-02-15,,42,45,12,10,
2021-02-16,,53,41,9,13,
2021-02-17,,40,43,6,13,
2021-02-18,,37,44,7,15,
2021-02-19,,35,36,11,13,0
2021-02-20,,41,23,16,12,0
2021-02-21,,51,48,8,14,
2021-02-22,,68,41,7,20,
2021-02-23,,56,41,7,18,
