time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,28,9,22,4,2,
2021-01-01,21,13,18,6,3,
2021-01-02,23,10,24,2,2,
2021-01-02,28,9,22,4,2,
2021-01-03,26,12,27,3,2,
2021-01-03,23,10,24,2,2,
2021-01-04,33,15,23,1,2,
2021-01-04,26,12,27,3,2,
2021-01-05,27,9,24,2,2,
2021-01-05,33,,,,,
2021-01-06,24,13,22,5,2,
2021-01-07,28,10,25,2,2,
2021-01-08,21,8,24,1,1,
2021-01-09,12,9,23,1,0,
2021-01-10,23,7,21,2,0,
2021-01-11,22,12,23,1,0,
2021-01-12,19,8,22,2,0,
2021-01-13,17,16,23,7,1,
2021-01-14,30,14,16,8,2,
2021-01-15,34,13,20,8,2,
2021-01-16,34,14,16,9,3,
2021-01-17,40,15,18,5,2,
2021-01-18,38,11,22,2,1,
2021-01-19,26,10,22,3,1,
2021-01-20,22,11,25,0,0,
2021-01-21,17,11,24,2,1,
2021-01-22,22,10,21,2,1,
2021-01-23,20,11,21,1,1,
2021-01-24,23,9,22,1,1,
2021-01-25,21,14,27,1,1,
2021-01-26,25,12,22,2,1,
2021-01-27,27,11,23,2,2,
2021-01-28,27,5,25,1,1,
2021-01-29,15,14,24,4,2,
2021-01-30,32,11,27,1,2,
2021-01-31,29,14,27,1,2,
2021-02-01,28,9,27,2,1,
2021-02-02,17,11,23,5,0,
2021-02-03,26,15,23,3,1,
2021-02-04,30,11,21,3,0,
2021-02-05,24,20,16,8,,
2021-02-06,48,39,5,11,,
2021-02-07,94,23,19,7,,
2021-02-08,62,17,22,7,,
2021-02-09,39,10,21,3,0,
2021-02-10,25,6,30,1,0,
2021-02-11,14,8,27,1,0,
2021-02-12,13,11,24,2,0,
2021-02-13,17,9,25,2,0,
2021-02-14,23,8,27,1,0,
2021-02-15,16,10,27,2,0,
2021-02-16,16,8,23,1,0,
2021-02-17,12,9,27,1,0,
2021-02-18,18,13,28,4,0,
2021-02-19,24,5,24,2,1,
2021-02-20,12,12,25,2,1,
2021-02-21,29,12,20,2,1,
2021-02-22,27,8,25,2,2,
2021-02-23,14,9,23,4,1,
2021-02-24,26,12,19,4,2,
2021-02-25,28,13,19,5,2,
2021-02-26,25,14,20,7,3,
2021-02-27,33,36,6,16,3,
2021-02-28,87,37,12,10,6,
2021-03-01,95,16,24,5,5,
2021-03-02,36,14,23,4,4,
2021-03-03,31,11,25,2,3,
2021-03-04,20,13,24,8,3,
2021-03-05,40,12,27,2,3,
2021-03-06,22,25,19,9,2,
2021-03-07,67,35,3,10,4,
2021-03-08,97,34,13,10,5,
2021-03-09,93,18,25,2,2,
2021-03-10,29,10,21,4,1,
2021-03-11,25,10,18,5,1,
2021-03-12,22,11,21,7,1,
2021-03-13,29,15,19,5,1,
2021-03-14,34,8,26,2,2,
2021-03-15,24,11,24,2,1,
2021-03-16,19,10,23,3,1,
2021-03-17,20,9,24,3,1,
2021-03-18,17,6,21,2,1,
2021-03-19,22,8,24,3,2,
2021-03-20,27,6,25,2,2,
2021-03-21,21,8,21,1,2,
2021-03-22,27,14,19,10,2,
2021-03-23,41,23,17,10,3,
2021-03-24,63,18,23,7,6,
2021-03-25,54,15,27,5,5,
2021-03-26,37,10,26,2,4,
2021-03-27,28,11,28,0,4,
2021-03-28,21,8,28,1,2,
2021-03-29,20,12,27,1,3,
2021-03-30,31,12,26,2,4,
2021-03-31,34,10,23,5,5,
2021-04-01,,17,11,10,9,
2021-04-01,38,11,22,3,5,
2021-04-02,52,29,11,17,11,
2021-04-02,33,22,20,6,4,
2021-04-03,78,28,8,12,5,
2021-04-03,64,17,24,5,7,
2021-04-04,85,14,27,7,1,
2021-04-04,59,21,17,10,7,
2021-04-05,46,21,27,11,5,
2021-04-05,59,,,,10,
2021-04-06,59,16,20,4,2,
2021-04-07,49,7,26,1,1,
2021-04-08,24,5,28,0,0,
2021-04-09,14,15,25,14,1,
2021-04-10,49,11,5,7,4,
2021-04-11,40,13,8,4,4,
2021-04-12,31,12,6,5,4,
2021-04-13,40,10,14,0,3,
2021-04-14,22,11,12,1,4,
2021-04-15,21,9,12,4,3,
2021-04-16,29,12,21,10,3,
2021-04-17,40,10,23,6,2,
2021-04-18,32,9,27,2,1,
2021-04-19,23,14,27,7,4,
2021-04-20,48,17,27,6,5,
2021-04-21,53,30,17,12,12,
2021-04-22,90,12,21,4,3,
2021-04-23,34,12,22,4,3,
2021-04-24,35,23,20,9,3,
2021-04-25,53,10,27,5,3,
2021-04-26,31,10,23,4,5,
2021-04-27,29,11,23,2,6,
2021-04-28,34,15,22,3,7,
2021-04-29,39,13,17,7,7,
2021-04-30,41,9,20,6,7,
2021-05-01,34,9,19,8,6,
2021-05-02,35,10,18,8,6,
2021-05-03,35,9,15,6,6,
2021-05-04,30,13,16,5,11,
