time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,11,5,,2,,
2021-01-02,11,5,,9,,
2021-01-03,14,5,,7,,
2021-01-04,16,16,,2,,
2021-01-05,40,,,,,
2021-04-01,,9,,10,,
2021-04-02,32,10,,12,,
2021-04-03,34,4,,7,,
2021-04-04,15,6,,9,,
2021-04-05,17,6,,12,,
2021-04-06,17,3,,3,,
2021-04-07,9,6,,3,,
2021-04-08,17,8,,19,,
2021-04-09,24,10,,16,,
2021-04-10,26,11,,17,,
2021-04-11,36,10,,15,,
2021-04-12,35,10,,12,,
2021-04-13,28,4,,3,,
2021-04-14,13,5,,2,,
2021-04-15,16,4,,7,,
2021-04-16,12,12,,14,,
2021-04-17,34,13,,18,,
2021-04-18,42,4,,3,,
2021-04-19,11,5,,6,,
2021-04-20,14,4,,4,,
2021-04-21,12,3,,2,,
2021-04-22,10,4,,10,,
2021-04-23,12,5,,14,,
2021-04-24,17,18,,21,,
2021-04-25,52,8,,13,,
2021-04-26,25,10,,13,,
2021-04-27,28,15,,21,,
2021-04-28,41,12,,12,,
2021-04-29,37,18,,,,
2021-04-30,53,9,,6,,
2021-05-01,26,11,,4,,
2021-05-02,31,10,,3,,
2021-05-03,32,7,,3,,
2021-05-04,20,10,,2,,
2021-05-05,27,14,,4,,
2021-05-06,29,17,,14,,
2021-05-07,29,7,,12,,
2021-05-08,23,12,,12,,
2021-05-09,35,16,,3,,
2021-05-10,48,20,,3,,
2021-05-11,46,42,,1,,
2021-05-12,45,5,,0,,
2021-05-13,16,13,,8,,
2021-05-14,31,5,,3,,
2021-05-15,15,5,,3,,
2021-05-16,13,3,,4,,
2021-05-17,7,6,,5,,
2021-05-18,9,8,,6,,
2021-05-19,17,6,,2,,
2021-05-20,17,12,,9,,
2021-05-21,23,4,,3,,
2021-05-22,10,11,,3,,
2021-05-23,26,9,,2,,
2021-05-24,19,9,,2,,
2021-05-25,18,9,,4,,
2021-05-26,21,7,,4,,
2021-05-27,17,16,,8,,
2021-05-28,23,15,,7,,
2021-05-29,43,12,,8,,
2021-05-30,44,12,,5,,
2021-05-31,26,17,,8,,
2021-06-01,25,12,,4,,
2021-06-02,33,9,,2,,
2021-06-03,31,8,,6,,
2021-06-04,13,7,,4,,
2021-06-05,9,9,,4,,
2021-06-06,17,5,,3,,
2021-06-07,13,4,,3,,
2021-06-08,10,7,,4,,
2021-06-09,11,7,,3,,
2021-06-10,13,14,,9,,
2021-06-11,19,18,,4,,
2021-06-12,35,19,,6,,
2021-06-13,34,7,,4,,
2021-06-14,9,10,,4,,
2021-06-15,11,6,,3,,
2021-06-16,11,7,,2,,
2021-06-17,12,3,,2,,
2021-06-18,6,12,,3,,
2021-06-19,18,9,,4,,
2021-06-20,18,8,,4,,
2021-06-21,16,3,,3,,
2021-06-22,8,7,,0,,
2021-06-23,12,6,,0,,
2021-06-24,13,2,,0,,
2021-06-25,3,4,,3,,
2021-06-26,12,9,,2,,
2021-06-27,19,13,,7,,
2021-06-28,26,15,,8,,
2021-06-29,30,13,,6,,
2021-06-30,29,10,,1,,
2021-07-01,,13,,7,,
2021-07-01,20,,,,,
2021-07-02,26,15,,8,,
2021-07-03,30,13,,6,,
2021-07-04,29,10,,1,,
2021-07-05,20,8,,2,,
2021-07-06,15,15,,4,,
2021-07-07,20,17,,6,,
2021-07-08,17,5,,3,,
2021-07-09,12,13,,6,,
2021-07-10,15,10,,8,,
2021-07-11,16,13,,4,,
2021-07-12,21,14,,9,,
2021-07-13,20,10,,5,,
2021-07-14,17,10,,8,,
2021-07-15,17,18,,9,,
2021-07-16,27,18,,11,,
2021-07-17,29,19,,7,,
2021-07-18,34,14,,6,,
2021-07-19,36,17,,8,,
2021-07-20,27,8,,7,,
2021-07-21,18,16,,4,,
2021-07-22,30,20,,4,,
2021-07-23,29,17,,3,,
2021-07-24,27,11,,2,,
2021-07-25,30,11,,2,,
2021-07-26,33,8,,5,,
2021-07-27,19,6,,2,,
2021-07-28,16,5,,2,,
2021-07-29,10,7,,2,,
2021-07-30,14,5,,4,,
2021-07-31,9,4,,2,,
2021-08-01,11,5,,3,,
2021-08-02,14,4,,4,,
2021-08-03,10,6,,1,,
2021-08-04,12,7,,4,,
2021-08-05,11,5,,5,,
2021-08-06,12,8,,7,,
2021-08-07,14,7,,5,,
2021-08-08,19,6,,3,,
2021-08-09,20,12,,5,,
2021-08-10,27,7,,6,,
2021-08-11,16,10,,2,,
2021-08-12,29,12,,2,,
2021-08-13,31,8,,2,,
2021-08-14,18,7,,1,,
2021-08-15,17,5,,2,,
2021-08-16,13,7,,5,,
2021-08-17,12,5,,6,,
2021-08-18,7,5,,2,,
2021-08-19,11,6,,3,,
2021-08-20,15,9,,1,,
2021-08-21,21,4,,3,,
2021-08-22,11,4,,3,,
2021-08-23,10,5,,3,,
2021-08-24,10,6,,3,,
2021-08-25,17,7,,5,,
2021-08-26,20,8,,4,,
2021-08-27,19,14,,2,,
2021-08-28,38,9,,2,,
2021-08-29,32,9,,2,,
2021-08-30,34,12,,5,,
2021-08-31,31,17,,7,,
2021-09-01,43,16,,4,,
2021-09-02,42,15,,5,,
2021-09-03,36,10,,6,,
2021-09-04,19,9,,3,,
2021-09-05,21,5,,2,,
2021-09-06,10,9,,3,,
2021-09-07,19,7,,4,,
2021-09-08,15,5,,4,,
2021-09-09,10,7,,2,,
2021-09-10,13,8,,3,,
2021-09-11,15,9,,2,,
2021-09-12,18,4,,1,,
2021-09-13,6,8,,2,,
2021-09-14,15,12,,4,,
2021-09-15,24,7,,2,,
2021-09-16,14,9,,4,,
2021-09-17,13,9,,2,,
2021-09-18,18,8,,2,,
2021-09-19,24,6,,3,,
2021-09-20,19,10,,4,,
2021-09-21,24,11,,5,,
2021-09-22,24,4,,6,,
2021-09-23,6,2,,5,,
2021-09-24,4,6,,3,,
2021-09-25,13,9,,4,,
2021-09-26,20,8,,4,,
2021-09-27,22,9,,5,,
2021-09-28,23,12,,4,,
2021-09-29,33,8,,2,,
2021-09-30,,14,,2,,
2021-09-30,17,14,,2,,
2021-10-01,28,11,,3,,
2021-10-01,28,11,,3,,
2021-10-02,27,12,,5,,
2021-10-02,27,12,,5,,
2021-10-03,39,8,,1,,
2021-10-03,39,8,,1,,
2021-10-04,26,10,,2,,
2021-10-04,26,,,,,
2021-10-05,31,8,,2,,
2021-10-06,21,6,,4,,
2021-10-07,16,5,,5,,
2021-10-08,13,6,,2,,
2021-10-09,16,9,,2,,
2021-10-10,28,10,,2,,
2021-10-11,32,10,,3,,
2021-10-12,26,9,,2,,
2021-10-13,24,7,,3,,
2021-10-14,15,9,,4,,
2021-10-15,18,5,,2,,
2021-10-16,9,5,,1,,
2021-10-17,7,7,,2,,
2021-10-18,20,6,,3,,
2021-10-19,16,7,,2,,
2021-10-20,15,8,,1,,
2021-10-21,22,9,,1,,
2021-10-22,21,10,,2,,
2021-10-23,28,11,,1,,
2021-10-24,34,11,,1,,
2021-10-25,34,14,,,,
2021-10-26,39,13,,,,
2021-10-27,29,6,,,,
2021-10-28,17,5,,,,
2021-10-29,11,4,,11,,
2021-10-30,8,4,,7,,
2021-10-31,11,4,,4,,
2021-11-01,8,6,,2,,
2021-11-02,14,7,,6,,
2021-11-03,18,7,,8,,
2021-11-04,18,9,,7,,
2021-11-05,24,14,,8,,
2021-11-06,41,13,,4,,
2021-11-07,31,10,,7,,
2021-11-08,25,6,,4,,
2021-11-09,12,6,,5,,
2021-11-10,13,8,,6,,
2021-11-11,19,8,,9,,
2021-11-12,16,8,,6,,
2021-11-13,18,6,,5,,
2021-11-14,14,6,,4,,
2021-11-15,17,6,,4,,
2021-11-16,17,4,,7,,
2021-11-17,9,6,,5,,
2021-11-18,14,6,,5,,
2021-11-19,11,7,,4,,
2021-11-20,15,6,,6,,
2021-11-21,17,5,,6,,
2021-11-22,11,6,,4,,
2021-11-23,14,8,,4,,
2021-11-24,17,8,,5,,
2021-11-25,20,8,,5,,
2021-11-26,19,11,,4,,
2021-11-27,27,8,,5,,
2021-11-28,24,4,,4,,
2021-11-29,12,6,,3,,
2021-11-30,16,7,,6,,
2021-12-01,15,13,,6,,
2021-12-02,33,20,,5,,
2021-12-03,56,11,,4,,
2021-12-04,31,6,,4,,
2021-12-05,18,10,,5,,
2021-12-06,30,4,,6,,
2021-12-07,12,2,,4,,
2021-12-08,4,12,,3,,
2021-12-09,26,10,,5,,
2021-12-10,34,16,,5,,
2021-12-11,52,7,,5,,
2021-12-12,19,4,,3,,
2021-12-13,9,6,,2,,
2021-12-14,14,5,,5,,
2021-12-15,11,8,,5,,
2021-12-16,20,5,,6,,
2021-12-17,10,4,,6,,
2021-12-18,8,5,,7,,
2021-12-19,14,5,,5,,
2021-12-20,14,8,,3,,
2021-12-21,17,14,,3,,
2021-12-22,31,5,,1,,
2021-12-23,11,10,,4,,
2021-12-24,20,6,,4,,
2021-12-25,13,3,,3,,
2021-12-26,8,3,,4,,
2021-12-27,8,3,,3,,
2021-12-28,7,5,,10,,
2021-12-29,10,6,,7,,
2021-12-30,,5,,5,,
2021-12-30,10,6,,7,,
2021-12-31,11,6,,9,,
2021-12-31,12,5,,9,,
2022-01-01,16,2,,3,,
2022-01-01,11,6,,5,,
2022-01-02,5,6,,7,,
2022-01-02,16,2,,9,,
2022-01-03,13,4,,4,,
2022-01-03,5,,,3,,
2022-01-04,7,5,,8,,
2022-01-05,9,3,,5,,
2022-01-06,6,7,,9,,
2022-01-07,14,5,,7,,
2022-01-08,12,7,,2,,
2022-01-09,16,7,,5,,
2022-01-10,16,6,,5,,
2022-01-11,14,4,,4,,
2022-01-12,6,5,,4,,
2022-01-13,12,10,,10,,
2022-01-14,20,7,,7,,
2022-01-15,18,4,,1,,
2022-01-16,12,6,,8,,
2022-01-17,16,6,,8,,
2022-01-18,16,5,,5,,
2022-01-19,12,6,,5,,
2022-01-20,14,11,,14,,
2022-01-21,25,4,,7,,
2022-01-22,11,4,,3,,
2022-01-23,10,4,,4,,
2022-01-24,9,3,,8,,
2022-01-25,9,8,,5,,
2022-01-26,19,12,,15,,
2022-01-27,23,7,,10,,
2022-01-28,20,5,,9,,
2022-01-29,12,5,,5,,
2022-01-30,12,2,,4,,
2022-01-31,5,3,,6,,
2022-02-01,4,4,,7,,
2022-02-02,7,8,,5,,
2022-02-03,12,3,,0,,
2022-02-04,5,4,,0,,
2022-02-05,9,14,,0,,
2022-02-06,32,8,,2,,
2022-02-07,15,9,,2,,
2022-02-08,21,6,,5,,
2022-02-09,13,9,,15,,
2022-02-10,23,5,,11,,
2022-02-11,12,13,,13,,
2022-02-12,33,5,,3,,
2022-02-13,13,5,,7,,
2022-02-14,10,4,,3,,
2022-02-15,10,6,,5,,
2022-02-16,15,2,,3,,
2022-02-17,4,3,,4,,
2022-02-18,5,3,,3,,
2022-02-19,8,7,,4,,
2022-02-20,14,4,,4,,
2022-02-21,10,2,,5,,
2022-02-22,6,5,,6,,
2022-02-23,13,7,,5,,
2022-02-24,16,5,,1,,
2022-02-25,12,7,,3,,
2022-02-26,17,5,,4,,
2022-02-27,14,3,,5,,
2022-02-28,7,6,,14,,
2022-03-01,17,6,,3,,
2022-03-02,13,8,,11,,
2022-03-03,20,5,,7,,
2022-03-04,11,3,,4,,
2022-03-05,7,16,,10,,
2022-03-06,32,4,,5,,
2022-03-07,13,7,,9,,
2022-03-08,20,13,,11,,
2022-03-09,35,6,,12,,
2022-03-10,16,5,,10,,
2022-03-11,13,6,,8,,
2022-03-12,17,13,,10,,
2022-03-13,37,4,,9,,
2022-03-14,11,3,,1,,
2022-03-15,7,5,,5,,
2022-03-16,14,5,,3,,
2022-03-17,14,11,,18,,
2022-03-18,35,5,,7,,
2022-03-19,21,8,,9,,
2022-03-20,30,3,,8,,
2022-03-21,9,3,,10,,
2022-03-22,11,8,,10,,
2022-03-23,30,12,,12,,
2022-03-24,44,10,,11,,
2022-03-25,25,17,,12,,
2022-03-26,45,20,,19,,
2022-03-27,57,16,,14,,
2022-03-28,56,7,,9,,
2022-03-29,26,7,,7,,
2022-03-30,24,8,,4,,
2022-03-31,,5,,5,,
2022-03-31,23,12,,11,,
2022-04-01,12,6,,2,,
2022-04-01,38,9,,2,,
2022-04-02,17,10,,9,,
2022-04-02,29,5,,1,,
2022-04-03,27,4,,6,,
2022-04-03,14,,,,,
2022-04-04,9,4,,7,,
