time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,16,14,19,,,
2021-01-01,20,12,19,,,
2021-01-02,13,12,19,,,
2021-01-02,16,14,19,,,
2021-01-03,15,14,19,,,
2021-01-03,13,12,19,,,
2021-01-04,16,15,19,,,
2021-01-04,15,14,19,,,
2021-01-05,28,16,20,,,
2021-01-05,16,,,,,
2021-01-06,28,16,19,,,
2021-01-07,25,18,17,,,
2021-01-08,22,19,21,,,
2021-01-09,22,30,26,,,
2021-01-10,50,23,18,,,
2021-01-11,40,19,19,,,
2021-01-12,25,14,21,,,
2021-01-13,20,13,20,,,
2021-01-14,18,24,18,,,
2021-01-15,21,21,19,,,
2021-01-16,15,14,16,,,
2021-01-17,16,15,18,,,
2021-01-18,19,17,20,,,
2021-01-19,33,17,17,,,
2021-01-20,27,17,19,,,
2021-01-21,32,21,17,,,
2021-01-22,28,18,14,,,
2021-01-23,21,16,15,,,
2021-01-24,20,43,16,,,
2021-01-25,25,48,16,,,
2021-01-26,31,12,20,,,
2021-01-27,25,14,18,,,
2021-01-28,23,13,17,,,
2021-01-29,18,12,20,,,
2021-01-30,15,14,19,,,
2021-01-31,15,15,18,,,
2021-02-01,12,19,21,,,
2021-02-02,22,19,20,,,
2021-02-03,18,21,21,,,
2021-02-04,17,15,18,,,
2021-02-05,29,17,17,,,
2021-02-06,17,41,19,,,
2021-02-07,27,12,18,,,
2021-02-08,29,8,17,,,
2021-02-09,22,3,17,,,
2021-02-10,7,3,17,,,
2021-02-11,9,4,18,,,
2021-02-12,7,6,20,,,
2021-02-13,12,13,20,,,
2021-02-14,14,7,17,,,
2021-02-15,9,8,14,,,
2021-02-16,10,11,14,,,
2021-02-17,13,13,17,,,
2021-02-18,12,10,17,,,
2021-02-19,11,9,16,,,
2021-02-20,12,15,16,,,
2021-02-21,15,12,14,,,
2021-02-22,10,12,19,,,
2021-02-23,13,9,16,,,
2021-02-24,17,12,15,,,
2021-02-25,13,15,16,,,
2021-02-26,12,12,14,,,
2021-02-27,11,13,15,,,
2021-02-28,17,12,14,,,
2021-03-01,14,9,16,,,
2021-03-02,10,10,16,,,
2021-03-03,11,11,18,,,
2021-03-04,9,7,16,,,
2021-03-05,7,7,15,,,
2021-03-06,11,9,16,,,
2021-03-07,15,7,14,,,
2021-03-08,11,8,13,,,
2021-03-09,9,9,14,,,
2021-03-10,12,8,14,,,
2021-03-11,11,5,15,,,
2021-03-12,10,9,14,,,
2021-03-13,18,13,18,,,
2021-03-14,23,3,16,,,
2021-03-15,11,5,16,,,
2021-03-16,14,4,15,,,
2021-03-17,9,4,14,,,
2021-03-18,13,6,10,,,
2021-03-19,11,7,15,,,
2021-03-20,10,5,14,,,
2021-03-21,13,5,14,,,
2021-03-22,12,5,15,,,
2021-03-23,10,6,17,,,
2021-03-24,11,10,17,,,
2021-03-25,13,3,13,,,
2021-03-26,11,4,14,,,
2021-03-27,12,7,14,,,
2021-03-28,11,8,13,,,
2021-03-29,10,7,17,,,
2021-03-30,10,4,16,,,
2021-03-31,8,4,16,,,
2021-04-01,,7,16,,,
