time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,29,44,32,1,1,
2021-01-01,23,26,25,1,,
2021-01-02,41,42,30,1,1,
2021-01-02,18,46,32,1,1,
2021-01-03,59,59,43,1,1,
2021-01-03,29,29,27,1,,
2021-01-04,73,51,45,1,,
2021-01-04,24,34,31,1,1,
2021-01-05,76,58,39,1,,
2021-01-05,29,,,,,
2021-01-06,68,65,35,1,,
2021-01-07,79,121,31,1,,
2021-01-08,57,25,31,26,,
2021-01-09,16,33,31,,,
2021-01-10,22,,,,,
2021-01-17,,18,12,1,1,
2021-01-18,43,9,11,1,1,
2021-01-19,21,10,21,,,
2021-01-20,22,12,20,1,,
2021-01-21,31,13,22,1,,
2021-01-22,38,10,24,1,,
2021-01-23,22,8,25,1,,
2021-01-24,25,14,25,1,1,
2021-01-25,37,9,22,1,1,
2021-01-26,19,9,25,1,1,
2021-01-27,17,15,26,1,1,
2021-01-28,19,16,26,1,,
2021-01-29,20,21,28,1,1,
2021-01-30,24,28,27,1,1,
2021-01-31,31,34,33,1,1,
2021-02-01,38,40,26,1,1,
2021-02-02,36,39,36,1,1,
2021-02-03,41,25,30,1,1,
2021-02-04,38,27,28,1,1,
2021-02-05,38,12,19,1,1,
2021-02-06,23,8,22,1,1,
2021-02-07,17,8,26,1,1,
2021-02-08,20,11,21,1,1,
2021-02-09,21,12,23,1,1,
2021-02-10,20,33,28,1,1,
2021-02-11,23,11,26,1,1,
2021-02-12,9,19,26,1,1,
2021-02-13,16,28,31,1,1,
2021-02-14,21,37,33,1,1,
2021-02-15,30,41,27,1,1,
2021-02-16,34,17,25,1,1,
2021-02-17,16,17,22,1,,
2021-02-18,22,15,26,1,,
2021-02-19,21,10,19,1,1,
2021-02-20,26,11,18,1,1,
2021-02-21,25,7,26,1,1,
2021-02-22,14,9,20,1,1,
2021-02-23,17,6,22,1,1,
2021-02-24,14,8,23,1,1,
2021-02-25,16,10,25,1,1,
2021-02-26,11,9,24,1,1,
2021-02-27,11,18,22,1,1,
2021-02-28,17,18,19,1,,
2021-03-01,34,14,23,1,1,
2021-03-02,23,19,26,1,1,
2021-03-03,15,15,26,1,1,
2021-03-04,13,15,25,1,1,
2021-03-05,15,21,25,1,1,
2021-03-06,18,25,24,1,1,
2021-03-07,20,23,25,1,1,
2021-03-08,18,29,22,1,1,
2021-03-09,,7,27,1,1,
2021-03-09,29,11,19,1,1,
2021-03-10,6,15,27,1,1,
2021-03-10,27,10,18,1,1,
2021-03-11,14,7,24,1,1,
2021-03-11,33,9,19,1,1,
2021-03-12,13,9,14,1,1,
2021-03-12,29,8,20,1,1,
2021-03-13,24,10,16,1,1,
2021-03-13,24,15,15,1,1,
2021-03-14,33,13,13,1,1,
2021-03-14,46,9,24,1,1,
2021-03-15,42,8,18,1,1,
2021-03-15,24,7,28,1,1,
2021-03-16,25,11,23,1,1,
2021-03-16,16,12,24,1,1,
2021-03-17,28,13,27,1,1,
2021-03-17,17,6,21,1,1,
2021-03-18,20,13,27,1,1,
2021-03-18,12,6,25,1,1,
2021-03-19,17,59,27,1,1,
