time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,22,,13,0,,1
2021-01-02,15,,11,0,,1
2021-01-03,16,,11,0,,1
2021-01-04,16,,15,0,,1
2021-01-05,24,,10,0,,1
2021-01-06,18,,9,1,,1
2021-01-07,18,,9,1,,1
2021-01-08,19,,9,0,,1
2021-01-09,13,,20,0,,1
2021-01-10,25,,17,0,,1
2021-01-11,21,,10,0,,1
2021-01-12,12,,12,0,,1
2021-01-13,23,,12,1,,1
2021-01-14,25,,9,0,,1
2021-01-15,19,,7,0,,1
2021-01-16,12,,9,0,,1
2021-01-17,17,,10,0,,1
2021-01-18,19,,11,0,,1
2021-01-19,17,,11,1,,1
2021-01-20,19,,10,1,,1
2021-01-21,20,,,,,
2021-01-23,,,11,0,,1
2021-01-24,19,,11,0,,1
2021-01-25,15,,11,1,,1
2021-01-26,17,,12,0,,1
2021-01-27,9,,14,0,,1
2021-01-28,11,,12,0,,1
2021-01-29,,,13,0,,1
2021-01-29,22,,11,0,,1
2021-01-30,15,,15,1,,1
2021-01-30,18,,13,0,,1
2021-01-31,12,,14,0,,1
2021-01-31,25,,17,0,,1
2021-02-01,18,,13,0,,1
2021-02-01,33,,14,0,,1
2021-02-02,18,,13,0,,1
2021-02-02,44,,9,0,,1
2021-02-03,13,,16,0,,1
2021-02-03,19,,15,0,,1
2021-02-04,19,,15,0,,1
2021-02-04,39,,15,0,,1
2021-02-05,21,,12,1,,1
2021-02-05,32,,11,0,,1
2021-02-06,23,,10,1,,1
2021-02-06,32,,10,0,,1
2021-02-07,23,,12,0,,1
2021-02-07,17,,7,1,,1
2021-02-08,24,,11,1,,1
2021-02-08,19,,8,0,,1
2021-02-09,22,,7,2,,2
2021-02-09,21,,11,0,,1
2021-02-10,31,,11,1,,1
2021-02-10,14,,10,0,,1
2021-02-11,18,,11,0,,1
2021-02-11,14,,12,0,,1
2021-02-12,11,,13,0,,1
2021-02-12,16,,13,0,,1
2021-02-13,15,,14,1,,1
2021-02-13,19,,12,0,,1
2021-02-14,16,,13,2,,1
2021-02-14,18,,9,1,,1
2021-02-15,21,,12,3,,2
2021-02-15,29,,11,0,,1
2021-02-16,24,,12,3,,2
2021-02-16,24,,11,0,,1
2021-02-17,24,,14,0,,1
2021-02-17,14,,11,0,,1
2021-02-18,13,,15,,,1
2021-02-18,8,,13,0,,1
2021-02-19,13,,14,0,,1
2021-02-19,21,,11,0,,1
2021-02-20,16,,13,0,,1
2021-02-20,12,,7,1,,1
2021-02-21,21,,13,0,,1
2021-02-21,15,,9,1,,1
2021-02-22,17,,11,1,,1
2021-02-22,16,,4,1,,1
2021-02-23,18,,15,0,,1
2021-02-23,22,,10,0,,0
2021-02-24,16,,14,1,,1
2021-02-24,19,,13,0,,1
2021-02-25,20,,13,2,0,1
2021-02-25,21,,14,0,,0
2021-02-26,26,,11,3,0,2
2021-02-26,10,,12,0,,0
2021-02-27,37,,16,0,,1
2021-02-27,18,,13,0,,1
2021-02-28,8,,15,0,,1
2021-02-28,17,,11,1,,1
2021-03-01,11,,15,1,,1
2021-03-01,25,,8,1,,1
2021-03-02,20,,14,1,,1
2021-03-02,26,,13,0,,2
2021-03-03,16,,14,0,,1
2021-03-03,18,,13,0,,1
2021-03-04,22,,14,0,,1
2021-03-04,18,,12,0,,1
2021-03-05,20,,15,0,,1
2021-03-05,15,,11,1,,1
2021-03-06,22,,15,3,,1
2021-03-06,21,,9,1,,1
2021-03-07,20,,15,3,,1
2021-03-07,26,,8,1,,1
2021-03-08,23,,16,0,,1
2021-03-08,19,,8,1,,1
2021-03-09,14,,15,0,,1
2021-03-09,20,,8,0,,1
2021-03-10,17,,14,0,,1
2021-03-10,10,,9,0,,1
2021-03-11,22,,12,1,,1
2021-03-11,12,,13,0,,1
2021-03-12,25,,14,3,,2
2021-03-12,23,,13,0,,1
2021-03-13,31,,15,0,,1
2021-03-13,24,,11,1,,1
2021-03-14,13,,14,0,,1
2021-03-14,19,,12,0,,1
2021-03-15,23,,14,2,,1
2021-03-15,18,,9,2,,1
2021-03-16,25,,14,4,,3
2021-03-16,27,,13,1,,1
2021-03-17,30,,15,1,,1
2021-03-17,23,,10,1,,1
2021-03-18,24,,17,1,,1
2021-03-18,17,,9,0,,1
2021-03-19,20,,17,1,,1
2021-03-19,25,,12,2,,1
2021-03-20,15,,16,1,,1
2021-03-20,27,,14,0,,1
2021-03-21,23,,15,1,,1
2021-03-21,17,,14,,,1
2021-03-22,25,,16,0,,1
2021-03-22,11,,14,0,,1
2021-03-23,21,,16,1,,1
2021-03-23,12,,13,0,,1
2021-03-24,23,,18,1,,1
2021-03-24,23,,11,0,,1
2021-03-25,15,,16,1,,1
2021-03-25,15,,13,0,21,1
2021-03-26,24,,15,1,,1
2021-03-26,17,,12,0,,1
2021-03-27,11,,16,0,,1
2021-03-27,15,,15,0,,1
2021-03-28,17,,17,0,,1
2021-03-28,20,,12,1,,1
2021-03-29,12,,16,0,,1
2021-03-29,21,,12,1,,1
2021-03-30,12,,12,0,,1
2021-03-30,18,,12,1,,1
2021-03-31,18,,15,0,,1
2021-03-31,22,,,,,
2021-04-01,24,,13,0,,1
2021-04-02,26,,9,2,,1
2021-04-03,28,,15,2,,1
2021-04-04,31,,16,2,,1
2021-04-05,27,,21,1,,1
2021-04-06,34,,19,0,,1
2021-04-07,19,,16,0,,1
2021-04-08,17,,17,0,,1
2021-04-09,18,,16,0,,1
2021-04-10,25,,16,0,,1
2021-04-11,26,,17,1,,1
2021-04-12,31,,16,0,,1
2021-04-13,27,,16,0,,1
2021-04-14,29,,18,0,,1
2021-04-15,25,,19,0,,1
2021-04-16,21,,19,0,,1
2021-04-17,26,,20,1,,1
2021-04-18,34,,19,1,,1
2021-04-19,36,,15,0,,1
2021-04-20,15,,14,0,,1
2021-04-21,8,,14,0,,1
2021-04-22,20,,13,0,,1
2021-04-23,13,,17,0,,1
2021-04-24,22,,17,0,,1
2021-04-25,20,,18,0,,1
2021-04-26,26,,13,0,,1
2021-04-27,15,,15,0,,1
2021-04-28,24,,15,0,,1
2021-04-29,18,,14,0,,1
2021-04-30,13,,,,,
2021-05-05,,,13,0,,1
2021-05-06,15,,15,0,,1
2021-05-07,24,,15,0,,1
2021-05-08,18,,14,0,,1
2021-05-09,13,,11,0,,1
2021-05-10,15,,12,0,,1
2021-05-11,15,,14,0,,1
2021-05-12,17,,15,0,,1
2021-05-13,19,,13,0,,1
2021-05-14,24,,16,0,,1
2021-05-15,17,,14,0,,1
