time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,11,10,21,,,
2021-01-01,11,10,21,,,
2021-01-02,12,14,27,,,
2021-01-02,12,14,27,,,
2021-01-03,13,,30,,,
2021-01-03,13,,30,,,
2021-01-04,13,,29,,,
2021-01-04,13,,,,,
2021-01-05,32,12,33,,,
2021-01-06,30,14,34,,,
2021-01-07,18,37,39,,,
2021-01-08,40,39,34,,,
2021-01-09,68,41,37,,,
2021-01-10,60,37,34,,,
2021-01-11,43,9,31,,,
2021-01-12,12,14,31,,,
2021-01-13,8,12,30,,,
2021-01-14,12,9,25,,,
2021-01-15,12,11,28,,,
2021-01-16,10,9,24,,,
2021-01-17,13,9,21,,,
2021-01-18,12,11,17,,,
2021-01-19,14,10,22,,,
2021-01-20,17,6,20,,,
2021-01-21,12,9,21,,,
2021-01-22,21,13,26,,,
2021-01-23,31,14,23,,,
2021-01-24,31,10,27,,,
2021-01-25,14,10,28,,,
2021-01-26,11,10,37,,,
2021-01-27,15,9,25,,,
2021-01-28,20,9,16,,,
2021-01-29,13,10,25,,,
2021-01-30,11,15,27,,,
2021-01-31,14,11,26,,,
2021-02-01,11,11,25,,,
2021-02-02,10,10,24,,,
2021-02-03,7,13,23,,,
2021-02-04,11,13,26,,,
2021-02-05,14,15,28,,,
2021-02-06,15,24,24,,,
2021-02-07,18,26,32,,,
2021-02-08,19,11,26,,,
2021-02-09,9,7,23,,,
2021-02-10,9,9,25,,,
2021-02-11,14,9,20,,,
2021-02-12,10,11,30,,,
2021-02-13,8,11,25,,,
2021-02-14,10,8,26,,,
2021-02-15,6,10,29,,,
2021-02-16,7,10,22,,,
2021-02-17,12,10,20,,,
2021-02-18,15,11,27,,,
2021-02-19,12,7,22,,,
2021-02-20,12,9,23,,,
2021-02-21,9,8,26,,,
2021-02-22,10,14,22,,,
2021-02-23,8,11,27,,,
2021-02-24,14,11,26,,,
2021-02-25,8,8,23,,,
2021-02-26,9,9,23,,,
2021-02-27,8,10,28,,,
2021-02-28,9,9,28,,,
2021-03-01,15,10,26,,,
2021-03-02,8,14,25,,,
2021-03-03,12,8,25,,,
2021-03-04,9,9,24,,,
2021-03-05,8,11,28,,,
2021-03-06,9,9,27,,,
2021-03-07,9,10,23,,,
2021-03-08,4,11,26,,,
2021-03-09,9,13,25,,,
2021-03-10,14,14,25,,,
2021-03-11,11,9,28,,,
2021-03-12,15,11,19,,,
2021-03-13,27,8,18,,,
2021-03-14,17,9,22,,,
2021-03-15,13,11,19,,,
2021-03-16,10,10,20,,,
2021-03-17,15,7,27,,,
2021-03-18,5,10,28,,,
2021-03-19,5,8,24,,,
2021-03-20,9,8,27,,,
2021-03-21,7,12,28,,,
2021-03-22,10,9,27,,,
2021-03-23,7,16,26,,,
2021-03-24,12,20,28,,,
2021-03-25,21,8,24,,,
2021-03-26,8,11,24,,,
2021-03-27,,8,28,,,
2021-03-27,11,9,18,,,
2021-03-28,7,8,18,,,
2021-03-28,9,9,22,,,
2021-03-29,13,8,19,,,
2021-03-29,22,10,20,,,
2021-03-30,16,9,16,,,
2021-03-30,24,9,24,,,
2021-03-31,16,8,22,,,
2021-03-31,16,7,25,,,
2021-04-01,11,10,19,,,
2021-04-01,8,8,25,,,
2021-04-02,15,8,25,,,
2021-04-02,7,8,25,,,
2021-04-03,12,10,25,,,
2021-04-03,7,6,28,,,
2021-04-04,14,9,27,,,
2021-04-04,9,7,29,,,
2021-04-05,15,18,32,,,
2021-04-05,10,,,,,
2021-04-06,19,42,31,,,
2021-04-07,78,9,29,,,
2021-04-08,33,5,30,,,
2021-04-09,10,5,30,,,
2021-04-10,13,6,26,,,
2021-04-11,14,4,27,,,
2021-04-12,16,7,28,,,
2021-04-13,14,6,28,,,
2021-04-14,10,4,23,,,
2021-04-15,10,9,23,,,
2021-04-16,21,8,22,,,
2021-04-17,28,11,21,,,
2021-04-18,26,12,22,,,
2021-04-19,27,9,,,,
2021-04-20,21,9,26,,,
2021-04-21,19,12,22,,,
2021-04-22,37,13,16,,,
2021-04-23,44,10,28,,,
2021-04-24,27,4,22,,,
2021-04-25,7,5,15,,,
2021-04-26,17,7,23,,,
2021-04-27,17,10,28,,,
2021-04-28,23,9,24,,,
2021-04-29,23,9,27,,,
2021-04-30,13,7,25,,,
2021-05-01,10,7,26,,,
2021-05-02,8,6,28,,,
2021-05-03,8,7,29,,,
2021-05-04,13,9,29,,,
2021-05-05,13,8,29,,,
2021-05-06,14,10,32,,,
2021-05-07,12,,27,,,
2021-05-08,8,,33,,,
2021-05-09,11,6,30,,,
2021-05-10,23,9,33,,,
2021-05-11,29,5,35,,,
2021-05-12,19,4,34,,,
2021-05-13,9,3,32,,,
2021-05-14,6,5,31,,,
2021-05-15,5,9,31,,,
2021-05-16,7,6,29,,,
2021-05-17,8,5,35,,,
2021-05-18,8,6,60,,,
2021-05-19,5,5,34,,,
2021-05-20,6,4,24,,,
2021-05-21,11,6,30,,,
2021-05-22,16,5,29,,,
2021-05-23,14,4,29,,,
2021-05-24,9,4,28,,,
2021-05-25,11,6,31,,,
2021-05-26,13,10,34,,,
2021-05-27,15,10,37,,,
2021-05-28,12,9,36,,,
2021-05-29,12,12,39,,,
2021-05-30,20,14,29,,,
2021-05-31,20,5,26,,,
2021-06-01,16,5,35,,,
2021-06-02,11,7,32,,,
2021-06-03,15,14,26,,,
2021-06-04,24,9,29,,,
2021-06-05,23,5,31,,,
2021-06-06,10,5,32,,,
2021-06-07,15,6,30,,,
2021-06-08,18,8,,,,
2021-06-09,23,8,,,,
2021-06-10,17,11,,,,
2021-06-11,22,7,,,,
2021-06-12,11,6,,,,
2021-06-13,9,7,33,,,
2021-06-14,12,11,30,,,
