time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,31,,,,,
2021-01-01,32,,,,,
2021-01-02,39,,,,,
2021-01-02,31,,,,,
2021-01-03,38,,,,,
2021-01-03,39,,,,,
2021-01-04,21,,,,,
2021-01-04,38,,,,,
2021-01-05,37,,,,,
2021-01-05,21,,,,,
2021-01-06,48,,,,,
2021-01-07,54,,,,,
2021-01-08,43,,,,,
2021-01-09,40,,,,,
2021-01-10,49,,,,,
2021-01-11,49,,,,,
2021-01-12,50,,,,,
2021-01-13,48,,,,,
2021-01-14,52,,,,,
2021-01-15,38,,,,,
2021-01-16,34,,,,,
2021-01-17,23,,,,,
2021-01-18,35,,,,,
2021-01-19,30,,,,,
2021-01-20,34,,,,,
2021-01-21,27,,,,,
2021-01-22,24,,,,,
2021-01-23,29,,,,,
2021-01-24,21,,,,,
2021-01-25,29,,,,,
2021-01-26,25,,,,,
2021-01-27,14,,,,,
2021-01-28,14,,,,,
2021-01-29,17,,,,,
2021-01-30,23,,,,,
2021-01-31,36,,,,,
2021-02-01,22,,,,,
2021-02-02,25,,,,,
2021-02-03,25,,,,,
2021-02-04,30,,,,,
2021-02-05,27,,,,,
2021-02-06,20,,,,,
2021-02-07,22,,,,,
2021-02-08,21,,,,,
2021-02-09,39,,,,,
2021-02-10,31,,,,,
2021-02-11,34,,,,,
2021-02-12,30,,,,,
2021-02-13,30,,,,,
2021-02-14,45,,,,,
2021-02-15,36,,,,,
2021-02-16,26,,,,,
2021-02-17,32,,,,,
2021-02-18,31,,,,,
2021-02-19,31,,,,,
2021-02-20,31,,,,,
2021-02-21,29,,,,,
2021-02-22,18,,,,,
2021-02-23,29,,,,,
2021-02-24,30,,,,,
2021-02-25,38,,,,,
2021-02-26,40,,,,,
2021-02-27,58,,,,,
2021-02-28,24,,,,,
2021-03-01,17,,,,,
2021-03-02,21,,,,,
2021-03-03,23,,,,,
2021-03-04,16,,,,,
2021-03-05,17,,,,,
2021-03-06,21,,,,,
2021-03-07,27,,,,,
2021-03-08,19,,,,,
2021-03-09,30,,,,,
2021-03-10,47,,,,,
2021-03-11,40,,,,,
2021-03-12,43,,,,,
2021-03-13,32,,,,,
2021-03-14,31,,,,,
2021-03-15,60,,,,,
2021-03-16,23,,,,,
2021-03-17,24,,,,,
2021-03-18,37,,,,,
2021-03-19,29,,,,,
2021-03-20,28,,,,,
2021-03-21,34,,,,,
2021-03-22,25,,,,,
2021-03-23,33,,,,,
2021-03-24,32,,,,,
2021-03-25,37,,,,,
2021-03-26,43,,,,,
2021-03-27,41,,,,,
2021-03-28,40,,,,,
2021-03-29,33,,,,,
2021-03-30,34,,,,,
2021-03-31,34,,,,,
2021-04-01,44,,,,,
2021-04-02,28,,,,,
2021-04-02,15,,,,,
2021-04-03,31,,,,,
2021-04-03,20,,,,,
2021-04-04,21,,,,,
2021-04-04,26,,,,,
2021-04-05,22,,,,,
2021-04-05,32,,,,,
2021-04-06,20,,,,,
2021-04-07,22,,,,,
2021-04-08,19,,,,,
2021-04-09,21,,,,,
2021-04-10,29,,,,,
2021-04-11,40,,,,,
2021-04-12,30,,,,,
2021-04-13,20,,,,,
2021-04-14,28,,,,,
2021-04-15,33,,,,,
2021-04-16,29,,,,,
2021-04-17,38,,,,,
2021-04-18,16,,,,,
2021-04-19,17,,,,,
2021-04-20,30,,,,,
2021-04-21,36,,,,,
2021-04-22,65,,,,,
2021-04-23,68,,,,,
2021-04-24,42,,,,,
2021-04-25,26,,,,,
2021-04-26,39,,,,,
2021-04-27,35,,,,,
2021-04-28,45,,,,,
2021-04-29,37,,,,,
2021-04-30,18,,,,,
2021-05-01,24,,,,,
2021-05-02,37,,,,,
2021-05-03,37,,,,,
2021-05-04,34,,,,,
2021-05-05,38,,,,,
2021-05-06,26,,,,,
2021-05-07,53,,,,,
2021-05-08,67,,,,,
2021-05-09,76,,,,,
2021-05-10,18,,,,,
2021-05-11,15,,,,,
2021-05-12,31,,,,,
2021-05-13,17,,,,,
2021-05-14,19,,,,,
2021-05-15,27,,,,,
2021-05-16,20,,,,,
2021-05-17,31,,,,,
2021-05-18,37,,,,,
2021-05-19,38,,,,,
2021-05-20,31,,,,,
2021-05-21,35,,,,,
2021-05-22,36,,,,,
2021-05-23,38,,,,,
2021-05-24,52,,,,,
2021-05-25,42,,,,,
2021-05-26,61,,,,,
2021-05-27,68,,,,,
2021-05-28,38,,,,,
2021-05-29,23,,,,,
2021-05-30,33,,,,,
2021-05-31,33,,,,,
2021-06-01,25,,,,,
2021-06-02,34,,,,,
2021-06-03,41,,,,,
2021-06-04,35,,,,,
2021-06-05,41,,,,,
2021-06-06,36,,,,,
2021-06-07,50,,,,,
2021-06-08,48,,,,,
2021-06-09,51,,,,,
2021-06-10,43,,,,,
2021-06-11,45,,,,,
2021-06-12,71,,,,,
2021-06-13,53,,,,,
2021-06-14,51,,,,,
2021-06-15,20,,,,,
2021-06-16,20,,,,,
2021-06-17,39,,,,,
2021-06-18,42,,,,,
2021-06-19,62,,,,,
2021-06-20,72,,,,,
2021-06-21,39,,,,,
2021-06-22,42,,,,,
2021-06-23,63,,,,,
2021-06-24,36,,,,,
2021-06-25,28,,,,,
2021-06-26,27,,,,,
2021-06-28,21,,,,,
2021-06-29,37,,,,,
