time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,12,,35,5,,
2021-01-01,13,,27,6,,
2021-01-02,25,,33,5,,
2021-01-02,12,,35,5,,
2021-01-03,17,,36,5,,
2021-01-03,25,,33,5,,
2021-01-04,32,,35,3,,
2021-01-04,17,,36,5,,
2021-01-05,50,,36,2,,
2021-01-05,32,,,,,
2021-01-06,28,,38,8,,
2021-01-07,33,,43,8,,
2021-01-08,47,,38,6,,
2021-01-09,45,,31,6,,
2021-01-10,36,,33,1,,
2021-01-11,14,,34,1,,
2021-01-12,8,,32,5,,
2021-01-13,11,,33,1,,
2021-01-14,10,,28,3,,
2021-01-15,8,,30,3,,
2021-01-16,9,,23,1,,
2021-01-17,8,,20,1,,
2021-01-18,9,,21,5,,
2021-01-19,11,,27,1,,
2021-01-20,9,,24,3,,
2021-01-21,10,,23,1,,
2021-01-22,13,,26,5,,
2021-01-23,23,,35,1,,
2021-01-24,13,,27,1,,
2021-01-25,13,,29,16,,
2021-01-26,29,,41,7,,
2021-01-27,25,,27,8,,
2021-01-28,14,,26,6,,
2021-01-29,9,,29,7,,
2021-01-30,14,,31,4,,
2021-01-31,12,,32,7,,
2021-02-01,11,,32,1,,
2021-02-02,6,,29,2,,
2021-02-03,11,,28,5,,
2021-02-04,18,,32,5,,
2021-02-05,12,,31,1,,
2021-02-06,9,,30,1,,
2021-02-07,9,,35,1,,
2021-02-08,8,,18,4,,
2021-02-09,18,,24,5,,
2021-02-10,14,,31,1,,
2021-02-11,7,,32,2,,
2021-02-12,8,,35,1,,
2021-02-13,9,,31,2,,
2021-02-14,10,,29,1,,
2021-02-15,7,,27,1,,
2021-02-16,9,,28,1,,
2021-02-17,5,,27,1,,
2021-02-18,10,,31,1,,
2021-02-19,7,,28,5,,
2021-02-20,11,,30,9,,
2021-02-21,11,,25,14,,
2021-02-22,14,,30,8,,
2021-02-23,15,,29,7,,
2021-02-24,12,,34,1,,
2021-02-25,10,,27,5,,
2021-02-26,11,,30,2,,
2021-02-27,7,,30,2,,
2021-02-28,7,,31,4,,
2021-03-01,9,,32,1,,
2021-03-02,8,,29,2,,
2021-03-03,11,,27,4,,
2021-03-04,9,,34,7,,
2021-03-05,11,,28,12,,
2021-03-06,16,,29,8,,
2021-03-07,9,,30,10,,
2021-03-08,11,,31,11,,
2021-03-09,12,,35,1,,
2021-03-10,9,,33,2,,
2021-03-11,7,,25,4,,
2021-03-12,8,,24,5,,
2021-03-13,9,,25,3,,
2021-03-14,13,,32,1,,
2021-03-15,8,,30,3,,
2021-03-16,8,,31,3,,
2021-03-17,7,,30,1,,
2021-03-18,7,,34,1,,
2021-03-19,8,,32,2,,
2021-03-20,8,,31,1,,
2021-03-21,9,,33,1,,
2021-03-22,9,,28,1,,
2021-03-23,6,,29,1,,
2021-03-24,9,,30,2,,
2021-03-25,8,,32,1,,
2021-03-26,6,,33,1,,
2021-03-27,6,,32,1,,
2021-03-28,8,,24,7,,
2021-03-29,15,,13,22,,
2021-03-30,37,,27,8,,
2021-03-31,13,,33,1,,
2021-04-01,,,33,1,,
2021-04-01,8,,33,5,,
2021-04-02,5,,32,3,,
2021-04-02,9,,33,12,,
2021-04-03,9,,32,4,,
2021-04-03,19,,32,1,,
2021-04-04,15,,32,12,,
2021-04-04,8,,32,1,,
2021-04-05,14,,28,3,,
2021-04-05,7,,,,,
2021-04-06,14,,23,9,,
2021-04-07,13,,30,11,,
2021-04-08,18,,35,1,,
2021-04-09,8,,35,1,,
2021-04-10,8,,34,1,,
2021-04-11,11,,30,1,,
2021-04-12,9,,32,1,,
2021-04-13,9,,29,4,,
2021-04-14,10,,31,3,,
2021-04-15,11,,28,2,,
2021-04-16,10,,32,1,,
2021-04-17,11,,34,1,,
2021-04-18,9,,30,3,,
2021-04-19,5,,25,2,,
2021-04-20,18,,22,5,,
2021-04-21,25,,32,5,,
2021-04-22,16,,29,13,,
2021-04-23,25,,27,6,,
2021-04-24,17,,35,2,,
2021-04-25,11,,34,1,,
2021-04-26,8,,35,1,,
2021-04-27,7,,31,4,,
2021-04-28,11,,37,2,,
2021-04-29,11,,36,1,,
2021-04-30,6,,35,1,,
2021-05-01,7,,30,2,,
2021-05-02,6,,29,3,,
2021-05-03,10,,30,2,,
2021-05-04,9,,28,4,,
2021-05-05,12,,24,6,,
2021-05-06,21,,23,10,,
2021-05-07,27,,23,4,,
2021-05-08,23,,26,5,,
2021-05-09,34,,28,2,,
2021-05-10,21,,27,3,,
2021-05-11,16,,32,3,,
2021-05-12,18,,32,3,,
2021-05-13,16,,34,11,,
2021-05-14,27,,31,4,,
2021-05-15,7,,25,16,,
2021-05-16,15,,33,3,,
2021-05-17,11,,34,1,,
2021-05-18,9,,33,1,,
2021-05-19,7,,34,1,,
2021-05-20,9,,33,1,,
2021-05-21,8,,35,2,,
2021-05-22,8,,34,5,,
2021-05-23,11,,36,5,,
2021-05-24,15,,35,,,
2021-05-25,8,,34,,,
2021-05-26,6,,35,,,
2021-05-27,8,,34,,,
2021-05-28,9,,34,1,,
2021-05-29,6,,35,3,,
2021-05-30,9,,33,10,,
2021-05-31,12,,36,7,,
2021-06-01,11,,36,1,,
2021-06-02,10,,40,2,,
2021-06-03,26,,40,10,,
2021-06-04,17,,35,1,,
2021-06-05,12,,34,4,,
2021-06-06,12,,33,17,,
2021-06-07,37,,38,11,,
2021-06-08,42,,26,4,,
2021-06-09,31,,36,1,,
2021-06-10,14,,34,5,,
2021-06-11,13,,29,3,,
2021-06-12,10,,32,8,,
2021-06-13,16,,40,20,,
2021-06-14,44,,37,10,,
2021-06-15,27,,36,2,,
2021-06-16,12,,40,2,,
2021-06-17,12,,39,11,,
2021-06-18,17,,33,1,,
2021-06-19,11,,34,3,,
2021-06-20,10,,36,3,,
2021-06-21,11,,30,2,,
2021-06-22,14,,36,4,,
2021-06-23,11,,36,1,,
2021-06-24,12,,40,1,,
2021-06-25,22,,36,1,,
2021-06-26,6,,38,6,,
2021-06-27,15,,42,3,,
2021-06-28,13,,42,4,,
2021-06-29,15,,43,4,,
2021-06-30,18,,39,7,,
2021-07-01,,,42,3,,
2021-07-01,16,,,,,
2021-07-02,13,,42,4,,
2021-07-03,15,,43,4,,
2021-07-04,18,,39,7,,
2021-07-05,16,,36,5,,
2021-07-06,16,,31,1,,
2021-07-07,13,,33,1,,
2021-07-08,9,,39,1,,
2021-07-09,14,,36,3,,
2021-07-10,10,,37,6,,
2021-07-11,16,,39,1,,
2021-07-12,10,,31,1,,
2021-07-13,10,,32,1,,
2021-07-14,9,,31,1,,
2021-07-15,8,,25,1,,
2021-07-16,9,,29,2,,
2021-07-17,7,,37,2,,
2021-07-18,10,,39,1,,
2021-07-19,11,,35,2,,
2021-07-20,9,,36,1,,
2021-07-21,10,,39,5,,
2021-07-22,15,,42,7,,
2021-07-23,21,,26,2,,
2021-07-24,17,,39,4,,
2021-07-25,14,,39,1,,
2021-07-26,13,,35,5,,
2021-07-27,13,,27,2,,
2021-07-28,11,,37,3,,
2021-07-29,9,,35,4,,
2021-07-30,11,,36,4,,
2021-07-31,8,,36,4,,
2021-08-01,7,,31,1,,
2021-08-02,11,,33,1,,
2021-08-03,10,,35,4,,
2021-08-04,9,,38,4,,
2021-08-05,11,,42,3,,
2021-08-06,10,,41,5,,
2021-08-07,14,,31,1,,
2021-08-08,11,,39,2,,
2021-08-09,9,,25,1,,
2021-08-10,7,,29,2,,
2021-08-11,11,,36,6,,
2021-08-12,11,,38,4,,
2021-08-13,10,,39,3,,
2021-08-14,9,,38,2,,
2021-08-15,13,,41,1,,
2021-08-16,11,,38,4,,
2021-08-17,11,,42,4,,
2021-08-18,18,,39,2,,
2021-08-19,14,,42,2,,
2021-08-20,20,,12,1,,
2021-08-21,27,,17,1,,
2021-08-22,11,,46,1,,
2021-08-23,10,,33,1,,
2021-08-24,6,,33,1,,
2021-08-25,,,37,1,,
2021-08-26,11,,35,2,,
2021-08-27,6,,40,2,,
2021-08-28,9,,42,1,,
2021-08-29,9,,36,1,,
2021-08-30,9,,49,3,,
2021-08-31,9,,37,2,,
2021-09-01,9,,44,2,,
2021-09-02,10,,43,4,,
2021-09-03,12,,42,5,,
2021-09-04,20,,39,1,,
2021-09-05,23,,40,1,,
2021-09-06,18,,41,1,,
2021-09-07,17,,47,3,,
2021-09-08,22,,48,2,,
2021-09-09,22,,48,1,,
2021-09-10,26,,47,3,,
2021-09-11,11,,44,2,,
2021-09-12,22,,46,1,,
2021-09-13,23,,49,3,,
2021-09-14,48,,41,5,,
2021-09-15,35,,50,4,,
2021-09-16,59,,38,2,,
2021-09-17,34,,48,2,,
2021-09-18,25,,41,1,,
2021-09-19,32,,36,1,,
2021-09-20,24,,40,3,,
2021-09-21,13,,40,4,,
2021-09-22,12,,44,4,,
2021-09-23,20,,39,2,,
2021-09-24,34,,36,1,,
2021-09-25,12,,32,1,,
2021-09-26,16,,32,1,,
2021-09-27,15,,38,2,,
2021-09-28,15,,46,4,,
2021-09-29,17,,57,3,,
2021-09-30,,,42,4,,
2021-09-30,23,,42,4,,
2021-10-01,16,,42,4,,
2021-10-01,16,,42,4,,
2021-10-02,12,,43,2,,
2021-10-02,12,,43,2,,
2021-10-03,15,,45,2,,
2021-10-03,15,,45,2,,
2021-10-04,23,,40,1,,
2021-10-04,23,,,,,
2021-10-05,19,,42,2,,
2021-10-06,20,,43,5,,
2021-10-07,28,,43,3,,
2021-10-08,35,,52,3,,
2021-10-09,42,,50,1,,
2021-10-10,29,,53,4,,
2021-10-11,40,,57,3,,
2021-10-12,54,,45,1,,
2021-10-13,42,,46,2,,
2021-10-14,46,,53,4,,
2021-10-15,50,,49,2,,
2021-10-16,41,,52,3,,
2021-10-17,32,,53,3,,
2021-10-18,38,,58,4,,
2021-10-19,48,,44,5,,
2021-10-20,40,,47,2,,
2021-10-21,25,,45,4,,
2021-10-22,31,,50,3,,
2021-10-23,38,,61,2,,
2021-10-24,66,,57,2,,
2021-10-25,63,,64,4,,
2021-10-26,60,,69,4,,
2021-10-27,49,,56,3,,
2021-10-28,65,,39,2,,
