time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,,36,,,
2021-01-01,,,34,,,
2021-01-02,,,42,,,
2021-01-02,,,36,,,
2021-01-03,,,39,,,
2021-01-03,,,42,,,
2021-01-04,,,43,,,
2021-01-04,,,39,,,
2021-01-05,,,38,,,
2021-01-05,,,43,,,
2021-01-06,,,38,,,
2021-01-07,,,44,,,
2021-01-08,,,45,,,
2021-01-09,,,40,,,
2021-01-10,,,36,,,
2021-01-11,,,34,,,
2021-01-12,,,36,,,
2021-01-13,,,37,,,
2021-01-14,,,38,,,
2021-01-15,,,35,,,
2021-01-16,,,33,,,
2021-01-17,,,32,,,
2021-01-18,,,32,,,
2021-01-19,,,34,,,
2021-01-20,,,35,,,
2021-01-21,,,31,,,
2021-01-22,,,37,,,
2021-01-23,,,32,,,
2021-01-24,,,31,,,
2021-01-25,,,25,,,
2021-01-26,,,32,,,
2021-01-27,,,31,,,
2021-01-28,,,26,,,
2021-01-29,,,28,,,
2021-01-30,,,31,,,
2021-01-31,,,35,,,
2021-02-03,,,30,,,
2021-02-04,,,30,,,
2021-02-05,,,31,,,
2021-02-06,,,31,,,
2021-02-07,,,29,,,
2021-02-08,,,36,,,
2021-02-09,,,29,,,
2021-02-10,,,24,,,
2021-02-11,,,30,,,
2021-02-12,,,33,,,
2021-02-13,,,35,,,
2021-02-14,,,31,,,
2021-02-15,,,29,,,
2021-02-16,,,28,,,
2021-02-17,,,30,,,
2021-02-18,,,29,,,
2021-02-19,,,32,,,
2021-02-20,,,34,,,
2021-02-21,,,35,,,
2021-02-22,,,39,,,
2021-02-23,,,36,,,
2021-02-24,,,32,,,
2021-02-25,,,33,,,
2021-02-26,,,32,,,
2021-02-27,,,28,,,
2021-02-28,,,37,,,
2021-03-01,,,34,,,
2021-03-02,,,33,,,
2021-03-03,,,32,,,
2021-03-04,,,32,,,
2021-03-05,,,34,,,
2021-03-06,,,32,,,
2021-03-07,,,32,,,
2021-03-08,,,31,,,
2021-03-09,,,34,,,
2021-03-10,,,35,,,
2021-03-11,,,32,,,
2021-03-12,,,32,,,
2021-03-13,,,29,,,
2021-03-14,,,30,,,
2021-03-15,,,31,,,
2021-03-16,,,32,,,
2021-03-17,,,31,,,
2021-03-18,,,32,,,
2021-03-19,,,33,,,
2021-03-20,,,32,,,
2021-03-21,,,32,,,
2021-03-22,,,35,,,
2021-03-23,,,29,,,
2021-03-24,,,32,,,
2021-03-25,,,31,,,
2021-03-26,,,33,,,
2021-03-27,,,32,,,
2021-03-28,,,32,,,
2021-03-29,,,34,,,
2021-03-30,,,36,,,
2021-03-31,,,36,,,
2021-04-01,,,36,,,
2021-04-02,,,32,,,
2021-04-02,,,33,,,
2021-04-03,,,34,,,
2021-04-03,,,32,,,
2021-04-04,,,35,,,
2021-04-04,,,34,,,
2021-04-05,,,33,,,
2021-04-05,,,33,,,
2021-04-06,,,31,,,
2021-04-07,,,32,,,
2021-04-08,,,33,,,
2021-04-09,,,36,,,
2021-04-10,,,36,,,
2021-04-11,,,34,,,
2021-04-12,,,37,,,
2021-04-13,,,36,,,
2021-04-14,,,35,,,
2021-04-15,,,33,,,
2021-04-16,,,32,,,
2021-04-17,,,34,,,
2021-04-18,,,39,,,
2021-04-19,,,35,,,
2021-04-20,,,30,,,
2021-04-21,,,31,,,
2021-04-22,,,30,,,
2021-04-23,,,33,,,
2021-04-24,,,35,,,
2021-04-25,,,36,,,
2021-04-26,,,33,,,
2021-04-27,,,35,,,
2021-04-28,,,34,,,
2021-04-29,,,37,,,
2021-04-30,,,38,,,
2021-05-01,,,42,,,
2021-05-02,,,36,,,
2021-05-03,,,33,,,
2021-05-04,,,33,,,
2021-05-05,,,35,,,
2021-05-06,,,40,,,
2021-05-07,,,42,,,
2021-05-08,,,41,,,
2021-05-09,,,38,,,
2021-05-10,,,37,,,
2021-05-11,,,32,,,
2021-05-12,,,29,,,
2021-05-13,,,36,,,
2021-05-14,,,35,,,
