time,pm25,pm10,O3,NO2,SO2,CO
2023-03-30,,27,8,2,,
2023-03-31,30,26,10,2,,
2023-04-01,29,24,10,,,
2023-04-02,28,26,8,1,,
2023-04-03,28,31,10,1,,
2023-04-04,40,39,15,1,,
2023-04-05,42,49,22,1,,
2023-04-06,51,43,19,1,,
2023-04-07,47,38,16,1,,
2023-04-08,50,37,17,,,
2023-04-09,39,50,18,,,
2023-04-10,69,46,20,,,
2023-04-11,57,56,17,,,
2023-04-12,82,47,18,1,,
2023-04-13,60,,,,,
2023-04-18,,41,16,1,,
2023-04-19,40,43,17,1,,
2023-04-20,47,45,24,,,
2023-04-21,48,51,22,,,
2023-04-22,59,45,15,,,
2023-04-23,50,,,,,
2023-04-29,,34,14,1,,
2023-04-30,41,47,23,1,,
2023-05-01,,35,16,4,,
2023-05-01,53,50,27,1,,
2023-05-02,42,31,12,3,,
2023-05-02,59,36,20,1,,
2023-05-03,43,32,6,4,,
2023-05-03,37,31,17,4,,
2023-05-04,39,30,9,4,,
2023-05-04,29,28,16,4,,
2023-05-05,33,21,9,3,,
2023-05-05,28,25,13,3,,
2023-05-06,21,33,8,4,,
2023-05-06,23,24,12,3,,
2023-05-07,32,25,11,4,,
2023-05-07,28,32,9,4,,
2023-05-08,22,29,11,5,,
2023-05-08,38,28,9,4,,
2023-05-09,46,,17,3,,
2023-05-09,32,36,18,4,,
2023-05-10,1,1,20,6,,
2023-05-10,42,35,8,4,,
2023-05-11,1,27,14,9,,
2023-05-11,39,37,12,5,,
2023-05-12,28,48,12,5,,
2023-05-12,37,29,12,5,,
2023-05-13,63,56,12,7,,
2023-05-13,31,30,15,4,,
2023-05-14,70,53,10,5,,
2023-05-14,42,26,9,3,,
2023-05-15,68,50,14,5,,
2023-05-15,26,33,10,2,,
2023-05-16,70,42,11,4,,
2023-05-16,30,34,13,4,,
2023-05-17,62,44,8,5,,
2023-05-17,31,31,13,3,,
2023-05-18,62,42,7,5,,
2023-05-18,30,30,14,3,,
2023-05-19,53,52,8,5,,
2023-05-19,32,35,16,4,,
2023-05-20,68,55,9,5,,
2023-05-20,42,31,12,3,,
2023-05-21,67,46,9,4,,
2023-05-21,43,,,,,
2023-05-22,59,38,6,4,,
2023-05-23,57,33,3,5,,
2023-05-24,50,29,6,3,,
2023-05-25,35,30,11,4,,
2023-05-26,35,38,11,5,,
2023-05-27,42,45,18,2,,
2023-05-28,47,40,16,1,,
2023-05-29,42,35,15,1,,
2023-05-30,41,29,11,1,,
2023-05-31,36,29,13,1,,
2023-06-01,34,31,14,1,,
2023-06-02,32,31,10,1,,
2023-06-03,31,31,6,1,,
2023-06-04,29,38,5,,,
2023-06-05,40,27,6,,,
2023-06-06,31,21,4,,,
2023-06-07,25,25,2,,,
2023-06-08,32,35,4,,,
2023-06-09,43,28,3,,,
2023-06-10,31,23,2,,,
2023-06-11,24,21,1,,,
2023-06-12,20,17,2,,,
2023-06-13,16,18,1,,,
2023-06-14,20,24,1,,,
